date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-11-09,10.9,10.5,10.9,10.5,953.0,,
2020-11-10,10.5,10.5,10.79,10.79,3086.0,,2.7619
2020-11-11,10.89,10.5,10.99,10.99,3741.0,,1.8536
2020-11-12,11.4,10.55,11.45,10.62,7981.0,,-3.3667
2020-11-13,10.9,10.63,10.9,10.71,710.0,10.722,0.8475
2020-11-16,10.9,10.7,10.9,10.7,365.0,10.762,-0.0934
2020-11-17,10.75,10.58,10.75,10.6,29999.0,10.724,-0.9346
2020-11-18,10.74,10.6,10.76,10.62,15848.0,10.65,0.1887
2020-11-19,10.81,10.61,10.81,10.65,13518.0,10.656,0.2825
2020-11-20,10.65,10.6,10.9,10.75,13445.0,10.664,0.939
2020-11-23,11.19,10.65,11.19,10.75,30336.0,10.674,0.0
2020-11-24,11.38,10.87,11.38,10.89,23733.0,10.732,1.3023
2020-11-25,11.24,10.9,11.24,10.93,10894.0,10.794,0.3673
2020-11-27,11.09,11.0,11.3,11.25,24504.0,10.914,2.9277
2020-11-30,12.0,11.02,12.0,11.25,38434.0,11.014,0.0
2020-12-01,11.42,10.9,11.42,11.0,19449.0,11.064,-2.2222
2020-12-02,11.26,10.82,11.26,11.02,15572.0,11.09,0.1818
2020-12-03,11.22,10.98,11.22,11.0,36354.0,11.104,-0.1815
2020-12-04,11.2,10.71,11.2,11.0885,58044.0,11.0717,0.8045
2020-12-07,11.2,11.0,11.265,11.07,37442.0,11.0357,-0.1668
2020-12-08,11.2,11.06,11.46,11.11,55365.0,11.0577,0.3613
2020-12-09,11.39,11.21,11.47,11.29,93976.0,11.1117,1.6202
2020-12-10,11.39,11.14,11.39,11.21,42968.0,11.1537,-0.7086
2020-12-11,11.3,11.15,11.37,11.22,85846.0,11.18,0.0892
2020-12-14,11.24,11.0,11.31,11.15,74114.0,11.196,-0.6239
2020-12-15,11.23,11.07,11.23,11.18,84545.0,11.21,0.2691
2020-12-16,11.24,11.09,11.26,11.11,14413.0,11.174,-0.6261
2020-12-17,11.06,11.06,11.17,11.12,19369.0,11.156,0.09
2020-12-18,11.22,11.12,11.31,11.3,37843.0,11.172,1.6187
2020-12-21,11.39,11.275,11.51,11.3,347977.0,11.202,0.0
2020-12-22,11.55,11.39,11.645,11.56,36263.0,11.278,2.3009
2020-12-23,11.65,11.6,11.77,11.7,60163.0,11.396,1.2111
2020-12-24,11.88,11.63,11.885,11.75,99810.0,11.522,0.4274
2020-12-28,12.14,11.73,12.27,11.84,98608.0,11.63,0.766
2020-12-29,11.9,11.36,11.9,11.53,59079.0,11.676,-2.6182
2020-12-30,11.22,11.22,11.52,11.36,61181.0,11.636,-1.4744
2020-12-31,11.44,11.3,11.56,11.56,61033.0,11.608,1.7606
2021-01-04,11.75,11.44,11.85,11.59,69413.0,11.576,0.2595
2021-01-05,11.78,11.4,11.86,11.47,38471.0,11.502,-1.0354
2021-01-06,11.63,11.11,11.64,11.17,77015.0,11.43,-2.6155
2021-01-07,11.3,11.23,11.5,11.47,96213.0,11.452,2.6858
2021-01-08,11.55,11.5,11.86,11.75,102098.0,11.49,2.4412
2021-01-11,11.75,11.61,11.81,11.79,32541.0,11.53,0.3404
2021-01-12,11.66,11.66,11.99,11.97,61900.0,11.63,1.5267
2021-01-13,12.13,12.11,12.55,12.17,73025.0,11.83,1.6708
2021-01-14,12.5,12.05,12.63,12.22,86897.0,11.98,0.4108
2021-01-15,12.35,11.85,12.35,11.9,102625.0,12.01,-2.6187
2021-01-19,12.12,12.06,12.25,12.1,79372.0,12.072,1.6807
2021-01-20,12.24,12.24,13.66,13.52,180728.0,12.382,11.7355
2021-01-21,13.29,12.9,13.9,13.71,230463.0,12.69,1.4053
2021-01-22,13.7,13.52,13.98,13.95,164802.0,13.036,1.7505
2021-01-25,13.91,13.18,14.18,13.45,148303.0,13.346,-3.5842
2021-01-26,13.44,12.55,13.75,12.74,188633.0,13.474,-5.2788
2021-01-27,12.25,11.58,12.44,12.12,142544.0,13.194,-4.8666
2021-01-28,12.21,11.84,12.42,12.19,88767.0,12.89,0.5776
2021-01-29,12.0,11.815,12.35,12.26,71723.0,12.552,0.5742
2021-02-01,12.4,12.3,12.92,12.78,185386.0,12.418,4.2414
2021-02-02,13.0,12.72,13.05,12.81,105304.0,12.432,0.2347
2021-02-03,12.96,12.81,13.12,13.02,68026.0,12.612,1.6393
2021-02-04,12.93,12.6,13.39,12.73,144408.0,12.72,-2.2273
2021-02-05,12.75,12.75,13.2,13.02,148945.0,12.872,2.2781
