date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,22.88,22.09,22.88,22.28,7979.0,22.662,-2.109
2015-01-05,22.15,22.05,23.07,22.82,20074.0,22.654,2.4237
2015-01-06,22.8,22.55,23.08,22.57,28036.0,22.608,-1.0955
2015-01-07,22.68,22.12,22.9,22.75,14212.0,22.636,0.7975
2015-01-08,22.61,22.31,22.9,22.88,32177.0,22.66,0.5714
2015-01-09,22.88,22.63,23.72,23.14,17131.0,22.832,1.1364
2015-01-12,23.12,22.68,23.31,22.96,26833.0,22.86,-0.7779
2015-01-13,22.63,21.85,22.88,22.38,21339.0,22.822,-2.5261
2015-01-14,22.06,22.06,22.74,22.49,17817.0,22.77,0.4915
2015-01-15,22.38,21.92,22.97,22.39,14600.0,22.672,-0.4446
2015-01-16,23.38,22.15,23.38,22.15,19343.0,22.474,-1.0719
2015-01-20,22.27,21.63,22.5,22.37,17378.0,22.356,0.9932
2015-01-21,22.48,22.15,22.48,22.29,11379.0,22.338,-0.3576
2015-01-22,22.17,21.88,22.17,21.91,6810.0,22.222,-1.7048
2015-01-23,21.83,20.93,22.0,21.59,28641.0,22.062,-1.4605
2015-01-26,21.7,21.12,22.0,21.57,37196.0,21.946,-0.0926
2015-01-27,21.7,21.2,21.74,21.64,14905.0,21.8,0.3245
2015-01-28,21.75,21.75,21.99,21.94,8840.0,21.73,1.3863
2015-01-29,22.02,21.31,22.02,21.51,7517.0,21.65,-1.9599
2015-01-30,21.32,21.0,21.46,21.4,7788.0,21.612,-0.5114
2015-02-02,21.61,21.01,21.93,21.93,7921.0,21.684,2.4766
2015-02-03,21.9,21.31,21.9,21.65,19279.0,21.686,-1.2768
2015-02-04,21.74,21.35,22.0,22.0,13552.0,21.698,1.6166
2015-02-05,22.13,21.25,22.15,21.59,11902.0,21.714,-1.8636
2015-02-06,21.5,21.25,21.69,21.6,9262.0,21.754,0.0463
2015-02-09,21.46,21.09,21.84,21.09,10956.0,21.586,-2.3611
2015-02-10,21.13,20.75,21.25,21.21,18158.0,21.498,0.569
2015-02-11,21.11,20.61,21.11,21.0,10189.0,21.298,-0.9901
2015-02-12,21.1,21.01,21.43,21.26,23394.0,21.232,1.2381
2015-02-13,21.25,21.18,21.65,21.55,7700.0,21.222,1.3641
2015-02-17,21.5,21.32,21.95,21.87,17635.0,21.378,1.4849
2015-02-18,21.71,21.71,22.2,21.96,11081.0,21.528,0.4115
2015-02-19,21.71,21.71,22.5,21.83,20239.0,21.694,-0.592
2015-02-20,21.9,21.69,22.27,21.82,30941.0,21.806,-0.0458
2015-02-23,21.86,21.35,22.2,22.12,8108.0,21.92,1.3749
2015-02-24,21.96,21.96,22.62,22.4,9271.0,22.026,1.2658
2015-02-25,22.46,22.13,22.62,22.16,13062.0,22.066,-1.0714
2015-02-26,22.1,22.0,22.27,22.26,8275.0,22.152,0.4513
2015-02-27,22.75,21.81,22.92,21.97,29872.0,22.182,-1.3028
2015-03-02,21.99,21.71,22.44,22.31,29511.0,22.22,1.5476
2015-03-03,22.48,21.76,22.52,22.14,9343.0,22.168,-0.762
2015-03-04,22.34,21.66,23.0,23.0,15861.0,22.336,3.8844
2015-03-05,22.99,22.4,23.0,22.72,31244.0,22.428,-1.2174
2015-03-06,22.69,21.85,22.75,22.04,9935.0,22.442,-2.993
2015-03-09,22.02,22.0,23.01,22.09,18551.0,22.398,0.2269
2015-03-10,21.93,21.86,22.15,21.9,9000.0,22.35,-0.8601
2015-03-11,21.9,21.84,22.4,21.98,17691.0,22.146,0.3653
2015-03-12,22.04,22.0,22.89,22.76,23924.0,22.154,3.5487
2015-03-13,22.7,22.42,23.0,22.73,8729.0,22.292,-0.1318
2015-03-16,22.89,22.38,23.2,23.0,17177.0,22.474,1.1879
2015-03-17,22.88,22.76,23.21,23.21,10284.0,22.736,0.913
2015-03-18,23.11,23.11,23.49,23.13,12322.0,22.966,-0.3447
2015-03-19,23.19,22.65,23.19,23.0,10397.0,23.014,-0.562
2015-03-20,23.13,22.69,24.11,24.1,407168.0,23.288,4.7826
2015-03-23,24.02,23.92,24.72,24.49,33056.0,23.586,1.6183
2015-03-24,24.57,24.11,24.59,24.29,42780.0,23.802,-0.8167
2015-03-25,24.26,23.5,24.67,23.53,18155.0,23.882,-3.1289
2015-03-26,23.54,22.02,23.54,22.39,45962.0,23.76,-4.8449
2015-03-27,22.27,22.27,22.78,22.57,22617.0,23.454,0.8039
2015-03-30,22.73,22.68,23.5,23.19,16145.0,23.194,2.747
2015-03-31,23.02,22.75,24.0,23.53,678597.0,23.042,1.4661
2015-04-01,23.87,23.43,23.98,23.65,31071.0,23.066,0.51
2015-04-02,23.72,23.48,23.85,23.83,7199.0,23.354,0.7611
2015-04-06,23.82,23.75,24.36,24.05,19276.0,23.65,0.9232
2015-04-07,24.11,23.58,24.18,23.64,26058.0,23.74,-1.7048
2015-04-08,23.55,23.01,23.55,23.18,18041.0,23.67,-1.9459
2015-04-09,23.22,22.54,23.32,23.04,14385.0,23.548,-0.604
2015-04-10,23.16,22.6,23.45,23.35,24334.0,23.452,1.3455
2015-04-13,23.35,23.25,23.88,23.85,14059.0,23.412,2.1413
2015-04-14,23.87,23.1,23.99,23.98,28061.0,23.48,0.5451
2015-04-15,23.95,23.41,24.2,24.03,96613.0,23.65,0.2085
2015-04-16,24.05,23.9,24.92,24.1,32708.0,23.862,0.2913
2015-04-17,24.1,23.53,24.12,23.62,20751.0,23.916,-1.9917
2015-04-20,23.69,23.69,24.68,24.06,16000.0,23.958,1.8628
2015-04-21,24.06,23.6,24.06,23.64,21645.0,23.89,-1.7456
2015-04-22,23.66,22.86,23.66,23.51,25178.0,23.786,-0.5499
2015-04-23,23.39,23.1,24.04,24.0,22768.0,23.766,2.0842
2015-04-24,23.98,23.18,23.98,23.72,49132.0,23.786,-1.1667
2015-04-27,23.71,23.48,24.05,23.65,12748.0,23.704,-0.2951
2015-04-28,23.56,23.25,23.96,23.62,25606.0,23.7,-0.1268
2015-04-29,23.46,23.2,23.75,23.57,10741.0,23.712,-0.2117
