date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,35.94,35.22,36.08,35.56,69508.0,36.0,-0.6426
2015-01-05,35.11,33.91,35.2,34.08,190944.0,35.596,-4.162
2015-01-06,33.9,33.44,34.26,33.61,337531.0,35.012,-1.3791
2015-01-07,33.43,33.0,33.75,33.13,188200.0,34.434,-1.4281
2015-01-08,33.4,33.18,33.7,33.69,132799.0,34.014,1.6903
2015-01-09,33.81,32.95,33.84,32.98,101163.0,33.498,-2.1075
2015-01-12,32.73,32.02,32.79,32.42,77986.0,33.166,-1.698
2015-01-13,32.64,31.57,32.77,32.0,85713.0,32.844,-1.2955
2015-01-14,31.57,31.22,31.99,31.88,135209.0,32.594,-0.375
2015-01-15,32.15,31.45,32.23,31.5,117129.0,32.156,-1.192
2015-01-16,31.26,30.41,31.48,31.46,184519.0,31.852,-0.127
2015-01-20,31.48,31.04,31.68,31.28,93883.0,31.624,-0.5722
2015-01-21,31.25,31.06,31.97,31.95,174424.0,31.614,2.1419
2015-01-22,32.26,31.72,32.26,32.12,197483.0,31.662,0.5321
2015-01-23,31.98,31.46,32.15,31.92,91282.0,31.746,-0.6227
2015-01-26,31.88,31.65,32.31,32.28,156058.0,31.91,1.1278
2015-01-27,31.7,30.75,31.7,31.29,187187.0,31.912,-3.0669
2015-01-28,31.42,30.89,31.44,30.99,201853.0,31.72,-0.9588
2015-01-29,28.5,28.5,32.56,31.84,352832.0,31.664,2.7428
2015-01-30,31.57,30.64,31.71,31.42,269672.0,31.564,-1.3191
2015-02-02,31.48,31.36,33.27,33.26,212672.0,31.76,5.8561
2015-02-03,33.46,33.46,35.0,34.81,298557.0,32.464,4.6603
2015-02-04,34.54,33.67,34.54,33.97,441300.0,33.06,-2.4131
2015-02-05,34.34,34.12,35.09,34.88,267280.0,33.668,2.6788
2015-02-06,34.86,34.64,35.37,35.17,252852.0,34.418,0.8314
2015-02-09,35.03,35.03,35.89,35.71,222457.0,34.908,1.5354
2015-02-10,35.91,34.71,35.91,35.39,224014.0,35.024,-0.8961
2015-02-11,35.25,34.41,35.32,34.46,281373.0,35.122,-2.6279
2015-02-12,34.76,34.36,34.91,34.58,233069.0,35.062,0.3482
2015-02-13,34.68,34.59,35.46,35.44,158185.0,35.116,2.487
2015-02-17,35.38,34.69,35.39,35.14,149895.0,35.002,-0.8465
2015-02-18,34.96,34.96,35.53,35.2,153841.0,34.964,0.1707
2015-02-19,34.83,34.44,35.65,35.47,132683.0,35.166,0.767
2015-02-20,35.39,34.72,35.51,35.41,122136.0,35.332,-0.1692
2015-02-23,35.27,34.85,35.28,35.21,225514.0,35.286,-0.5648
2015-02-24,35.16,35.08,35.46,35.21,115200.0,35.3,0.0
2015-02-25,35.21,35.21,36.25,35.9,141608.0,35.44,1.9597
2015-02-26,35.86,35.23,35.86,35.42,97505.0,35.43,-1.337
2015-02-27,35.42,34.74,35.73,35.0,204531.0,35.348,-1.1858
2015-03-02,34.93,34.63,35.61,35.59,160583.0,35.424,1.6857
2015-03-03,35.51,35.5,35.84,35.71,126349.0,35.524,0.3372
2015-03-04,35.47,34.39,35.47,34.6,126432.0,35.264,-3.1084
2015-03-05,34.47,33.97,34.52,34.46,165619.0,35.072,-0.4046
2015-03-06,34.21,33.63,34.53,33.78,120298.0,34.828,-1.9733
2015-03-09,33.9,33.72,34.26,34.18,91147.0,34.546,1.1841
2015-03-10,33.72,33.26,33.86,33.77,131175.0,34.158,-1.1995
2015-03-11,33.76,32.64,33.76,33.25,153323.0,33.888,-1.5398
2015-03-12,33.49,32.81,33.59,33.53,143101.0,33.702,0.8421
2015-03-13,33.33,32.15,33.38,32.72,205014.0,33.49,-2.4157
2015-03-16,32.72,32.46,33.2,33.17,111722.0,33.288,1.3753
2015-03-17,32.88,32.61,33.0,32.9,136246.0,33.114,-0.814
2015-03-18,32.75,32.39,33.99,33.81,141746.0,33.226,2.766
2015-03-19,33.5,33.07,33.75,33.21,74840.0,33.162,-1.7746
2015-03-20,33.43,33.28,33.84,33.68,306876.0,33.354,1.4152
2015-03-23,33.66,33.28,33.95,33.78,117413.0,33.476,0.2969
2015-03-24,33.73,33.37,34.06,34.03,122329.0,33.702,0.7401
2015-03-25,34.15,33.8,34.35,34.2,182587.0,33.78,0.4996
2015-03-26,34.14,33.94,34.76,34.04,109670.0,33.946,-0.4678
2015-03-27,33.98,33.63,34.09,34.02,124795.0,34.014,-0.0588
2015-03-30,34.2,33.86,34.3,34.29,103396.0,34.116,0.7937
2015-03-31,34.05,33.57,34.05,33.69,211088.0,34.048,-1.7498
2015-04-01,33.62,33.43,34.13,33.54,122264.0,33.916,-0.4452
2015-04-02,33.5,33.4,34.08,33.6,135723.0,33.828,0.1789
2015-04-06,33.34,33.34,35.55,35.27,494831.0,34.078,4.9702
2015-04-07,35.09,34.3,35.09,34.39,175113.0,34.098,-2.495
2015-04-08,34.34,33.63,34.34,34.05,335784.0,34.17,-0.9887
2015-04-09,33.91,33.69,34.4,33.76,187771.0,34.214,-0.8517
2015-04-10,33.87,33.1,33.87,33.3,140516.0,34.154,-1.3626
2015-04-13,33.32,33.2,33.5,33.46,85343.0,33.792,0.4805
2015-04-14,33.41,33.41,34.28,34.28,117524.0,33.77,2.4507
2015-04-15,34.44,34.35,35.73,35.48,190797.0,34.056,3.5006
2015-04-16,35.28,34.99,35.59,34.99,158130.0,34.302,-1.3811
2015-04-17,34.71,34.26,34.76,34.4,86741.0,34.522,-1.6862
2015-04-20,34.58,34.55,34.87,34.85,104600.0,34.8,1.3081
2015-04-21,34.9,33.94,34.9,34.08,108869.0,34.76,-2.2095
2015-04-22,34.1,33.75,34.72,34.7,118986.0,34.604,1.8192
2015-04-23,34.76,34.53,35.36,35.13,154590.0,34.632,1.2392
2015-04-24,35.25,34.78,35.25,34.92,93105.0,34.736,-0.5978
2015-04-27,35.02,35.02,35.76,35.75,143468.0,34.916,2.3769
2015-04-28,35.64,35.33,36.1,35.73,103269.0,35.246,-0.0559
2015-04-29,35.5,35.14,36.46,36.32,137539.0,35.57,1.6513
2015-04-30,36.19,35.34,36.58,35.41,253509.0,35.626,-2.5055
2015-05-01,35.62,35.21,35.82,35.26,164377.0,35.694,-0.4236
2015-05-04,35.94,35.85,36.33,36.14,282888.0,35.772,2.4957
2015-05-05,38.26,37.96,39.84,38.41,376871.0,36.308,6.2811
2015-05-06,38.86,38.15,39.43,38.95,391845.0,36.834,1.4059
2015-05-07,38.81,38.33,38.97,38.41,146823.0,37.434,-1.3864
2015-05-08,38.74,37.92,38.74,37.99,137002.0,37.98,-1.0935
2015-05-11,37.99,37.66,38.31,37.87,168290.0,38.326,-0.3159
2015-05-12,37.9,37.54,38.29,38.12,128749.0,38.268,0.6602
2015-05-13,38.29,38.02,38.47,38.39,120947.0,38.156,0.7083
2015-05-14,38.66,38.46,39.03,38.56,104529.0,38.186,0.4428
2015-05-15,38.45,37.81,38.54,38.06,145458.0,38.2,-1.2967
2015-05-18,37.9,37.59,38.08,38.07,90678.0,38.24,0.0263
2015-05-19,37.94,36.87,37.94,37.51,184867.0,38.118,-1.471
2015-05-20,37.61,37.07,37.79,37.44,173077.0,37.928,-0.1866
2015-05-21,37.34,37.14,38.25,37.85,100964.0,37.786,1.0951
2015-05-22,37.76,37.45,38.0,37.45,94591.0,37.664,-1.0568
2015-05-26,37.19,36.55,37.22,36.77,96178.0,37.404,-1.8158
2015-05-27,36.85,36.65,37.25,36.9,145010.0,37.282,0.3535
2015-05-28,36.92,35.95,36.92,36.14,211938.0,37.022,-2.0596
2015-05-29,36.2,35.68,36.2,36.06,173119.0,36.664,-0.2214
2015-06-01,36.22,35.59,36.22,35.61,128948.0,36.296,-1.2479
2015-06-02,35.48,35.48,36.25,35.84,139978.0,36.11,0.6459
2015-06-03,35.86,35.81,36.22,36.1,99593.0,35.95,0.7254
2015-06-04,35.87,35.47,35.94,35.69,115311.0,35.86,-1.1357
2015-06-05,35.57,35.33,36.35,36.32,130562.0,35.912,1.7652
2015-06-08,36.27,35.81,36.28,35.83,67405.0,35.956,-1.3491
2015-06-09,35.93,35.88,36.49,35.98,106577.0,35.984,0.4186
2015-06-10,36.28,35.95,36.37,36.22,91021.0,36.008,0.667
2015-06-11,36.25,35.86,36.31,36.05,96868.0,36.08,-0.4694
2015-06-12,35.91,35.72,36.39,36.36,89878.0,36.088,0.8599
2015-06-15,35.95,34.99,35.95,35.34,108747.0,35.99,-2.8053
2015-06-16,35.21,35.21,35.64,35.44,129086.0,35.882,0.283
2015-06-17,35.56,34.97,35.7,35.08,80332.0,35.654,-1.0158
2015-06-18,35.16,34.88,35.5,35.34,92701.0,35.512,0.7412
2015-06-19,35.31,34.8,35.34,34.89,227245.0,35.218,-1.2733
2015-06-22,35.11,34.92,35.24,35.15,90567.0,35.18,0.7452
2015-06-23,35.15,35.03,35.35,35.32,106058.0,35.156,0.4836
2015-06-24,35.17,35.05,35.47,35.39,68093.0,35.218,0.1982
2015-06-25,35.39,34.73,35.46,35.04,75620.0,35.158,-0.989
2015-06-26,35.11,35.0,35.35,35.32,125725.0,35.244,0.7991
2015-06-29,34.89,34.26,35.15,34.28,92726.0,35.07,-2.9445
2015-06-30,34.46,33.86,34.56,34.12,243095.0,34.83,-0.4667
2015-07-01,34.29,33.685,34.29,33.75,129405.0,34.502,-1.0844
2015-07-02,34.2,33.91,34.6,33.97,123504.0,34.288,0.6519
2015-07-06,33.5,33.4,34.02,33.56,108472.0,33.936,-1.2069
2015-07-07,33.49,32.8,33.56,33.42,170359.0,33.764,-0.4172
2015-07-08,33.18,32.45,33.48,32.49,87518.0,33.438,-2.7828
2015-07-09,32.74,32.07,32.86,32.08,203275.0,33.104,-1.2619
2015-07-10,32.45,32.1,32.51,32.17,151939.0,32.744,0.2805
2015-07-13,32.35,32.14,32.85,32.78,122682.0,32.588,1.8962
2015-07-14,32.76,32.75,33.15,32.99,96328.0,32.502,0.6406
2015-07-15,32.88,32.1,32.88,32.24,136007.0,32.452,-2.2734
2015-07-16,32.42,32.29,32.69,32.34,137823.0,32.504,0.3102
2015-07-17,32.32,32.1,32.43,32.27,128876.0,32.524,-0.2165
2015-07-20,32.36,32.12,32.53,32.42,134362.0,32.452,0.4648
2015-07-21,32.44,32.08,32.49,32.31,149462.0,32.316,-0.3393
2015-07-22,32.16,31.93,32.34,31.99,125558.0,32.266,-0.9904
2015-07-23,32.02,31.59,32.16,31.83,154999.0,32.164,-0.5002
2015-07-24,31.75,30.92,31.78,30.96,219980.0,31.902,-2.7333
2015-07-27,30.62,30.46,31.08,31.06,166816.0,31.63,0.323
2015-07-28,31.22,31.09,32.15,31.7,310443.0,31.508,2.0605
2015-07-29,31.54,31.51,33.02,32.67,274190.0,31.644,3.0599
2015-07-30,32.09,31.27,34.25,33.16,415783.0,31.91,1.4998
2015-07-31,33.03,31.23,33.05,31.69,322050.0,32.056,-4.4331
2015-08-03,31.65,31.05,31.73,31.25,207774.0,32.094,-1.3885
2015-08-04,31.17,30.84,31.74,30.94,233968.0,31.942,-0.992
2015-08-05,31.22,31.22,31.91,31.37,159678.0,31.682,1.3898
2015-08-06,31.33,30.9,31.38,31.25,184003.0,31.3,-0.3825
2015-08-07,31.01,30.92,31.65,31.06,188827.0,31.174,-0.608
2015-08-10,31.22,31.1,32.23,32.22,275399.0,31.368,3.7347
2015-08-11,31.15,29.89,31.15,30.21,335581.0,31.222,-6.2384
2015-08-12,29.99,29.89,30.92,30.91,355231.0,31.13,2.3171
2015-08-13,30.84,30.15,31.0,30.35,173725.0,30.95,-1.8117
2015-08-14,30.35,30.35,30.77,30.71,112924.0,30.88,1.1862
2015-08-17,30.63,30.2,30.83,30.7,164070.0,30.576,-0.0326
2015-08-18,30.64,30.16,30.64,30.29,94367.0,30.592,-1.3355
2015-08-19,30.11,29.53,30.21,29.85,323386.0,30.38,-1.4526
2015-08-20,29.68,28.87,29.73,28.91,275409.0,30.092,-3.1491
2015-08-21,28.81,28.61,29.28,28.74,219953.0,29.698,-0.588
2015-08-24,27.33,27.3,28.87,27.7,378688.0,29.098,-3.6186
2015-08-25,28.66,27.42,28.66,27.42,215273.0,28.524,-1.0108
2015-08-26,28.06,27.42,28.06,27.89,147583.0,28.132,1.7141
2015-08-27,28.39,28.2,29.04,28.64,198698.0,28.078,2.6891
2015-08-28,28.59,28.59,29.92,29.76,227512.0,28.282,3.9106
2015-08-31,29.65,29.13,30.58,30.5,329367.0,28.842,2.4866
2015-09-01,29.79,28.88,30.19,29.0,316184.0,29.158,-4.918
2015-09-02,29.38,28.75,29.48,29.24,142040.0,29.428,0.8276
2015-09-03,29.26,28.77,29.34,29.12,243371.0,29.524,-0.4104
2015-09-04,28.79,28.24,28.84,28.3,202760.0,29.232,-2.8159
2015-09-08,28.68,28.41,28.87,28.46,323465.0,28.824,0.5654
2015-09-09,28.69,27.99,28.75,28.02,225600.0,28.628,-1.546
2015-09-10,28.07,27.72,28.35,27.85,197583.0,28.35,-0.6067
2015-09-11,27.6,27.37,27.85,27.61,150512.0,28.048,-0.8618
2015-09-14,27.6,27.29,27.63,27.35,128099.0,27.858,-0.9417
2015-09-15,27.43,27.34,27.98,27.9,159587.0,27.746,2.011
2015-09-16,27.99,27.95,28.48,28.4,113324.0,27.822,1.7921
2015-09-17,28.39,27.63,28.39,27.7,144616.0,27.792,-2.4648
2015-09-18,27.27,26.67,27.28,26.91,400075.0,27.652,-2.852
2015-09-21,26.98,26.55,27.22,26.57,137489.0,27.496,-1.2635
2015-09-22,26.07,25.92,26.5,26.22,169019.0,27.16,-1.3173
2015-09-23,26.34,25.31,26.34,25.46,135186.0,26.572,-2.8986
