date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2018-10-04,10.0,9.8,11.06,10.16,1247952.0,,
2018-10-05,10.35,10.1,10.79,10.43,55086.0,,2.6575
2018-10-08,10.5,9.25,10.5,10.02,28662.0,,-3.931
2018-10-09,9.9,9.78,9.96,9.9,14510.0,,-1.1976
2018-10-10,9.96,9.65,9.99,9.7,30316.0,10.042,-2.0202
2018-10-11,9.95,9.66,9.99,9.9,11958.0,9.99,2.0619
2018-10-12,10.1,9.9,10.1,10.05,17313.0,9.914,1.5152
2018-10-15,10.05,9.9,10.05,9.98,9700.0,9.906,-0.6965
2018-10-16,10.2,9.9,10.2,9.97,9875.0,9.92,-0.1002
2018-10-17,9.85,9.81,9.9,9.89,15723.0,9.958,-0.8024
2018-10-18,9.84,9.58,9.92,9.74,23759.0,9.926,-1.5167
2018-10-19,9.85,9.28,9.93,9.7,14741.0,9.856,-0.4107
2018-10-22,9.76,9.6,10.1,9.88,8666.0,9.836,1.8557
2018-10-23,9.75,9.5,9.99,9.61,21841.0,9.764,-2.7328
2018-10-24,9.64,9.25,9.81,9.27,63497.0,9.64,-3.538
2018-10-25,9.25,9.25,9.73,9.56,7143.0,9.604,3.1284
2018-10-26,9.59,9.59,10.1,9.98,6208.0,9.66,4.3933
2018-10-29,9.99,9.34,10.05,9.75,24198.0,9.634,-2.3046
2018-10-30,9.73,9.37,9.95,9.88,26302.0,9.688,1.3333
2018-10-31,9.94,9.75,9.94,9.91,30924.0,9.816,0.3036
2018-11-01,9.9,9.89,10.1,9.99,88498.0,9.902,0.8073
2018-11-02,10.0,9.57,10.07,9.79,9972.0,9.864,-2.002
2018-11-05,9.82,9.39,9.82,9.39,11240.0,9.792,-4.0858
2018-11-06,9.3,8.98,9.455,9.13,13742.0,9.642,-2.7689
2018-11-07,8.96,8.14,8.98,8.82,44558.0,9.424,-3.3954
2018-11-08,8.71,8.71,8.88,8.85,8285.0,9.196,0.3401
2018-11-09,8.36,8.36,8.96,8.64,20053.0,8.966,-2.3729
2018-11-12,8.64,7.94,8.64,8.0,19650.0,8.688,-7.4074
2018-11-13,8.0,8.0,8.19,8.15,21093.0,8.492,1.875
2018-11-14,8.17,8.17,9.08,8.64,23638.0,8.456,6.0123
2018-11-15,8.59,8.59,9.0,8.7,5663.0,8.426,0.6944
2018-11-16,8.54,8.54,9.68,9.56,23612.0,8.61,9.8851
2018-11-19,9.6,8.72,9.6,8.79,15812.0,8.768,-8.0544
2018-11-20,8.04,7.77,8.25,7.77,42617.0,8.692,-11.6041
2018-11-21,7.8,7.8,9.77,9.77,14570.0,8.918,25.74
2018-11-23,9.7,9.25,9.7,9.5,5184.0,9.078,-2.7636
2018-11-26,9.47,9.0,9.47,9.28,28907.0,9.022,-2.3158
2018-11-27,9.32,9.23,9.56,9.38,6718.0,9.14,1.0776
2018-11-28,9.35,8.82,9.35,9.22,6404.0,9.43,-1.7058
2018-11-29,9.23,9.0,9.23,9.01,6632.0,9.278,-2.2777
2018-11-30,9.07,8.82,9.35,9.25,8110.0,9.228,2.6637
2018-12-03,9.37,7.95,9.64,7.95,35957.0,8.962,-14.0541
2018-12-04,7.93,7.38,8.17,7.6,13526.0,8.606,-4.4025
2018-12-06,7.54,7.47,9.3,9.3,24867.0,8.622,22.3684
2018-12-07,9.33,9.18,10.5,10.0,49469.0,8.82,7.5269
2018-12-10,10.0,8.36,10.0,8.45,7563.0,8.66,-15.5
2018-12-11,8.46,8.22,8.75,8.66,5633.0,8.802,2.4852
2018-12-12,8.56,7.8,8.56,8.23,11915.0,8.928,-4.9654
2018-12-13,8.07,7.51,8.08,7.71,8169.0,8.61,-6.3183
2018-12-14,7.65,6.74,7.65,7.01,15743.0,8.012,-9.0791
2018-12-17,7.1,6.5,7.28,6.66,18301.0,7.654,-4.9929
2018-12-18,6.75,6.75,7.99,6.82,28135.0,7.286,2.4024
2018-12-19,6.76,6.56,6.91,6.68,25195.0,6.976,-2.0528
2018-12-20,6.51,6.05,6.64,6.52,32131.0,6.738,-2.3952
2018-12-21,6.55,5.66,6.55,6.11,796013.0,6.558,-6.2883
2018-12-24,6.41,6.16,7.67,7.34,15869.0,6.694,20.1309
2018-12-26,7.42,6.64,9.34,8.22,46684.0,6.974,11.9891
2018-12-27,8.06,7.07,8.19,7.25,18650.0,7.088,-11.8005
2018-12-28,7.23,6.51,7.25,6.62,33609.0,7.108,-8.6897
2018-12-31,6.65,6.5,7.31,7.1,21475.0,7.306,7.2508
2019-01-02,7.06,6.89,7.84,7.34,15984.0,7.306,3.3803
2019-01-03,7.32,7.01,7.95,7.93,13448.0,7.248,8.0381
2019-01-04,8.07,7.08,8.07,7.55,22597.0,7.308,-4.7919
2019-01-07,7.61,7.61,8.23,8.16,9478.0,7.616,8.0795
2019-01-08,8.24,7.77,8.93,8.93,29251.0,7.982,9.4363
2019-01-09,8.91,8.78,9.7,9.44,20466.0,8.402,5.7111
2019-01-10,9.37,8.7,9.37,9.08,6784.0,8.632,-3.8136
2019-01-11,9.05,8.88,9.05,9.0,22342.0,8.922,-0.8811
2019-01-14,8.92,8.47,8.92,8.6,8316.0,9.01,-4.4444
2019-01-15,8.62,8.23,8.62,8.39,5479.0,8.902,-2.4419
2019-01-16,8.4,8.4,8.61,8.61,3368.0,8.736,2.6222
2019-01-17,8.57,8.11,8.57,8.39,5339.0,8.598,-2.5552
2019-01-18,8.43,8.37,8.8,8.5,43178.0,8.498,1.3111
2019-01-22,8.47,8.13,8.54,8.19,10811.0,8.416,-3.6471
2019-01-23,8.15,7.92,8.55,7.92,3723.0,8.322,-3.2967
2019-01-24,7.9,7.64,8.09,7.86,10177.0,8.172,-0.7576
2019-01-25,8.14,7.95,8.14,8.0,5922.0,8.094,1.7812
2019-01-28,8.0,8.0,8.3,8.13,5241.0,8.02,1.625
2019-01-29,8.15,7.94,8.21,7.99,4901.0,7.98,-1.722
2019-01-30,7.91,7.91,8.04,7.99,5285.0,7.994,0.0
2019-01-31,8.0,7.63,8.14,7.68,11370.0,7.958,-3.8798
2019-02-01,7.34,7.34,7.94,7.86,6681.0,7.93,2.3438
2019-02-04,7.59,7.32,7.96,7.5,23974.0,7.804,-4.5802
2019-02-05,7.32,7.32,7.805,7.5,9923.0,7.706,0.0
2019-02-06,7.5,7.5,8.0,7.5,57685.0,7.608,0.0
2019-02-07,7.5,7.15,7.89,7.15,7768.0,7.502,-4.6667
2019-02-08,7.14,6.86,7.37,7.0,10121.0,7.33,-2.0979
2019-02-11,6.92,6.52,6.98,6.75,19099.0,7.18,-3.5714
2019-02-12,6.98,6.92,7.19,7.0,18428.0,7.08,3.7037
2019-02-13,6.99,6.82,8.0,6.9,8307.0,6.96,-1.4286
2019-02-14,6.91,6.76,7.05,6.76,15115.0,6.882,-2.029
2019-02-15,6.9,6.85,7.0,6.85,10826.0,6.852,1.3314
2019-02-19,6.95,6.77,7.32,6.83,24655.0,6.868,-0.292
2019-02-20,7.13,6.9,8.27,7.0,31490.0,6.868,2.489
2019-02-21,7.08,6.76,7.1,6.76,17988.0,6.84,-3.4286
2019-02-22,6.9,6.9,7.18,7.0,15362.0,6.888,3.5503
2019-02-25,7.05,6.83,7.33,6.89,16902.0,6.896,-1.5714
2019-02-26,6.93,6.93,7.08,6.98,15410.0,6.926,1.3062
2019-02-27,6.91,6.91,7.2,6.99,26136.0,6.924,0.1433
2019-02-28,7.0,6.94,7.25,7.0,44559.0,6.972,0.1431
2019-03-01,7.15,6.91,7.27,7.07,40386.0,6.986,1.0
2019-03-04,7.07,6.91,7.11,6.99,16865.0,7.006,-1.1315
2019-03-05,7.0,6.9,7.07,6.96,10348.0,7.002,-0.4292
2019-03-06,6.94,6.81,7.07,6.99,18321.0,7.002,0.431
2019-03-07,6.98,6.24,6.98,6.47,33904.0,6.896,-7.4392
2019-03-08,6.46,6.45,6.77,6.51,18327.0,6.784,0.6182
2019-03-11,6.65,6.5,6.93,6.78,20576.0,6.742,4.1475
2019-03-12,6.87,6.45,6.87,6.66,10743.0,6.682,-1.7699
2019-03-13,6.81,6.81,7.1,6.95,22505.0,6.674,4.3544
2019-03-14,7.01,6.79,7.05,7.0,15055.0,6.78,0.7194
2019-03-15,7.01,6.86,7.13,6.97,49495.0,6.872,-0.4286
2019-03-18,6.97,6.87,7.09,6.99,35525.0,6.914,0.2869
2019-03-19,7.0,6.95,7.15,7.02,18737.0,6.986,0.4292
2019-03-20,7.05,6.99,7.23,6.99,45680.0,6.994,-0.4274
2019-03-21,7.0,6.815,7.1,6.83,11498.0,6.96,-2.289
2019-03-22,6.75,6.4,6.86,6.6,23788.0,6.886,-3.3675
2019-03-25,6.61,6.34,6.61,6.43,16250.0,6.774,-2.5758
2019-03-26,6.43,6.43,7.04,7.0,25913.0,6.77,8.8647
2019-03-27,6.99,6.55,7.0,6.67,11267.0,6.706,-4.7143
2019-03-28,6.55,6.47,7.23,6.62,12133.0,6.664,-0.7496
2019-03-29,6.75,6.53,6.75,6.53,8715.0,6.65,-1.3595
2019-04-01,6.53,6.4,6.56,6.45,25417.0,6.654,-1.2251
2019-04-02,6.47,5.9,6.47,6.2,50431.0,6.494,-3.876
2019-04-03,6.2,6.1,6.55,6.31,27986.0,6.422,1.7742
2019-04-04,6.32,6.32,6.91,6.85,18088.0,6.468,8.5578
2019-04-05,6.95,6.49,7.11,6.5,60446.0,6.462,-5.1095
2019-04-08,6.92,6.65,7.21,6.92,48260.0,6.556,6.4615
2019-04-09,6.95,6.87,7.11,7.06,8329.0,6.728,2.0231
2019-04-10,7.09,6.89,7.12,6.99,5611.0,6.864,-0.9915
2019-04-11,6.94,6.94,7.16,7.155,26797.0,6.925,2.3605
2019-04-12,7.15,6.85,7.15,7.06,8453.0,7.037,-1.3277
