date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,21.79,21.16,22.12,22.07,24689.0,21.592,1.6582
2015-01-05,21.85,21.35,22.13,21.36,32537.0,21.668,-3.217
2015-01-06,21.36,19.64,21.39,19.82,35329.0,21.396,-7.2097
2015-01-07,19.92,19.76,20.197,20.03,11028.0,20.998,1.0595
2015-01-08,20.19,20.17,20.68,20.35,52369.0,20.726,1.5976
2015-01-09,20.42,20.09,20.51,20.13,12765.0,20.338,-1.0811
2015-01-12,20.19,18.92,20.19,19.39,23123.0,19.944,-3.6761
2015-01-13,19.59,18.55,19.81,19.37,35215.0,19.854,-0.1031
2015-01-14,19.06,18.61,19.09,18.66,15448.0,19.58,-3.6655
2015-01-15,18.82,18.25,18.99,18.28,30699.0,19.166,-2.0364
2015-01-16,18.25,18.25,18.64,18.6,20727.0,18.86,1.7505
2015-01-20,18.67,18.01,18.69,18.18,36275.0,18.618,-2.2581
2015-01-21,18.09,18.0,18.44,18.16,14741.0,18.376,-0.11
2015-01-22,18.34,17.94,18.5,18.36,24880.0,18.316,1.1013
2015-01-23,18.35,17.98,18.48,17.99,19169.0,18.258,-2.0153
2015-01-26,18.08,18.0,18.49,18.29,30697.0,18.196,1.6676
2015-01-27,18.25,18.16,18.37,18.3,11221.0,18.22,0.0547
2015-01-28,18.45,17.91,18.45,17.93,15127.0,18.174,-2.0219
2015-01-29,18.03,17.8,18.45,18.41,20036.0,18.184,2.6771
2015-01-30,18.22,17.94,18.47,18.01,27584.0,18.188,-2.1727
2015-02-02,18.0,17.8,18.58,18.55,26428.0,18.24,2.9983
2015-02-03,19.01,19.01,19.71,19.68,26857.0,18.516,6.0916
2015-02-04,19.53,18.94,19.67,18.97,21410.0,18.724,-3.6077
2015-02-05,19.1,19.1,19.56,19.4,22346.0,18.922,2.2667
2015-02-06,19.48,19.0,19.68,19.65,23280.0,19.25,1.2887
2015-02-09,19.53,19.06,19.828,19.14,15522.0,19.368,-2.5954
2015-02-10,19.2,18.55,19.2,18.75,23252.0,19.182,-2.0376
2015-02-11,18.65,18.01,18.69,18.14,26300.0,19.016,-3.2533
2015-02-12,18.25,18.15,18.39,18.33,15837.0,18.802,1.0474
2015-02-13,18.31,18.1,18.31,18.18,13097.0,18.508,-0.8183
2015-02-17,18.3,18.2,18.52,18.45,21501.0,18.37,1.4851
2015-02-18,18.3,18.2,18.65,18.6,13384.0,18.34,0.813
2015-02-19,18.51,18.51,18.82,18.67,15311.0,18.446,0.3763
2015-02-20,18.72,18.57,19.08,19.04,16452.0,18.588,1.9818
2015-02-23,19.0,18.8,19.19,18.93,9552.0,18.738,-0.5777
2015-02-24,19.06,19.06,19.5,19.5,10611.0,18.948,3.0111
2015-02-25,19.57,19.2,19.57,19.21,8839.0,19.07,-1.4872
2015-02-26,19.18,19.01,19.19,19.16,8220.0,19.168,-0.2603
2015-02-27,19.07,18.82,19.27,18.86,24144.0,19.132,-1.5658
2015-03-02,18.86,18.66,19.08,18.89,17030.0,19.124,0.1591
2015-03-03,18.76,18.62,19.07,18.98,16266.0,19.02,0.4764
2015-03-04,18.82,18.3,19.0,18.47,21415.0,18.872,-2.687
2015-03-05,18.52,18.3,18.6,18.44,20019.0,18.728,-0.1624
2015-03-06,18.23,18.23,18.5,18.35,18302.0,18.626,-0.4881
2015-03-09,18.35,18.27,18.56,18.45,5736.0,18.538,0.545
2015-03-10,18.31,18.14,18.37,18.19,17612.0,18.38,-1.4092
2015-03-11,18.2,18.17,18.31,18.2,16492.0,18.326,0.055
2015-03-12,18.41,18.35,18.55,18.46,8074.0,18.33,1.4286
2015-03-13,18.5,18.24,18.5,18.36,8275.0,18.332,-0.5417
2015-03-16,18.4,17.93,18.4,18.36,14481.0,18.314,0.0
2015-03-17,18.3,18.3,20.23,19.53,67671.0,18.582,6.3725
2015-03-18,19.39,19.39,19.76,19.61,13042.0,18.864,0.4096
2015-03-19,19.59,19.01,19.69,19.21,9248.0,19.014,-2.0398
2015-03-20,19.22,19.081,19.4,19.31,79116.0,19.204,0.5206
2015-03-23,19.22,19.22,19.99,19.87,16382.0,19.506,2.9001
2015-03-24,19.88,19.65,20.27,20.19,15364.0,19.638,1.6105
2015-03-25,20.1,19.5,20.1,19.54,12762.0,19.624,-3.2194
2015-03-26,19.3,19.0,19.3,19.0,32320.0,19.582,-2.7636
2015-03-27,19.28,18.99,19.28,19.12,55047.0,19.544,0.6316
2015-03-30,19.12,18.99,19.15,19.01,29732.0,19.372,-0.5753
2015-03-31,18.9,18.74,19.28,18.99,29062.0,19.132,-0.1052
2015-04-01,18.9,18.59,19.06,19.05,35296.0,19.034,0.316
2015-04-02,19.09,19.09,19.46,19.36,31862.0,19.106,1.6273
2015-04-06,19.34,19.34,19.73,19.72,10284.0,19.226,1.8595
2015-04-07,19.69,19.42,19.99,19.84,18922.0,19.392,0.6085
2015-04-08,19.83,19.67,19.99,19.92,12656.0,19.578,0.4032
2015-04-09,19.95,19.83,19.99,19.95,8730.0,19.758,0.1506
2015-04-10,20.0,19.95,20.81,20.61,20296.0,20.008,3.3083
2015-04-13,20.61,20.35,20.63,20.56,10262.0,20.176,-0.2426
2015-04-14,20.71,20.18,20.71,20.21,7656.0,20.25,-1.7023
2015-04-15,20.21,20.21,20.7,20.57,24254.0,20.38,1.7813
2015-04-16,20.47,19.7,20.47,20.15,29480.0,20.42,-2.0418
2015-04-17,20.04,19.49,20.04,19.74,35616.0,20.246,-2.0347
2015-04-20,19.83,19.775,20.69,20.55,19876.0,20.244,4.1033
2015-04-21,20.61,20.39,20.94,20.52,13228.0,20.306,-0.146
2015-04-22,20.5,19.963,20.5,20.06,13195.0,20.204,-2.2417
2015-04-23,19.98,19.95,20.34,20.16,13106.0,20.206,0.4985
2015-04-24,20.15,19.89,20.225,20.01,27101.0,20.26,-0.744
2015-04-27,19.97,19.93,20.14,19.99,23393.0,20.148,-0.1
2015-04-28,20.04,20.04,20.56,20.44,23065.0,20.132,2.2511
2015-04-29,20.39,19.91,20.39,20.1,45469.0,20.14,-1.6634
2015-04-30,20.0,19.23,20.0,19.37,38834.0,19.982,-3.6318
2015-05-01,19.35,19.07,19.62,19.6,23259.0,19.9,1.1874
2015-05-04,19.63,19.3,19.63,19.32,17173.0,19.766,-1.4286
2015-05-05,19.11,18.75,19.35,19.33,28895.0,19.544,0.0518
2015-05-06,19.3,18.93,19.38,19.33,27831.0,19.39,0.0
2015-05-07,19.27,18.91,19.27,18.94,18365.0,19.304,-2.0176
2015-05-08,19.22,17.91,19.22,17.94,53062.0,18.972,-5.2798
2015-05-11,17.99,17.93,18.38,17.99,21089.0,18.706,0.2787
2015-05-12,17.96,17.6,18.01,17.95,31559.0,18.43,-0.2223
2015-05-13,18.0,17.94,18.48,18.13,19354.0,18.19,1.0028
2015-05-14,18.27,17.99,18.51,18.28,21727.0,18.058,0.8274
2015-05-15,18.31,18.27,19.08,19.07,17264.0,18.284,4.3217
2015-05-18,19.07,18.71,19.14,18.75,15226.0,18.436,-1.678
2015-05-19,18.76,18.62,19.07,18.87,15101.0,18.62,0.64
2015-05-20,18.89,18.71,19.1,18.97,12082.0,18.788,0.5299
2015-05-21,18.95,18.9,19.39,19.25,12835.0,18.982,1.476
2015-05-22,19.14,19.14,19.49,19.39,12698.0,19.046,0.7273
2015-05-26,19.42,18.93,19.42,19.01,17249.0,19.098,-1.9598
2015-05-27,19.07,18.85,19.11,19.0,15865.0,19.124,-0.0526
2015-05-28,19.07,18.95,19.37,19.03,18967.0,19.136,0.1579
2015-05-29,19.07,18.77,19.09,19.06,79932.0,19.098,0.1576
2015-06-01,19.23,18.86,19.23,18.93,12016.0,19.006,-0.6821
2015-06-02,18.97,18.97,19.89,19.86,24389.0,19.176,4.9128
2015-06-03,19.75,19.67,19.89,19.77,17260.0,19.33,-0.4532
2015-06-04,19.66,19.2,19.69,19.34,11122.0,19.392,-2.175
2015-06-05,19.2,19.2,19.43,19.31,13026.0,19.442,-0.1551
2015-06-08,19.25,18.43,19.25,18.56,21537.0,19.368,-3.884
2015-06-09,18.51,18.33,18.63,18.5,25789.0,19.096,-0.3233
2015-06-10,18.6,18.59,19.17,19.02,24105.0,18.946,2.8108
2015-06-11,19.07,18.83,19.33,18.96,12523.0,18.87,-0.3155
2015-06-12,18.9,18.75,19.0,18.87,12846.0,18.782,-0.4747
2015-06-15,18.63,17.33,18.63,17.55,53528.0,18.58,-6.9952
2015-06-16,17.39,17.33,18.01,17.64,58069.0,18.408,0.5128
2015-06-17,17.68,16.95,17.68,17.11,54631.0,18.026,-3.0045
2015-06-18,17.17,17.0,17.75,17.68,29970.0,17.77,3.3314
2015-06-19,17.73,17.45,17.95,17.63,480349.0,17.522,-0.2828
2015-06-22,17.73,17.61,17.89,17.73,18471.0,17.558,0.5672
2015-06-23,17.72,17.49,17.75,17.61,28923.0,17.552,-0.6768
