date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-08-21,35.0,28.33,37.5,33.26,1609840.0,,
2020-08-24,32.92,28.0,33.1,28.44,140066.0,,-14.4919
2020-08-25,27.8,27.26,31.25,31.25,132896.0,,9.8805
2020-08-26,31.85,30.01,31.85,30.28,77817.0,,-3.104
2020-08-27,30.0,29.81,34.33,33.27,571326.0,31.3,9.8745
2020-08-28,33.27,32.29,34.43,33.28,40700.0,31.304,0.0301
2020-08-31,32.78,31.9,33.79,31.9,36275.0,31.996,-4.1466
2020-09-01,31.27,30.17,32.59,31.16,31986.0,31.978,-2.3197
2020-09-02,31.08,31.02,32.5,31.15,45296.0,32.152,-0.0321
2020-09-03,31.6,30.02,31.6,30.29,26022.0,31.556,-2.7608
2020-09-04,30.27,29.32,30.27,29.55,23745.0,30.81,-2.4431
2020-09-08,29.36,27.0,30.73,27.28,35550.0,29.886,-7.6819
2020-09-09,27.99,25.43,28.0,26.1,23682.0,28.874,-4.3255
2020-09-10,26.06,25.73,30.0,29.23,43584.0,28.49,11.9923
2020-09-11,29.08,28.53,32.07,31.19,26042.0,28.67,6.7054
2020-09-14,31.19,30.815,32.78,32.78,15679.0,29.316,5.0978
2020-09-15,31.65,30.225,31.65,30.51,44205.0,29.962,-6.925
2020-09-16,30.08,29.0,31.3,29.92,59099.0,30.726,-1.9338
2020-09-17,29.58,28.64,29.8,29.02,77496.0,30.684,-3.008
2020-09-18,29.09,28.85,30.8,30.64,64666.0,30.574,5.5824
2020-09-21,30.16,28.8,30.7,29.22,75493.0,29.862,-4.6345
2020-09-22,29.35,29.19,30.3,29.65,47205.0,29.69,1.4716
2020-09-23,29.84,29.05,30.19,29.98,23290.0,29.702,1.113
2020-09-24,30.02,29.77,31.0,29.91,27646.0,29.88,-0.2335
2020-09-25,29.98,29.82,32.52,30.84,34913.0,29.92,3.1093
2020-09-28,30.83,30.72,31.89,30.79,34915.0,30.234,-0.1621
2020-09-29,30.82,30.82,32.47,31.54,13271.0,30.612,2.4359
2020-09-30,31.56,31.38,33.0,32.31,18119.0,31.078,2.4413
2020-10-01,32.57,28.55,32.79,29.08,34511.0,30.912,-9.9969
2020-10-02,28.42,28.42,30.57,29.31,26451.0,30.606,0.7909
2020-10-05,29.6,28.05,29.6,28.07,28912.0,30.062,-4.2306
2020-10-06,28.22,28.22,30.09,28.92,19307.0,29.538,3.0281
2020-10-07,29.08,29.08,31.85,31.75,11604.0,29.426,9.7856
2020-10-08,31.7,31.7,35.12,33.5,28506.0,30.31,5.5118
2020-10-09,33.48,33.45,37.98,36.89,41312.0,31.826,10.1194
2020-10-12,37.26,36.35,39.0,37.25,52795.0,33.662,0.9759
2020-10-13,37.35,37.35,39.77,38.5,20156.0,35.578,3.3557
2020-10-14,39.1,35.35,39.47,36.76,33794.0,36.58,-4.5195
2020-10-15,36.09,36.09,39.43,38.8,24774.0,37.64,5.5495
2020-10-16,38.4,37.31,38.84,38.38,21508.0,37.938,-1.0825
2020-10-19,38.35,38.32,40.96,39.24,20298.0,38.336,2.2408
2020-10-20,39.24,38.07,39.9,38.07,10859.0,38.25,-2.9817
2020-10-21,38.29,34.13,38.6,34.57,26101.0,37.812,-9.1936
2020-10-22,34.73,33.02,37.61,35.01,19477.0,37.054,1.2728
2020-10-23,35.13,35.13,39.48,37.5,16018.0,36.878,7.1123
2020-10-26,37.6,35.9,38.5,36.5,22061.0,36.33,-2.6667
2020-10-27,36.34,36.05,38.395,37.75,43430.0,36.266,3.4247
2020-10-28,37.25,36.07,37.25,36.07,13261.0,36.566,-4.4503
2020-10-29,36.26,35.69,36.95,36.45,11294.0,36.854,1.0535
2020-10-30,36.55,34.95,36.55,35.99,15168.0,36.552,-1.262
2020-11-02,36.08,36.08,37.035,36.18,16916.0,36.488,0.5279
