date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,17.27,16.84,17.27,16.84,7489.0,17.032,-2.093
2015-01-05,16.76,15.86,16.93,15.95,13584.0,16.856,-5.285
2015-01-06,15.98,15.23,15.98,15.57,15479.0,16.55,-2.3824
2015-01-07,15.67,15.55,15.88,15.88,6642.0,16.288,1.991
2015-01-08,15.93,15.93,16.26,16.21,5249.0,16.09,2.0781
2015-01-09,16.19,16.09,16.23,16.16,2335.0,15.954,-0.3085
2015-01-12,16.11,16.11,16.66,16.34,8221.0,16.032,1.1139
2015-01-13,16.5,15.9,16.62,16.03,8150.0,16.124,-1.8972
2015-01-14,15.9,15.39,15.9,15.83,8004.0,16.114,-1.2477
2015-01-15,15.81,15.26,15.81,15.68,10731.0,16.008,-0.9476
2015-01-16,15.59,15.39,15.74,15.71,10470.0,15.918,0.1913
2015-01-20,15.74,15.26,15.74,15.58,13239.0,15.766,-0.8275
2015-01-21,15.58,15.58,15.78,15.65,7700.0,15.69,0.4493
2015-01-22,15.82,15.7,16.0,15.99,12737.0,15.722,2.1725
2015-01-23,16.02,15.85,16.22,15.89,14107.0,15.764,-0.6254
2015-01-26,15.84,15.84,16.22,15.88,11719.0,15.798,-0.0629
2015-01-27,15.73,15.73,15.88,15.77,4699.0,15.836,-0.6927
2015-01-28,15.86,15.23,15.86,15.24,15299.0,15.754,-3.3608
2015-01-29,15.36,15.36,15.99,15.99,6235.0,15.754,4.9213
2015-01-30,15.83,15.77,15.92,15.78,7885.0,15.732,-1.3133
2015-02-02,15.9,15.9,16.12,16.03,8568.0,15.762,1.5843
2015-02-03,16.14,15.95,16.14,16.07,21475.0,15.822,0.2495
2015-02-04,15.95,15.85,16.15,15.95,12588.0,15.964,-0.7467
2015-02-05,16.02,15.96,16.24,16.0,13194.0,15.966,0.3135
2015-02-06,16.1,16.07,16.3,16.24,10656.0,16.058,1.5
2015-02-09,16.25,16.1,16.4,16.16,12193.0,16.084,-0.4926
2015-02-10,16.23,16.06,16.23,16.1,4296.0,16.09,-0.3713
2015-02-11,16.14,15.93,16.14,15.96,5729.0,16.092,-0.8696
2015-02-12,16.11,15.87,16.3,15.9,6714.0,16.072,-0.3759
2015-02-13,15.97,15.62,15.97,15.84,5111.0,15.992,-0.3774
2015-02-17,15.85,15.85,16.12,15.93,10395.0,15.946,0.5682
2015-02-18,15.92,15.92,16.11,16.02,4385.0,15.93,0.565
2015-02-19,16.05,15.9,16.17,16.03,6213.0,15.944,0.0624
2015-02-20,16.07,15.9,16.18,16.06,12156.0,15.976,0.1871
2015-02-23,16.06,15.995,16.2,16.05,12839.0,16.018,-0.0623
2015-02-24,16.0,16.0,16.3,16.15,10636.0,16.062,0.6231
2015-02-25,16.09,15.88,16.18,15.95,6103.0,16.048,-1.2384
2015-02-26,15.9,15.9,16.11,16.02,6764.0,16.046,0.4389
2015-02-27,15.95,15.95,16.07,16.01,6403.0,16.036,-0.0624
2015-03-02,16.0,15.88,16.12,15.89,4395.0,16.004,-0.7495
2015-03-03,15.91,15.71,15.91,15.71,3173.0,15.916,-1.1328
2015-03-04,15.7,15.59,15.86,15.65,11023.0,15.856,-0.3819
2015-03-05,15.65,15.38,15.77,15.6,6805.0,15.772,-0.3195
2015-03-06,15.5,15.46,15.7,15.49,11122.0,15.668,-0.7051
2015-03-09,15.49,15.47,15.75,15.6,4500.0,15.61,0.7101
2015-03-10,15.54,15.21,15.57,15.47,7191.0,15.562,-0.8333
2015-03-11,15.52,15.18,15.54,15.18,12375.0,15.468,-1.8746
2015-03-12,13.0,13.0,15.01,14.61,46077.0,15.27,-3.7549
2015-03-13,14.64,14.5,14.66,14.6,10778.0,15.092,-0.0684
2015-03-16,14.74,14.31,14.74,14.41,10587.0,14.854,-1.3014
2015-03-17,14.46,14.41,14.55,14.54,13153.0,14.668,0.9022
2015-03-18,14.48,14.45,14.59,14.5,14443.0,14.532,-0.2751
2015-03-19,14.47,14.47,14.6,14.6,17595.0,14.53,0.6897
2015-03-20,14.71,14.5,14.76,14.6,27911.0,14.53,0.0
2015-03-23,14.6,14.58,15.01,14.95,8546.0,14.638,2.3973
2015-03-24,15.01,14.97,15.93,15.91,9537.0,14.912,6.4214
2015-03-25,15.86,15.38,15.93,15.38,8314.0,15.088,-3.3312
2015-03-26,15.32,15.29,15.5,15.44,4781.0,15.256,0.3901
2015-03-27,15.31,15.17,15.36,15.36,8595.0,15.408,-0.5181
2015-03-30,15.35,15.26,15.63,15.47,15834.0,15.512,0.7161
2015-03-31,15.3,15.19,15.47,15.28,11158.0,15.386,-1.2282
2015-04-01,15.19,14.86,15.33,14.95,10120.0,15.3,-2.1597
2015-04-02,14.95,14.89,15.25,14.92,14261.0,15.196,-0.2007
2015-04-06,14.73,14.53,15.12,15.11,10655.0,15.146,1.2735
2015-04-07,15.02,14.86,15.21,14.87,13592.0,15.026,-1.5884
2015-04-08,14.83,14.75,14.93,14.84,13398.0,14.938,-0.2017
2015-04-09,14.84,14.75,15.19,15.14,7744.0,14.976,2.0216
2015-04-10,15.25,14.99,15.25,15.07,6470.0,15.006,-0.4624
