date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,43.52,42.77,43.69,43.14,167105.0,43.804,-0.8732
2015-01-05,42.91,42.26,43.1,42.46,85819.0,43.432,-1.5763
2015-01-06,42.42,42.07,42.65,42.38,110489.0,43.114,-0.1884
2015-01-07,42.61,42.29,43.13,43.07,82912.0,42.914,1.6281
2015-01-08,42.57,42.53,43.323,43.19,179133.0,42.848,0.2786
2015-01-09,43.19,42.3,43.37,42.37,127861.0,42.694,-1.8986
2015-01-12,42.38,41.89,42.5,41.98,109637.0,42.598,-0.9205
2015-01-13,41.99,41.99,42.95,42.33,138659.0,42.588,0.8337
2015-01-14,42.04,41.47,42.16,41.77,100583.0,42.328,-1.3229
2015-01-15,41.83,41.24,41.91,41.6,105531.0,42.01,-0.407
2015-01-16,41.47,41.44,42.44,42.4,98892.0,42.016,1.9231
2015-01-20,42.42,41.63,42.66,42.01,170718.0,42.022,-0.9198
2015-01-21,41.88,41.7,42.46,41.9,76194.0,41.936,-0.2618
2015-01-22,42.18,41.62,42.93,42.93,82387.0,42.168,2.4582
2015-01-23,42.9,42.46,43.07,42.7,73161.0,42.388,-0.5358
2015-01-26,42.62,42.11,42.95,42.95,141075.0,42.498,0.5855
2015-01-27,42.68,41.95,42.68,42.44,70614.0,42.584,-1.1874
2015-01-28,43.52,42.55,43.77,42.63,111594.0,42.73,0.4477
2015-01-29,42.8,41.76,42.8,42.75,113399.0,42.694,0.2815
2015-01-30,42.37,41.27,42.74,41.4,312402.0,42.434,-3.1579
2015-02-02,41.6,40.8,41.91,41.83,105422.0,42.21,1.0386
2015-02-03,41.91,41.9,42.82,42.75,98381.0,42.272,2.1994
2015-02-04,42.67,41.76,42.89,42.07,122799.0,42.16,-1.5906
2015-02-05,42.31,41.69,42.31,41.8,142818.0,41.97,-0.6418
2015-02-06,41.83,41.81,42.38,41.92,120118.0,42.074,0.2871
2015-02-09,41.88,41.74,42.21,41.94,54911.0,42.096,0.0477
2015-02-10,42.04,41.7,42.19,42.12,41477.0,41.97,0.4292
2015-02-11,42.1,42.1,42.73,42.66,74427.0,42.088,1.2821
2015-02-12,42.93,42.9,43.94,43.81,103378.0,42.49,2.6957
2015-02-13,43.66,43.66,44.48,44.47,67701.0,43.0,1.5065
2015-02-17,44.46,43.97,44.46,44.25,65130.0,43.462,-0.4947
2015-02-18,44.2,44.2,44.85,44.8,84173.0,43.998,1.2429
2015-02-19,45.0,44.58,45.82,45.52,141110.0,44.57,1.6071
2015-02-20,45.42,45.11,45.95,45.94,82003.0,44.996,0.9227
2015-02-23,45.9,45.18,45.9,45.51,55112.0,45.204,-0.936
2015-02-24,45.48,44.91,45.48,45.41,81262.0,45.436,-0.2197
2015-02-25,45.36,44.87,45.36,45.02,42629.0,45.48,-0.8588
2015-02-26,44.93,44.65,45.2,45.12,69205.0,45.4,0.2221
2015-02-27,44.93,44.84,45.4,45.02,119794.0,45.216,-0.2216
2015-03-02,45.0,44.97,45.84,45.8,46982.0,45.274,1.7326
2015-03-03,45.63,44.96,45.72,45.32,68807.0,45.256,-1.048
2015-03-04,45.12,44.92,45.42,45.1,37657.0,45.272,-0.4854
2015-03-05,45.08,44.65,45.16,44.9,63303.0,45.228,-0.4435
2015-03-06,44.74,43.93,44.74,44.13,86905.0,45.05,-1.7149
2015-03-09,44.11,44.05,44.64,44.49,48624.0,44.788,0.8158
2015-03-10,44.09,43.6,44.12,43.79,48041.0,44.482,-1.5734
2015-03-11,43.97,43.57,44.18,44.16,118700.0,44.294,0.8449
2015-03-12,44.22,44.05,44.69,44.62,77659.0,44.238,1.0417
2015-03-13,44.45,43.37,44.45,43.85,96452.0,44.182,-1.7257
2015-03-16,44.03,44.03,44.57,44.15,83609.0,44.114,0.6842
2015-03-17,43.99,43.8,44.02,43.83,228206.0,44.122,-0.7248
2015-03-18,43.83,43.74,44.14,43.92,149892.0,44.074,0.2053
