date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,72.45,71.06,72.5,71.62,117025.0,72.668,-0.2785
2015-01-05,71.04,69.53,71.09,69.69,201421.0,71.85,-2.6948
2015-01-06,69.69,68.26,69.91,68.29,225839.0,70.842,-2.0089
2015-01-07,68.55,67.89,68.84,68.47,195294.0,69.978,0.2636
2015-01-08,69.23,69.15,70.55,70.04,206135.0,69.622,2.293
2015-01-09,70.09,69.52,70.28,69.94,115997.0,69.286,-0.1428
2015-01-12,69.85,68.67,69.85,68.88,87578.0,69.124,-1.5156
2015-01-13,69.36,67.82,69.91,68.43,129822.0,69.152,-0.6533
2015-01-14,67.95,67.38,68.47,68.42,162234.0,69.142,-0.0146
2015-01-15,68.91,67.25,68.98,67.31,173737.0,68.596,-1.6223
2015-01-16,67.07,66.6,67.71,67.64,158106.0,68.136,0.4903
2015-01-20,67.82,67.16,67.91,67.63,126818.0,67.886,-0.0148
2015-01-21,67.6,67.38,68.42,68.22,137905.0,67.844,0.8724
2015-01-22,68.54,68.12,69.32,69.09,170649.0,67.978,1.2753
2015-01-23,69.26,69.26,69.98,69.7,177788.0,68.456,0.8829
2015-01-26,69.56,68.97,69.85,69.79,132845.0,68.886,0.1291
2015-01-27,68.95,68.9,69.75,69.38,197618.0,69.236,-0.5875
2015-01-28,70.09,68.19,70.28,68.25,172639.0,69.242,-1.6287
2015-01-29,68.11,67.07,68.11,67.95,216463.0,69.014,-0.4396
2015-01-30,67.45,66.97,68.09,67.13,434578.0,68.5,-1.2068
2015-02-02,67.54,66.22,68.1,68.06,178028.0,68.154,1.3854
2015-02-03,68.19,68.19,69.2,69.17,154552.0,68.112,1.6309
2015-02-04,68.8,68.49,69.52,68.68,212539.0,68.198,-0.7084
2015-02-05,69.07,68.87,69.65,69.49,141442.0,68.506,1.1794
2015-02-06,77.1,74.06,78.3,76.18,1251821.0,70.316,9.6273
2015-02-09,76.05,75.56,77.47,75.64,592913.0,71.832,-0.7088
2015-02-10,76.06,74.6,76.34,76.06,269606.0,73.21,0.5553
2015-02-11,76.04,75.61,76.74,76.58,251498.0,74.79,0.6837
2015-02-12,76.7,76.7,77.98,77.31,240821.0,76.354,0.9533
2015-02-13,77.4,76.9,77.98,77.73,200701.0,76.664,0.5433
2015-02-17,77.74,77.18,78.2,78.12,286472.0,77.16,0.5017
2015-02-18,78.01,77.88,78.79,78.46,188112.0,77.64,0.4352
2015-02-19,78.23,78.03,78.89,78.72,148098.0,78.068,0.3314
2015-02-20,78.68,77.72,78.68,78.34,271916.0,78.274,-0.4827
2015-02-23,78.24,77.21,78.24,78.05,209995.0,78.338,-0.3702
2015-02-24,77.88,77.72,78.71,78.55,144869.0,78.424,0.6406
2015-02-25,78.25,77.73,78.8,78.19,119662.0,78.37,-0.4583
2015-02-26,78.05,77.595,78.07,77.74,143919.0,78.174,-0.5755
2015-02-27,77.79,77.3,78.05,77.68,168030.0,78.042,-0.0772
2015-03-02,77.71,77.5,78.79,78.77,164895.0,78.186,1.4032
2015-03-03,78.49,77.29,78.51,77.44,214874.0,77.964,-1.6885
2015-03-04,77.23,76.22,77.26,76.74,147768.0,77.674,-0.9039
2015-03-05,77.03,76.25,77.03,76.44,107338.0,77.414,-0.3909
2015-03-06,75.87,75.03,76.28,75.2,172217.0,76.918,-1.6222
2015-03-09,75.37,74.86,75.55,75.08,177731.0,76.18,-0.1596
2015-03-10,74.24,72.84,74.29,72.87,291102.0,75.266,-2.9435
2015-03-11,73.11,72.2,73.11,72.5,261110.0,74.418,-0.5078
2015-03-12,72.46,72.02,72.91,72.5,230151.0,73.63,0.0
2015-03-13,72.25,71.51,72.35,71.89,344635.0,72.968,-0.8414
2015-03-16,72.26,72.21,72.74,72.73,200567.0,72.498,1.1685
2015-03-17,72.24,72.05,72.43,72.1,155846.0,72.344,-0.8662
2015-03-18,71.97,71.15,72.55,72.33,461419.0,72.31,0.319
2015-03-19,72.42,71.86,72.76,72.18,257203.0,72.246,-0.2074
2015-03-20,72.18,71.66,73.12,72.75,654039.0,72.418,0.7897
