date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-07-23,18.6,18.6,18.6,18.6,230.0,,
2015-07-24,17.84,17.84,17.84,17.84,20.0,,-4.086
2015-07-27,20.95,20.1,21.1,21.1,1750.0,,18.2735
2015-07-28,23.1,21.0,23.1,21.0,1270.0,,-0.4739
2015-07-29,20.95,20.95,20.95,20.95,940.0,19.898,-0.2381
2015-07-31,19.7,19.7,19.7,19.7,1340.0,20.118,-5.9666
2015-08-03,22.01,20.8,24.29,23.45,91531.0,21.24,19.0355
2015-08-04,24.25,19.24,25.0,21.15,375727.0,21.25,-9.8081
2015-08-05,21.0,20.13,21.34,20.56,164214.0,21.162,-2.7896
2015-08-06,20.5,17.4,20.645,18.6,104633.0,20.692,-9.5331
2015-08-07,18.34,17.67,19.5,19.3,123604.0,20.612,3.7634
2015-08-10,19.43,18.83,19.55,19.01,47694.0,19.724,-1.5026
2015-08-11,18.79,18.79,19.915,19.56,152982.0,19.406,2.8932
2015-08-12,19.47,18.69,19.5,19.37,124963.0,19.168,-0.9714
2015-08-13,19.8,19.41,20.77,20.6,99013.0,19.568,6.35
2015-08-14,19.95,19.23,20.89,20.33,90754.0,19.774,-1.3107
2015-08-17,19.93,19.93,21.68,21.07,101235.0,20.186,3.6399
2015-08-18,21.28,21.1,21.58,21.44,80196.0,20.562,1.7561
2015-08-19,21.08,20.82,21.81,21.39,56726.0,20.966,-0.2332
2015-08-20,21.14,20.48,21.84,21.2,50924.0,21.086,-0.8883
2015-08-21,20.95,20.61,21.36,21.25,48456.0,21.27,0.2358
2015-08-24,19.99,19.75,21.34,21.01,64177.0,21.258,-1.1294
2015-08-25,21.01,19.77,21.32,20.4,93021.0,21.05,-2.9034
2015-08-26,20.0,20.0,20.94,20.41,79749.0,20.854,0.049
2015-08-27,20.26,20.26,20.84,20.4,99772.0,20.694,-0.049
2015-08-28,20.2,18.82,20.2,19.92,75987.0,20.428,-2.3529
2015-08-31,19.52,19.46,19.95,19.74,64752.0,20.174,-0.9036
2015-09-01,19.22,18.9,19.56,19.08,97933.0,19.91,-3.3435
2015-09-02,18.98,18.13,20.12,18.71,121233.0,19.57,-1.9392
2015-09-03,18.49,18.49,19.42,19.31,93764.0,19.352,3.2068
2015-09-04,19.07,18.66,19.39,19.07,118207.0,19.182,-1.2429
2015-09-08,18.96,17.22,19.48,17.77,146724.0,18.788,-6.817
2015-09-09,17.5,17.43,18.99,18.79,157972.0,18.73,5.74
2015-09-10,18.53,18.17,18.78,18.35,68372.0,18.658,-2.3417
2015-09-11,17.9,17.66,18.59,17.71,89617.0,18.338,-3.4877
2015-09-14,17.72,17.36,17.78,17.57,89796.0,18.038,-0.7905
2015-09-15,17.66,17.33,17.83,17.38,79018.0,17.96,-1.0814
2015-09-16,17.32,16.95,17.51,16.97,74121.0,17.596,-2.359
2015-09-17,16.97,16.97,17.49,17.25,95734.0,17.376,1.65
2015-09-18,17.14,16.95,17.15,17.08,145930.0,17.25,-0.9855
2015-09-21,17.08,16.97,17.16,17.05,134667.0,17.146,-0.1756
2015-09-22,16.89,16.77,16.975,16.81,48110.0,17.032,-1.4076
2015-09-23,16.77,16.67,16.93,16.78,89719.0,16.994,-0.1785
2015-09-24,16.95,16.78,17.0,16.94,88506.0,16.932,0.9535
2015-09-25,16.89,16.76,17.0,16.98,130986.0,16.912,0.2361
2015-09-28,16.87,16.66,17.0,16.92,91431.0,16.886,-0.3534
2015-09-29,16.83,16.66,16.97,16.84,45093.0,16.892,-0.4728
2015-09-30,16.82,16.76,17.0,16.95,172551.0,16.926,0.6532
2015-10-01,16.88,16.54,16.96,16.54,76499.0,16.846,-2.4189
2015-10-02,16.48,15.59,16.48,15.76,86927.0,16.602,-4.7158
2015-10-05,15.68,15.49,15.9,15.59,42002.0,16.336,-1.0787
2015-10-06,15.51,15.28,15.54,15.28,110632.0,16.024,-1.9885
2015-10-07,15.4,15.16,15.54,15.23,119484.0,15.68,-0.3272
2015-10-08,15.36,15.1,15.8,15.18,78405.0,15.408,-0.3283
2015-10-09,14.91,14.89,15.21,15.14,94994.0,15.284,-0.2635
2015-10-12,15.16,14.72,15.19,14.75,32480.0,15.116,-2.576
2015-10-13,14.65,14.65,14.92,14.69,40127.0,14.998,-0.4068
2015-10-14,14.76,14.4,14.82,14.45,53873.0,14.842,-1.6338
2015-10-15,14.44,14.41,14.77,14.75,38444.0,14.756,2.0761
2015-10-16,14.78,14.4,14.8,14.47,30601.0,14.622,-1.8983
2015-10-19,14.41,13.97,14.41,14.12,105674.0,14.496,-2.4188
2015-10-20,14.17,14.03,14.6,14.28,66346.0,14.414,1.1331
2015-10-21,14.21,14.17,14.69,14.5,79634.0,14.424,1.5406
2015-10-22,14.7,14.41,15.01,14.6,70216.0,14.394,0.6897
2015-10-23,14.66,14.66,14.96,14.87,71265.0,14.474,1.8493
