date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,14.02,13.43,14.25,13.48,29021.0,13.638,-2.9518
2015-01-05,13.47,12.3,13.53,12.36,60577.0,13.394,-8.3086
2015-01-06,12.17,11.5,12.45,11.51,87911.0,12.974,-6.877
2015-01-07,12.17,11.41,12.4,11.5,49078.0,12.548,-0.0869
2015-01-08,11.53,11.47,11.97,11.81,23364.0,12.132,2.6957
2015-01-09,11.91,11.89,12.24,12.23,45371.0,11.882,3.5563
2015-01-12,12.22,11.66,12.39,12.38,27218.0,11.886,1.2265
2015-01-13,12.38,11.95,12.49,12.11,39190.0,12.006,-2.1809
2015-01-14,12.01,11.26,12.04,11.52,42432.0,12.01,-4.872
2015-01-15,11.67,11.38,11.75,11.39,28808.0,11.926,-1.1285
2015-01-16,11.32,11.29,12.33,12.21,26287.0,11.922,7.1993
2015-01-20,12.07,11.52,12.07,11.6,28956.0,11.766,-4.9959
2015-01-21,11.59,11.44,12.11,12.08,27206.0,11.76,4.1379
2015-01-22,12.25,11.72,12.29,11.99,24278.0,11.854,-0.745
2015-01-23,12.2,11.99,12.27,12.08,27766.0,11.992,0.7506
2015-01-26,12.06,11.73,12.15,11.8,28388.0,11.91,-2.3179
2015-01-27,11.58,11.53,11.96,11.83,17454.0,11.956,0.2542
2015-01-28,11.84,10.68,11.84,10.72,34501.0,11.684,-9.3829
2015-01-29,10.73,10.33,10.74,10.42,57869.0,11.37,-2.7985
2015-01-30,10.35,10.15,11.41,11.27,52663.0,11.208,8.1574
2015-02-02,11.43,11.17,11.64,11.48,36227.0,11.144,1.8634
2015-02-03,11.73,11.73,12.6,12.3,27891.0,11.238,7.1429
2015-02-04,12.26,11.53,12.26,11.91,50032.0,11.476,-3.1707
2015-02-05,12.21,11.98,12.79,12.45,54093.0,11.882,4.534
2015-02-06,12.14,11.64,12.24,11.76,60989.0,11.98,-5.5422
2015-02-09,11.76,11.14,11.82,11.27,32782.0,11.938,-4.1667
2015-02-10,11.33,11.2,11.82,11.78,47925.0,11.834,4.5253
2015-02-11,11.67,11.48,12.25,12.04,30065.0,11.86,2.2071
2015-02-12,12.24,12.24,13.08,12.56,49994.0,11.882,4.3189
2015-02-13,12.72,12.53,12.84,12.67,28982.0,12.064,0.8758
2015-02-17,12.7,12.47,12.77,12.63,22351.0,12.336,-0.3157
2015-02-18,12.64,12.45,12.73,12.7,19255.0,12.52,0.5542
2015-02-19,12.88,12.52,12.93,12.84,28401.0,12.68,1.1024
2015-02-20,12.84,12.25,12.84,12.33,22176.0,12.634,-3.972
2015-02-23,12.3,12.18,12.63,12.5,21399.0,12.6,1.3788
2015-02-24,12.67,12.59,13.13,13.0,33491.0,12.674,4.0
2015-02-25,13.12,12.38,13.12,12.62,18957.0,12.658,-2.9231
2015-02-26,12.75,12.4,12.75,12.44,41123.0,12.578,-1.4263
2015-02-27,12.36,12.17,12.47,12.28,32571.0,12.568,-1.2862
2015-03-02,12.17,11.4,12.17,11.83,35219.0,12.434,-3.6645
2015-03-03,11.8,11.76,12.31,11.85,39313.0,12.204,0.1691
2015-03-04,12.05,11.66,12.12,12.11,28981.0,12.102,2.1941
2015-03-05,12.06,11.95,12.23,12.05,12302.0,12.024,-0.4955
2015-03-06,12.0,11.93,12.25,12.04,20971.0,11.976,-0.083
2015-03-09,12.09,11.6,12.16,11.68,28626.0,11.946,-2.99
2015-03-10,11.55,11.49,11.88,11.83,22327.0,11.942,1.2842
2015-03-11,11.88,11.72,12.04,11.87,26880.0,11.894,0.3381
2015-03-12,11.98,11.95,12.24,12.22,25051.0,11.928,2.9486
2015-03-13,12.13,11.87,12.26,11.97,13788.0,11.914,-2.0458
2015-03-16,12.01,11.65,12.01,11.75,31649.0,11.928,-1.8379
2015-03-17,11.61,11.53,11.82,11.73,35526.0,11.908,-0.1702
2015-03-18,11.67,11.64,12.07,12.0,22438.0,11.934,2.3018
2015-03-19,11.86,11.74,12.07,11.76,11110.0,11.842,-2.0
2015-03-20,11.86,11.82,12.07,11.86,26785.0,11.82,0.8503
2015-03-23,11.81,11.81,12.22,12.08,23835.0,11.886,1.855
2015-03-24,12.09,12.04,12.21,12.06,8551.0,11.952,-0.1656
2015-03-25,12.2,12.2,12.93,12.65,39705.0,12.082,4.8922
2015-03-26,12.76,12.4,13.29,12.51,34275.0,12.232,-1.1067
2015-03-27,12.46,12.25,13.14,12.89,17431.0,12.438,3.0376
2015-03-30,13.02,12.43,13.02,12.93,14312.0,12.608,0.3103
2015-03-31,12.8,12.51,13.15,13.03,23466.0,12.802,0.7734
2015-04-01,13.11,12.85,13.11,13.07,22492.0,12.886,0.307
2015-04-02,13.03,13.03,13.71,13.48,18038.0,13.08,3.137
2015-04-06,13.55,13.45,13.8,13.55,13105.0,13.212,0.5193
2015-04-07,13.51,13.35,13.89,13.41,16635.0,13.308,-1.0332
2015-04-08,13.5,13.13,13.6,13.26,27126.0,13.354,-1.1186
2015-04-09,13.3,13.3,13.78,13.7,14119.0,13.48,3.3183
2015-04-10,13.86,13.4,13.94,13.43,9128.0,13.47,-1.9708
2015-04-13,13.7,13.37,13.7,13.42,10238.0,13.444,-0.0745
2015-04-14,13.47,13.47,13.9,13.79,8484.0,13.52,2.7571
2015-04-15,14.0,13.83,14.488,14.12,47901.0,13.692,2.393
2015-04-16,13.99,13.81,14.06,13.95,9982.0,13.742,-1.204
2015-04-17,13.75,13.55,13.985,13.66,12962.0,13.788,-2.0789
2015-04-20,13.71,13.27,13.84,13.54,15939.0,13.812,-0.8785
2015-04-21,13.62,13.39,13.93,13.82,7332.0,13.818,2.0679
2015-04-22,13.87,13.55,13.99,13.67,10390.0,13.728,-1.0854
2015-04-23,13.67,13.65,13.95,13.74,13981.0,13.686,0.5121
2015-04-24,14.05,13.98,14.3,13.99,29502.0,13.752,1.8195
2015-04-27,14.07,13.83,14.08,13.93,18307.0,13.83,-0.4289
2015-04-28,13.9,13.82,14.1,13.91,13565.0,13.848,-0.1436
2015-04-29,13.84,13.43,13.94,13.43,17784.0,13.8,-3.4508
2015-04-30,13.44,13.06,13.84,13.26,47043.0,13.704,-1.2658
2015-05-01,13.39,13.22,13.57,13.29,17857.0,13.564,0.2262
2015-05-04,13.52,13.52,13.94,13.6,21596.0,13.498,2.3326
2015-05-05,13.78,13.4,14.18,13.61,31337.0,13.438,0.0735
2015-05-06,13.7,13.3,14.15,13.53,19861.0,13.458,-0.5878
2015-05-07,13.59,13.3,13.72,13.68,24951.0,13.542,1.1086
2015-05-08,13.75,13.4,13.85,13.6,34035.0,13.604,-0.5848
2015-05-11,13.8,13.63,13.88,13.76,23014.0,13.636,1.1765
2015-05-12,13.7,13.27,14.1,13.71,14570.0,13.656,-0.3634
2015-05-13,13.76,13.27,13.84,13.29,20054.0,13.608,-3.0635
2015-05-14,13.42,13.27,13.65,13.52,11107.0,13.576,1.7306
2015-05-15,13.46,13.31,13.84,13.57,11317.0,13.57,0.3698
2015-05-18,13.57,13.57,14.33,14.31,31635.0,13.68,5.4532
2015-05-19,14.16,13.87,14.3,14.25,20940.0,13.788,-0.4193
2015-05-20,14.37,13.86,14.37,14.09,20934.0,13.948,-1.1228
2015-05-21,14.13,14.05,14.34,14.26,14345.0,14.096,1.2065
2015-05-22,14.26,14.26,14.94,14.52,19643.0,14.286,1.8233
2015-05-26,14.45,14.13,14.55,14.31,19670.0,14.286,-1.4463
2015-05-27,14.23,13.97,14.43,14.21,23123.0,14.278,-0.6988
2015-05-28,14.15,13.79,14.35,14.27,16668.0,14.314,0.4222
2015-05-29,14.23,13.77,14.28,13.85,50738.0,14.232,-2.9432
2015-06-01,13.87,13.65,14.42,14.23,28168.0,14.174,2.7437
2015-06-02,14.45,14.35,14.79,14.67,43568.0,14.246,3.0921
2015-06-03,14.67,14.09,14.73,14.4,34099.0,14.284,-1.8405
2015-06-04,14.26,13.51,14.61,14.29,82217.0,14.288,-0.7639
2015-06-05,14.19,14.19,14.56,14.38,31425.0,14.394,0.6298
2015-06-08,14.31,13.41,14.45,13.71,42666.0,14.29,-4.6592
2015-06-09,13.71,13.28,13.71,13.33,65816.0,14.022,-2.7717
2015-06-10,13.37,13.37,13.82,13.72,32781.0,13.886,2.9257
2015-06-11,13.77,13.57,13.83,13.8,17931.0,13.788,0.5831
2015-06-12,13.7,13.66,14.2,14.14,14273.0,13.74,2.4638
2015-06-15,14.19,13.94,14.78,14.7,59262.0,13.938,3.9604
2015-06-16,15.0,14.68,15.67,15.17,89563.0,14.306,3.1973
2015-06-17,15.42,15.18,15.69,15.35,58293.0,14.632,1.1866
2015-06-18,15.36,15.19,15.99,15.43,59584.0,14.958,0.5212
2015-06-19,15.39,15.0,15.47,15.02,48862.0,15.134,-2.6572
2015-06-22,15.01,15.01,15.42,15.37,42861.0,15.268,2.3302
2015-06-23,15.29,15.29,15.63,15.52,36973.0,15.338,0.9759
2015-06-24,15.46,15.01,15.69,15.09,39824.0,15.286,-2.7706
2015-06-25,15.1,14.97,15.37,15.32,62073.0,15.264,1.5242
2015-06-26,15.35,15.24,16.0,15.34,1162755.0,15.328,0.1305
2015-06-29,15.3,15.3,16.25,15.75,104122.0,15.404,2.6728
2015-06-30,15.92,15.85,16.8,16.68,77627.0,15.636,5.9048
2015-07-01,16.73,16.63,17.56,16.84,83296.0,15.986,0.9592
2015-07-02,16.87,16.54,17.0,16.54,44114.0,16.23,-1.7815
2015-07-06,16.58,16.15,16.69,16.4,45225.0,16.442,-0.8464
2015-07-07,16.23,15.41,16.23,15.69,63966.0,16.43,-4.3293
2015-07-08,15.54,15.13,15.81,15.5,29135.0,16.194,-1.211
2015-07-09,15.67,15.48,16.31,15.74,47529.0,15.974,1.5484
2015-07-10,15.86,15.86,16.38,16.22,48786.0,15.91,3.0496
2015-07-13,16.51,16.47,17.15,16.89,65883.0,16.008,4.1307
2015-07-14,16.84,16.84,17.38,16.95,49827.0,16.26,0.3552
2015-07-15,16.99,16.24,16.99,16.48,50939.0,16.456,-2.7729
2015-07-16,16.43,16.34,16.82,16.81,33870.0,16.67,2.0024
2015-07-17,16.93,16.28,16.93,16.39,70345.0,16.704,-2.4985
2015-07-20,16.66,16.34,16.92,16.58,53933.0,16.642,1.1592
2015-07-21,16.57,16.34,16.96,16.49,36291.0,16.55,-0.5428
2015-07-22,16.39,16.08,16.59,16.16,38525.0,16.486,-2.0012
2015-07-23,16.15,16.07,16.42,16.18,42257.0,16.36,0.1238
2015-07-24,16.09,15.27,16.32,15.52,63987.0,16.186,-4.0791
2015-07-27,15.26,15.14,15.62,15.44,48222.0,15.958,-0.5155
2015-07-28,15.42,15.13,16.12,15.46,45249.0,15.752,0.1295
2015-07-29,15.34,15.21,15.76,15.48,56197.0,15.616,0.1294
2015-07-30,15.39,15.0,15.76,15.22,51230.0,15.424,-1.6796
2015-07-31,15.2,15.07,15.77,15.73,93654.0,15.466,3.3509
2015-08-03,15.61,15.0,15.77,15.31,45009.0,15.44,-2.6701
2015-08-04,15.26,15.02,15.56,15.28,35222.0,15.404,-0.196
2015-08-05,15.3,13.55,16.44,14.1,109107.0,15.128,-7.7225
2015-08-06,14.16,14.03,14.8,14.48,86238.0,14.98,2.695
2015-08-07,14.48,13.81,14.93,13.86,59350.0,14.606,-4.2818
2015-08-10,13.92,13.78,14.4,14.32,58305.0,14.408,3.3189
2015-08-11,14.11,13.3,14.14,13.77,107256.0,14.106,-3.8408
2015-08-12,13.58,13.31,13.99,13.94,42681.0,14.074,1.2346
2015-08-13,13.83,13.51,13.95,13.6,34556.0,13.898,-2.439
2015-08-14,13.53,13.39,13.71,13.46,31195.0,13.818,-1.0294
2015-08-17,13.29,13.27,13.49,13.28,224451.0,13.61,-1.3373
2015-08-18,13.38,13.15,13.5,13.2,142638.0,13.496,-0.6024
2015-08-19,13.1,12.8,13.21,12.82,131034.0,13.272,-2.8788
2015-08-20,12.77,12.26,12.77,12.26,90817.0,13.004,-4.3682
2015-08-21,11.97,11.97,12.43,12.17,138698.0,12.746,-0.7341
2015-08-24,11.5,11.5,12.28,11.9,69481.0,12.47,-2.2186
2015-08-25,12.15,11.95,12.36,12.06,102156.0,12.242,1.3445
2015-08-26,12.37,11.66,12.37,12.07,52170.0,12.092,0.0829
2015-08-27,12.19,12.1,12.49,12.43,31374.0,12.126,2.9826
2015-08-28,12.55,12.55,13.28,12.77,51619.0,12.246,2.7353
2015-08-31,12.66,12.52,13.29,13.18,55751.0,12.502,3.2106
2015-09-01,13.09,12.58,13.09,12.79,49503.0,12.648,-2.959
2015-09-02,12.9,12.32,12.9,12.8,67814.0,12.794,0.0782
2015-09-03,12.78,12.05,13.12,12.45,65324.0,12.798,-2.7344
2015-09-04,12.49,12.37,12.58,12.52,38206.0,12.748,0.5622
2015-09-08,12.63,12.5,12.8,12.79,74802.0,12.67,2.1565
2015-09-09,12.88,12.46,12.97,12.48,36135.0,12.608,-2.4238
2015-09-10,12.75,12.3,12.75,12.34,83164.0,12.516,-1.1218
2015-09-11,12.34,11.8,12.37,11.85,71162.0,12.396,-3.9708
2015-09-14,11.76,11.5,11.81,11.59,35267.0,12.21,-2.1941
2015-09-15,11.6,11.6,12.07,11.68,38991.0,11.988,0.7765
2015-09-16,11.7,11.7,12.2,12.11,43772.0,11.914,3.6815
2015-09-17,12.04,11.97,12.24,12.1,35384.0,11.866,-0.0826
2015-09-18,12.12,11.7,12.12,11.85,86197.0,11.866,-2.0661
2015-09-21,11.9,11.87,12.16,12.0,24998.0,11.948,1.2658
2015-09-22,11.8,11.58,11.93,11.77,42655.0,11.966,-1.9167
2015-09-23,11.66,11.27,11.88,11.38,65987.0,11.82,-3.3135
2015-09-24,11.18,11.05,11.38,11.26,100819.0,11.652,-1.0545
2015-09-25,11.34,10.88,11.49,11.04,53009.0,11.49,-1.9538
2015-09-28,10.94,10.39,10.99,10.46,59667.0,11.182,-5.2536
2015-09-29,10.46,9.95,10.61,9.99,69518.0,10.826,-4.4933
2015-09-30,10.13,10.06,10.43,10.31,138576.0,10.612,3.2032
2015-10-01,10.43,10.43,10.97,10.55,81615.0,10.47,2.3278
2015-10-02,10.53,10.51,11.04,10.97,85910.0,10.456,3.981
2015-10-05,11.11,11.11,11.42,11.3,80111.0,10.624,3.0082
2015-10-06,11.5,11.5,12.08,11.92,86195.0,11.01,5.4867
2015-10-07,12.15,11.7,12.32,11.87,81848.0,11.322,-0.4195
2015-10-08,11.87,11.62,12.13,11.86,42087.0,11.584,-0.0842
2015-10-09,11.9,11.65,12.05,11.94,91879.0,11.778,0.6745
2015-10-12,11.97,11.51,11.97,11.7,34253.0,11.858,-2.0101
2015-10-13,11.58,11.36,11.9,11.38,44000.0,11.75,-2.735
2015-10-14,11.37,11.37,11.66,11.44,33154.0,11.664,0.5272
2015-10-15,11.42,11.11,11.66,11.59,39811.0,11.61,1.3112
2015-10-16,11.7,11.11,11.77,11.2,89734.0,11.462,-3.365
2015-10-19,11.11,10.88,11.24,11.06,48817.0,11.334,-1.25
2015-10-20,11.02,11.02,11.41,11.22,50014.0,11.302,1.4467
2015-10-21,11.24,10.97,11.35,11.15,43896.0,11.244,-0.6239
2015-10-22,11.25,11.14,11.55,11.31,43464.0,11.188,1.435
2015-10-23,11.32,10.95,11.37,11.25,72406.0,11.198,-0.5305
2015-10-26,11.22,10.91,11.28,10.97,65751.0,11.18,-2.4889
2015-10-27,10.95,10.6,10.95,10.69,59930.0,11.074,-2.5524
2015-10-28,10.74,10.74,11.57,11.56,88477.0,11.156,8.1384
2015-10-29,11.48,11.35,11.77,11.45,30884.0,11.184,-0.9516
2015-10-30,11.99,11.65,12.27,11.78,176957.0,11.29,2.8821
2015-11-02,11.85,11.79,12.29,12.25,115280.0,11.546,3.9898
2015-11-03,12.23,12.23,12.95,12.9,109812.0,11.988,5.3061
2015-11-04,13.01,12.75,13.13,13.07,101303.0,12.29,1.3178
2015-11-05,13.07,12.77,13.07,12.91,53332.0,12.582,-1.2242
2015-11-06,12.84,12.73,13.12,13.0,33290.0,12.826,0.6971
2015-11-09,13.02,12.48,13.13,12.79,88331.0,12.934,-1.6154
2015-11-10,12.77,12.52,12.84,12.73,22803.0,12.9,-0.4691
2015-11-11,12.77,12.43,12.77,12.46,27982.0,12.778,-2.121
2015-11-12,12.34,12.09,12.53,12.26,36269.0,12.648,-1.6051
2015-11-13,12.2,12.18,12.77,12.66,72835.0,12.58,3.2626
