date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,16.7,16.38,16.99,16.54,402760.0,16.706,-0.1208
2015-01-05,16.47,16.19,16.51,16.19,403953.0,16.59,-2.1161
2015-01-06,16.28,15.59,16.34,15.6,502408.0,16.328,-3.6442
2015-01-07,15.7,15.6,15.93,15.69,334063.0,16.116,0.5769
2015-01-08,15.81,15.78,16.45,16.44,315146.0,16.092,4.7801
2015-01-09,16.48,16.24,16.73,16.5,340073.0,16.084,0.365
2015-01-12,16.45,16.24,16.53,16.45,269567.0,16.136,-0.303
2015-01-13,16.69,15.95,16.92,16.08,444890.0,16.232,-2.2492
2015-01-14,15.88,15.67,16.27,16.16,519969.0,16.326,0.4975
2015-01-15,16.25,15.4,16.4,15.55,481752.0,16.148,-3.7748
2015-01-16,15.5,15.37,16.12,15.75,615447.0,15.998,1.2862
2015-01-20,15.7,15.22,15.85,15.74,363762.0,15.856,-0.0635
2015-01-21,15.59,15.41,15.8,15.46,423120.0,15.732,-1.7789
2015-01-22,15.54,15.33,16.02,16.02,389566.0,15.704,3.6223
2015-01-23,16.01,15.43,16.15,15.51,317132.0,15.696,-3.1835
2015-01-26,15.57,15.5,16.03,16.0,371898.0,15.746,3.1593
2015-01-27,15.75,15.52,15.94,15.74,255029.0,15.746,-1.625
2015-01-28,15.85,15.59,16.23,16.13,607720.0,15.88,2.4778
2015-01-29,16.14,15.99,16.58,16.52,538436.0,15.98,2.4179
2015-01-30,16.45,16.14,16.58,16.37,619926.0,16.152,-0.908
2015-02-02,16.34,16.19,16.69,16.54,684250.0,16.26,1.0385
2015-02-03,16.59,16.5,16.95,16.87,435395.0,16.486,1.9952
2015-02-04,16.82,16.71,17.23,17.02,416019.0,16.664,0.8892
2015-02-05,17.0,16.63,17.1,17.04,524546.0,16.768,0.1175
2015-02-06,16.99,16.6,17.05,16.69,652936.0,16.832,-2.054
2015-02-09,16.66,16.47,16.92,16.49,336304.0,16.822,-1.1983
2015-02-10,16.49,16.08,16.54,16.4,770317.0,16.728,-0.5458
2015-02-11,15.94,15.31,16.07,16.0,1302838.0,16.524,-2.439
2015-02-12,16.0,16.0,17.09,17.02,823159.0,16.52,6.375
2015-02-13,17.0,16.71,17.55,17.44,590327.0,16.67,2.4677
2015-02-17,17.4,17.24,17.59,17.41,610622.0,16.854,-0.172
2015-02-18,17.23,17.16,17.63,17.61,643050.0,17.096,1.1488
2015-02-19,17.51,17.18,17.63,17.27,615085.0,17.35,-1.9307
2015-02-20,17.23,16.97,17.46,17.4,514669.0,17.426,0.7528
2015-02-23,17.4,17.12,17.43,17.27,332797.0,17.392,-0.7471
2015-02-24,17.24,17.24,17.76,17.62,479722.0,17.434,2.0266
2015-02-25,17.59,17.16,17.65,17.5,367515.0,17.412,-0.681
2015-02-26,17.51,17.0,17.59,17.04,323067.0,17.366,-2.6286
2015-02-27,16.99,16.74,17.48,16.83,632973.0,17.252,-1.2324
2015-03-02,16.77,16.74,16.98,16.95,333091.0,17.188,0.713
2015-03-03,16.94,16.45,17.04,16.61,422216.0,16.986,-2.0059
2015-03-04,16.45,16.23,16.7,16.68,535361.0,16.822,0.4214
2015-03-05,16.72,16.39,16.78,16.49,293705.0,16.712,-1.1391
2015-03-06,16.33,16.05,16.5,16.42,402347.0,16.63,-0.4245
2015-03-09,16.49,16.19,16.56,16.38,353739.0,16.516,-0.2436
2015-03-10,16.21,15.935,16.3,15.94,412388.0,16.382,-2.6862
2015-03-11,15.96,15.66,16.26,16.23,493285.0,16.292,1.8193
2015-03-12,16.33,16.31,16.62,16.43,395536.0,16.28,1.2323
2015-03-13,16.36,15.94,16.4,16.27,351146.0,16.25,-0.9738
2015-03-16,16.31,15.66,16.47,15.85,481084.0,16.144,-2.5814
2015-03-17,15.85,15.68,16.28,15.94,427532.0,16.144,0.5678
2015-03-18,15.91,15.62,16.05,15.83,611067.0,16.064,-0.6901
2015-03-19,15.82,15.82,16.34,16.22,325716.0,16.022,2.4637
2015-03-20,16.24,16.06,16.59,16.45,993820.0,16.058,1.418
2015-03-23,16.42,16.28,16.63,16.4,318753.0,16.168,-0.304
2015-03-24,16.37,16.23,16.98,16.94,543507.0,16.368,3.2927
2015-03-25,16.81,16.6,17.18,16.65,767080.0,16.532,-1.7119
2015-03-26,16.56,16.2,16.61,16.43,473968.0,16.574,-1.3213
2015-03-27,16.41,16.22,16.55,16.43,358530.0,16.57,0.0
2015-03-30,16.46,16.15,16.72,16.62,605497.0,16.614,1.1564
2015-03-31,16.23,16.18,16.53,16.51,828587.0,16.528,-0.6619
2015-04-01,16.46,15.92,16.49,16.17,536641.0,16.432,-2.0594
2015-04-02,16.13,16.06,16.33,16.29,394514.0,16.404,0.7421
2015-04-06,16.18,16.03,16.24,16.15,474390.0,16.348,-0.8594
2015-04-07,16.09,16.04,16.25,16.09,270527.0,16.242,-0.3715
2015-04-08,16.1,15.97,16.26,16.21,343577.0,16.182,0.7458
2015-04-09,16.13,15.82,16.13,16.08,372933.0,16.164,-0.802
2015-04-10,15.56,15.5,16.25,16.14,523845.0,16.134,0.3731
2015-04-13,16.35,16.12,16.35,16.29,346448.0,16.162,0.9294
2015-04-14,16.32,16.27,16.62,16.48,370220.0,16.24,1.1664
2015-04-15,16.5,16.32,16.52,16.36,367837.0,16.27,-0.7282
2015-04-16,16.29,15.85,16.29,16.06,457345.0,16.266,-1.8337
2015-04-17,15.94,15.33,15.94,15.7,766308.0,16.178,-2.2416
2015-04-20,15.78,15.51,15.89,15.58,444823.0,16.036,-0.7643
2015-04-21,15.59,15.48,15.63,15.58,408329.0,15.856,0.0
2015-04-22,15.59,15.58,15.82,15.72,338573.0,15.728,0.8986
2015-04-23,15.66,15.59,15.82,15.75,308318.0,15.666,0.1908
2015-04-24,15.76,15.58,16.12,16.12,519505.0,15.75,2.3492
2015-04-27,16.17,15.965,16.34,16.07,399841.0,15.848,-0.3102
2015-04-28,16.03,15.68,16.12,15.98,462579.0,15.928,-0.56
2015-04-29,15.9,15.69,16.07,15.75,478047.0,15.934,-1.4393
2015-04-30,15.68,15.21,15.71,15.24,858174.0,15.832,-3.2381
2015-05-01,15.27,14.88,16.03,15.96,822917.0,15.8,4.7244
2015-05-04,16.06,16.01,16.65,16.3,767746.0,15.846,2.1303
2015-05-05,16.8,16.78,17.41,17.18,937886.0,16.086,5.3988
2015-05-06,16.8,16.5,17.08,17.0,944203.0,16.336,-1.0477
2015-05-07,16.91,16.475,16.95,16.78,719568.0,16.644,-1.2941
2015-05-08,17.0,16.74,17.17,16.96,761687.0,16.844,1.0727
2015-05-11,16.96,16.83,17.03,16.92,412241.0,16.968,-0.2358
2015-05-12,16.85,16.63,17.04,16.9,482980.0,16.912,-0.1182
2015-05-13,17.05,16.95,17.19,17.01,311991.0,16.914,0.6509
2015-05-14,17.12,16.88,17.34,17.34,340560.0,17.026,1.94
2015-05-15,17.32,17.23,17.5,17.48,495852.0,17.13,0.8074
2015-05-18,17.48,17.43,17.98,17.96,622346.0,17.338,2.746
2015-05-19,18.07,18.0,18.43,18.24,762012.0,17.606,1.559
2015-05-20,18.22,17.86,18.43,18.06,646408.0,17.816,-0.9868
2015-05-21,17.96,17.94,18.32,18.18,434502.0,17.984,0.6645
2015-05-22,18.16,18.15,18.48,18.35,373071.0,18.158,0.9351
2015-05-26,18.25,18.115,18.45,18.21,456126.0,18.208,-0.7629
2015-05-27,18.19,18.19,18.64,18.39,421067.0,18.238,0.9885
2015-05-28,18.31,18.24,18.49,18.47,316972.0,18.32,0.435
2015-05-29,18.4,17.89,18.48,18.09,702254.0,18.302,-2.0574
2015-06-01,18.14,17.81,18.39,18.16,528456.0,18.264,0.387
2015-06-02,18.1,17.77,18.18,17.86,625999.0,18.194,-1.652
2015-06-03,17.92,17.69,17.97,17.86,664802.0,18.088,0.0
2015-06-04,17.79,17.39,17.85,17.5,710750.0,17.894,-2.0157
2015-06-05,17.56,17.47,17.69,17.53,499435.0,17.782,0.1714
2015-06-08,17.5,17.31,17.52,17.36,444214.0,17.622,-0.9698
2015-06-09,17.36,16.96,17.4,17.01,479190.0,17.452,-2.0161
2015-06-10,17.13,17.13,17.72,17.65,705153.0,17.41,3.7625
2015-06-11,17.69,17.56,17.75,17.68,359949.0,17.446,0.17
2015-06-12,17.64,17.54,17.74,17.68,361256.0,17.476,0.0
2015-06-15,17.5,17.35,17.565,17.56,459286.0,17.516,-0.6787
2015-06-16,17.53,17.48,17.63,17.61,356929.0,17.636,0.2847
2015-06-17,17.65,17.42,17.76,17.69,307242.0,17.644,0.4543
2015-06-18,17.77,17.41,17.88,17.43,653124.0,17.594,-1.4698
2015-06-19,17.51,17.34,17.53,17.42,1196979.0,17.542,-0.0574
2015-06-22,17.47,17.26,17.555,17.55,474413.0,17.54,0.7463
2015-06-23,17.57,17.27,17.59,17.31,316791.0,17.48,-1.3675
2015-06-24,17.32,16.96,17.32,17.05,374764.0,17.352,-1.502
2015-06-25,17.15,17.15,17.37,17.34,286790.0,17.334,1.7009
2015-06-26,17.42,17.4,17.65,17.46,886689.0,17.342,0.692
2015-06-29,17.33,16.76,17.49,16.77,380866.0,17.186,-3.9519
2015-06-30,16.94,16.85,17.115,17.03,490141.0,17.13,1.5504
2015-07-01,17.19,16.85,17.19,16.88,403257.0,17.096,-0.8808
2015-07-02,16.9,16.81,17.05,16.84,329688.0,16.996,-0.237
2015-07-06,16.71,16.66,17.09,16.8,347582.0,16.864,-0.2375
2015-07-07,16.76,16.41,16.87,16.87,494385.0,16.884,0.4167
2015-07-08,16.72,16.24,16.76,16.28,179311.0,16.734,-3.4973
2015-07-09,16.49,16.115,16.54,16.13,381317.0,16.584,-0.9214
2015-07-10,16.31,16.27,16.48,16.41,319520.0,16.498,1.7359
2015-07-13,16.5,16.32,16.64,16.4,351163.0,16.418,-0.0609
2015-07-14,16.39,16.34,16.51,16.41,250400.0,16.326,0.061
2015-07-15,16.41,15.945,16.46,15.97,545295.0,16.264,-2.6813
2015-07-16,16.11,15.9,16.28,15.93,527439.0,16.224,-0.2505
2015-07-17,15.89,15.82,16.05,15.94,498854.0,16.13,0.0628
2015-07-20,15.95,15.62,15.95,15.74,322366.0,15.998,-1.2547
2015-07-21,15.69,15.31,15.78,15.43,503486.0,15.802,-1.9695
2015-07-22,15.38,15.17,15.6,15.17,530453.0,15.642,-1.685
2015-07-23,15.2,15.0,15.31,15.03,557350.0,15.462,-0.9229
2015-07-24,15.0,14.46,15.07,14.49,876968.0,15.172,-3.5928
2015-07-27,14.38,14.125,14.56,14.21,548571.0,14.866,-1.9324
2015-07-28,14.27,14.07,14.52,14.4,481821.0,14.66,1.3371
2015-07-29,14.34,14.155,14.57,14.44,501249.0,14.514,0.2778
2015-07-30,14.36,14.32,14.66,14.62,562176.0,14.432,1.2465
2015-07-31,14.65,14.58,14.8,14.74,778963.0,14.482,0.8208
2015-08-03,14.77,14.55,15.2,15.04,1301882.0,14.648,2.0353
2015-08-04,14.36,14.36,16.11,15.71,1079050.0,14.91,4.4548
2015-08-05,15.71,15.4,15.99,15.6,598239.0,15.142,-0.7002
2015-08-06,15.65,15.51,15.85,15.81,492381.0,15.38,1.3462
2015-08-07,15.75,15.44,15.99,15.86,655843.0,15.604,0.3163
2015-08-10,15.98,15.95,16.73,16.59,560000.0,15.914,4.6028
2015-08-11,16.42,16.14,16.51,16.24,451921.0,16.02,-2.1097
2015-08-12,16.09,16.05,16.51,16.39,376881.0,16.178,0.9236
2015-08-13,16.38,15.95,16.38,16.05,231948.0,16.226,-2.0744
2015-08-14,16.0,15.96,16.655,16.62,411069.0,16.378,3.5514
2015-08-17,16.55,16.49,17.07,17.02,427716.0,16.464,2.4067
2015-08-18,17.06,16.94,17.53,17.16,704722.0,16.648,0.8226
2015-08-19,17.07,16.54,17.09,16.82,407384.0,16.734,-1.9814
2015-08-20,16.64,16.2,16.86,16.27,473513.0,16.778,-3.2699
2015-08-21,15.75,15.68,16.255,16.1,832974.0,16.674,-1.0449
2015-08-24,15.3,15.2,16.25,15.59,806643.0,16.388,-3.1677
2015-08-25,16.08,15.25,16.08,15.26,551017.0,16.008,-2.1167
2015-08-26,15.52,14.98,15.85,15.82,729825.0,15.808,3.6697
2015-08-27,15.98,15.86,16.46,16.12,617378.0,15.778,1.8963
2015-08-28,16.08,15.92,16.37,16.37,646032.0,15.832,1.5509
2015-08-31,16.21,16.145,16.74,16.44,592660.0,16.002,0.4276
2015-09-01,16.14,15.89,16.31,15.97,441584.0,16.144,-2.8589
2015-09-02,16.18,15.57,16.18,15.88,579084.0,16.156,-0.5636
2015-09-03,15.94,15.88,16.33,16.13,387794.0,16.158,1.5743
2015-09-04,16.06,16.04,16.72,16.31,559989.0,16.146,1.1159
2015-09-08,16.63,16.26,16.63,16.5,477830.0,16.158,1.1649
2015-09-09,16.66,16.36,16.82,16.38,481206.0,16.24,-0.7273
2015-09-10,16.34,16.2,16.62,16.46,481605.0,16.356,0.4884
2015-09-11,16.26,16.26,16.55,16.54,476245.0,16.438,0.486
2015-09-14,16.58,16.32,16.61,16.46,285091.0,16.468,-0.4837
2015-09-15,16.43,16.28,16.79,16.78,479474.0,16.524,1.9441
2015-09-16,16.84,16.47,16.84,16.55,477104.0,16.558,-1.3707
2015-09-17,16.56,16.49,16.84,16.68,523052.0,16.602,0.7855
2015-09-18,16.5,15.725,16.5,15.88,1166222.0,16.47,-4.7962
2015-09-21,16.04,15.765,16.2,15.78,774126.0,16.334,-0.6297
2015-09-22,15.59,15.15,15.62,15.29,666125.0,16.036,-3.1052
2015-09-23,15.25,15.02,15.35,15.12,467823.0,15.75,-1.1118
2015-09-24,14.97,14.83,15.28,15.2,453624.0,15.454,0.5291
2015-09-25,15.37,15.07,15.37,15.26,472302.0,15.33,0.3947
