date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2018-06-29,9.65,9.65,9.65,9.65,100.0,,
2018-07-02,9.6,9.59,9.63,9.59,210400.0,,-0.6218
2018-07-03,9.6,9.6,9.6,9.6,1000.0,,0.1043
2018-07-05,9.61,9.61,9.61,9.61,100.0,,0.1042
2018-07-09,9.61,9.61,9.61,9.61,2000.0,9.612,0.0
2018-07-11,9.6,9.6,9.62,9.6,2300.0,9.602,-0.1041
2018-07-16,10.1,9.58,10.1,9.58,7788.0,9.6,-0.2083
2018-07-17,9.63,9.63,9.63,9.63,463.0,9.606,0.5219
2018-07-26,9.65,9.61,9.65,9.61,25100.0,9.606,-0.2077
2018-08-02,9.58,9.58,9.58,9.58,100.0,9.6,-0.3122
2018-08-03,9.57,9.57,9.57,9.57,2400.0,9.594,-0.1044
2018-08-07,9.58,9.58,9.58,9.58,9500.0,9.594,0.1045
2018-08-13,9.58,9.56,9.58,9.56,200700.0,9.58,-0.2088
2018-08-14,9.56,9.56,9.62,9.62,74300.0,9.582,0.6276
2018-08-22,9.6,9.6,9.61,9.61,600.0,9.588,-0.104
2018-08-23,9.57,9.57,9.63,9.61,383.0,9.596,0.0
2018-08-24,9.63,9.6,9.63,9.6,1600.0,9.6,-0.1041
2018-08-27,9.6,9.6,9.6,9.6,2200.0,9.608,0.0
2018-08-28,9.61,9.6,9.63,9.6,855.0,9.604,0.0
2018-08-29,9.63,9.63,9.63,9.63,100.0,9.608,0.3125
2018-08-30,9.6,9.6,9.6,9.6,100.0,9.606,-0.3115
2018-09-04,9.6,9.6,9.6,9.6,400.0,9.606,0.0
2018-09-05,9.56,9.56,9.56,9.56,1000.0,9.598,-0.4167
2018-09-06,9.63,9.59,9.63,9.59,500.0,9.596,0.3138
2018-09-07,9.6,9.6,9.6,9.6,200.0,9.59,0.1043
2018-09-11,9.59,9.59,9.6,9.6,9000.0,9.59,0.0
2018-09-17,9.56,9.56,9.6,9.6,1624.0,9.59,0.0
2018-09-18,9.6,9.59,9.6,9.59,10300.0,9.596,-0.1042
2018-09-19,9.6,9.6,9.6,9.6,100.0,9.598,0.1043
2018-09-20,9.6,9.6,9.6,9.6,100.0,9.598,0.0
2018-09-21,9.59,9.59,9.59,9.59,2300.0,9.596,-0.1042
2018-09-25,9.6,9.6,9.6,9.6,34595.0,9.596,0.1043
2018-10-01,9.6,9.6,9.6,9.6,24671.0,9.598,0.0
2018-10-10,9.6,9.6,9.6,9.6,24671.0,9.598,0.0
2018-10-17,9.6,9.6,9.6,9.6,5600.0,9.598,0.0
2018-10-18,9.56,9.56,9.63,9.63,1325.0,9.606,0.3125
2018-10-29,9.63,9.61,9.63,9.61,3000.0,9.608,-0.2077
2018-11-02,9.56,9.56,9.56,9.56,1000.0,9.6,-0.5203
2018-11-05,9.56,9.56,9.56,9.56,3000.0,9.592,0.0
2018-11-07,9.61,9.56,9.63,9.56,2600.0,9.584,0.0
2018-11-09,9.56,9.56,9.56,9.56,103.0,9.57,0.0
2018-11-12,9.6,9.6,9.65,9.65,35000.0,9.578,0.9414
2018-11-13,9.64,9.64,9.74,9.67,2982.0,9.6,0.2073
2018-11-14,9.7,9.7,9.76,9.76,1100.0,9.64,0.9307
2018-11-16,9.74,9.74,9.75,9.75,200.0,9.678,-0.1025
2018-11-28,9.7,9.7,9.7,9.7,100.0,9.706,-0.5128
2018-11-29,9.7,9.7,9.75,9.75,147301.0,9.726,0.5155
2018-11-30,9.75,9.75,9.75,9.75,228.0,9.742,0.0
2018-12-06,9.73,9.73,9.85,9.75,15400.0,9.74,0.0
2018-12-07,9.71,9.71,9.74,9.74,25464.0,9.738,-0.1026
2018-12-11,9.74,9.73,9.74,9.73,31625.0,9.744,-0.1027
2018-12-12,9.76,9.76,9.76,9.76,100.0,9.746,0.3083
2018-12-17,9.73,9.73,9.75,9.75,1610.0,9.746,-0.1025
2018-12-18,9.69,9.69,9.75,9.75,2042.0,9.746,0.0
2018-12-19,9.75,9.74,9.75,9.74,1195.0,9.746,-0.1026
2018-12-20,9.74,9.74,9.74,9.74,200.0,9.748,0.0
2018-12-26,9.78,9.78,9.78,9.78,136.0,9.752,0.4107
2018-12-27,9.72,9.72,9.72,9.72,1100.0,9.746,-0.6135
2018-12-28,9.78,9.78,9.78,9.78,900.0,9.752,0.6173
2018-12-31,9.8,9.8,9.8,9.8,25.0,9.764,0.2045
2019-01-03,9.8,9.8,9.8,9.8,25000.0,9.776,0.0
2019-01-04,9.8,9.75,9.8,9.78,5161.0,9.776,-0.2041
2019-01-09,9.8,9.79,9.82,9.8,41880.0,9.792,0.2045
2019-01-14,9.82,9.82,9.85,9.85,10080.0,9.806,0.5102
2019-01-15,9.85,9.8,9.85,9.8,250.0,9.806,-0.5076
2019-01-16,9.81,9.81,9.85,9.85,15700.0,9.816,0.5102
2019-01-17,9.8,9.8,9.8,9.8,20000.0,9.82,-0.5076
2019-01-24,9.88,9.88,9.88,9.88,429.0,9.836,0.8163
2019-01-25,9.86,9.86,9.86,9.86,2000.0,9.838,-0.2024
2019-01-28,9.86,9.86,9.9,9.9,78000.0,9.858,0.4057
2019-01-29,9.91,9.91,9.92,9.92,16000.0,9.872,0.202
2019-01-31,9.95,9.95,9.95,9.95,10000.0,9.902,0.3024
2019-02-04,9.97,9.97,9.97,9.97,29.0,9.92,0.201
2019-02-05,9.91,9.91,9.91,9.91,200.0,9.93,-0.6018
2019-02-07,9.93,9.93,10.075,10.0,3050.0,9.95,0.9082
2019-02-08,9.97,9.91,10.1,9.99,2461.0,9.964,-0.1
2019-02-12,9.95,9.95,9.98,9.98,9235.0,9.97,-0.1001
2019-02-15,9.95,9.95,9.98,9.98,1101.0,9.972,0.0
2019-02-19,9.97,9.97,9.97,9.97,500.0,9.984,-0.1002
2019-02-22,9.97,9.97,9.97,9.97,4784.0,9.978,0.0
2019-02-26,9.98,9.98,10.0,10.0,4600.0,9.98,0.3009
2019-02-27,10.0,10.0,10.01,10.01,10240.0,9.986,0.1
2019-02-28,10.0,10.0,10.0,10.0,16100.0,9.99,-0.0999
2019-03-01,10.0,9.97,10.0,9.97,10100.0,9.99,-0.3
2019-03-04,9.98,9.97,9.98,9.97,1700.0,9.99,0.0
2019-03-06,9.98,9.98,10.015,10.0,11672.0,9.99,0.3009
2019-03-07,10.03,10.03,10.03,10.03,500.0,9.994,0.3
2019-03-08,10.03,10.03,10.03,10.03,9600.0,10.0,0.0
2019-03-18,10.02,10.02,10.02,10.02,10000.0,10.01,-0.0997
2019-03-21,10.03,10.03,10.035,10.035,23083.0,10.023,0.1497
2019-03-22,10.03,10.03,10.03,10.03,44.0,10.029,-0.0498
2019-03-25,10.05,10.05,10.05,10.05,24.0,10.033,0.1994
2019-03-26,10.05,10.05,10.05,10.05,9490.0,10.037,0.0
2019-03-27,10.05,9.9,10.05,9.9,2.0,10.013,-1.4925
2019-03-28,9.96,9.96,10.05,10.05,1800.0,10.016,1.5152
2019-03-29,10.06,10.06,10.06,10.06,201.0,10.022,0.0995
2019-04-01,10.06,10.05,10.555,10.05,38543.0,10.022,-0.0994
2019-04-03,10.05,10.05,10.05,10.05,1000.0,10.022,0.0
2019-04-04,10.13,10.1,10.13,10.1,1650.0,10.062,0.4975
2019-04-10,10.11,10.11,10.11,10.11,100.0,10.074,0.099
2019-04-11,10.08,10.08,10.15,10.15,2.0,10.092,0.3956
2019-04-15,10.07,10.07,10.07,10.07,3000.0,10.096,-0.7882
