date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,26.22,25.77,26.32,26.16,143586.0,26.466,0.1915
2015-01-05,25.96,25.53,26.08,25.56,112126.0,26.272,-2.2936
2015-01-06,25.57,24.71,25.57,24.82,238177.0,25.846,-2.8951
2015-01-07,25.01,24.8,25.15,25.11,192621.0,25.552,1.1684
2015-01-08,25.39,25.32,25.94,25.83,159566.0,25.496,2.8674
2015-01-09,25.83,25.25,25.83,25.29,109916.0,25.322,-2.0906
2015-01-12,25.18,24.99,25.31,25.0,132943.0,25.21,-1.1467
2015-01-13,25.29,24.95,25.66,25.27,130698.0,25.3,1.08
2015-01-14,24.97,24.44,25.03,24.68,124666.0,25.214,-2.3348
2015-01-15,24.75,24.33,24.9,24.46,118654.0,24.94,-0.8914
2015-01-16,24.47,24.39,25.06,25.03,127793.0,24.888,2.3303
2015-01-20,25.11,24.42,25.11,24.85,127591.0,24.858,-0.7191
2015-01-21,24.77,24.6,25.05,24.78,96263.0,24.76,-0.2817
2015-01-22,24.95,24.63,25.33,25.33,177447.0,24.89,2.2195
2015-01-23,25.36,25.19,25.57,25.47,129624.0,25.092,0.5527
2015-01-26,25.43,25.39,25.71,25.7,193985.0,25.226,0.903
2015-01-27,25.3,25.3,25.61,25.41,120271.0,25.338,-1.1284
2015-01-28,25.68,24.5,25.68,24.55,202600.0,25.292,-3.3845
2015-01-29,24.56,24.16,24.76,24.68,174991.0,25.162,0.5295
2015-01-30,24.39,23.74,24.55,23.77,324639.0,24.822,-3.6872
2015-02-02,23.85,23.54,24.14,23.85,207893.0,24.452,0.3366
2015-02-03,23.94,23.94,24.15,24.13,309375.0,24.196,1.174
2015-02-04,24.02,24.02,24.51,24.39,254447.0,24.164,1.0775
2015-02-05,24.44,24.23,24.56,24.46,139840.0,24.12,0.287
2015-02-06,24.46,24.29,24.63,24.38,186764.0,24.242,-0.3271
2015-02-09,24.14,24.08,24.51,24.39,212849.0,24.35,0.041
2015-02-10,24.63,24.33,24.86,24.75,192898.0,24.474,1.476
2015-02-11,24.77,24.44,24.91,24.59,200170.0,24.514,-0.6465
2015-02-12,24.74,24.54,24.88,24.68,151116.0,24.558,0.366
2015-02-13,24.66,24.57,25.08,25.04,265610.0,24.69,1.4587
2015-02-17,25.05,24.95,25.33,25.33,203700.0,24.878,1.1581
2015-02-18,25.32,25.18,25.53,25.3,156404.0,24.988,-0.1184
2015-02-19,25.29,25.12,25.44,25.42,98406.0,25.154,0.4743
2015-02-20,25.3,25.23,25.85,25.84,134510.0,25.386,1.6522
2015-02-23,25.82,25.57,26.02,25.69,217180.0,25.516,-0.5805
2015-02-24,25.8,25.55,25.93,25.73,131262.0,25.596,0.1557
2015-02-25,25.75,25.75,26.15,26.1,96713.0,25.756,1.438
2015-02-26,26.15,25.78,26.23,25.85,167557.0,25.842,-0.9579
2015-02-27,25.61,25.485,26.31,25.59,332173.0,25.792,-1.0058
2015-03-02,25.75,25.75,26.79,26.78,341451.0,26.01,4.6503
2015-03-03,26.54,25.83,26.72,26.19,269191.0,26.102,-2.2031
2015-03-04,26.18,25.94,26.22,26.15,188405.0,26.112,-0.1527
2015-03-05,26.26,26.11,26.33,26.21,146518.0,26.184,0.2294
2015-03-06,26.07,25.55,26.19,25.76,247357.0,26.218,-1.7169
2015-03-09,25.51,25.41,25.68,25.48,203687.0,25.958,-1.087
2015-03-10,25.16,24.94,25.42,25.26,207173.0,25.772,-0.8634
2015-03-11,25.72,25.07,25.88,25.37,298459.0,25.616,0.4355
2015-03-12,25.38,25.26,25.61,25.44,167788.0,25.462,0.2759
2015-03-13,25.4,24.85,25.45,25.08,270144.0,25.326,-1.4151
2015-03-16,25.24,25.1,25.535,25.53,222777.0,25.336,1.7943
2015-03-17,25.43,25.2,25.47,25.4,243212.0,25.364,-0.5092
2015-03-18,25.36,25.21,25.86,25.72,188867.0,25.434,1.2598
2015-03-19,25.59,25.44,25.77,25.51,127958.0,25.448,-0.8165
2015-03-20,25.55,25.38,25.67,25.5,561638.0,25.532,-0.0392
2015-03-23,25.47,25.33,25.64,25.43,111410.0,25.512,-0.2745
2015-03-24,25.45,25.23,25.58,25.48,144399.0,25.528,0.1966
2015-03-25,25.47,24.955,25.47,24.96,221730.0,25.376,-2.0408
2015-03-26,24.79,24.66,25.04,24.93,117452.0,25.26,-0.1202
2015-03-27,24.95,24.619,25.03,25.0,146947.0,25.16,0.2808
2015-03-30,25.18,25.02,25.37,25.25,205243.0,25.124,1.0
2015-03-31,25.12,25.07,25.41,25.23,259323.0,25.074,-0.0792
2015-04-01,25.14,24.99,25.36,25.31,208822.0,25.144,0.3171
2015-04-02,25.22,25.12,25.69,25.69,205923.0,25.296,1.5014
2015-04-06,25.53,25.46,25.95,25.91,896735.0,25.478,0.8564
2015-04-07,25.87,25.7,26.07,25.74,167067.0,25.576,-0.6561
2015-04-08,25.69,25.48,25.87,25.73,276776.0,25.676,-0.0389
2015-04-09,25.82,25.69,26.07,25.93,176268.0,25.8,0.7773
2015-04-10,25.97,25.78,26.1,25.8,211895.0,25.822,-0.5013
2015-04-13,25.76,25.73,26.14,25.95,263525.0,25.83,0.5814
2015-04-14,26.0,25.86,26.1,26.03,169891.0,25.888,0.3083
2015-04-15,26.09,26.09,26.33,26.18,145846.0,25.978,0.5763
2015-04-16,26.13,26.0,26.24,26.24,93166.0,26.04,0.2292
2015-04-17,26.02,25.6,26.06,25.7,102926.0,26.02,-2.0579
2015-04-20,25.82,25.54,25.91,25.91,145072.0,26.012,0.8171
2015-04-21,26.0,25.78,26.08,25.97,135233.0,26.0,0.2316
2015-04-22,26.0,25.78,26.1,25.99,101217.0,25.962,0.077
2015-04-23,25.91,25.83,26.07,25.98,151063.0,25.91,-0.0385
2015-04-24,26.06,25.91,26.3,25.99,128845.0,25.968,0.0385
2015-04-27,26.01,25.52,26.07,25.58,184156.0,25.902,-1.5775
2015-04-28,25.54,25.3,25.68,25.51,134254.0,25.81,-0.2737
