date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,86.66,84.92,87.305,85.68,1045079.0,86.852,-0.5571
2015-01-05,85.29,83.05,85.32,83.27,1028664.0,85.952,-2.8128
2015-01-06,83.66,81.8,83.77,83.09,1628995.0,85.034,-0.2162
2015-01-07,83.94,83.075,84.28,84.22,987585.0,84.484,1.36
2015-01-08,85.26,85.04,85.62,85.53,1035258.0,84.358,1.5555
2015-01-09,85.96,84.41,86.0,84.44,1038121.0,84.11,-1.2744
2015-01-12,84.41,82.92,84.85,83.36,1248719.0,84.128,-1.279
2015-01-13,83.94,82.74,85.24,83.55,935993.0,84.22,0.2279
2015-01-14,81.86,81.86,83.48,83.46,1313457.0,84.068,-0.1077
2015-01-15,83.8,82.18,84.11,82.25,1168700.0,83.412,-1.4498
2015-01-16,82.0,82.0,83.85,83.8,1565565.0,83.284,1.8845
2015-01-20,84.43,83.22,84.86,84.26,847724.0,83.464,0.5489
2015-01-21,83.53,83.35,84.35,83.72,820869.0,83.498,-0.6409
2015-01-22,83.55,82.5,84.52,84.38,1078795.0,83.682,0.7883
2015-01-23,84.28,83.81,84.82,84.39,1010601.0,84.11,0.0119
2015-01-26,84.4,82.91,84.7,83.6,994506.0,84.07,-0.9361
2015-01-27,82.6,80.97,82.76,81.77,1121930.0,83.572,-2.189
2015-01-28,83.3,80.67,83.33,80.74,1307570.0,82.976,-1.2596
2015-01-29,80.03,79.82,81.55,81.38,1337287.0,82.376,0.7927
2015-01-30,83.5,81.49,84.799,82.03,2734050.0,81.904,0.7987
2015-02-02,81.77,80.59,83.22,82.98,1645833.0,81.78,1.1581
2015-02-03,83.25,82.47,83.88,83.81,1354422.0,82.188,1.0002
2015-02-04,84.0,83.52,84.96,84.18,1024307.0,82.876,0.4415
2015-02-05,84.58,84.02,85.905,85.82,1227189.0,83.764,1.9482
2015-02-06,85.6,83.96,85.68,84.16,1293404.0,84.19,-1.9343
2015-02-09,83.97,83.61,84.83,84.59,906868.0,84.512,0.5109
2015-02-10,85.11,83.9,85.13,84.23,1195312.0,84.596,-0.4256
2015-02-11,84.23,83.94,84.78,84.46,812440.0,84.652,0.2731
2015-02-12,85.62,85.6,87.975,87.52,1239502.0,84.992,3.623
2015-02-13,87.83,86.65,87.99,87.14,1042147.0,85.588,-0.4342
2015-02-17,87.88,87.24,88.17,87.52,1294424.0,86.174,0.4361
2015-02-18,87.19,86.85,87.83,87.73,787402.0,86.874,0.2399
2015-02-19,87.58,87.58,89.42,89.2,1051004.0,87.822,1.6756
2015-02-20,89.0,88.88,90.93,90.79,1318891.0,88.476,1.7825
2015-02-23,91.0,89.95,91.14,91.12,835723.0,89.272,0.3635
2015-02-24,90.73,90.25,91.645,91.32,919269.0,90.032,0.2195
2015-02-25,92.0,91.39,92.75,92.67,1326260.0,91.02,1.4783
2015-02-26,92.89,91.06,92.994,91.26,901525.0,91.432,-1.5215
2015-02-27,91.01,89.97,91.68,90.13,1308141.0,91.3,-1.2382
2015-03-02,89.7,89.7,92.15,92.02,1574457.0,91.48,2.097
2015-03-03,91.67,90.52,91.94,90.97,753535.0,91.41,-1.1411
2015-03-04,90.54,90.13,91.88,91.71,1153369.0,91.218,0.8135
2015-03-05,92.0,91.45,92.94,92.81,852994.0,91.528,1.1994
2015-03-06,92.42,90.675,92.53,90.79,1437263.0,91.66,-2.1765
2015-03-09,90.5,90.07,91.44,91.12,848173.0,91.48,0.3635
2015-03-10,90.13,88.84,90.38,88.84,1319398.0,91.054,-2.5022
2015-03-11,87.72,86.85,88.0,86.97,1878134.0,90.106,-2.1049
2015-03-12,87.81,87.69,89.5,89.25,2265620.0,89.394,2.6216
2015-03-13,89.25,87.35,89.25,87.75,1049946.0,88.786,-1.6807
2015-03-16,88.44,87.95,88.93,88.71,1194058.0,88.304,1.094
2015-03-17,88.26,87.75,88.56,87.97,838743.0,88.13,-0.8342
2015-03-18,87.72,87.22,89.26,88.88,1020117.0,88.512,1.0344
2015-03-19,88.88,88.65,89.66,89.02,918290.0,88.466,0.1575
2015-03-20,89.48,89.4,90.35,89.82,1634203.0,88.88,0.8987
2015-03-23,89.94,89.32,90.65,89.33,695440.0,89.004,-0.5455
2015-03-24,89.4,89.06,89.94,89.49,1146177.0,89.308,0.1791
2015-03-25,89.45,87.37,89.59,87.37,901691.0,89.006,-2.369
2015-03-26,86.7,86.568,88.3,87.93,1116572.0,88.788,0.641
2015-03-27,87.9,86.88,88.32,87.25,1030441.0,88.274,-0.7733
2015-03-30,87.79,87.48,88.29,87.67,738879.0,87.942,0.4814
2015-03-31,87.22,86.39,88.25,86.39,1708660.0,87.322,-1.46
2015-04-01,86.65,85.38,86.74,86.74,1214878.0,87.196,0.4051
2015-04-02,86.95,86.68,87.86,87.03,1518048.0,87.016,0.3343
2015-04-06,86.3,86.22,87.659,87.34,1343371.0,87.034,0.3562
2015-04-07,87.46,87.3,88.5,87.92,997537.0,87.084,0.6641
2015-04-08,88.57,88.28,89.69,89.32,1013249.0,87.67,1.5924
2015-04-09,89.1,88.15,89.56,89.06,917006.0,88.134,-0.2911
2015-04-10,89.48,88.32,89.48,88.57,618641.0,88.442,-0.5502
2015-04-13,88.63,88.25,89.43,88.25,1615844.0,88.624,-0.3613
2015-04-14,88.1,88.01,89.45,89.12,724202.0,88.864,0.9858
2015-04-15,89.09,88.67,89.565,89.25,709478.0,88.85,0.1459
2015-04-16,88.93,88.59,89.17,88.72,865558.0,88.782,-0.5938
2015-04-17,87.88,86.6,88.29,86.93,1134617.0,88.454,-2.0176
2015-04-20,87.22,87.01,87.88,87.33,645895.0,88.27,0.4601
2015-04-21,87.5,87.27,88.16,87.77,685063.0,88.0,0.5038
2015-04-22,88.5,88.5,92.43,91.2,1861304.0,88.39,3.9079
2015-04-23,91.2,90.18,91.39,90.88,995819.0,88.822,-0.3509
2015-04-24,90.72,90.22,91.14,90.72,750978.0,89.58,-0.1761
2015-04-27,90.93,89.69,91.25,89.75,1264387.0,90.064,-1.0692
2015-04-28,89.43,89.33,90.42,90.23,840202.0,90.556,0.5348
2015-04-29,91.1,89.82,93.59,90.25,1178742.0,90.366,0.0222
2015-04-30,90.25,89.66,91.31,90.21,1397420.0,90.232,-0.0443
2015-05-01,90.36,90.26,91.31,91.25,784447.0,90.338,1.1529
2015-05-04,91.49,90.81,91.98,91.18,1175611.0,90.624,-0.0767
2015-05-05,91.14,90.57,91.88,90.78,1066370.0,90.734,-0.4387
2015-05-06,91.05,89.96,91.44,90.57,702321.0,90.798,-0.2313
2015-05-07,90.71,90.35,92.16,92.05,808465.0,91.166,1.6341
2015-05-08,92.97,92.69,94.33,93.51,1261620.0,91.618,1.5861
2015-05-11,93.48,92.5,93.92,92.52,805872.0,91.886,-1.0587
2015-05-12,91.78,91.59,92.73,92.39,1704054.0,92.208,-0.1405
2015-05-13,92.5,92.02,92.98,92.52,583816.0,92.598,0.1407
2015-05-14,93.13,92.83,93.9,93.84,1016133.0,92.956,1.4267
2015-05-15,93.81,93.03,94.5,93.22,990071.0,92.898,-0.6607
2015-05-18,92.9,91.85,93.16,93.08,1058588.0,93.01,-0.1502
2015-05-19,93.65,93.15,94.06,93.8,718289.0,93.292,0.7735
2015-05-20,94.1,92.82,94.1,93.24,667694.0,93.436,-0.597
2015-05-21,93.09,92.73,93.33,92.9,608993.0,93.248,-0.3647
2015-05-22,92.95,92.66,93.29,92.69,618699.0,93.142,-0.226
2015-05-26,92.6,91.55,92.6,91.89,667394.0,92.904,-0.8631
2015-05-27,92.13,91.89,92.77,92.59,733860.0,92.662,0.7618
