date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-10-28,23.0,21.74,32.93,31.86,2167084.0,,
2020-10-29,30.88,30.0,38.23,32.85,301984.0,,3.1073
2020-10-30,32.85,31.0,35.94,33.83,87855.0,,2.9833
2020-11-02,34.34,34.34,37.25,34.98,53331.0,,3.3993
2020-11-03,35.2,35.2,37.92,37.0,599184.0,34.104,5.7747
2020-11-04,37.19,36.72,39.55,38.5,48420.0,35.432,4.0541
2020-11-05,39.87,38.29,41.3,40.79,53624.0,37.02,5.9481
2020-11-06,41.24,41.24,49.52,46.02,96911.0,39.458,12.8218
2020-11-09,47.92,47.92,52.8,49.03,70116.0,42.268,6.5406
2020-11-10,48.8,37.35,48.8,37.89,130839.0,42.446,-22.7208
2020-11-11,38.27,38.17,40.71,39.0,43250.0,42.546,2.9295
2020-11-12,39.24,39.24,41.41,40.49,20533.0,42.486,3.8205
2020-11-13,41.68,40.98,42.05,41.0,28432.0,41.482,1.2596
2020-11-16,41.26,34.72,41.5,38.39,57810.0,39.354,-6.3659
2020-11-17,37.73,37.73,40.37,39.5,17602.0,39.676,2.8914
2020-11-18,39.42,39.13,40.18,39.5,13772.0,39.776,0.0
2020-11-19,39.25,39.25,39.98,39.82,10812.0,39.642,0.8101
2020-11-20,39.79,38.71,43.0,41.63,19334.0,39.768,4.5455
2020-11-23,41.83,37.79,42.4,38.33,22369.0,39.756,-7.927
2020-11-24,38.57,38.5,41.3,39.71,22591.0,39.798,3.6003
2020-11-25,39.85,38.2,41.72,38.35,29136.0,39.568,-3.4248
2020-11-27,38.24,38.24,39.5,38.93,7582.0,39.39,1.5124
2020-11-30,39.27,37.56,40.69,37.75,42551.0,38.614,-3.0311
2020-12-01,38.17,35.96,38.3,35.96,30826.0,38.14,-4.7417
2020-12-02,35.1,33.76,35.64,34.18,16733.0,37.034,-4.9499
2020-12-03,35.0,35.0,37.28,36.53,32664.0,36.67,6.8754
2020-12-04,37.09,37.09,39.0,38.16,22641.0,36.516,4.4621
2020-12-07,38.61,36.29,38.79,37.3,19298.0,36.426,-2.2537
2020-12-08,36.0,35.44,37.33,36.56,17050.0,36.546,-1.9839
