date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-08-20,10.05,9.85,10.47,9.95,9308.0,,
2020-08-21,9.94,9.91,9.9799,9.9799,1725.0,,0.3005
2020-08-24,10.0,9.9,10.09,9.97,18961.0,,-0.0992
2020-08-25,10.0,9.85,10.01,10.01,50173.0,,0.4012
2020-08-26,10.01,9.94,10.01,9.97,1127.0,9.976,-0.3996
2020-08-27,9.95,9.92,9.955,9.955,1000.0,9.977,-0.1505
2020-08-28,9.91,9.91,10.04,10.0,29910.0,9.981,0.452
2020-08-31,10.08,9.98,10.08,10.0,1147.0,9.987,0.0
2020-09-01,10.1,10.0,10.11,10.11,3816.0,10.007,1.1
2020-09-02,10.21,10.05,10.55,10.27,20112.0,10.067,1.5826
2020-09-03,10.7,10.19,10.7,10.32,12436.0,10.14,0.4869
2020-09-04,10.48,10.26,10.48,10.34,4565.0,10.208,0.1938
2020-09-08,10.5,10.35,10.51,10.42,9946.0,10.292,0.7737
2020-09-09,10.5,10.4,10.5,10.4,6306.0,10.35,-0.1919
2020-09-10,10.5,10.32,10.5,10.32,3582.0,10.36,-0.7692
2020-09-11,10.33,10.33,10.4,10.39,2259.0,10.374,0.6783
2020-09-14,10.35,10.31,10.42,10.38,3676.0,10.382,-0.0962
2020-09-15,10.32,10.32,10.56,10.5275,10103.0,10.4035,1.421
2020-09-16,10.56,10.46,10.6,10.5,15663.0,10.4235,-0.2612
2020-09-17,10.5,10.35,10.59,10.435,8171.0,10.4465,-0.619
2020-09-18,10.36,10.36,11.03,11.03,8851.0,10.5745,5.702
2020-09-21,10.6,10.44,10.8,10.7,105312.0,10.6385,-2.9918
2020-09-22,10.75,10.45,10.75,10.65,37814.0,10.663,-0.4673
2020-09-23,10.52,10.5,10.65,10.65,35648.0,10.693,0.0
2020-09-24,10.35,10.35,10.72,10.69,89928.0,10.744,0.3756
2020-09-25,10.69,10.35,10.7,10.6,52909.0,10.658,-0.8419
2020-09-28,10.58,10.51,10.62,10.62,1450.0,10.642,0.1887
2020-09-29,10.65,10.46,10.92,10.85,25428.0,10.682,2.1657
2020-09-30,10.85,10.76,10.98,10.76,8253.0,10.704,-0.8295
2020-10-01,10.76,10.62,10.85,10.62,4780.0,10.69,-1.3011
2020-10-02,10.5,10.5,10.71,10.52,26047.0,10.674,-0.9416
2020-10-05,10.52,10.47,10.6,10.47,3672.0,10.644,-0.4753
2020-10-06,10.55,10.3,10.55,10.38,11694.0,10.55,-0.8596
2020-10-07,10.5,10.3,10.5,10.35,20834.0,10.468,-0.289
2020-10-08,10.46,10.25,10.46,10.33,47818.0,10.41,-0.1932
2020-10-09,10.3,10.15,10.3,10.274,1260453.0,10.3608,-0.5421
2020-10-12,10.3,10.25,10.31,10.3,58324.0,10.3268,0.2531
2020-10-13,10.46,10.21,10.46,10.2944,18489.0,10.3097,-0.0544
2020-10-14,10.42,10.28,10.42,10.3,4427.0,10.2997,0.0544
2020-10-15,10.3,10.26,10.3,10.3,13056.0,10.2937,0.0
2020-10-16,10.36,10.2,10.36,10.2999,6166.0,10.2989,-0.001
2020-10-19,10.34,10.27,10.35,10.27,5487.0,10.2929,-0.2903
2020-10-20,10.38,10.26,10.38,10.26,3389.0,10.286,-0.0974
2020-10-21,10.26,10.25,10.29,10.25,5750.0,10.276,-0.0975
2020-10-22,10.25,10.15,10.25,10.22,6226.0,10.26,-0.2927
2020-10-23,10.25,10.1499,10.27,10.1499,4905.0,10.23,-0.6859
2020-10-26,10.1,10.05,10.13,10.065,9782.0,10.189,-0.8365
2020-10-27,10.16,9.96,10.16,10.0,12414.0,10.137,-0.6458
2020-10-28,9.9,9.89,10.09,9.89,32704.0,10.065,-1.1
2020-10-29,9.96,9.9,9.96,9.92,5030.0,10.005,0.3033
2020-10-30,9.95,9.88,9.95,9.95,5149.0,9.965,0.3024
2020-11-02,9.98,9.89,10.01,9.92,67993.0,9.936,-0.3015
