date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,31.51,30.65,31.67,31.53,59625.0,31.638,0.7992
2015-01-05,31.36,29.28,31.6,29.68,87779.0,31.14,-5.8674
2015-01-06,29.66,28.35,29.71,28.6,65324.0,30.468,-3.6388
2015-01-07,28.86,28.42,29.2,28.9,64204.0,29.998,1.049
2015-01-08,29.1,29.1,30.7,30.49,89131.0,29.84,5.5017
2015-01-09,30.41,30.27,30.84,30.49,46825.0,29.632,0.0
2015-01-12,30.57,30.1,30.72,30.47,75603.0,29.79,-0.0656
2015-01-13,30.63,30.17,31.51,30.47,77419.0,30.164,0.0
2015-01-14,30.02,28.74,30.22,29.49,64878.0,30.282,-3.2163
2015-01-15,29.55,28.34,29.6,28.41,51741.0,29.866,-3.6623
2015-01-16,28.28,28.06,29.35,28.98,79954.0,29.564,2.0063
2015-01-20,29.0,29.0,31.45,31.34,158955.0,29.738,8.1435
2015-01-21,31.16,30.42,31.5,31.19,49125.0,29.882,-0.4786
2015-01-22,31.49,30.91,32.02,31.88,69040.0,30.36,2.2122
2015-01-23,31.99,31.95,34.8,34.79,82910.0,31.636,9.128
2015-01-26,34.79,33.32,34.79,34.1,70465.0,32.66,-1.9833
2015-01-27,33.5,33.06,34.37,33.99,32387.0,33.19,-0.3226
2015-01-28,34.15,33.32,34.79,33.43,55394.0,33.638,-1.6475
2015-01-29,33.39,32.84,33.9,33.79,56046.0,34.02,1.0769
2015-01-30,33.83,32.455,33.83,32.51,54063.0,33.564,-3.7881
2015-02-02,32.41,31.87,33.0,32.3,92308.0,33.204,-0.646
2015-02-03,30.11,27.68,31.14,29.9,207777.0,32.386,-7.4303
2015-02-04,29.63,29.63,31.01,30.76,90024.0,31.852,2.8763
2015-02-05,30.62,29.78,30.93,30.595,123562.0,31.213,-0.5364
2015-02-06,31.44,31.17,33.21,32.44,1242722.0,31.199,6.0304
2015-02-09,33.0,31.97,33.0,32.56,163782.0,31.251,0.3699
2015-02-10,32.97,32.3,33.16,33.05,102850.0,31.881,1.5049
2015-02-11,33.13,33.0,35.26,35.16,192235.0,32.761,6.3843
2015-02-12,35.53,33.91,35.61,34.58,191464.0,33.558,-1.6496
2015-02-13,34.68,32.97,35.0,33.06,178663.0,33.682,-4.3956
2015-02-17,34.22,33.21,34.58,33.71,127344.0,33.912,1.9661
2015-02-18,33.54,32.5,34.13,34.09,137452.0,34.12,1.1273
2015-02-19,34.39,33.79,34.47,34.27,84525.0,33.942,0.528
2015-02-20,34.09,33.5,34.26,34.25,124003.0,33.876,-0.0584
2015-02-23,34.25,33.1,34.5,33.43,75886.0,33.95,-2.3942
2015-02-24,33.39,33.19,35.0,34.79,124916.0,34.166,4.0682
2015-02-25,34.83,33.02,35.12,33.53,127802.0,34.054,-3.6217
2015-02-26,33.535,32.9,34.2,33.99,155944.0,33.998,1.3719
2015-02-27,33.87,33.24,34.0,33.72,163468.0,33.892,-0.7944
2015-03-02,33.78,33.76,35.44,35.13,98710.0,34.232,4.1815
2015-03-03,35.99,33.69,36.0,33.94,123525.0,34.062,-3.3874
2015-03-04,33.64,33.24,34.54,34.31,76907.0,34.218,1.0902
2015-03-05,34.46,33.61,34.55,33.82,46419.0,34.184,-1.4282
2015-03-06,33.5,32.25,33.82,33.21,205677.0,34.082,-1.8037
2015-03-09,33.21,33.2,34.86,34.36,125186.0,33.928,3.4628
2015-03-10,34.02,33.79,34.54,34.15,91530.0,33.97,-0.6112
2015-03-11,34.32,33.36,34.33,33.8,76011.0,33.868,-1.0249
2015-03-12,34.0,33.37,34.19,33.6,95953.0,33.824,-0.5917
2015-03-13,33.48,33.0,33.96,33.52,93508.0,33.886,-0.2381
2015-03-16,33.6,33.48,35.28,35.16,141919.0,34.046,4.8926
2015-03-17,35.08,34.72,36.85,36.65,144482.0,34.546,4.2378
2015-03-18,36.68,35.92,37.38,37.01,109861.0,35.188,0.9823
2015-03-19,37.0,36.92,38.24,37.91,82732.0,36.05,2.4318
2015-03-20,38.23,37.04,38.71,38.59,389546.0,37.064,1.7937
2015-03-23,38.42,38.19,38.99,38.86,112409.0,37.804,0.6997
2015-03-24,38.77,38.3,39.19,39.07,70679.0,38.288,0.5404
2015-03-25,39.52,37.19,39.52,37.53,218784.0,38.392,-3.9416
2015-03-26,37.11,33.67,37.11,34.9,205994.0,37.79,-7.0077
2015-03-27,34.91,34.66,35.92,35.81,131128.0,37.234,2.6074
2015-03-30,36.03,36.03,37.09,37.0,86469.0,36.862,3.3231
2015-03-31,37.0,36.93,37.43,37.26,204179.0,36.5,0.7027
2015-04-01,37.0,36.14,37.43,37.38,95250.0,36.47,0.3221
2015-04-02,37.3,36.25,37.38,36.7,69927.0,36.83,-1.8192
2015-04-06,36.31,35.445,36.73,35.59,69329.0,36.786,-3.0245
2015-04-07,36.15,34.37,36.15,34.41,107603.0,36.268,-3.3155
2015-04-08,34.4,34.14,35.46,35.17,77581.0,35.85,2.2087
2015-04-09,35.06,34.72,35.3,35.22,47262.0,35.418,0.1422
2015-04-10,35.27,35.03,36.44,36.2,55401.0,35.318,2.7825
2015-04-13,36.24,36.07,36.76,36.16,53066.0,35.432,-0.1105
2015-04-14,36.17,35.49,36.6,35.97,79439.0,35.744,-0.5254
2015-04-15,36.19,35.94,37.01,36.9,56673.0,36.09,2.5855
2015-04-16,36.65,36.51,37.16,36.9,52415.0,36.426,0.0
2015-04-17,36.51,34.48,36.51,34.72,90733.0,36.13,-5.9079
2015-04-20,34.94,32.93,34.94,34.25,148543.0,35.748,-1.3537
2015-04-21,34.5,34.43,34.91,34.73,36152.0,35.5,1.4015
2015-04-22,34.71,33.55,34.71,34.46,46405.0,35.012,-0.7774
2015-04-23,33.72,32.95,33.87,33.33,183318.0,34.298,-3.2792
2015-04-24,33.33,31.0,33.41,31.41,242576.0,33.636,-5.7606
2015-04-27,31.4,31.3,32.2,31.65,107074.0,33.116,0.7641
2015-04-28,31.63,31.095,32.51,32.19,101276.0,32.608,1.7062
2015-04-29,33.4,31.91,35.25,33.01,239086.0,32.318,2.5474
2015-04-30,32.83,29.91,32.83,30.47,143910.0,31.746,-7.6946
2015-05-01,30.62,30.4,32.09,32.0,114786.0,31.864,5.0213
2015-05-04,32.23,32.04,33.85,33.59,135970.0,32.252,4.9688
2015-05-05,33.34,33.34,34.34,33.66,184847.0,32.546,0.2084
2015-05-06,33.69,33.41,34.06,34.03,153125.0,32.75,1.0992
2015-05-07,34.11,34.01,34.94,34.87,83962.0,33.63,2.4684
2015-05-08,35.0,34.51,35.24,34.97,72166.0,34.224,0.2868
2015-05-11,35.0,34.81,35.85,35.28,70622.0,34.562,0.8865
2015-05-12,35.19,33.98,35.3,35.22,90952.0,34.874,-0.1701
2015-05-13,35.35,34.79,35.48,35.05,65709.0,35.078,-0.4827
2015-05-14,35.14,34.75,35.75,35.68,96871.0,35.24,1.7974
2015-05-15,35.64,35.01,35.77,35.14,82245.0,35.274,-1.5135
2015-05-18,35.14,34.81,36.45,36.14,96835.0,35.446,2.8458
2015-05-19,36.1,35.6,36.23,36.0,56776.0,35.602,-0.3874
2015-05-20,35.98,35.37,36.47,35.59,129958.0,35.71,-1.1389
2015-05-21,35.48,35.48,36.44,36.31,79370.0,35.836,2.023
2015-05-22,36.96,36.56,37.66,37.38,112408.0,36.284,2.9468
2015-05-26,37.33,35.85,37.33,36.86,85613.0,36.428,-1.3911
2015-05-27,37.06,36.2,38.78,38.76,111684.0,36.98,5.1546
2015-05-28,38.87,38.22,40.2,38.79,154552.0,37.62,0.0774
2015-05-29,38.41,38.05,39.25,38.16,110124.0,37.99,-1.6241
2015-06-01,38.57,38.41,40.09,39.33,132133.0,38.38,3.066
2015-06-02,39.02,38.29,39.61,39.57,139938.0,38.922,0.6102
2015-06-03,39.82,39.125,40.56,40.25,96898.0,39.22,1.7185
2015-06-04,40.49,39.61,40.94,40.47,69594.0,39.556,0.5466
2015-06-05,40.48,39.86,40.8,40.46,55666.0,40.016,-0.0247
2015-06-08,40.5,38.19,40.76,39.17,104397.0,39.984,-3.1883
2015-06-09,39.25,38.78,39.93,39.89,122202.0,40.048,1.8381
2015-06-10,39.98,39.74,41.5,41.39,85317.0,40.276,3.7603
2015-06-11,41.4,41.09,42.02,41.94,72421.0,40.57,1.3288
2015-06-12,40.51,39.9,40.99,40.51,126848.0,40.58,-3.4096
2015-06-15,39.54,38.06,39.95,39.3,231602.0,40.606,-2.9869
2015-06-16,39.2,38.92,39.77,39.6,80344.0,40.548,0.7634
2015-06-17,39.59,39.14,39.8,39.78,116245.0,40.226,0.4545
2015-06-18,39.78,39.59,40.83,39.87,123956.0,39.812,0.2262
2015-06-19,39.98,39.9,41.54,41.28,236480.0,39.966,3.5365
2015-06-22,41.48,41.35,42.36,41.95,102492.0,40.496,1.6231
2015-06-23,42.1,42.04,42.61,42.4,137738.0,41.056,1.0727
2015-06-24,42.33,40.72,42.56,40.77,155497.0,41.254,-3.8443
2015-06-25,40.98,40.65,42.28,41.65,103623.0,41.61,2.1584
2015-06-26,41.61,39.75,41.96,39.93,640848.0,41.34,-4.1297
2015-06-29,39.48,37.73,39.49,37.98,124836.0,40.546,-4.8835
2015-06-30,38.17,38.03,38.61,38.25,101925.0,39.716,0.7109
2015-07-01,38.85,36.64,39.17,36.94,121907.0,38.95,-3.4248
2015-07-02,36.91,36.56,37.26,36.68,77347.0,37.956,-0.7038
2015-07-06,36.51,35.17,36.51,35.77,148248.0,37.124,-2.4809
2015-07-07,35.45,33.72,35.45,34.53,207379.0,36.434,-3.4666
2015-07-08,34.32,32.57,34.32,32.95,159232.0,35.374,-4.5757
2015-07-09,33.41,32.32,33.84,32.37,129393.0,34.46,-1.7602
2015-07-10,32.83,32.29,33.1,32.76,167706.0,33.676,1.2048
2015-07-13,32.39,32.135,33.43,33.31,167974.0,33.184,1.6789
2015-07-14,32.64,32.64,34.29,34.1,133326.0,33.098,2.3717
2015-07-15,34.26,33.46,34.26,34.0,117569.0,33.308,-0.2933
2015-07-16,34.54,33.56,34.89,33.99,140440.0,33.632,-0.0294
2015-07-17,33.95,33.32,34.32,34.22,110573.0,33.924,0.6767
2015-07-20,34.58,33.79,34.66,33.96,94177.0,34.054,-0.7598
2015-07-21,34.04,33.43,34.08,33.49,88250.0,33.932,-1.384
2015-07-22,33.21,30.92,33.22,31.4,165780.0,33.412,-6.2407
2015-07-23,31.59,31.57,32.68,31.71,183977.0,32.956,0.9873
2015-07-24,31.85,30.77,32.08,30.87,183323.0,32.286,-2.649
2015-07-27,30.4,29.65,30.58,29.69,145499.0,31.432,-3.8225
2015-07-28,29.94,29.38,31.06,30.49,188731.0,30.832,2.6945
2015-07-29,34.0,32.0,35.5,33.04,427997.0,31.16,8.3634
2015-07-30,32.95,32.73,33.64,33.46,227832.0,31.51,1.2712
2015-07-31,33.66,33.19,34.54,33.71,177452.0,32.078,0.7472
2015-08-03,33.58,32.82,33.58,33.25,138957.0,32.79,-1.3646
2015-08-04,33.35,32.51,33.54,32.66,97393.0,33.224,-1.7744
2015-08-05,32.98,32.98,34.25,33.89,87929.0,33.394,3.7661
2015-08-06,33.91,32.52,33.91,33.31,151008.0,33.364,-1.7114
2015-08-07,33.31,32.89,33.42,33.345,82140.0,33.291,0.1051
2015-08-10,33.51,33.51,34.83,34.46,90105.0,33.533,3.3438
2015-08-11,34.31,32.76,34.57,33.21,102226.0,33.643,-3.6274
2015-08-12,32.75,32.3,33.5,33.22,74621.0,33.509,0.0301
2015-08-13,33.49,32.92,33.63,32.99,81031.0,33.445,-0.6924
2015-08-14,32.86,32.14,32.89,32.84,74531.0,33.344,-0.4547
2015-08-17,32.84,32.45,33.63,33.63,66804.0,33.178,2.4056
2015-08-18,33.21,31.41,33.75,32.08,189493.0,32.952,-4.609
2015-08-19,31.97,30.95,31.97,31.03,145416.0,32.514,-3.2731
2015-08-20,30.77,29.515,30.8,30.4,138575.0,31.996,-2.0303
2015-08-21,29.73,28.48,30.39,28.58,163888.0,31.144,-5.9868
2015-08-24,26.71,26.03,28.55,26.75,271501.0,29.768,-6.4031
2015-08-25,28.0,27.41,29.05,27.43,242987.0,28.838,2.5421
2015-08-26,28.16,26.8,28.26,27.75,193776.0,28.182,1.1666
2015-08-27,28.2,27.93,29.43,29.41,175668.0,27.984,5.982
2015-08-28,29.24,29.24,30.26,29.85,96022.0,28.238,1.4961
2015-08-31,29.39,29.33,30.25,29.51,93460.0,28.79,-1.139
2015-09-01,28.58,27.7,29.1,27.94,153228.0,28.892,-5.3202
