date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,2775.0,2775.0,2950.0,2950.0,9.0,2910.0,4.4248
2015-01-05,2900.0,2875.0,2987.5,2950.0,3.0,2895.0,0.0
2015-01-06,2900.0,2750.0,2925.0,2875.0,4.0,2875.0,-2.5424
2015-01-07,2900.0,2775.0,2900.0,2787.5,3.0,2877.5,-3.0435
2015-01-08,2825.0,2825.0,3500.0,2900.0,130.0,2892.5,4.0359
2015-01-09,3000.0,2800.0,3062.5,3000.0,19.0,2902.5,3.4483
2015-01-12,3000.0,2850.0,3000.0,2925.0,6.0,2897.5,-2.5
2015-01-13,2950.0,2800.0,3000.0,2800.0,8.0,2882.5,-4.2735
2015-01-14,2750.0,2750.0,2925.0,2812.5,14.0,2887.5,0.4464
2015-01-15,2900.0,2625.0,2900.0,2650.0,15.0,2837.5,-5.7778
2015-01-16,2650.0,2650.0,2825.0,2775.0,11.0,2792.5,4.717
2015-01-20,2750.0,2750.0,3050.0,2825.0,99.0,2772.5,1.8018
2015-01-21,2875.0,2775.0,2925.0,2875.0,19.0,2787.5,1.7699
2015-01-22,2950.0,2825.0,2950.0,2825.0,7.0,2790.0,-1.7391
2015-01-23,2750.0,2750.0,2850.0,2825.0,10.0,2825.0,0.0
2015-01-26,2850.0,2800.0,2850.0,2800.0,1.0,2830.0,-0.885
2015-01-27,2775.0,2775.0,3050.0,2900.0,15.0,2845.0,3.5714
2015-01-28,2975.0,2975.0,3550.0,3125.0,178.0,2895.0,7.7586
2015-01-29,3075.0,2825.0,3075.0,2850.0,26.0,2900.0,-8.8
2015-01-30,2775.0,2775.0,2925.0,2812.5,20.0,2897.5,-1.3158
2015-02-02,2775.0,2650.0,2825.0,2775.0,17.0,2892.5,-1.3333
2015-02-03,2800.0,2800.0,3175.0,2825.0,54.0,2877.5,1.8018
2015-02-04,2850.0,2850.0,2950.0,2925.0,7.0,2837.5,3.5398
2015-02-05,2850.0,2825.0,3050.0,2850.0,13.0,2837.5,-2.5641
2015-02-06,2900.0,2900.0,3125.0,2925.0,20.0,2860.0,2.6316
2015-02-09,2900.0,2800.0,2950.0,2800.0,7.0,2865.0,-4.2735
2015-02-10,2800.0,2800.0,2875.0,2850.0,7.0,2870.0,1.7857
2015-02-11,2875.0,2875.0,3050.0,2900.0,48.0,2865.0,1.7544
2015-02-12,2875.0,2875.0,3000.0,2887.5,19.0,2872.5,-0.431
2015-02-13,2875.0,2875.0,3275.0,3225.0,78.0,2932.5,11.6883
2015-02-17,3300.0,3025.0,3300.0,3075.0,36.0,2987.5,-4.6512
2015-02-18,3025.0,3025.0,3500.0,3450.0,39.0,3107.5,12.1951
2015-02-19,3450.0,3025.0,3450.0,3362.5,25.0,3200.0,-2.5362
2015-02-20,3300.0,3125.0,3400.0,3125.0,11.0,3247.5,-7.0632
2015-02-23,3175.0,3050.0,3325.0,3200.0,23.0,3242.5,2.4
2015-02-24,3250.0,3125.0,3250.0,3175.0,13.0,3262.5,-0.7813
2015-02-25,3150.0,3125.0,3200.0,3200.0,6.0,3212.5,0.7874
2015-02-26,3200.0,3000.0,3200.0,3050.0,7.0,3150.0,-4.6875
2015-02-27,3100.0,2900.0,3100.0,3000.0,13.0,3125.0,-1.6393
2015-03-02,2975.0,2950.0,3175.0,3000.0,19.0,3085.0,0.0
2015-03-03,3000.0,2950.0,3025.0,3012.5,3.0,3052.5,0.4167
2015-03-04,2950.0,2900.0,3000.0,3000.0,6.0,3012.5,-0.4149
2015-03-05,3000.0,2900.0,3000.0,2900.0,9.0,2982.5,-3.3333
