date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-12-21,10.5,10.25,10.5,10.25,4577.0,,
2020-12-22,11.28,10.18,11.28,10.18,925.0,,-0.6829
2020-12-23,10.5,9.97,10.51,9.97,11295.0,,-2.0629
2020-12-24,10.39,10.05,10.39,10.05,1459.0,,0.8024
2020-12-28,10.25,10.05,10.305,10.28,40689.0,10.146,2.2886
2020-12-29,10.79,10.3,10.79,10.7,15522.0,10.236,4.0856
2020-12-30,10.5,10.33,10.5,10.38,20234.0,10.276,-2.9907
2020-12-31,10.3,10.27,10.31,10.3,3254.0,10.342,-0.7707
2021-01-04,10.26,10.21,10.27,10.25,6413.0,10.382,-0.4854
2021-01-05,10.29,10.29,10.33,10.33,1141.0,10.392,0.7805
2021-01-06,10.51,10.11,10.51,10.25,4458.0,10.302,-0.7744
2021-01-07,10.34,10.34,10.42,10.42,1187.0,10.31,1.6585
2021-01-08,10.45,10.4,10.63,10.51,115307.0,10.352,0.8637
2021-01-11,10.55,10.44,10.55,10.53,19600.0,10.408,0.1903
2021-01-12,10.68,10.41,10.68,10.49,94043.0,10.44,-0.3799
2021-01-13,10.49,10.49,10.6,10.52,6673.0,10.494,0.286
2021-01-14,10.65,10.56,10.8,10.76,6462.0,10.562,2.2814
2021-01-15,10.97,10.55,10.97,10.93,11914.0,10.646,1.5799
2021-01-19,10.88,10.81,11.55,11.2,19890.0,10.78,2.4703
2021-01-20,11.29,11.1,11.48,11.1,25653.0,10.902,-0.8929
2021-01-21,11.22,11.22,11.45,11.34,2339.0,11.066,2.1622
2021-01-22,11.47,11.14,11.54,11.2,8266.0,11.154,-1.2346
2021-01-25,11.26,10.83,11.26,11.09,53537.0,11.186,-0.9821
2021-01-26,11.21,10.705,11.21,10.93,122618.0,11.132,-1.4427
2021-01-27,11.58,10.66,11.58,10.75,222601.0,11.062,-1.6468
2021-01-28,10.99,10.795,11.0,11.0,54112.0,10.994,2.3256
2021-01-29,11.01,10.86,11.19,10.99,18950.0,10.952,-0.0909
2021-02-01,11.39,11.2,11.59,11.41,375120.0,11.016,3.8217
2021-02-02,13.16,11.45,13.2,11.78,2105472.0,11.186,3.2428
2021-02-03,11.6,11.16,11.69,11.25,464762.0,11.286,-4.4992
2021-02-04,11.16,10.8,11.22,10.87,353209.0,11.26,-3.3778
2021-02-05,10.91,10.71,11.0,10.75,158698.0,11.212,-1.104
2021-02-08,11.0,10.91,11.29,11.13,360785.0,11.156,3.5349
2021-02-09,11.18,11.04,11.32,11.26,220719.0,11.052,1.168
2021-02-10,11.14,10.85,11.24,11.24,252700.0,11.05,-0.1776
2021-02-11,11.22,10.91,11.23,11.0,115538.0,11.076,-2.1352
