date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,78.07,76.76,78.66,78.25,76428.0,78.876,0.372
2015-01-05,78.09,75.67,78.09,75.7,104203.0,78.118,-3.2588
2015-01-06,76.0,74.33,76.25,74.71,131209.0,77.116,-1.3078
2015-01-07,75.27,73.75,75.43,73.93,141844.0,76.11,-1.044
2015-01-08,74.52,74.36,75.99,75.33,127526.0,75.584,1.8937
2015-01-09,75.58,73.97,75.74,74.17,121921.0,74.768,-1.5399
2015-01-12,74.26,73.0,74.26,73.36,123269.0,74.3,-1.0921
2015-01-13,73.88,72.54,74.95,73.53,101007.0,74.064,0.2317
2015-01-14,72.51,72.5,73.65,73.25,85064.0,73.928,-0.3808
2015-01-15,73.36,72.07,73.96,72.19,103669.0,73.3,-1.4471
2015-01-16,72.03,71.58,72.81,72.53,83944.0,72.972,0.471
2015-01-20,72.66,71.97,73.36,72.21,124901.0,72.742,-0.4412
2015-01-21,72.0,71.82,73.11,72.76,129512.0,72.588,0.7617
2015-01-22,73.08,72.12,73.7,73.01,106800.0,72.54,0.3436
2015-01-23,72.86,72.23,73.48,72.5,99287.0,72.602,-0.6985
2015-01-26,72.18,72.0,73.76,73.53,135406.0,72.802,1.4207
2015-01-27,72.62,72.62,73.95,73.39,101625.0,73.038,-0.1904
2015-01-28,73.69,72.43,73.72,72.51,73797.0,72.988,-1.1991
2015-01-29,72.55,72.15,73.81,73.68,112749.0,73.122,1.6136
2015-01-30,73.18,72.75,73.92,72.86,172249.0,73.194,-1.1129
2015-02-02,73.03,72.1,73.62,73.46,131182.0,73.18,0.8235
2015-02-03,73.74,73.65,75.41,75.31,171493.0,73.564,2.5184
2015-02-04,75.13,74.38,75.44,74.43,85321.0,73.948,-1.1685
2015-02-05,75.01,74.81,75.56,75.36,102538.0,74.284,1.2495
2015-02-06,76.12,75.23,76.18,75.75,110725.0,74.862,0.5175
2015-02-09,75.22,75.14,76.07,75.7,52206.0,75.31,-0.066
2015-02-10,76.32,75.0,76.32,75.72,58197.0,75.392,0.0264
2015-02-11,75.68,75.22,76.34,76.1,46410.0,75.726,0.5018
2015-02-12,76.05,75.94,76.75,76.67,85549.0,75.988,0.749
2015-02-13,76.61,76.61,78.35,78.04,71939.0,76.446,1.7869
2015-02-17,77.83,77.29,78.2,77.68,54236.0,76.842,-0.4613
2015-02-18,77.34,77.34,78.83,78.26,69027.0,77.35,0.7467
2015-02-19,77.87,77.87,78.57,78.29,47237.0,77.788,0.0383
2015-02-20,78.02,77.5,78.49,78.46,67251.0,78.146,0.2171
2015-02-23,78.38,77.61,78.6,78.6,108572.0,78.258,0.1784
2015-02-24,78.63,77.83,79.0,78.41,179259.0,78.404,-0.2417
2015-02-25,77.72,77.42,80.36,78.6,227256.0,78.472,0.2423
2015-02-26,78.38,77.17,78.38,77.55,124435.0,78.324,-1.3359
2015-02-27,76.94,76.88,77.48,76.93,68810.0,78.018,-0.7995
2015-03-02,76.97,76.97,77.94,77.92,79470.0,77.882,1.2869
2015-03-03,77.94,77.32,78.33,77.45,68100.0,77.69,-0.6032
2015-03-04,77.03,76.15,77.05,76.43,47878.0,77.256,-1.317
2015-03-05,76.56,76.0,76.97,76.5,67595.0,77.046,0.0916
2015-03-06,76.15,75.09,76.58,75.41,68251.0,76.742,-1.4248
2015-03-09,75.57,75.26,76.12,75.32,75631.0,76.222,-0.1193
2015-03-10,74.51,73.69,75.07,73.7,88142.0,75.472,-2.1508
2015-03-11,73.33,72.93,73.96,73.8,179726.0,74.946,0.1357
2015-03-12,74.42,74.42,75.79,75.58,88219.0,74.762,2.4119
2015-03-13,75.56,74.78,75.97,75.28,117018.0,74.736,-0.3969
2015-03-16,75.89,75.58,76.94,76.8,95446.0,75.032,2.0191
2015-03-17,76.84,76.5,77.865,77.77,159386.0,75.846,1.263
2015-03-18,77.3,77.14,79.4,79.01,111424.0,76.888,1.5944
2015-03-19,78.87,77.87,78.96,78.13,64226.0,77.398,-1.1138
2015-03-20,78.55,78.22,78.93,78.26,214764.0,77.994,0.1664
2015-03-23,78.39,77.83,78.48,77.88,73126.0,78.21,-0.4856
2015-03-24,77.88,77.09,77.88,77.17,77930.0,78.09,-0.9117
2015-03-25,77.46,76.37,77.93,76.45,50773.0,77.578,-0.933
2015-03-26,76.0,75.63,76.79,76.43,74177.0,77.238,-0.0262
2015-03-27,76.57,76.32,77.82,77.42,106521.0,77.07,1.2953
2015-03-30,77.92,77.92,78.7,78.52,61337.0,77.198,1.4208
2015-03-31,77.91,77.67,78.4,78.34,76952.0,77.432,-0.2292
2015-04-01,78.28,76.54,78.43,76.72,88276.0,77.486,-2.0679
2015-04-02,76.87,76.57,77.57,77.24,82896.0,77.648,0.6778
2015-04-06,76.94,76.94,79.01,78.78,112564.0,77.92,1.9938
2015-04-07,79.0,78.36,79.0,78.43,70563.0,77.902,-0.4443
2015-04-08,78.35,77.9,78.81,78.65,66597.0,77.964,0.2805
2015-04-09,78.34,78.0,78.82,78.68,60739.0,78.356,0.0381
2015-04-10,78.63,78.52,79.5,78.8,63695.0,78.668,0.1525
2015-04-13,78.56,78.3,79.48,78.3,66693.0,78.572,-0.6345
2015-04-14,78.36,77.89,79.01,78.83,72131.0,78.652,0.6769
2015-04-15,79.16,79.0,79.99,79.26,60697.0,78.774,0.5455
2015-04-16,79.1,78.7,79.4,79.01,48326.0,78.84,-0.3154
2015-04-17,78.62,78.31,79.15,79.0,94469.0,78.88,-0.0127
2015-04-20,79.34,79.34,80.25,79.84,43350.0,79.188,1.0633
