date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,15.64,15.09,15.73,15.165,245223.0,15.366,-2.1613
2015-01-05,15.06,14.81,15.38,14.97,278834.0,15.315,-1.2859
2015-01-06,15.0,14.52,15.19,14.67,357549.0,15.133,-2.004
2015-01-07,14.87,14.87,15.24,15.19,238911.0,15.099,3.5446
2015-01-08,15.4,15.18,15.72,15.7,295783.0,15.139,3.3575
2015-01-09,15.74,15.16,15.8,15.39,222157.0,15.184,-1.9745
2015-01-12,15.47,15.385,15.9,15.68,248144.0,15.326,1.8843
2015-01-13,15.81,15.13,16.13,15.38,460124.0,15.468,-1.9133
2015-01-14,15.22,14.89,15.765,15.61,261934.0,15.552,1.4954
2015-01-15,15.68,14.54,15.71,14.59,337788.0,15.33,-6.5343
2015-01-16,14.51,14.28,15.315,15.25,745523.0,15.302,4.5236
2015-01-20,15.34,14.71,15.54,14.85,452255.0,15.136,-2.623
2015-01-21,14.59,14.4,14.98,14.5,305443.0,14.96,-2.3569
2015-01-22,14.62,14.04,14.64,14.59,274951.0,14.756,0.6207
2015-01-23,14.55,14.4,14.75,14.62,176686.0,14.762,0.2056
2015-01-26,14.55,14.46,14.79,14.75,201236.0,14.662,0.8892
2015-01-27,14.54,14.54,15.055,14.97,205229.0,14.686,1.4915
2015-01-28,15.06,14.46,15.35,14.52,314619.0,14.69,-3.006
2015-01-29,14.6,14.29,15.08,15.06,375918.0,14.784,3.719
2015-01-30,14.99,14.55,15.34,14.64,423182.0,14.788,-2.7888
2015-02-02,14.68,14.33,14.84,14.59,356353.0,14.756,-0.3415
2015-02-03,14.58,14.03,14.68,14.55,253839.0,14.672,-0.2742
2015-02-04,14.41,13.85,14.41,14.13,257377.0,14.594,-2.8866
2015-02-05,14.28,14.03,14.505,14.47,403589.0,14.476,2.4062
2015-02-06,14.47,13.92,14.47,13.95,296791.0,14.338,-3.5936
2015-02-09,13.92,13.76,14.12,13.85,232394.0,14.19,-0.7168
2015-02-10,13.99,13.74,13.99,13.765,294473.0,14.033,-0.6137
2015-02-11,13.74,13.33,13.83,13.69,530264.0,13.945,-0.5449
2015-02-12,13.83,13.48,13.83,13.68,234802.0,13.787,-0.073
2015-02-13,13.77,13.51,13.79,13.54,218117.0,13.705,-1.0234
2015-02-17,13.53,13.51,13.84,13.65,269495.0,13.665,0.8124
2015-02-18,13.61,13.48,13.705,13.6,313145.0,13.632,-0.3663
2015-02-19,13.62,13.57,13.99,13.65,223947.0,13.624,0.3676
2015-02-20,13.59,13.42,13.78,13.61,340103.0,13.61,-0.293
2015-02-23,13.62,13.37,13.74,13.59,317023.0,13.62,-0.147
2015-02-24,13.64,13.35,13.73,13.48,332438.0,13.586,-0.8094
2015-02-25,13.76,12.28,13.82,13.22,1189205.0,13.51,-1.9288
2015-02-26,12.95,12.75,13.27,12.98,389131.0,13.376,-1.8154
2015-02-27,13.0,12.75,13.37,13.07,520548.0,13.268,0.6934
2015-03-02,12.87,12.39,13.06,13.03,648506.0,13.156,-0.306
2015-03-03,13.02,12.88,13.24,12.94,1366717.0,13.048,-0.6907
2015-03-04,12.93,12.81,13.425,13.39,339138.0,13.082,3.4776
2015-03-05,13.5,13.24,13.66,13.3,424694.0,13.146,-0.6721
2015-03-06,13.21,12.76,13.31,13.02,312681.0,13.136,-2.1053
2015-03-09,12.99,12.52,13.0,12.8,263040.0,13.09,-1.6897
2015-03-10,12.72,12.48,12.875,12.66,336000.0,13.034,-1.0938
2015-03-11,12.64,12.51,13.07,13.03,392229.0,12.962,2.9226
2015-03-12,13.13,12.97,13.53,13.49,403449.0,13.0,3.5303
2015-03-13,13.49,13.44,13.94,13.89,396067.0,13.174,2.9652
2015-03-16,13.98,13.9,14.54,14.07,470350.0,13.428,1.2959
2015-03-17,13.96,13.86,14.23,14.13,329276.0,13.722,0.4264
2015-03-18,12.02,11.79,12.91,12.51,1361373.0,13.618,-11.465
2015-03-19,12.55,11.69,12.55,11.89,769912.0,13.298,-4.956
2015-03-20,11.95,11.76,12.21,12.02,1081488.0,12.924,1.0934
2015-03-23,11.94,11.21,11.95,11.62,513008.0,12.434,-3.3278
2015-03-24,11.57,11.5,11.85,11.52,361192.0,11.912,-0.8606
2015-03-25,11.53,10.875,11.7,11.02,532434.0,11.614,-4.3403
2015-03-26,10.99,10.7,11.05,10.91,568466.0,11.418,-0.9982
2015-03-27,10.91,10.7,11.16,11.09,543814.0,11.232,1.6499
2015-03-30,11.14,10.63,11.31,11.31,536468.0,11.17,1.9838
2015-03-31,11.22,10.98,11.27,11.0,412867.0,11.066,-2.7409
2015-04-01,10.98,10.6,11.02,10.82,522998.0,11.026,-1.6364
