date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,13.99,13.84,14.0,13.85,2814.0,13.956,-1.0007
2015-01-05,13.69,13.17,13.85,13.17,5147.0,13.792,-4.9097
2015-01-06,13.21,13.0,13.27,13.08,7009.0,13.61,-0.6834
2015-01-07,13.22,13.02,13.51,13.51,3237.0,13.52,3.2875
2015-01-08,13.57,13.57,14.0,13.99,5999.0,13.52,3.5529
2015-01-09,13.94,13.35,13.94,13.35,2528.0,13.42,-4.5747
2015-01-12,13.34,13.15,13.34,13.16,2883.0,13.418,-1.4232
2015-01-13,13.29,13.22,13.53,13.22,3154.0,13.446,0.4559
2015-01-14,13.14,13.13,13.26,13.26,1702.0,13.396,0.3026
2015-01-15,13.23,13.1,13.32,13.11,4207.0,13.22,-1.1312
2015-01-16,13.04,13.04,13.7,13.39,8176.0,13.228,2.1358
2015-01-20,13.35,13.35,14.85,14.31,9619.0,13.458,6.8708
2015-01-21,14.3,13.91,14.5,13.91,3435.0,13.596,-2.7952
2015-01-22,14.07,14.0,14.39,14.27,7892.0,13.798,2.5881
2015-01-23,14.32,14.09,14.39,14.09,1969.0,13.994,-1.2614
2015-01-26,14.08,13.92,14.13,14.13,2921.0,14.142,0.2839
2015-01-27,13.95,13.8,13.98,13.8,2947.0,14.04,-2.3355
2015-01-28,13.91,13.6,13.91,13.61,4501.0,13.98,-1.3768
2015-01-29,13.61,13.61,14.17,14.13,5051.0,13.952,3.8207
2015-01-30,13.97,13.77,14.39,13.85,3708.0,13.904,-1.9816
2015-02-02,13.88,13.85,14.24,14.19,3398.0,13.916,2.4549
2015-02-03,14.31,14.31,14.59,14.58,3026.0,14.072,2.7484
2015-02-04,14.48,14.48,15.03,14.76,5023.0,14.302,1.2346
2015-02-05,14.98,14.63,14.98,14.7,2332.0,14.416,-0.4065
2015-02-06,14.74,14.54,14.79,14.54,3705.0,14.554,-1.0884
2015-02-09,14.55,14.29,14.55,14.36,2498.0,14.588,-1.238
2015-02-10,14.51,14.51,16.45,14.92,6029.0,14.656,3.8997
2015-02-11,14.92,14.19,14.92,14.19,4675.0,14.542,-4.8928
2015-02-12,14.34,14.34,14.92,14.84,2224.0,14.57,4.5807
2015-02-13,14.89,14.6,14.89,14.6,4955.0,14.582,-1.6173
2015-02-17,14.7,14.14,15.0,14.14,3313.0,14.538,-3.1507
2015-02-18,14.59,14.12,14.59,14.12,949.0,14.378,-0.1414
2015-02-19,14.13,14.0,14.26,14.0,3166.0,14.34,-0.8499
2015-02-20,14.04,13.97,14.06,14.04,3919.0,14.18,0.2857
2015-02-23,14.0,13.9,14.19,13.93,8118.0,14.046,-0.7835
2015-02-24,14.0,13.95,14.0,14.0,1285.0,14.018,0.5025
2015-02-25,13.6,13.6,14.0,13.8,1968.0,13.954,-1.4286
2015-02-26,13.74,13.74,14.0,13.97,2916.0,13.948,1.2319
2015-02-27,13.9,13.9,14.0,13.9,6278.0,13.92,-0.5011
2015-03-02,13.92,13.84,14.16,14.16,3931.0,13.966,1.8705
2015-03-03,14.07,13.8,14.07,13.81,2492.0,13.928,-2.4718
2015-03-04,13.75,13.73,13.88,13.73,1563.0,13.914,-0.5793
2015-03-05,14.03,13.7,14.05,13.7,1682.0,13.86,-0.2185
2015-03-06,13.64,13.48,13.64,13.48,3975.0,13.776,-1.6058
2015-03-09,12.99,12.99,13.94,13.94,3625.0,13.732,3.4125
2015-03-10,13.72,13.42,13.93,13.78,3401.0,13.726,-1.1478
2015-03-11,13.77,13.72,14.07,13.94,4512.0,13.768,1.1611
2015-03-12,14.08,14.05,14.5,14.5,3576.0,13.928,4.0172
2015-03-13,14.57,14.42,14.57,14.51,2406.0,14.134,0.069
2015-03-16,14.96,14.82,14.99,14.92,2801.0,14.33,2.8256
2015-03-17,14.25,14.25,15.43,15.38,1653.0,14.65,3.0831
2015-03-18,15.09,14.87,15.74,15.74,3408.0,15.01,2.3407
2015-03-19,15.59,14.53,15.59,14.85,3350.0,15.08,-5.6544
2015-03-20,14.87,14.87,15.72,15.28,24767.0,15.234,2.8956
2015-03-23,15.31,14.96,15.63,15.02,8478.0,15.254,-1.7016
2015-03-24,15.02,14.94,15.04,14.94,2458.0,15.166,-0.5326
2015-03-25,14.89,14.1,14.89,14.17,5933.0,14.852,-5.1539
2015-03-26,14.13,14.13,14.33,14.33,2540.0,14.748,1.1291
2015-03-27,14.27,14.13,14.44,14.44,5911.0,14.58,0.7676
2015-03-30,14.46,14.0,14.46,14.26,3678.0,14.428,-1.2465
2015-03-31,14.08,14.08,14.49,14.4,2408.0,14.32,0.9818
2015-04-01,14.27,14.12,14.67,14.31,2699.0,14.348,-0.625
2015-04-02,14.29,14.13,14.5,14.34,2320.0,14.35,0.2096
2015-04-06,14.26,13.85,14.29,14.14,5695.0,14.29,-1.3947
2015-04-07,14.05,13.86,14.16,14.16,2460.0,14.27,0.1414
2015-04-08,14.08,14.08,14.51,14.28,3187.0,14.246,0.8475
2015-04-09,14.4,14.0,14.4,14.37,1367.0,14.258,0.6303
2015-04-10,14.46,14.4,14.7,14.4,2310.0,14.27,0.2088
2015-04-13,14.4,14.4,14.69,14.57,1352.0,14.356,1.1806
2015-04-14,14.5,14.2,14.51,14.25,4653.0,14.374,-2.1963
2015-04-15,14.25,14.04,14.25,14.1,4319.0,14.338,-1.0526
2015-04-16,14.12,14.0,14.12,14.05,8326.0,14.274,-0.3546
2015-04-17,13.88,13.56,13.88,13.62,7404.0,14.118,-3.0605
2015-04-20,13.71,13.56,14.17,14.17,2441.0,14.038,4.0382
2015-04-21,14.31,14.06,14.31,14.06,2454.0,14.0,-0.7763
2015-04-22,14.22,13.99,14.68,14.68,2457.0,14.116,4.4097
2015-04-23,14.6,14.32,15.02,14.83,4439.0,14.272,1.0218
2015-04-24,14.76,14.76,15.1,15.1,3852.0,14.568,1.8206
2015-04-27,15.07,14.47,15.09,14.6,4079.0,14.654,-3.3113
2015-04-28,14.68,14.68,15.24,14.82,2801.0,14.806,1.5068
2015-04-29,14.75,14.71,15.06,14.9,10762.0,14.85,0.5398
2015-04-30,14.9,14.39,14.9,14.42,6977.0,14.768,-3.2215
2015-05-01,14.55,13.95,14.57,14.48,6522.0,14.644,0.4161
2015-05-04,14.48,14.22,14.61,14.4,3643.0,14.604,-0.5525
2015-05-05,14.37,14.0,14.37,14.02,8989.0,14.444,-2.6389
2015-05-06,14.18,14.0,14.18,14.06,6705.0,14.276,0.2853
2015-05-07,13.94,13.94,14.35,14.21,3539.0,14.234,1.0669
2015-05-08,14.28,14.1,14.66,14.25,6860.0,14.188,0.2815
2015-05-11,14.22,14.2,14.39,14.39,2061.0,14.186,0.9825
2015-05-12,14.19,14.01,14.27,14.02,6730.0,14.186,-2.5712
2015-05-13,14.14,13.65,14.19,13.76,6640.0,14.126,-1.8545
2015-05-14,13.75,13.71,14.03,14.03,6436.0,14.09,1.9622
2015-05-15,14.0,14.0,14.49,14.17,6434.0,14.074,0.9979
2015-05-18,14.12,13.82,14.9,14.81,7499.0,14.158,4.5166
2015-05-19,14.68,14.26,14.92,14.9,6072.0,14.334,0.6077
2015-05-20,15.0,14.43,15.0,14.43,2570.0,14.468,-3.1544
2015-05-21,14.42,14.12,14.7,14.42,6146.0,14.546,-0.0693
2015-05-22,14.35,14.27,14.59,14.56,4286.0,14.624,0.9709
2015-05-26,14.54,13.7,14.54,13.7,6535.0,14.402,-5.9066
2015-05-27,13.6,13.6,13.91,13.91,3409.0,14.204,1.5328
2015-05-28,13.79,13.64,13.82,13.81,5894.0,14.08,-0.7189
2015-05-29,13.75,13.59,14.0,13.98,8156.0,13.992,1.231
