date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,17.03,16.445,17.03,16.625,44406.0,17.063,-1.8885
2015-01-05,16.485,16.485,16.92,16.825,61092.0,16.966,1.203
2015-01-06,16.665,16.24,16.685,16.68,44456.0,16.84,-0.8618
2015-01-07,16.8,16.56,17.135,17.1,65188.0,16.835,2.518
2015-01-08,17.23,16.98,17.45,17.45,201928.0,16.936,2.0468
2015-01-09,17.435,17.17,17.78,17.76,229054.0,17.163,1.7765
2015-01-12,17.71,17.395,18.055,18.04,246840.0,17.406,1.5766
2015-01-13,18.05,17.715,18.055,18.035,164770.0,17.677,-0.0277
2015-01-14,17.905,17.89,18.1,18.025,80558.0,17.862,-0.0554
2015-01-15,18.105,17.875,18.105,17.94,68860.0,17.96,-0.4716
2015-01-16,17.89,17.855,18.095,18.07,67938.0,18.022,0.7246
2015-01-20,18.125,18.04,18.225,18.17,97600.0,18.048,0.5534
2015-01-21,19.875,19.475,20.77,20.62,313790.0,18.565,13.4838
2015-01-22,20.62,20.13,21.9,21.845,165488.0,19.329,5.9408
2015-01-23,21.77,21.64,22.325,22.135,106328.0,20.168,1.3275
2015-01-26,22.145,21.885,22.305,21.965,64756.0,20.947,-0.768
2015-01-27,21.515,21.405,21.7295,21.47,95994.0,21.607,-2.2536
2015-01-28,21.465,21.125,21.465,21.125,65244.0,21.708,-1.6069
2015-01-29,21.16,20.935,21.445,21.39,83386.0,21.617,1.2544
2015-01-30,21.19,20.955,21.47,20.97,65738.0,21.384,-1.9635
2015-02-02,21.03,20.495,21.15,20.785,87250.0,21.148,-0.8822
2015-02-03,20.93,20.795,21.0575,20.995,92084.0,21.053,1.0103
2015-02-04,21.0,20.985,21.235,21.15,105236.0,21.058,0.7383
2015-02-05,21.28,21.28,21.39,21.35,59966.0,21.05,0.9456
2015-02-06,21.36,21.28,21.4,21.35,90728.0,21.126,0.0
2015-02-09,21.365,21.26,21.755,21.305,97418.0,21.23,-0.2108
2015-02-10,23.0,21.815,23.5,22.32,332824.0,21.495,4.7641
2015-02-11,22.95,22.915,23.39,23.04,355640.0,21.873,3.2258
2015-02-12,23.2,23.2,23.875,23.855,348124.0,22.374,3.5373
2015-02-13,23.795,23.795,24.5,24.455,229166.0,22.995,2.5152
2015-02-17,24.5,24.465,25.455,25.005,281084.0,23.735,2.249
2015-02-18,25.0,25.0,25.95,25.23,289830.0,24.317,0.8998
2015-02-19,25.275,25.275,25.815,25.77,195810.0,24.863,2.1403
2015-02-20,25.795,25.445,25.81,25.685,154496.0,25.229,-0.3298
2015-02-23,25.695,25.32,25.75,25.475,209364.0,25.433,-0.8176
2015-02-24,25.52,25.34,25.63,25.37,357738.0,25.506,-0.4122
2015-02-25,25.445,25.26,25.5,25.34,303392.0,25.528,-0.1182
2015-02-26,25.39,25.36,26.245,26.205,229868.0,25.615,3.4136
2015-02-27,26.315,25.77,26.38,25.9,157076.0,25.658,-1.1639
2015-03-02,25.925,25.91,26.495,26.46,151946.0,25.855,2.1622
2015-03-03,26.485,26.075,26.61,26.505,121942.0,26.082,0.1701
2015-03-04,26.34,26.26,26.63,26.6,91590.0,26.334,0.3584
2015-03-05,26.735,26.35,26.735,26.7,111562.0,26.433,0.3759
2015-03-06,26.595,26.37,26.77,26.425,91508.0,26.538,-1.03
2015-03-09,26.455,26.455,26.995,26.96,72706.0,26.638,2.0246
2015-03-10,26.79,26.535,26.89,26.665,82452.0,26.67,-1.0942
