date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-03-19,15.5,14.5,15.5,14.5,300.0,,
2015-03-20,14.3,14.3,14.5,14.5,664.0,,0.0
2015-03-23,14.01,13.75,14.12,13.75,8017.0,,-5.1724
2015-03-24,13.65,12.9,13.72,13.08,7267.0,,-4.8727
2015-03-25,13.12,13.08,13.7,13.7,14186.0,13.906,4.7401
2015-03-26,13.5,13.5,14.5,14.25,27452.0,13.856,4.0146
2015-03-27,14.15,14.15,14.5,14.25,6331.0,13.806,0.0
2015-03-30,14.35,14.35,14.7,14.45,3704.0,13.946,1.4035
2015-03-31,14.45,13.85,14.45,14.01,15175.0,14.132,-3.045
2015-04-01,14.0,13.75,14.0,13.85,21295.0,14.162,-1.142
2015-04-02,13.5,13.25,14.09,13.91,48128.0,14.094,0.4332
2015-04-06,13.63,13.63,14.56,14.56,91927.0,14.156,4.6729
2015-04-07,14.45,14.33,14.65,14.55,15418.0,14.176,-0.0687
2015-04-08,14.4,14.38,14.56,14.44,21828.0,14.262,-0.756
2015-04-09,14.28,14.22,14.5,14.24,27702.0,14.34,-1.385
2015-04-10,14.14,14.01,14.3,14.03,36851.0,14.364,-1.4747
2015-04-13,14.01,13.8,14.13,13.86,51127.0,14.224,-1.2117
2015-04-14,13.9,13.8,13.95,13.87,15140.0,14.088,0.0722
2015-04-15,13.85,13.85,14.02,13.94,17632.0,13.988,0.5047
2015-04-16,13.94,13.81,14.02,13.95,23661.0,13.93,0.0717
2015-04-17,13.87,13.86,14.03,13.96,13964.0,13.916,0.0717
2015-04-20,13.95,13.95,14.09,14.01,12508.0,13.946,0.3582
2015-04-21,13.96,13.89,14.05,13.94,20489.0,13.96,-0.4996
2015-04-22,14.0,13.87,14.01,13.95,20236.0,13.962,0.0717
2015-04-23,13.95,13.86,14.0,13.87,110280.0,13.946,-0.5735
2015-04-24,14.0,13.95,14.1,13.97,37105.0,13.948,0.721
2015-04-27,13.96,13.96,14.01,13.96,42568.0,13.938,-0.0716
2015-04-28,13.95,13.9,13.99,13.96,12923.0,13.942,0.0
2015-04-29,14.0,13.86,14.0,13.93,30577.0,13.938,-0.2149
2015-04-30,13.85,13.85,14.2,14.14,24211.0,13.992,1.5075
2015-05-01,14.1,13.92,14.33,14.3,52377.0,14.058,1.1315
2015-05-04,14.05,14.05,14.28,14.27,24858.0,14.12,-0.2098
2015-05-05,14.15,14.15,14.29,14.23,14919.0,14.174,-0.2803
2015-05-06,14.15,14.08,14.22,14.13,15565.0,14.214,-0.7027
2015-05-07,14.05,14.0,14.112,14.06,38652.0,14.198,-0.4954
2015-05-08,14.02,14.02,14.32,14.29,29912.0,14.196,1.6358
2015-05-11,14.15,14.15,14.44,14.44,24279.0,14.23,1.0497
2015-05-12,14.2,14.2,14.44,14.42,15522.0,14.268,-0.1385
2015-05-13,14.19,14.19,14.54,14.54,32859.0,14.35,0.8322
2015-05-14,14.36,14.35,14.71,14.4,51027.0,14.418,-0.9629
2015-05-15,14.37,14.37,14.64,14.58,11595.0,14.476,1.25
2015-05-18,14.5,14.5,14.62,14.61,71384.0,14.51,0.2058
2015-05-19,14.55,14.55,14.74,14.72,34892.0,14.57,0.7529
2015-05-20,14.67,14.67,14.75,14.7,19601.0,14.602,-0.1359
2015-05-21,14.76,14.68,14.95,14.82,25316.0,14.686,0.8163
2015-05-22,14.75,14.75,14.91,14.9,11790.0,14.75,0.5398
2015-05-26,14.92,14.85,14.92,14.91,8309.0,14.81,0.0671
2015-05-27,15.0,14.89,15.15,15.04,38354.0,14.874,0.8719
2015-05-28,14.97,14.97,15.2,15.19,17579.0,14.972,0.9973
2015-05-29,15.21,15.13,15.23,15.14,12735.0,15.036,-0.3292
2015-06-01,15.14,15.08,15.32,15.3,14414.0,15.116,1.0568
2015-06-02,15.21,15.05,15.24,15.14,18290.0,15.162,-1.0458
2015-06-03,15.05,14.9,15.18,15.04,15451.0,15.162,-0.6605
2015-06-04,14.92,14.7,15.01,14.87,22912.0,15.098,-1.1303
2015-06-05,14.72,14.56,14.86,14.81,35097.0,15.032,-0.4035
2015-06-08,14.8,14.8,14.97,14.94,31082.0,14.96,0.8778
2015-06-09,15.0,14.96,15.17,15.06,47321.0,14.944,0.8032
2015-06-10,15.15,14.97,15.15,15.0,21670.0,14.936,-0.3984
2015-06-11,14.86,14.49,14.91,14.83,19504.0,14.928,-1.1333
2015-06-12,14.76,14.52,14.82,14.66,16841.0,14.898,-1.1463
2015-06-15,14.58,14.52,14.76,14.56,27673.0,14.822,-0.6821
2015-06-16,14.5,14.5,14.69,14.65,22818.0,14.74,0.6181
2015-06-17,14.63,14.62,14.77,14.71,16011.0,14.682,0.4096
2015-06-18,14.66,14.5,14.74,14.53,46608.0,14.622,-1.2237
2015-06-19,14.53,14.53,14.89,14.75,485616.0,14.64,1.5141
2015-06-22,14.72,14.49,14.8,14.51,26305.0,14.63,-1.6271
2015-06-23,14.58,14.5,14.67,14.54,23445.0,14.608,0.2068
2015-06-24,14.51,14.29,14.52,14.47,18977.0,14.56,-0.4814
2015-06-25,14.4,13.86,14.5,13.99,57766.0,14.452,-3.3172
2015-06-26,13.87,13.679,14.24,14.02,1121613.0,14.306,0.2144
2015-06-29,14.02,13.29,14.03,13.38,29305.0,14.08,-4.5649
2015-06-30,13.53,13.19,13.53,13.43,26759.0,13.858,0.3737
2015-07-01,13.51,13.19,13.76,13.73,54249.0,13.71,2.2338
2015-07-02,13.64,13.27,13.81,13.33,31240.0,13.578,-2.9133
2015-07-06,13.33,13.15,13.43,13.37,28075.0,13.448,0.3001
2015-07-07,13.4,13.22,13.43,13.41,16867.0,13.454,0.2992
2015-07-08,13.3,13.06,13.31,13.31,16244.0,13.43,-0.7457
2015-07-09,13.33,12.99,13.37,13.32,32952.0,13.348,0.0751
2015-07-10,13.37,13.1,13.52,13.4,31287.0,13.362,0.6006
2015-07-13,13.27,13.18,13.401,13.21,27641.0,13.33,-1.4179
2015-07-14,13.15,13.0,13.235,13.16,23324.0,13.28,-0.3785
2015-07-15,13.07,12.95,13.43,13.38,23023.0,13.294,1.6717
2015-07-16,13.38,13.38,13.73,13.5,35727.0,13.33,0.8969
2015-07-17,13.49,13.49,13.64,13.59,22686.0,13.368,0.6667
2015-07-20,13.52,13.48,14.87,13.55,28808.0,13.436,-0.2943
2015-07-21,13.45,13.45,13.7,13.49,19356.0,13.502,-0.4428
2015-07-22,13.46,13.45,13.65,13.53,23095.0,13.532,0.2965
2015-07-23,13.59,13.5,13.64,13.54,25168.0,13.54,0.0739
2015-07-24,13.5,13.49,13.52,13.5,26798.0,13.522,-0.2954
2015-07-27,13.44,13.11,13.44,13.16,30536.0,13.444,-2.5185
2015-07-28,13.09,12.79,13.09,12.81,52128.0,13.308,-2.6596
2015-07-29,12.72,12.62,12.83,12.74,61076.0,13.15,-0.5464
2015-07-30,12.61,12.59,13.1,12.7,68189.0,12.982,-0.314
2015-07-31,12.66,12.66,13.15,12.97,32912.0,12.876,2.126
2015-08-03,12.94,12.83,13.09,13.09,30673.0,12.862,0.9252
2015-08-04,13.02,12.67,13.02,12.72,19952.0,12.844,-2.8266
2015-08-05,12.7,12.59,12.74,12.66,22210.0,12.828,-0.4717
