date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,58.71,57.87,59.36,58.85,138125.0,59.256,0.068
2015-01-05,57.7,56.62,57.9,56.96,578684.0,58.726,-3.2116
2015-01-06,56.6,55.14,57.0,55.68,651901.0,57.876,-2.2472
2015-01-07,56.36,55.41,56.93,55.76,250311.0,57.212,0.1437
2015-01-08,56.12,55.72,56.59,56.45,295932.0,56.74,1.2374
2015-01-09,56.45,54.88,56.68,55.6,197598.0,56.09,-1.5058
2015-01-12,54.13,53.09,54.71,53.67,219970.0,55.432,-3.4712
2015-01-13,53.79,53.13,54.59,53.75,216411.0,55.046,0.1491
2015-01-14,53.46,52.17,53.99,52.99,471285.0,54.492,-1.414
2015-01-15,53.86,50.81,53.98,50.91,458826.0,53.384,-3.9253
2015-01-16,51.12,51.12,54.05,53.99,351504.0,53.062,6.0499
2015-01-20,53.59,52.59,53.7,53.3,183035.0,52.988,-1.278
2015-01-21,53.57,53.21,54.44,54.18,283016.0,53.074,1.651
2015-01-22,54.67,53.03,54.67,53.48,170895.0,53.172,-1.292
2015-01-23,53.2,52.33,53.85,52.35,315736.0,53.46,-2.1129
2015-01-26,52.48,52.25,53.89,53.58,229831.0,53.378,2.3496
2015-01-27,53.09,52.79,53.95,53.44,193668.0,53.406,-0.2613
2015-01-28,53.09,51.0,53.23,51.2,258150.0,52.81,-4.1916
2015-01-29,51.5,50.02,51.99,51.28,255101.0,52.37,0.1562
2015-01-30,50.92,50.61,53.27,52.36,388024.0,52.372,2.1061
2015-02-02,53.68,52.65,54.44,54.4,310530.0,52.536,3.8961
2015-02-03,55.78,54.66,56.362,55.61,283660.0,52.97,2.2243
2015-02-04,54.39,53.81,55.15,53.97,393820.0,53.524,-2.9491
2015-02-05,54.88,54.16,56.43,55.62,199250.0,54.392,3.0573
2015-02-06,55.9,54.91,56.1,55.84,284836.0,55.088,0.3955
2015-02-09,55.91,55.51,56.36,55.65,187518.0,55.338,-0.3403
