date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-12-04,5.95,5.75,6.5,6.15,399762.0,,
2020-12-07,6.53,5.95,6.53,6.07,38919.0,,-1.3008
2020-12-08,6.18,5.95,6.18,6.0,14310.0,,-1.1532
2020-12-09,6.0,5.95,6.09,6.0,26786.0,,0.0
2020-12-10,6.01,5.9,6.03,6.0,24535.0,6.044,0.0
2020-12-11,6.07,5.99,6.11,6.0,13610.0,6.014,0.0
2020-12-14,6.09,5.9,6.15,6.0,35933.0,6.0,0.0
2020-12-15,6.0,5.96,6.185,6.0,92047.0,6.0,0.0
2020-12-16,5.99,5.95,6.24,6.2,86193.0,6.04,3.3333
2020-12-17,6.26,6.05,8.64,7.25,163770.0,6.29,16.9355
2020-12-18,7.5,6.31,7.5,6.79,110626.0,6.448,-6.3448
2020-12-21,6.47,6.2,7.0,6.45,40330.0,6.538,-5.0074
2020-12-22,6.46,6.46,7.98,6.92,26232.0,6.722,7.2868
2020-12-23,7.47,6.9,9.75,7.55,453427.0,6.992,9.104
2020-12-24,7.34,7.21,7.87,7.65,31323.0,7.072,1.3245
2020-12-28,7.89,7.25,8.75,8.59,100371.0,7.432,12.2876
2020-12-29,8.57,7.99,9.49,8.05,229049.0,7.752,-6.2864
2020-12-30,8.12,8.1,10.68,9.5,97403.0,8.268,18.0124
2020-12-31,9.54,9.05,9.99,9.33,28736.0,8.624,-1.7895
2021-01-04,9.49,8.66,9.79,8.81,43673.0,8.856,-5.5734
2021-01-05,8.79,8.79,9.64,9.29,33798.0,8.996,5.4484
2021-01-06,9.5,8.68,9.52,8.79,49477.0,9.144,-5.3821
2021-01-07,8.85,8.85,9.84,8.98,29573.0,9.04,2.1615
2021-01-08,8.85,8.85,9.37,9.25,15594.0,9.024,3.0067
2021-01-11,9.28,8.94,9.38,9.26,30535.0,9.114,0.1081
2021-01-12,9.24,8.86,10.0,9.82,71063.0,9.22,6.0475
2021-01-13,10.0,9.26,14.9,12.28,638589.0,9.918,25.0509
2021-01-14,13.25,11.71,13.4,12.1,109708.0,10.542,-1.4658
2021-01-15,12.49,12.02,14.25,12.68,173973.0,11.228,4.7934
2021-01-19,12.89,12.13,14.5,14.09,135583.0,12.194,11.1199
2021-01-20,14.18,12.75,14.18,13.5,68544.0,12.93,-4.1874
2021-01-21,13.23,12.09,13.61,13.13,54916.0,13.1,-2.7407
2021-01-22,12.95,11.9,13.46,12.06,121342.0,13.092,-8.1493
2021-01-25,12.7,12.0,13.25,12.72,96071.0,13.1,5.4726
2021-01-26,12.54,12.47,14.25,13.02,191915.0,12.886,2.3585
2021-01-27,12.31,12.31,13.41,12.32,79984.0,12.65,-5.3763
2021-01-28,12.36,11.85,12.58,12.13,88537.0,12.45,-1.5422
2021-01-29,12.81,11.96,13.2,12.12,134982.0,12.462,-0.0824
2021-02-01,12.16,11.58,12.97,12.7,173838.0,12.458,4.7855
2021-02-02,12.8,12.15,12.8,12.49,59249.0,12.352,-1.6535
2021-02-03,12.58,12.35,12.8,12.65,112626.0,12.418,1.281
2021-02-04,12.75,12.21,13.56,12.7,222868.0,12.532,0.3953
2021-02-05,12.7,12.28,13.0,12.83,101797.0,12.674,1.0236
2021-02-08,12.99,12.5,14.11,13.25,120271.0,12.784,3.2736
2021-02-09,13.16,12.63,13.16,12.73,110852.0,12.832,-3.9245
2021-02-10,12.93,12.0,13.41,13.09,181058.0,12.92,2.828
2021-02-11,13.2,12.15,13.2,12.65,68808.0,12.91,-3.3613
2021-02-12,12.59,12.25,12.97,12.92,34886.0,12.928,2.1344
2021-02-16,13.45,13.34,16.0,15.4,274576.0,13.358,19.195
2021-02-17,15.1,13.14,15.25,13.33,234402.0,13.478,-13.4416
2021-02-18,13.14,12.25,13.35,12.68,238209.0,13.396,-4.8762
2021-02-19,12.7,12.25,13.0,12.27,115879.0,13.32,-3.2334
2021-02-22,12.4,12.34,14.08,12.89,217960.0,13.314,5.053
2021-02-23,12.04,11.75,14.0,13.39,321938.0,12.912,3.879
2021-02-24,13.74,13.34,14.46,14.0,127834.0,13.046,4.5556
2021-02-25,14.06,12.25,14.66,13.0,125267.0,13.11,-7.1429
2021-02-26,12.64,12.29,13.27,12.47,74631.0,13.15,-4.0769
2021-03-01,12.6,12.47,13.2,12.95,72784.0,13.162,3.8492
2021-03-02,13.1,12.31,13.11,12.31,44930.0,12.946,-4.9421
2021-03-03,12.46,12.05,12.55,12.25,83557.0,12.596,-0.4874
2021-03-04,12.03,10.2,12.36,10.92,263761.0,12.18,-10.8571
2021-03-05,11.3,9.0,11.98,11.92,256465.0,12.07,9.1575
2021-03-08,12.04,9.17,12.5,9.54,191732.0,11.388,-19.9664
2021-03-09,9.95,9.83,10.48,9.91,121799.0,10.908,3.8784
2021-03-10,10.05,9.92,10.87,10.09,49837.0,10.476,1.8163
2021-03-11,10.45,10.35,11.4,11.3,106529.0,10.552,11.9921
2021-03-12,11.11,10.56,11.11,10.99,51568.0,10.366,-2.7434
2021-03-15,11.0,10.88,11.85,11.75,57675.0,10.808,6.9154
2021-03-16,11.91,11.16,12.13,11.29,74201.0,11.084,-3.9149
2021-03-17,11.06,11.06,11.89,11.8,114411.0,11.426,4.5173
