date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,49.23,48.2,49.59,49.08,61561.0,49.622,0.0204
2015-01-05,49.03,47.901,49.03,48.23,85805.0,49.35,-1.7319
2015-01-06,48.43,47.76,49.32,48.68,244519.0,49.0,0.933
2015-01-07,49.17,47.95,49.75,48.94,95900.0,48.8,0.5341
2015-01-08,49.44,49.44,50.4,49.88,78653.0,48.962,1.9207
2015-01-09,49.71,49.15,49.73,49.31,81188.0,49.008,-1.1427
2015-01-12,49.32,48.58,49.32,49.03,138479.0,49.168,-0.5678
2015-01-13,49.46,47.85,49.93,48.26,56881.0,49.084,-1.5705
2015-01-14,47.42,46.53,47.8,47.35,99803.0,48.766,-1.8856
2015-01-15,47.4,46.09,47.48,46.13,50462.0,48.016,-2.5766
2015-01-16,46.01,46.01,47.52,47.44,56878.0,47.642,2.8398
2015-01-20,47.85,46.03,47.89,46.62,76586.0,47.16,-1.7285
2015-01-21,46.62,46.2,47.51,47.25,76038.0,46.958,1.3514
2015-01-22,47.58,47.26,48.24,48.19,53044.0,47.126,1.9894
2015-01-23,48.3,48.12,48.96,48.84,45181.0,47.668,1.3488
2015-01-26,49.34,48.85,50.46,50.45,126681.0,48.27,3.2965
2015-01-27,49.27,49.04,50.24,50.09,77762.0,48.964,-0.7136
2015-01-28,49.93,49.03,50.1,49.19,49523.0,49.352,-1.7968
2015-01-29,49.52,48.9,49.95,49.85,94213.0,49.684,1.3417
2015-01-30,49.52,48.18,49.64,48.35,121829.0,49.586,-3.009
2015-02-02,48.44,46.83,48.47,48.26,78377.0,49.148,-0.1861
2015-02-03,49.19,48.93,50.84,50.74,67145.0,49.278,5.1388
2015-02-04,50.66,50.16,51.04,50.28,45406.0,49.496,-0.9066
2015-02-05,50.74,50.68,51.65,51.57,78341.0,49.84,2.5656
2015-02-06,51.42,51.42,52.48,52.19,100025.0,50.608,1.2022
2015-02-09,52.0,51.66,52.29,51.97,60643.0,51.35,-0.4215
2015-02-10,52.46,51.54,52.52,52.18,73847.0,51.638,0.4041
2015-02-11,49.25,47.36,49.98,48.46,200192.0,51.274,-7.1292
2015-02-12,48.71,47.7,48.77,47.96,186002.0,50.552,-1.0318
2015-02-13,47.96,47.96,49.15,49.02,96218.0,49.918,2.2102
2015-02-17,48.97,47.67,48.97,47.7,172456.0,49.064,-2.6928
2015-02-18,47.65,47.38,47.7,47.66,83101.0,48.16,-0.0839
2015-02-19,48.0,47.99,48.83,48.35,133086.0,48.138,1.4478
2015-02-20,48.24,47.67,48.24,48.1,159009.0,48.166,-0.5171
2015-02-23,48.12,47.56,48.37,47.8,102994.0,47.922,-0.6237
2015-02-24,47.75,47.55,47.99,47.87,152671.0,47.956,0.1464
2015-02-25,47.98,47.57,48.21,47.79,87648.0,47.982,-0.1671
2015-02-26,47.69,47.69,48.15,48.0,63028.0,47.912,0.4394
2015-02-27,48.14,47.82,49.38,49.33,228870.0,48.158,2.7708
2015-03-02,49.54,49.54,50.63,50.56,143829.0,48.71,2.4934
2015-03-03,50.58,49.12,50.58,49.76,113013.0,49.088,-1.5823
2015-03-04,49.44,48.66,49.44,48.79,129845.0,49.288,-1.9494
2015-03-05,48.82,48.7,49.34,49.3,117817.0,49.548,1.0453
2015-03-06,48.86,48.7,49.27,48.76,84827.0,49.434,-1.0953
2015-03-09,48.72,48.16,49.11,49.08,89100.0,49.138,0.6563
2015-03-10,48.59,47.88,48.71,48.15,65268.0,48.816,-1.8949
2015-03-11,48.0,47.98,48.83,48.76,106237.0,48.81,1.2669
2015-03-12,49.06,48.98,50.4,50.37,66158.0,49.024,3.3019
2015-03-13,50.31,49.22,50.46,49.86,89802.0,49.244,-1.0125
2015-03-16,50.06,49.97,50.63,50.59,48128.0,49.546,1.4641
2015-03-17,50.31,50.31,51.0,50.6,65856.0,50.036,0.0198
2015-03-18,50.34,49.67,50.96,50.82,89317.0,50.448,0.4348
2015-03-19,50.74,50.39,50.98,50.91,79825.0,50.556,0.1771
2015-03-20,50.8,50.0,50.84,50.59,105757.0,50.702,-0.6286
2015-03-23,50.59,50.59,51.15,50.74,61933.0,50.732,0.2965
2015-03-24,50.69,50.32,51.22,51.0,64127.0,50.812,0.5124
2015-03-25,51.21,49.76,51.21,49.79,58347.0,50.606,-2.3725
2015-03-26,49.76,49.11,49.95,49.63,78499.0,50.35,-0.3213
2015-03-27,49.59,49.59,50.64,50.49,59803.0,50.33,1.7328
2015-03-30,50.81,50.81,51.6,51.49,57487.0,50.48,1.9806
2015-03-31,51.2,51.08,51.59,51.49,180843.0,50.578,0.0
2015-04-01,51.27,50.44,51.45,50.85,58842.0,50.79,-1.243
2015-04-02,51.18,51.18,52.75,52.67,255727.0,51.398,3.5792
2015-04-06,52.42,52.16,53.63,53.4,240142.0,51.98,1.386
2015-04-07,53.37,52.81,53.63,53.19,119706.0,52.32,-0.3933
2015-04-08,53.07,52.24,53.34,52.87,107426.0,52.596,-0.6016
2015-04-09,52.94,52.17,53.05,52.87,87843.0,53.0,0.0
2015-04-10,52.99,52.6,53.17,52.63,48490.0,52.992,-0.4539
2015-04-13,52.72,52.06,52.84,52.36,74121.0,52.784,-0.513
2015-04-14,52.46,51.84,52.62,51.96,41799.0,52.538,-0.7639
2015-04-15,52.36,52.06,52.65,52.39,44448.0,52.442,0.8276
2015-04-16,52.38,51.79,53.44,53.13,102064.0,52.494,1.4125
2015-04-17,52.55,51.53,52.55,51.87,70871.0,52.342,-2.3715
2015-04-20,52.08,51.99,53.57,53.19,108002.0,52.508,2.5448
2015-04-21,53.74,52.77,53.97,53.19,64057.0,52.754,0.0
2015-04-22,53.65,52.41,53.66,53.28,69711.0,52.932,0.1692
2015-04-23,53.22,52.86,53.64,52.99,50386.0,52.904,-0.5443
2015-04-24,53.03,52.56,53.29,53.27,54973.0,53.184,0.5284
2015-04-27,53.41,52.54,53.52,52.7,117906.0,53.086,-1.07
2015-04-28,52.63,48.72,52.63,50.22,196048.0,52.492,-4.7059
2015-04-29,50.2,49.48,50.2,49.96,90099.0,51.828,-0.5177
2015-04-30,48.75,48.4,49.83,48.81,153998.0,50.992,-2.3018
2015-05-01,48.85,48.13,49.07,48.9,126038.0,50.118,0.1844
2015-05-04,49.15,49.06,50.03,49.93,135110.0,49.564,2.1063
2015-05-05,50.07,49.45,50.12,49.53,84843.0,49.426,-0.8011
2015-05-06,49.53,48.63,50.91,50.78,191134.0,49.59,2.5237
2015-05-07,50.92,50.49,51.38,50.54,69785.0,49.936,-0.4726
2015-05-08,51.01,51.01,51.69,51.2,59328.0,50.396,1.3059
2015-05-11,51.21,51.09,51.62,51.25,45361.0,50.66,0.0977
2015-05-12,51.07,50.62,51.27,50.77,91629.0,50.908,-0.9366
2015-05-13,50.59,50.02,51.12,50.27,160843.0,50.806,-0.9848
