date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,55.79,54.26,55.87,54.8,62840.0,55.504,-1.0116
2015-01-05,54.48,52.595,54.53,52.65,122686.0,54.916,-3.9234
2015-01-06,52.66,51.11,53.23,51.56,133938.0,54.048,-2.0703
2015-01-07,51.88,51.02,52.23,51.33,195729.0,53.14,-0.4461
2015-01-08,51.87,51.6,52.32,51.85,120775.0,52.438,1.0131
2015-01-09,51.79,49.5,51.79,49.51,231333.0,51.38,-4.513
2015-01-12,49.51,47.76,49.72,48.48,140827.0,50.546,-2.0804
2015-01-13,48.7,47.85,49.43,48.63,128059.0,49.96,0.3094
2015-01-14,47.87,46.66,48.31,47.42,91237.0,49.178,-2.4882
2015-01-15,47.4,46.51,47.52,46.57,77744.0,48.122,-1.7925
2015-01-16,46.35,46.29,47.36,47.26,116592.0,47.672,1.4816
2015-01-20,47.32,46.43,47.32,46.8,58308.0,47.336,-0.9733
2015-01-21,46.71,46.4,47.19,46.79,86556.0,46.968,-0.0214
2015-01-22,46.93,46.93,48.0,47.0,200456.0,46.884,0.4488
2015-01-23,47.23,46.73,47.8,47.44,196156.0,47.058,0.9362
2015-01-26,47.24,46.65,47.99,47.59,150900.0,47.124,0.3162
2015-01-27,46.81,46.78,47.49,47.24,85087.0,47.212,-0.7354
2015-01-28,47.39,45.94,47.39,46.03,118101.0,47.06,-2.5614
2015-01-29,46.11,45.86,46.51,46.32,83781.0,46.924,0.63
2015-01-30,45.85,45.03,46.05,45.79,172721.0,46.594,-1.1442
2015-02-02,46.01,45.83,47.91,47.84,124127.0,46.644,4.477
2015-02-03,48.48,48.48,49.71,49.68,155407.0,47.132,3.8462
2015-02-04,49.33,49.25,49.92,49.3,97642.0,47.786,-0.7649
2015-02-05,49.49,49.49,50.87,50.79,65744.0,48.68,3.0223
2015-02-06,51.4,51.32,52.79,52.53,202512.0,50.028,3.4259
2015-02-09,52.21,51.88,52.53,51.94,82814.0,50.848,-1.1232
2015-02-10,52.39,51.0,52.39,51.95,187814.0,51.302,0.0193
2015-02-11,51.86,51.15,51.91,51.58,45552.0,51.758,-0.7122
2015-02-12,52.02,51.99,52.65,52.61,54787.0,52.122,1.9969
2015-02-13,52.72,52.2,53.11,52.86,75345.0,52.188,0.4752
2015-02-17,52.75,52.3,53.56,53.53,71798.0,52.506,1.2675
2015-02-18,53.25,51.96,53.3,52.14,79949.0,52.544,-2.5967
2015-02-19,51.69,50.86,52.01,51.69,72875.0,52.566,-0.8631
2015-02-20,51.47,50.84,52.4,52.34,107623.0,52.512,1.2575
2015-02-23,52.02,51.32,52.02,51.73,56443.0,52.286,-1.1655
2015-02-24,51.71,51.71,52.63,52.36,34729.0,52.052,1.2179
2015-02-25,52.47,51.82,52.47,52.07,50454.0,52.038,-0.5539
2015-02-26,52.03,51.73,52.25,52.22,47317.0,52.144,0.2881
2015-02-27,52.22,51.68,52.31,51.73,80184.0,52.022,-0.9383
2015-03-02,51.83,51.42,52.29,52.17,70768.0,52.11,0.8506
2015-03-03,52.0,51.67,52.29,51.95,80727.0,52.028,-0.4217
2015-03-04,51.81,51.29,51.81,51.53,40473.0,51.92,-0.8085
2015-03-05,51.51,50.74,51.98,51.91,46567.0,51.858,0.7374
2015-03-06,51.74,51.74,53.41,51.88,110919.0,51.888,-0.0578
2015-03-09,52.04,51.88,52.48,52.34,64547.0,51.922,0.8867
2015-03-10,51.66,51.11,51.91,51.37,53055.0,51.806,-1.8533
2015-03-11,51.12,50.415,51.41,51.41,112588.0,51.782,0.0779
2015-03-12,51.58,51.42,53.42,53.29,123336.0,52.058,3.6569
2015-03-13,53.07,51.33,53.09,52.33,66573.0,52.148,-1.8015
2015-03-16,52.39,51.86,52.6,52.16,57991.0,52.112,-0.3249
2015-03-17,51.83,51.48,52.64,52.55,81584.0,52.348,0.7477
2015-03-18,52.3,51.84,53.29,52.11,73205.0,52.488,-0.8373
2015-03-19,51.86,50.67,51.87,51.39,63803.0,52.108,-1.3817
2015-03-20,51.72,51.55,52.91,52.8,390212.0,52.202,2.7437
2015-03-23,52.77,51.78,53.02,52.23,47338.0,52.216,-1.0795
2015-03-24,52.23,51.63,52.47,52.25,80474.0,52.156,0.0383
2015-03-25,52.2,51.71,52.47,51.73,72469.0,52.08,-0.9952
2015-03-26,51.63,51.21,52.15,51.98,73367.0,52.198,0.4833
2015-03-27,51.9,51.21,52.02,52.01,89522.0,52.04,0.0577
2015-03-30,52.18,52.17,53.02,52.73,49850.0,52.14,1.3843
2015-03-31,52.51,52.17,52.59,52.48,94194.0,52.186,-0.4741
2015-04-01,52.24,51.95,52.68,52.61,61555.0,52.362,0.2477
2015-04-02,52.49,52.39,52.98,52.62,61441.0,52.49,0.019
2015-04-06,52.21,51.6,53.0,52.82,106602.0,52.652,0.3801
2015-04-07,52.74,52.21,53.03,52.58,69618.0,52.622,-0.4544
2015-04-08,52.6,52.18,52.88,52.52,83196.0,52.63,-0.1141
2015-04-09,52.52,51.96,52.83,52.2,75969.0,52.548,-0.6093
2015-04-10,52.45,51.71,52.45,52.05,70689.0,52.434,-0.2874
2015-04-13,52.16,51.99,53.0,52.95,50895.0,52.46,1.7291
2015-04-14,53.01,51.71,53.01,52.3,69959.0,52.404,-1.2276
2015-04-15,52.33,52.33,53.87,53.7,84011.0,52.64,2.6769
2015-04-16,53.69,52.67,53.94,53.28,44307.0,52.856,-0.7821
2015-04-17,52.84,52.03,53.25,52.22,80893.0,52.89,-1.9895
2015-04-20,52.58,52.43,53.32,52.95,58831.0,52.89,1.3979
2015-04-21,53.22,52.23,53.22,52.35,56570.0,52.9,-1.1331
2015-04-22,52.24,51.88,52.69,52.63,84638.0,52.686,0.5349
2015-04-23,52.59,52.34,53.19,53.03,57179.0,52.636,0.76
2015-04-24,52.79,52.13,53.76,52.17,51113.0,52.626,-1.6217
2015-04-27,51.93,50.92,52.12,51.42,118594.0,52.32,-1.4376
2015-04-28,51.62,51.39,52.15,51.93,60275.0,52.236,0.9918
2015-04-29,51.89,51.85,53.0,52.71,87611.0,52.252,1.502
2015-04-30,52.53,52.53,54.05,53.34,192240.0,52.314,1.1952
2015-05-01,53.45,52.48,53.72,52.79,86673.0,52.438,-1.0311
2015-05-04,52.82,52.62,53.51,53.4,81390.0,52.834,1.1555
2015-05-05,53.3,53.15,53.97,53.23,92117.0,53.094,-0.3184
2015-05-06,53.53,52.98,53.85,53.7,96338.0,53.292,0.883
2015-05-07,53.5,52.48,53.66,52.86,79007.0,53.196,-1.5642
2015-05-08,53.09,52.3,53.12,52.98,83588.0,53.234,0.227
2015-05-11,52.98,52.74,53.6,53.3,70862.0,53.214,0.604
2015-05-12,53.28,52.61,53.64,53.4,63848.0,53.248,0.1876
2015-05-13,53.35,53.04,54.17,53.93,48637.0,53.294,0.9925
2015-05-14,54.05,53.86,54.55,54.03,61975.0,53.528,0.1854
2015-05-15,53.95,52.56,53.95,52.91,70433.0,53.514,-2.0729
2015-05-18,52.95,52.9,54.0,53.91,48547.0,53.636,1.89
2015-05-19,53.65,53.55,53.89,53.76,106559.0,53.708,-0.2782
2015-05-20,53.64,53.03,53.65,53.44,45555.0,53.61,-0.5952
2015-05-21,53.4,53.06,53.84,53.71,34806.0,53.546,0.5052
2015-05-22,53.55,53.27,54.08,53.38,77061.0,53.64,-0.6144
2015-05-26,53.04,52.58,53.52,53.12,86499.0,53.482,-0.4871
2015-05-27,52.99,52.8,53.67,53.58,160594.0,53.446,0.866
2015-05-28,53.53,53.2,53.8,53.8,66783.0,53.518,0.4106
2015-05-29,53.62,52.77,54.0,53.57,78896.0,53.49,-0.4275
2015-06-01,53.79,53.02,53.79,53.4,56697.0,53.494,-0.3173
2015-06-02,53.33,53.18,54.48,54.38,63150.0,53.746,1.8352
2015-06-03,54.65,54.35,55.51,55.4,58232.0,54.11,1.8757
2015-06-04,54.98,54.44,55.18,54.52,91484.0,54.254,-1.5884
