date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2017-12-20,118.66,117.67,119.12,119.02,1173134.0,,
2017-12-21,119.45,118.09,119.51,118.26,1153896.0,,-0.6385
2017-12-22,118.6,118.21,118.73,118.6,868582.0,,0.2875
2017-12-26,118.41,118.41,119.24,118.89,795650.0,,0.2445
2017-12-27,118.87,118.8,119.4,119.3,938112.0,118.814,0.3449
2017-12-28,119.33,119.12,119.53,119.35,664870.0,118.88,0.0419
2017-12-29,119.46,119.46,120.56,119.92,1639362.0,119.212,0.4776
2018-01-02,119.93,117.96,120.0,118.06,1545664.0,119.104,-1.551
2018-01-03,118.03,117.64,118.47,117.75,1350113.0,118.876,-0.2626
2018-01-04,117.8,117.61,119.11,118.33,1256859.0,118.682,0.4926
2018-01-05,118.41,118.25,119.07,118.67,1072745.0,118.546,0.2873
2018-01-08,118.21,117.71,118.73,117.99,2209787.0,118.16,-0.573
2018-01-09,118.26,117.96,118.98,118.08,1534732.0,118.164,0.0763
2018-01-10,118.13,116.7,118.28,117.48,1117987.0,118.11,-0.5081
2018-01-11,117.64,116.38,117.83,116.88,1356734.0,117.82,-0.5107
2018-01-12,116.88,116.86,118.01,117.38,1628469.0,117.562,0.4278
2018-01-16,117.2,117.04,118.35,117.86,1772759.0,117.536,0.4089
2018-01-17,118.29,118.27,120.16,119.18,1832540.0,117.756,1.12
2018-01-18,119.09,118.66,119.61,119.05,1759608.0,118.07,-0.1091
2018-01-19,119.48,118.73,120.67,120.17,2703427.0,118.728,0.9408
2018-01-22,120.1,120.0,121.85,121.51,1779715.0,119.554,1.1151
2018-01-23,121.07,120.95,122.51,121.3,1236602.0,120.242,-0.1728
2018-01-24,121.24,120.82,121.46,121.14,1319041.0,120.634,-0.1319
2018-01-25,120.61,120.58,121.44,120.9,1006445.0,121.004,-0.1981
2018-01-26,120.61,120.61,121.81,121.76,1305700.0,121.322,0.7113
2018-01-29,121.38,119.67,122.12,119.67,1530032.0,120.954,-1.7165
2018-01-30,119.68,119.5,121.1,119.89,1642558.0,120.672,0.1838
2018-01-31,119.84,119.53,120.74,120.3,1922909.0,120.504,0.342
2018-02-01,119.92,119.28,121.01,120.3,1311281.0,120.384,0.0
2018-02-02,119.91,118.4,120.25,118.67,1433443.0,119.766,-1.3549
2018-02-05,118.57,114.43,119.49,114.46,2093065.0,118.724,-3.5477
2018-02-06,112.44,110.15,113.95,113.56,2615032.0,117.458,-0.7863
2018-02-07,113.19,112.77,115.74,113.5,1952532.0,116.098,-0.0528
2018-02-08,113.7,110.09,113.7,110.15,1986996.0,114.068,-2.9515
2018-02-09,110.81,108.88,111.91,111.18,2176243.0,112.57,0.9351
2018-02-12,111.56,111.07,112.75,111.93,2117577.0,112.064,0.6746
2018-02-13,112.0,110.7,112.65,112.14,1550751.0,111.78,0.1876
2018-02-14,111.67,108.76,111.9,109.11,2494159.0,110.902,-2.702
2018-02-15,109.53,108.72,111.04,110.97,1463242.0,111.066,1.7047
2018-02-16,111.06,109.77,111.7,111.06,2400002.0,111.042,0.0811
2018-02-20,110.37,109.34,110.76,109.48,1216219.0,110.552,-1.4227
2018-02-21,109.35,107.94,109.83,108.0,1851296.0,109.724,-1.3518
2018-02-22,108.33,108.03,109.97,109.26,1657826.0,109.754,1.1667
2018-02-23,109.36,108.57,110.02,109.68,1742791.0,109.496,0.3844
2018-02-26,110.12,110.09,111.17,110.94,1893999.0,109.472,1.1488
2018-02-27,111.19,110.71,112.08,110.89,2380178.0,109.754,-0.0451
2018-02-28,111.0,109.7,111.63,109.73,1911149.0,110.1,-1.0461
2018-03-01,109.21,107.25,109.86,108.12,2227542.0,109.872,-1.4672
2018-03-02,107.91,107.9,109.32,109.04,1937816.0,109.744,0.8509
2018-03-05,108.46,108.03,109.6,109.43,1614699.0,109.442,0.3577
2018-03-06,109.36,108.44,109.62,109.58,1393375.0,109.18,0.1371
2018-03-07,108.89,108.68,110.06,109.84,1969771.0,109.202,0.2373
2018-03-08,110.03,109.59,112.125,112.08,1691130.0,109.994,2.0393
2018-03-09,112.27,111.65,112.56,112.54,1431448.0,110.694,0.4104
2018-03-12,112.5,112.12,113.09,112.75,1772655.0,111.358,0.1866
2018-03-13,113.27,112.75,113.88,113.6,1587983.0,112.162,0.7539
2018-03-14,113.57,112.24,113.74,112.61,1238253.0,112.716,-0.8715
2018-03-15,112.4,111.66,113.25,111.99,1257812.0,112.698,-0.5506
2018-03-16,112.33,111.58,113.2,111.64,4236017.0,112.518,-0.3125
2018-03-19,111.65,110.08,111.99,110.36,1989293.0,112.04,-1.1465
2018-03-20,110.75,109.83,111.27,109.9,1244956.0,111.3,-0.4168
2018-03-21,109.89,108.54,110.07,108.74,1311940.0,110.526,-1.0555
2018-03-22,108.45,107.81,109.67,107.94,1650549.0,109.716,-0.7357
2018-03-23,108.09,105.96,108.72,106.15,1888861.0,108.618,-1.6583
2018-03-26,106.68,106.11,107.45,106.81,1302288.0,107.908,0.6218
2018-03-27,107.23,106.53,108.54,107.64,1774561.0,107.456,0.7771
2018-03-28,108.14,108.0,110.11,109.18,2115989.0,107.544,1.4307
2018-03-29,110.12,108.97,110.64,109.15,1593045.0,107.786,-0.0275
2018-04-02,108.62,106.46,109.22,107.05,1658408.0,107.966,-1.924
2018-04-03,107.39,106.6,108.53,108.19,1993887.0,108.242,1.0649
2018-04-04,107.78,107.24,110.72,110.18,2096412.0,108.75,1.8394
2018-04-05,110.43,109.75,111.17,110.57,1338711.0,109.028,0.354
2018-04-06,110.06,108.77,110.98,109.3,1623862.0,109.058,-1.1486
2018-04-09,109.54,108.78,110.44,109.38,1462304.0,109.524,0.0732
2018-04-10,109.74,108.93,110.18,109.4,1278446.0,109.766,0.0183
2018-04-11,108.57,108.42,109.47,108.68,1347128.0,109.466,-0.6581
2018-04-12,108.96,108.27,109.51,108.31,1044210.0,109.014,-0.3404
2018-04-13,108.85,108.52,109.46,109.26,996429.0,109.006,0.8771
2018-04-16,109.75,109.53,110.64,109.92,996290.0,109.114,0.6041
2018-04-17,108.69,107.98,109.08,108.87,1659486.0,109.008,-0.9552
2018-04-18,108.97,106.47,109.33,106.98,2407664.0,108.668,-1.736
2018-04-19,106.71,105.09,106.93,105.57,2111893.0,108.12,-1.318
2018-04-20,105.45,102.27,105.6,102.48,3298202.0,106.764,-2.927
2018-04-23,102.55,101.85,102.75,102.58,2257149.0,105.296,0.0976
2018-04-24,102.62,100.98,102.82,101.44,2286395.0,103.81,-1.1113
2018-04-25,101.21,100.86,102.36,101.15,1649740.0,102.644,-0.2859
2018-04-26,102.25,101.15,104.06,103.26,1887304.0,102.182,2.086
2018-04-27,102.22,101.66,102.99,101.71,1686599.0,102.028,-1.5011
2018-04-30,101.85,100.59,102.38,100.94,2459961.0,101.7,-0.7571
2018-05-01,100.36,98.58,100.83,99.13,1704195.0,101.238,-1.7931
2018-05-02,99.16,97.04,99.24,97.23,1876510.0,100.454,-1.9167
2018-05-03,97.48,96.71,98.09,97.6,2017814.0,99.322,0.3805
2018-05-04,97.55,97.5,99.77,98.99,1771938.0,98.778,1.4242
2018-05-07,98.98,98.08,99.25,98.23,1288333.0,98.236,-0.7678
2018-05-08,97.96,96.45,97.96,96.79,1810664.0,97.768,-1.4659
2018-05-09,97.19,95.95,97.52,96.16,1756773.0,97.554,-0.6509
2018-05-10,96.43,96.41,97.73,97.27,1021195.0,97.488,1.1543
2018-05-11,97.58,96.89,98.26,97.43,1362006.0,97.176,0.1645
2018-05-14,97.69,96.74,97.72,97.15,1698069.0,96.96,-0.2874
2018-05-15,96.61,96.36,97.23,96.8,2267467.0,96.962,-0.3603
2018-05-16,96.64,96.64,97.54,97.19,2165523.0,97.168,0.4029
2018-05-17,97.45,97.26,97.99,97.92,2104697.0,97.298,0.7511
2018-05-18,98.31,97.33,98.45,97.51,2376500.0,97.314,-0.4187
2018-05-21,98.22,98.1,99.98,99.51,2647598.0,97.786,2.0511
2018-05-22,99.98,99.43,100.46,99.93,2290529.0,98.412,0.4221
2018-05-23,99.93,99.61,100.59,100.45,2074787.0,99.064,0.5204
2018-05-24,100.31,99.76,100.57,100.18,1767735.0,99.516,-0.2688
2018-05-25,100.18,99.91,101.11,100.31,1575793.0,100.076,0.1298
2018-05-29,100.0,100.0,101.28,101.1,2554915.0,100.394,0.7876
2018-05-30,101.66,101.09,102.23,101.83,2363809.0,100.774,0.7221
2018-05-31,100.83,99.66,101.29,100.25,3552816.0,100.734,-1.5516
2018-06-01,100.54,99.65,100.92,100.25,1373631.0,100.748,0.0
2018-06-04,100.77,100.03,101.09,100.12,1145875.0,100.71,-0.1297
2018-06-05,100.46,99.89,100.955,100.21,1712677.0,100.532,0.0899
2018-06-06,100.4,99.82,100.86,100.83,1456567.0,100.332,0.6187
2018-06-07,100.51,100.34,101.5,101.16,1509405.0,100.514,0.3273
2018-06-08,101.18,101.18,102.6,102.49,1780200.0,100.962,1.3147
