date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,18.4,17.0,18.6225,17.055,205712.0,18.121,-9.8692
2015-01-05,17.11,16.44,17.11,16.505,127804.0,17.812,-3.2249
2015-01-06,16.4875,16.2,16.6475,16.475,97076.0,17.4415,-0.1818
2015-01-07,16.4675,16.4675,16.6625,16.61,53108.0,17.1135,0.8194
2015-01-08,16.6825,16.6475,17.07,16.88,55376.0,16.705,1.6255
2015-01-09,16.8875,16.585,16.8875,16.7425,65284.0,16.6425,-0.8146
2015-01-12,16.835,16.355,16.835,16.4175,64752.0,16.625,-1.9412
2015-01-13,16.5625,16.305,16.8425,16.68,108808.0,16.666,1.5989
2015-01-14,16.5425,16.3575,16.8275,16.7525,41644.0,16.6945,0.4347
2015-01-15,16.86,16.515,16.86,16.66,70300.0,16.6505,-0.5522
2015-01-16,16.59,16.59,17.445,17.2975,115092.0,16.7615,3.8265
2015-01-20,17.3,16.9975,17.3,17.1925,58272.0,16.9165,-0.607
2015-01-21,17.17,16.965,17.1788,17.015,42856.0,16.9835,-1.0324
2015-01-22,17.1175,16.9925,17.2775,17.275,34348.0,17.088,1.5281
2015-01-23,17.3425,17.09,17.3875,17.2025,16380.0,17.1965,-0.4197
2015-01-26,17.1875,17.1725,17.32,17.2525,43128.0,17.1875,0.2907
2015-01-27,17.17,17.0,17.2475,17.23,40188.0,17.195,-0.1304
2015-01-28,17.2425,16.945,17.2425,17.1825,53668.0,17.2285,-0.2757
2015-01-29,17.155,17.0975,17.2875,17.2875,32084.0,17.231,0.6111
2015-01-30,17.2225,16.8225,17.2963,16.86,80244.0,17.1625,-2.4729
2015-02-02,16.8575,16.4525,16.8575,16.705,88224.0,17.053,-0.9193
2015-02-03,16.765,16.765,17.435,17.265,68980.0,17.06,3.3523
2015-02-04,17.265,17.015,17.7225,17.4425,37016.0,17.112,1.0281
2015-02-05,17.3925,17.3925,17.9575,17.8625,49132.0,17.227,2.4079
2015-02-06,19.25,18.515,21.24,20.6075,194360.0,17.9765,15.3674
2015-02-09,20.7425,20.2125,20.9025,20.805,91224.0,18.7965,0.9584
2015-02-10,20.87,19.9425,20.87,20.04,103524.0,19.3515,-3.677
2015-02-11,19.89,19.89,20.125,20.1075,44300.0,19.8845,0.3368
