date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,165.97,165.85,167.28,166.63,138464.0,166.898,-0.3171
2015-01-05,165.34,164.36,166.69,164.91,169691.0,166.688,-1.0322
2015-01-06,164.56,162.13,166.21,164.6,161127.0,166.068,-0.188
2015-01-07,165.01,164.57,168.51,167.35,141289.0,166.13,1.6707
2015-01-08,169.01,169.01,171.445,171.17,160160.0,166.932,2.2826
2015-01-09,172.0,169.39,172.0,169.75,115129.0,167.556,-0.8296
2015-01-12,170.81,168.4,171.16,169.32,95936.0,168.438,-0.2533
2015-01-13,170.57,161.66,170.9,163.79,203876.0,168.276,-3.266
2015-01-14,163.33,162.21,164.86,162.69,222129.0,167.344,-0.6716
2015-01-15,163.55,158.33,163.73,158.51,150493.0,164.812,-2.5693
2015-01-16,157.95,157.69,160.55,160.52,211264.0,162.966,1.2681
2015-01-20,161.44,159.25,162.27,161.97,116233.0,161.496,0.9033
2015-01-21,162.26,158.44,162.26,158.89,133987.0,160.516,-1.9016
2015-01-22,158.65,152.75,158.94,156.21,260127.0,159.22,-1.6867
2015-01-23,156.46,156.15,158.65,157.0,142673.0,158.918,0.5057
2015-01-26,156.87,155.4,157.62,157.53,150627.0,158.32,0.3376
2015-01-27,157.24,155.8,157.55,156.01,62826.0,157.128,-0.9649
2015-01-28,156.79,153.1,157.73,153.51,136793.0,156.052,-1.6025
2015-01-29,153.91,151.43,154.4,154.0,206305.0,155.61,0.3192
2015-01-30,152.88,151.41,153.77,151.74,303089.0,154.558,-1.4675
2015-02-02,152.15,150.87,152.62,152.4,182218.0,153.532,0.435
2015-02-03,152.68,149.76,153.18,151.34,159157.0,152.598,-0.6955
2015-02-04,151.95,150.78,151.95,151.48,236118.0,152.192,0.0925
2015-02-05,151.71,150.51,157.64,155.03,438160.0,152.398,2.3435
2015-02-06,153.96,148.05,153.97,150.33,217239.0,152.116,-3.0317
2015-02-09,150.09,147.82,150.45,147.85,200097.0,151.206,-1.6497
2015-02-10,149.25,148.48,150.38,149.96,172527.0,150.93,1.4271
2015-02-11,150.45,147.22,150.45,147.77,206857.0,150.188,-1.4604
2015-02-12,148.79,147.84,151.18,150.68,275030.0,149.318,1.9693
2015-02-13,150.5,150.21,151.22,150.9,217682.0,149.432,0.146
2015-02-17,152.27,151.01,152.63,151.9,225726.0,150.242,0.6627
2015-02-18,152.01,150.2,152.17,150.6,162299.0,150.37,-0.8558
2015-02-19,151.29,151.12,152.02,151.59,120209.0,151.134,0.6574
2015-02-20,151.06,149.54,151.79,151.37,213320.0,151.272,-0.1451
2015-02-23,152.1,151.22,152.649,152.05,193426.0,151.502,0.4492
2015-02-24,152.39,151.9,153.75,153.48,127454.0,151.818,0.9405
2015-02-25,153.81,151.37,154.0,152.73,172431.0,152.244,-0.4887
2015-02-26,153.23,152.6,155.29,155.25,275646.0,152.976,1.65
2015-02-27,155.25,153.84,155.71,154.47,295025.0,153.596,-0.5024
2015-03-02,155.54,155.22,158.16,157.55,234476.0,154.696,1.9939
2015-03-03,157.42,153.75,157.42,156.22,258256.0,155.244,-0.8442
2015-03-04,155.3,154.32,158.08,158.0,207946.0,156.298,1.1394
2015-03-05,158.15,157.83,160.32,160.0,239222.0,157.248,1.2658
2015-03-06,159.29,156.57,160.73,156.83,204660.0,157.72,-1.9812
2015-03-09,157.54,157.06,160.48,160.15,165801.0,158.24,2.1169
2015-03-10,159.2,158.86,160.56,158.94,171252.0,158.784,-0.7555
2015-03-11,159.22,158.57,161.47,161.25,208185.0,159.434,1.4534
