date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,54.55,53.42,54.55,53.85,68187.0,54.772,-0.7556
2015-01-05,53.34,52.6,53.46,52.79,47069.0,54.374,-1.9684
2015-01-06,52.79,51.38,52.79,51.52,76273.0,53.604,-2.4058
2015-01-07,52.03,51.24,52.3,51.62,86894.0,52.808,0.1941
2015-01-08,52.34,52.19,52.88,52.69,134112.0,52.494,2.0728
2015-01-09,52.74,51.85,52.9,51.96,53576.0,52.116,-1.3855
2015-01-12,52.07,51.33,52.08,51.35,47455.0,51.828,-1.174
2015-01-13,51.83,50.82,52.49,51.34,59699.0,51.792,-0.0195
2015-01-14,50.63,50.05,51.03,50.32,70132.0,51.532,-1.9868
2015-01-15,50.42,49.51,50.57,49.7,72074.0,50.934,-1.2321
2015-01-16,49.41,49.41,50.98,50.89,60533.0,50.72,2.3944
2015-01-20,51.04,49.74,51.29,50.19,43540.0,50.488,-1.3755
2015-01-21,49.99,49.97,50.49,50.1,42275.0,50.24,-0.1793
2015-01-22,50.48,49.85,51.67,51.64,61445.0,50.504,3.0739
2015-01-23,51.63,50.8,51.63,51.12,41240.0,50.788,-1.007
2015-01-26,51.01,50.37,51.67,51.55,53836.0,50.92,0.8412
2015-01-27,50.82,50.82,51.44,51.15,31508.0,51.112,-0.7759
2015-01-28,51.95,50.12,51.95,50.17,62975.0,51.126,-1.9159
2015-01-29,50.25,49.79,51.19,51.17,51577.0,51.032,1.9932
2015-01-30,50.62,49.58,50.81,49.64,84746.0,50.736,-2.99
2015-02-02,49.76,49.22,51.03,50.9,46743.0,50.606,2.5383
2015-02-03,51.12,51.12,52.31,52.27,75015.0,50.83,2.6916
2015-02-04,52.17,52.11,52.73,52.4,72308.0,51.276,0.2487
2015-02-05,52.27,52.27,54.08,53.03,56522.0,51.648,1.2023
2015-02-06,53.36,53.2,54.07,53.75,80006.0,52.47,1.3577
2015-02-09,53.42,52.25,53.43,52.31,96900.0,52.752,-2.6791
2015-02-10,54.29,53.3,54.4,54.29,46186.0,53.156,3.7851
