date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,36.87,36.035,36.96,36.35,140780.0,36.974,-0.8186
2015-01-05,36.08,35.27,36.37,35.36,224002.0,36.498,-2.7235
2015-01-06,35.54,34.88,35.87,35.075,529081.0,36.049,-0.806
2015-01-07,35.38,35.0,35.38,35.22,196053.0,35.731,0.4134
2015-01-08,35.44,35.43,36.08,35.75,209222.0,35.551,1.5048
2015-01-09,35.89,35.315,36.01,35.62,176068.0,35.405,-0.3636
2015-01-12,35.5,34.65,35.57,34.71,214458.0,35.275,-2.5547
2015-01-13,34.93,33.93,35.25,34.26,245322.0,35.112,-1.2965
2015-01-14,33.81,33.43,34.03,33.79,241194.0,34.826,-1.3719
2015-01-15,34.0,33.27,34.16,33.54,245987.0,34.384,-0.7399
2015-01-16,33.49,33.49,34.13,34.07,273454.0,34.074,1.5802
2015-01-20,34.23,33.75,34.33,34.18,153901.0,33.968,0.3229
2015-01-21,34.13,33.9,34.45,34.17,151220.0,33.95,-0.0293
2015-01-22,34.27,33.9,34.98,34.96,262751.0,34.184,2.312
2015-01-23,34.97,34.83,35.38,34.87,157875.0,34.45,-0.2574
2015-01-26,34.93,34.54,35.13,34.92,206282.0,34.62,0.1434
2015-01-27,34.5,33.86,34.52,34.29,212876.0,34.642,-1.8041
2015-01-28,34.81,32.86,34.81,32.9,475116.0,34.388,-4.0537
2015-01-29,31.58,31.19,34.16,33.99,498438.0,34.194,3.3131
2015-01-30,33.75,32.87,34.04,33.41,382823.0,33.902,-1.7064
2015-02-02,33.47,32.84,33.79,33.46,334380.0,33.61,0.1497
2015-02-03,33.61,33.58,34.65,34.6,222515.0,33.672,3.4071
2015-02-04,34.56,34.19,34.88,34.25,225081.0,33.942,-1.0116
2015-02-05,34.45,33.96,34.58,34.22,119520.0,33.988,-0.0876
2015-02-06,34.25,33.775,34.38,33.945,211881.0,34.095,-0.8036
2015-02-09,33.77,33.55,33.97,33.67,172776.0,34.137,-0.8101
2015-02-10,34.01,33.72,34.42,34.06,189803.0,34.029,1.1583
2015-02-11,34.08,33.59,34.22,33.73,141466.0,33.925,-0.9689
2015-02-12,33.93,33.49,33.93,33.65,249632.0,33.811,-0.2372
2015-02-13,33.66,33.55,34.04,34.02,230703.0,33.826,1.0996
2015-02-17,34.17,34.06,34.62,34.61,265019.0,34.014,1.7343
2015-02-18,34.62,34.59,35.115,34.77,204790.0,34.156,0.4623
2015-02-19,34.41,34.32,34.81,34.79,192043.0,34.368,0.0575
