date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,16.63,16.28,16.93,16.65,960059.0,16.708,0.3617
2015-01-05,16.34,15.42,16.35,15.77,1397128.0,16.542,-5.2853
2015-01-06,15.67,15.05,15.93,15.25,1680949.0,16.214,-3.2974
2015-01-07,15.5,14.545,15.5,14.71,1552100.0,15.794,-3.541
2015-01-08,14.92,14.66,15.3,14.75,1934969.0,15.426,0.2719
2015-01-09,14.77,14.15,14.9,14.69,1608362.0,15.034,-0.4068
2015-01-12,14.19,13.31,14.24,13.92,2388009.0,14.664,-5.2417
2015-01-13,13.94,13.61,14.22,14.03,2043227.0,14.42,0.7902
2015-01-14,13.76,13.4,14.455,14.34,2344247.0,14.346,2.2096
2015-01-15,14.54,13.69,14.86,13.72,2453556.0,14.14,-4.3236
2015-01-16,13.81,13.77,14.77,14.73,1519221.0,14.148,7.3615
2015-01-20,14.52,14.02,14.86,14.8,1922834.0,14.324,0.4752
2015-01-21,15.0,14.96,15.84,15.79,1506738.0,14.676,6.6892
2015-01-22,15.83,15.39,16.12,15.94,1823745.0,14.996,0.95
2015-01-23,15.8,15.72,16.57,15.86,1352505.0,15.424,-0.5019
2015-01-26,15.91,15.76,16.48,16.47,1019997.0,15.772,3.8462
2015-01-27,16.26,16.26,17.5,17.255,2304146.0,16.263,4.7662
2015-01-28,17.11,15.33,17.11,15.78,2677801.0,16.261,-8.5482
2015-01-29,15.74,14.78,16.03,15.99,2207633.0,16.271,1.3308
2015-01-30,15.82,15.66,17.29,17.16,1996532.0,16.531,7.3171
2015-02-02,17.14,16.87,17.88,17.74,3085938.0,16.785,3.38
2015-02-03,18.23,17.59,19.12,17.78,3134572.0,16.89,0.2255
2015-02-04,17.39,16.37,17.45,16.94,3898559.0,17.122,-4.7244
2015-02-05,16.87,16.87,17.95,17.53,2672044.0,17.43,3.4829
2015-02-06,17.67,17.24,18.12,18.01,1747512.0,17.6,2.7382
2015-02-09,18.11,17.84,18.44,17.93,1525251.0,17.638,-0.4442
2015-02-10,18.08,16.59,18.08,16.78,2175638.0,17.438,-6.4138
2015-02-11,16.41,16.32,17.105,16.82,1416696.0,17.414,0.2384
2015-02-12,17.22,16.98,17.86,17.01,1559539.0,17.31,1.1296
2015-02-13,17.37,17.37,18.23,18.14,1707229.0,17.336,6.6432
2015-02-17,18.0,17.27,18.55,18.5,1394034.0,17.45,1.9846
2015-02-18,18.36,18.16,18.84,18.53,1294693.0,17.8,0.1622
2015-02-19,17.76,17.74,18.9,18.39,1427928.0,18.114,-0.7555
2015-02-20,18.48,17.94,18.56,18.32,989215.0,18.376,-0.3806
2015-02-23,17.95,17.29,18.06,17.6,1790835.0,18.268,-3.9301
2015-02-24,17.75,16.92,18.0,17.49,1246357.0,18.066,-0.625
