date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,18.98,18.26,18.99,18.89,15198.0,19.224,0.2654
2015-01-05,19.13,18.74,19.7,18.86,36028.0,18.996,-0.1588
2015-01-06,18.97,18.0,18.97,18.31,16623.0,18.78,-2.9162
2015-01-07,18.52,18.36,18.78,18.7,12542.0,18.72,2.13
2015-01-08,18.96,18.96,19.45,19.37,20678.0,18.826,3.5829
2015-01-09,19.4,19.0,19.4,19.07,7572.0,18.862,-1.5488
2015-01-12,19.07,18.99,19.31,19.07,11060.0,18.904,0.0
2015-01-13,19.23,18.18,19.23,18.52,9812.0,18.946,-2.8841
2015-01-14,18.27,18.16,19.0,18.89,17674.0,18.984,1.9978
2015-01-15,19.01,17.87,19.01,18.16,18194.0,18.742,-3.8645
2015-01-16,18.18,17.91,19.01,18.55,55861.0,18.638,2.1476
2015-01-20,18.49,17.98,18.7,18.47,11133.0,18.518,-0.4313
2015-01-21,18.49,18.0,18.54,18.26,6422.0,18.466,-1.137
2015-01-22,18.26,17.81,18.36,17.99,11192.0,18.286,-1.4786
2015-01-23,18.05,17.51,18.07,17.61,7517.0,18.176,-2.1123
2015-01-26,17.62,17.4,17.83,17.83,13610.0,18.032,1.2493
2015-01-27,17.64,17.36,18.0,17.7,10710.0,17.878,-0.7291
2015-01-28,17.72,17.37,17.82,17.47,11312.0,17.72,-1.2994
2015-01-29,17.52,17.25,17.53,17.53,9090.0,17.628,0.3434
2015-01-30,17.33,17.33,18.0,17.88,15732.0,17.682,1.9966
2015-02-02,18.0,17.81,18.05,17.98,15739.0,17.712,0.5593
2015-02-03,18.15,17.99,18.22,18.18,16159.0,17.808,1.1123
2015-02-04,18.16,18.08,18.2,18.08,8344.0,17.93,-0.5501
2015-02-05,18.35,18.09,18.5,18.42,23053.0,18.108,1.8805
2015-02-06,19.05,18.24,19.5,19.42,61375.0,18.416,5.4289
2015-02-09,19.38,19.0,19.58,19.03,30221.0,18.626,-2.0082
2015-02-10,18.77,18.74,19.07,19.04,40509.0,18.798,0.0525
2015-02-11,19.0,18.92,19.41,19.01,20607.0,18.984,-0.1576
2015-02-12,19.17,18.996,19.26,19.08,7186.0,19.116,0.3682
2015-02-13,19.1,19.09,20.93,20.73,92183.0,19.378,8.6478
2015-02-17,20.58,19.92,20.72,20.41,16819.0,19.654,-1.5437
2015-02-18,20.27,20.27,20.84,20.5,20128.0,19.946,0.441
2015-02-19,20.41,20.31,20.53,20.45,7033.0,20.234,-0.2439
2015-02-20,20.48,20.15,20.59,20.19,12754.0,20.456,-1.2714
2015-02-23,20.06,19.73,20.46,20.33,16582.0,20.376,0.6934
2015-02-24,20.0,19.75,20.44,20.31,21396.0,20.356,-0.0984
2015-02-25,20.17,20.07,21.51,20.66,43452.0,20.388,1.7233
2015-02-26,21.0,20.56,21.94,21.02,74582.0,20.502,1.7425
2015-02-27,20.8,19.75,20.84,19.81,1036903.0,20.426,-5.7564
2015-03-02,19.79,19.62,20.8,20.69,56982.0,20.498,4.4422
2015-03-03,20.64,20.15,20.64,20.49,34910.0,20.534,-0.9667
2015-03-04,20.4,19.94,20.81,20.69,44574.0,20.54,0.9761
2015-03-05,20.75,20.46,20.9,20.82,36115.0,20.5,0.6283
2015-03-06,20.71,20.47,20.89,20.48,218673.0,20.634,-1.633
2015-03-09,20.46,20.118,20.56,20.35,36427.0,20.566,-0.6348
2015-03-10,20.17,20.17,20.76,20.64,34424.0,20.596,1.4251
2015-03-11,20.66,20.45,20.8,20.74,36993.0,20.606,0.4845
2015-03-12,20.75,20.67,21.44,21.37,56614.0,20.716,3.0376
2015-03-13,21.28,21.07,21.5,21.36,19821.0,20.892,-0.0468
2015-03-16,21.32,21.1,21.5,21.17,33276.0,21.056,-0.8895
2015-03-17,21.2,21.023,21.53,21.45,16498.0,21.218,1.3226
2015-03-18,21.31,21.22,21.81,21.75,33168.0,21.42,1.3986
2015-03-19,21.58,21.41,21.79,21.56,16458.0,21.458,-0.8736
2015-03-20,21.74,21.47,21.82,21.65,65342.0,21.516,0.4174
2015-03-23,21.57,21.37,21.57,21.5,20824.0,21.582,-0.6928
2015-03-24,21.53,21.36,21.7,21.42,15925.0,21.576,-0.3721
2015-03-25,21.44,20.26,21.44,20.38,40970.0,21.302,-4.8553
2015-03-26,20.27,20.27,20.89,20.69,12428.0,21.128,1.5211
2015-03-27,20.74,20.46,21.28,21.16,15960.0,21.03,2.2716
2015-03-30,21.16,20.8,21.56,21.44,36457.0,21.018,1.3233
2015-03-31,21.24,21.01,21.25,21.14,55293.0,20.962,-1.3993
2015-04-01,21.1,20.97,21.28,21.26,17937.0,21.138,0.5676
2015-04-02,21.33,21.08,21.64,21.52,44145.0,21.304,1.223
2015-04-06,21.33,20.76,21.5,20.97,42489.0,21.266,-2.5558
2015-04-07,20.9,20.47,21.09,20.66,21823.0,21.11,-1.4783
2015-04-08,20.59,20.51,20.77,20.61,21928.0,21.004,-0.242
2015-04-09,20.62,20.25,20.78,20.39,11014.0,20.83,-1.0674
2015-04-10,20.3,19.56,20.3,20.14,58587.0,20.554,-1.2261
2015-04-13,20.2,19.95,20.34,20.25,20547.0,20.41,0.5462
2015-04-14,20.2,20.0,20.25,20.11,26882.0,20.3,-0.6914
2015-04-15,20.24,19.96,20.24,20.07,20073.0,20.192,-0.1989
2015-04-16,20.1,19.8,20.2,19.81,8812.0,20.076,-1.2955
2015-04-17,19.69,19.54,20.04,19.91,29804.0,20.03,0.5048
2015-04-20,19.96,19.75,19.96,19.81,15213.0,19.942,-0.5023
2015-04-21,19.95,19.95,20.12,20.02,11081.0,19.924,1.0601
2015-04-22,20.05,19.8,20.08,20.06,11276.0,19.922,0.1998
2015-04-23,19.99,19.99,20.27,20.14,8455.0,19.988,0.3988
2015-04-24,20.16,19.49,20.17,19.7,19507.0,19.946,-2.1847
2015-04-27,20.14,20.07,21.25,20.62,56548.0,20.108,4.6701
2015-04-28,20.61,20.12,20.94,20.36,19041.0,20.176,-1.2609
2015-04-29,20.16,19.9,20.34,19.94,10994.0,20.152,-2.0629
2015-04-30,19.8,19.55,20.38,20.35,36809.0,20.194,2.0562
2015-05-01,20.5,20.44,20.7,20.56,16264.0,20.366,1.0319
2015-05-04,20.55,20.42,20.92,20.75,15252.0,20.392,0.9241
2015-05-05,20.72,20.45,20.76,20.57,20264.0,20.434,-0.8675
2015-05-06,20.7,20.41,20.7,20.64,25540.0,20.574,0.3403
2015-05-07,20.65,20.45,21.65,21.58,49228.0,20.82,4.5543
2015-05-08,22.1,22.1,24.23,23.48,114585.0,21.404,8.8044
2015-05-11,23.59,23.59,24.62,24.31,58370.0,22.116,3.5349
2015-05-12,24.01,23.8,24.81,24.72,55418.0,22.946,1.6865
2015-05-13,24.75,24.49,25.0,24.64,53729.0,23.746,-0.3236
2015-05-14,24.79,24.71,25.5,25.01,35780.0,24.432,1.5016
2015-05-15,24.95,24.82,25.01,24.89,18635.0,24.714,-0.4798
2015-05-18,24.91,24.85,25.1,24.95,32634.0,24.842,0.2411
2015-05-19,24.94,24.85,25.5,25.49,41123.0,24.996,2.1643
2015-05-20,25.44,25.41,25.73,25.45,25221.0,25.158,-0.1569
2015-05-21,25.29,24.94,25.32,24.99,15082.0,25.154,-1.8075
2015-05-22,25.0,24.83,25.16,24.97,24470.0,25.17,-0.08
2015-05-26,24.82,24.76,25.02,24.87,18971.0,25.154,-0.4005
2015-05-27,24.81,24.33,24.99,24.65,34525.0,24.986,-0.8846
2015-05-28,24.2,22.52,24.2,23.06,42509.0,24.508,-6.4503
2015-05-29,23.0,22.71,23.79,23.71,52084.0,24.252,2.8187
2015-06-01,23.83,23.61,24.76,24.75,33540.0,24.208,4.3863
2015-06-02,24.59,24.25,24.95,24.55,84317.0,24.144,-0.8081
2015-06-03,24.55,24.37,24.79,24.52,18211.0,24.118,-0.1222
2015-06-04,24.41,24.32,24.75,24.46,14972.0,24.398,-0.2447
2015-06-05,24.45,24.45,25.05,24.94,21417.0,24.644,1.9624
2015-06-08,24.86,24.67,24.99,24.77,12078.0,24.648,-0.6816
2015-06-09,24.83,24.62,24.99,24.89,14458.0,24.716,0.4845
2015-06-10,25.0,24.99,25.91,25.79,22482.0,24.97,3.6159
2015-06-11,25.83,25.09,25.89,25.22,12242.0,25.122,-2.2102
2015-06-12,25.2,25.2,25.83,25.47,13332.0,25.228,0.9913
2015-06-15,25.37,25.2,26.33,26.29,20592.0,25.532,3.2195
2015-06-16,26.0,25.5,26.45,26.36,24453.0,25.826,0.2663
2015-06-17,26.56,26.54,26.93,26.6,18862.0,25.988,0.9105
2015-06-18,26.74,26.45,27.09,26.75,26992.0,26.294,0.5639
2015-06-19,26.8,26.24,26.86,26.28,42507.0,26.456,-1.757
2015-06-22,26.45,26.13,26.69,26.6,19264.0,26.518,1.2177
2015-06-23,26.6,26.18,26.9,26.74,21456.0,26.594,0.5263
2015-06-24,26.75,26.28,26.82,26.75,16391.0,26.624,0.0374
2015-06-25,26.9,26.76,27.77,27.73,36450.0,26.82,3.6636
2015-06-26,27.75,27.56,28.84,28.01,588658.0,27.166,1.0097
2015-06-29,28.0,26.98,28.42,27.13,35419.0,27.272,-3.1417
2015-06-30,27.27,27.16,28.28,28.25,92481.0,27.574,4.1283
2015-07-01,28.41,27.38,28.6,27.54,31703.0,27.732,-2.5133
2015-07-02,27.54,26.98,27.54,27.22,20896.0,27.63,-1.1619
2015-07-06,27.09,26.94,28.13,28.08,29404.0,27.644,3.1594
2015-07-07,28.04,26.93,28.04,27.83,34215.0,27.784,-0.8903
2015-07-08,27.57,26.51,27.7,26.59,18597.0,27.452,-4.4556
2015-07-09,26.99,26.87,27.21,27.15,19859.0,27.374,2.1061
2015-07-10,27.46,27.15,27.6,27.28,37052.0,27.386,0.4788
2015-07-13,27.39,27.39,28.45,28.36,15327.0,27.442,3.9589
2015-07-14,28.3,28.3,28.87,28.49,14052.0,27.574,0.4584
2015-07-15,28.58,28.35,28.95,28.64,19063.0,27.984,0.5265
2015-07-16,28.8,28.75,29.13,29.11,16724.0,28.376,1.6411
2015-07-17,29.2,28.95,30.06,29.04,26419.0,28.728,-0.2405
2015-07-20,29.21,29.0,30.4,29.87,44813.0,29.03,2.8581
2015-07-21,29.85,29.43,30.11,29.59,16145.0,29.25,-0.9374
2015-07-22,29.7,29.66,30.05,29.96,10898.0,29.514,1.2504
2015-07-23,30.02,29.22,30.13,29.34,14694.0,29.56,-2.0694
2015-07-24,29.26,29.24,30.0,29.39,28728.0,29.63,0.1704
2015-07-27,29.1,28.83,29.79,28.94,32591.0,29.444,-1.5311
2015-07-28,29.0,26.98,29.0,27.47,49081.0,29.02,-5.0795
2015-07-29,27.44,26.41,27.6,26.77,25858.0,28.382,-2.5482
2015-07-30,26.75,26.34,27.1,26.82,15274.0,27.878,0.1868
2015-07-31,26.79,26.55,27.47,27.19,23725.0,27.438,1.3796
2015-08-03,27.24,26.46,27.4,27.04,19072.0,27.058,-0.5517
2015-08-04,27.15,26.72,27.16,26.79,11791.0,26.922,-0.9246
2015-08-05,27.0,26.71,27.84,27.47,24350.0,27.062,2.5383
2015-08-06,27.6,26.13,27.72,26.43,25857.0,26.984,-3.7859
2015-08-07,27.69,26.38,29.72,27.95,52382.0,27.136,5.751
2015-08-10,28.16,27.24,28.44,27.38,41569.0,27.204,-2.0394
2015-08-11,27.05,26.9,27.25,27.11,26133.0,27.268,-0.9861
2015-08-12,26.84,25.62,26.98,26.76,29662.0,27.126,-1.291
2015-08-13,26.7,26.44,26.92,26.6,11001.0,27.16,-0.5979
2015-08-14,26.6,26.47,27.65,27.56,35256.0,27.082,3.609
2015-08-17,27.55,27.11,28.3,28.28,22283.0,27.262,2.6125
2015-08-18,28.25,27.99,29.2,28.62,54327.0,27.564,1.2023
2015-08-19,28.45,27.97,28.99,28.95,35329.0,28.002,1.153
2015-08-20,28.56,27.95,28.93,28.06,62817.0,28.294,-3.0743
2015-08-21,26.81,26.81,27.9,27.57,131854.0,28.296,-1.7463
2015-08-24,27.06,26.36,28.19,26.92,43569.0,28.024,-2.3576
2015-08-25,27.49,26.12,27.49,27.08,38168.0,27.716,0.5944
2015-08-26,27.47,26.42,27.68,27.37,21305.0,27.4,1.0709
2015-08-27,27.52,26.41,27.52,26.62,21251.0,27.112,-2.7402
2015-08-28,26.49,25.89,26.49,26.18,14748.0,26.834,-1.6529
2015-08-31,26.13,25.95,26.38,26.16,23422.0,26.682,-0.0764
2015-09-01,25.61,25.29,26.04,25.73,29399.0,26.412,-1.6437
2015-09-02,25.95,25.95,26.95,26.94,48330.0,26.326,4.7027
2015-09-03,26.98,26.66,27.19,26.91,26350.0,26.384,-0.1114
2015-09-04,26.62,26.62,26.96,26.93,10286.0,26.534,0.0743
2015-09-08,27.45,27.45,28.7,28.63,43427.0,27.028,6.3127
2015-09-09,28.8,28.3,28.99,28.6,13286.0,27.602,-0.1048
2015-09-10,28.59,28.59,29.44,29.38,32928.0,28.09,2.7273
2015-09-11,29.14,28.14,29.14,28.8,32073.0,28.468,-1.9741
2015-09-14,28.85,28.56,29.44,28.97,16380.0,28.876,0.5903
2015-09-15,28.89,28.79,29.4,29.37,13495.0,29.024,1.3807
2015-09-16,29.4,28.5,29.4,28.91,33604.0,29.086,-1.5662
2015-09-17,29.08,28.78,29.9,29.58,13781.0,29.126,2.3175
2015-09-18,29.25,29.24,30.18,29.99,73908.0,29.364,1.3861
2015-09-21,30.14,27.86,30.19,28.85,32240.0,29.34,-3.8013
2015-09-22,28.62,28.0,28.62,28.27,14298.0,29.12,-2.0104
2015-09-23,28.36,27.97,29.29,28.79,20585.0,29.096,1.8394
2015-09-24,28.1,25.69,28.1,25.98,62673.0,28.376,-9.7603
2015-09-25,25.4,23.29,25.5,23.85,733802.0,27.148,-8.1986
2015-09-28,23.69,23.34,24.68,24.62,72253.0,26.302,3.2285
2015-09-29,24.61,23.55,24.69,23.78,73777.0,25.404,-3.4119
2015-09-30,24.07,23.96,24.75,24.72,63146.0,24.59,3.9529
2015-10-01,24.6,23.89,24.6,24.39,38920.0,24.272,-1.335
2015-10-02,24.23,23.81,24.38,24.38,36231.0,24.378,-0.041
2015-10-05,24.55,24.13,25.09,24.96,22202.0,24.446,2.379
2015-10-06,24.88,23.81,24.93,24.18,26175.0,24.526,-3.125
2015-10-07,24.32,23.91,24.76,24.2,53280.0,24.422,0.0827
2015-10-08,24.2,23.73,25.06,25.04,63919.0,24.552,3.4711
2015-10-09,24.94,24.64,26.21,25.85,135436.0,24.846,3.2348
2015-10-12,25.97,25.49,26.09,25.51,24851.0,24.956,-1.3153
2015-10-13,25.47,24.98,25.57,24.99,20371.0,25.118,-2.0384
2015-10-14,25.08,24.81,25.23,24.88,20283.0,25.254,-0.4402
2015-10-15,25.04,25.02,25.8,25.78,24553.0,25.402,3.6174
2015-10-16,25.88,25.44,26.09,25.87,25307.0,25.406,0.3491
2015-10-19,25.74,25.21,26.41,25.76,23437.0,25.456,-0.4252
2015-10-20,25.76,24.91,25.84,25.03,16350.0,25.464,-2.8339
2015-10-21,25.15,23.61,25.15,24.02,21585.0,25.292,-4.0352
2015-10-22,24.15,23.92,24.46,24.31,25103.0,24.998,1.2073
2015-10-23,24.59,24.44,25.04,24.78,22796.0,24.78,1.9334
2015-10-26,24.7,24.7,25.11,24.9,9916.0,24.608,0.4843
2015-10-27,24.87,24.31,24.92,24.85,19577.0,24.572,-0.2008
2015-10-28,24.84,24.75,25.8,25.66,22934.0,24.9,3.2596
2015-10-29,25.6,24.79,25.69,24.83,18782.0,25.004,-3.2346
2015-10-30,24.92,24.3,24.92,24.65,37573.0,24.978,-0.7249
2015-11-02,24.66,24.63,25.49,24.99,38198.0,24.996,1.3793
2015-11-03,24.95,24.79,25.01,24.95,21844.0,25.016,-0.1601
2015-11-04,24.97,24.621,25.36,25.07,35044.0,24.898,0.481
2015-11-05,25.09,24.17,25.2,24.36,24559.0,24.804,-2.8321
2015-11-06,25.35,25.35,28.1,27.73,79876.0,25.42,13.8342
2015-11-09,27.63,26.54,27.63,27.02,38526.0,25.826,-2.5604
2015-11-10,26.88,25.945,27.12,26.41,38687.0,26.118,-2.2576
2015-11-11,26.5,26.37,27.05,26.51,18509.0,26.406,0.3786
2015-11-12,26.36,26.15,26.66,26.49,59623.0,26.832,-0.0754
2015-11-13,26.23,26.23,26.54,26.41,19657.0,26.568,-0.302
2015-11-16,26.31,26.31,27.3,26.98,31918.0,26.56,2.1583
2015-11-17,27.05,26.29,27.05,26.72,19133.0,26.622,-0.9637
2015-11-18,26.64,26.56,27.6,27.53,35602.0,26.826,3.0314
2015-11-19,27.52,27.26,27.52,27.47,18983.0,27.022,-0.2179
2015-11-20,27.62,27.6,28.17,28.14,45084.0,27.368,2.439
2015-11-23,28.07,27.74,28.38,28.22,31474.0,27.616,0.2843
2015-11-24,28.06,27.87,28.19,28.02,8169.0,27.876,-0.7087
2015-11-25,28.01,28.01,28.3,28.27,11076.0,28.024,0.8922
2015-11-27,28.24,28.1,28.49,28.24,7018.0,28.178,-0.1061
2015-11-30,28.53,27.34,28.53,27.48,35739.0,28.046,-2.6912
2015-12-01,27.55,26.89,27.55,27.48,98290.0,27.898,0.0
2015-12-02,27.41,27.41,28.2,27.72,10712.0,27.838,0.8734
2015-12-03,27.83,27.14,28.11,27.31,12364.0,27.646,-1.4791
2015-12-04,27.3,26.87,27.41,27.03,14691.0,27.404,-1.0253
2015-12-07,26.95,25.82,26.95,25.91,9711.0,27.09,-4.1435
2015-12-08,25.67,25.49,26.31,26.29,11598.0,26.852,1.4666
2015-12-09,26.68,26.16,27.24,27.07,40568.0,26.722,2.9669
2015-12-10,27.14,27.14,28.44,27.99,32188.0,26.858,3.3986
2015-12-11,27.65,27.24,27.86,27.38,25322.0,26.928,-2.1793
2015-12-14,27.34,27.3,27.8,27.38,22249.0,27.222,0.0
2015-12-15,27.51,27.35,27.79,27.57,33022.0,27.478,0.6939
2015-12-16,27.55,27.41,27.77,27.63,18416.0,27.59,0.2176
2015-12-17,27.6,27.22,28.1,27.62,19039.0,27.516,-0.0362
2015-12-18,27.51,26.69,27.9,26.86,84088.0,27.412,-2.7516
2015-12-21,27.0,26.26,27.0,26.75,11993.0,27.286,-0.4095
2015-12-22,26.75,26.63,26.99,26.97,14624.0,27.166,0.8224
2015-12-23,27.08,26.91,27.85,27.81,19337.0,27.202,3.1146
2015-12-24,27.59,27.35,27.74,27.51,22252.0,27.18,-1.0787
2015-12-28,27.36,26.9,27.39,27.1,10187.0,27.228,-1.4904
2015-12-29,27.2,26.8,27.31,26.96,12500.0,27.27,-0.5166
2015-12-30,26.98,26.48,26.98,26.68,10038.0,27.212,-1.0386
2015-12-31,26.5,26.33,26.88,26.37,88998.0,26.924,-1.1619
2016-01-04,25.95,24.92,25.95,25.68,30287.0,26.558,-2.6166
2016-01-05,25.74,25.11,25.75,25.18,28563.0,26.174,-1.947
2016-01-06,24.87,24.73,25.3,24.77,16861.0,25.736,-1.6283
2016-01-07,24.27,23.82,24.49,24.12,27196.0,25.224,-2.6241
2016-01-08,24.24,23.7,24.31,24.0,24486.0,24.75,-0.4975
2016-01-11,24.15,23.74,24.17,24.07,26390.0,24.428,0.2917
2016-01-12,24.18,23.31,24.25,23.42,29873.0,24.076,-2.7005
2016-01-13,23.59,21.9,23.59,22.04,62769.0,23.53,-5.8924
2016-01-14,22.1,21.8,22.91,22.66,49792.0,23.238,2.8131
2016-01-15,22.03,21.89,23.01,22.87,44353.0,23.012,0.9267
2016-01-19,23.07,22.11,23.33,22.36,37351.0,22.67,-2.23
2016-01-20,22.1,21.32,22.63,22.29,77897.0,22.444,-0.3131
2016-01-21,22.21,21.26,22.32,21.39,59360.0,22.314,-4.0377
2016-01-22,21.81,21.5,22.12,21.98,49806.0,22.178,2.7583
2016-01-25,21.9,21.22,22.15,21.31,19091.0,21.866,-3.0482
2016-01-26,21.35,20.89,21.82,21.6,42646.0,21.714,1.3609
2016-01-27,21.58,21.16,21.65,21.21,26706.0,21.498,-1.8056
2016-01-28,21.33,20.64,21.48,20.71,19313.0,21.362,-2.3574
2016-01-29,20.74,20.7,21.7,21.66,33187.0,21.298,4.5872
2016-02-01,21.56,21.37,22.32,22.02,40134.0,21.44,1.662
2016-02-02,21.75,21.41,22.11,21.88,72234.0,21.496,-0.6358
2016-02-03,22.2,21.29,22.2,21.78,55805.0,21.61,-0.457
2016-02-04,21.75,21.6,22.01,21.86,19628.0,21.84,0.3673
2016-02-05,21.82,17.07,21.82,17.94,92202.0,21.096,-17.9323
2016-02-08,17.49,16.47,17.51,16.84,80680.0,20.06,-6.1315
