date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2017-07-26,23.32,23.25,24.19,23.35,638385.0,,
2017-07-27,23.49,23.0,23.49,23.01,77154.0,,-1.4561
2017-07-28,23.02,23.0,23.55,23.47,18958.0,,1.9991
2017-07-31,23.63,23.23,23.63,23.33,5503.0,,-0.5965
2017-08-01,23.4,23.16,23.4,23.2,7996.0,23.272,-0.5572
2017-08-02,23.18,23.0,23.18,23.0,13656.0,23.202,-0.8621
2017-08-03,23.0,23.0,23.08,23.05,22816.0,23.21,0.2174
2017-08-04,23.03,23.0,23.08,23.0,6972.0,23.116,-0.2169
2017-08-07,23.0,23.0,23.03,23.0,4985.0,23.05,0.0
2017-08-08,23.0,22.85,23.06,22.91,35914.0,22.992,-0.3913
2017-08-09,22.96,22.095,22.96,22.45,26354.0,22.882,-2.0079
2017-08-10,22.39,22.0,22.39,22.06,21307.0,22.684,-1.7372
2017-08-11,22.0,21.75,22.43,22.23,23827.0,22.53,0.7706
2017-08-14,22.15,22.15,22.43,22.3,3504.0,22.39,0.3149
2017-08-15,22.25,21.94,22.28,22.03,28290.0,22.214,-1.2108
2017-08-16,21.87,21.85,21.92,21.91,16582.0,22.106,-0.5447
2017-08-17,21.85,21.85,22.1,21.9,2418.0,22.074,-0.0456
2017-08-18,21.92,21.92,22.38,22.25,7370.0,22.078,1.5982
2017-08-21,22.25,22.25,22.8,22.56,26464.0,22.13,1.3933
2017-08-22,22.79,22.41,22.8,22.63,17831.0,22.25,0.3103
2017-08-23,22.51,22.51,23.06,22.66,19177.0,22.4,0.1326
2017-08-24,22.81,22.29,22.81,22.74,5569.0,22.568,0.353
2017-08-25,22.69,22.61,22.92,22.92,11424.0,22.702,0.7916
2017-08-28,22.99,22.36,22.99,22.47,5695.0,22.684,-1.9634
2017-08-29,22.41,22.34,22.78,22.67,8266.0,22.692,0.8901
2017-08-30,22.62,22.45,22.8,22.79,20545.0,22.718,0.5293
2017-08-31,22.84,22.55,22.84,22.6,10951.0,22.69,-0.8337
2017-09-01,22.52,22.45,22.73,22.73,7882.0,22.652,0.5752
2017-09-05,22.65,22.65,23.08,23.08,31913.0,22.774,1.5398
2017-09-06,23.05,22.91,23.22,23.05,9553.0,22.85,-0.13
2017-09-07,23.09,22.26,23.09,22.26,9589.0,22.744,-3.4273
2017-09-08,22.25,22.25,22.84,22.51,9276.0,22.726,1.1231
2017-09-11,22.68,22.45,22.68,22.5,4409.0,22.68,-0.0444
2017-09-12,22.5,22.25,22.58,22.28,9857.0,22.52,-0.9778
2017-09-13,22.28,22.14,22.46,22.21,22022.0,22.352,-0.3142
