date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-09-17,30.26,29.25,31.99,30.45,2801140.0,,
2015-09-18,29.9,29.35,30.7,30.7,109134.0,,0.821
2015-09-21,30.84,29.52,30.84,29.81,41632.0,,-2.899
2015-09-22,29.34,25.32,29.35,26.05,131955.0,,-12.6132
2015-09-23,25.79,22.76,25.79,24.51,73321.0,28.304,-5.9117
2015-09-24,24.38,24.32,26.49,26.43,38539.0,27.5,7.8335
2015-09-25,26.4,24.58,26.8,24.99,16216.0,26.358,-5.4484
2015-09-28,25.0,20.05,25.0,20.76,78505.0,24.548,-16.9268
2015-09-29,20.52,17.85,20.52,19.52,46528.0,23.242,-5.973
2015-09-30,20.01,20.0,22.7,22.03,44962.0,22.746,12.8586
2015-10-01,22.15,18.51,22.86,19.01,60298.0,21.262,-13.7086
2015-10-02,19.0,19.0,22.99,22.19,77885.0,20.702,16.728
2015-10-05,23.05,22.6,24.3,23.05,21522.0,21.16,3.8756
2015-10-06,22.8,20.15,23.86,22.2,38509.0,21.696,-3.6876
2015-10-07,22.5,19.06,24.21,23.4,63367.0,21.97,5.4054
2015-10-08,23.15,20.15,23.15,20.94,30420.0,22.356,-10.5128
2015-10-09,21.28,20.24,21.6,20.53,13877.0,22.024,-1.958
2015-10-12,20.78,19.03,20.78,19.28,37659.0,21.27,-6.0887
2015-10-13,19.1,17.05,19.44,18.21,59643.0,20.472,-5.5498
2015-10-14,18.45,17.32,18.98,17.89,21607.0,19.37,-1.7573
2015-10-15,18.13,17.14,18.88,18.87,23529.0,18.956,5.4779
2015-10-16,18.9,17.55,18.9,18.55,13455.0,18.56,-1.6958
2015-10-19,18.3,16.9,18.3,17.1,25532.0,18.124,-7.8167
2015-10-20,17.59,17.26,18.49,17.47,47955.0,17.976,2.1637
2015-10-21,16.98,15.53,17.09,16.48,57528.0,17.694,-5.6669
2015-10-22,16.62,14.83,16.62,15.15,86739.0,16.95,-8.0704
2015-10-23,15.57,13.97,15.57,14.15,51252.0,16.07,-6.6007
2015-10-26,13.94,13.77,15.0,14.95,7751.0,15.64,5.6537
2015-10-27,14.89,14.17,14.89,14.68,12222.0,15.082,-1.806
