date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,38.4533,37.5733,38.6933,38.1,152103.0,38.3013,-0.2444
2015-01-05,37.7467,36.86,37.8,37.0267,198365.0,38.032,-2.8171
2015-01-06,37.0067,35.84,37.0133,36.0533,130419.0,37.5507,-2.6287
2015-01-07,36.2533,36.02,36.3867,36.3733,215411.0,37.1493,0.8876
2015-01-08,36.8333,36.62,37.1133,37.1,169472.0,36.9307,1.9978
2015-01-09,37.12,36.2867,37.12,36.42,110285.0,36.5947,-1.8329
2015-01-12,36.5533,35.6333,36.5533,35.9267,179189.0,36.3747,-1.3546
2015-01-13,36.3533,35.3667,36.72,35.7467,215882.0,36.3133,-0.501
2015-01-14,35.02,34.6067,35.4333,35.2333,273059.0,36.0853,-1.436
2015-01-15,35.2733,34.6267,35.3667,34.6333,249761.0,35.592,-1.7029
2015-01-16,34.4533,34.0,35.1133,35.1,164700.0,35.328,1.3474
2015-01-20,35.04,34.2333,35.2333,34.8,165780.0,35.1027,-0.8547
2015-01-21,34.6733,34.36,35.1133,34.88,278940.0,34.9293,0.2299
2015-01-22,35.2333,34.5267,36.4933,36.2733,325805.0,35.1373,3.9946
2015-01-23,36.2733,35.0333,36.2933,35.0733,252780.0,35.2253,-3.3082
2015-01-26,35.0533,34.8933,35.98,35.9467,311354.0,35.3947,2.49
2015-01-27,35.34,35.1533,35.9667,35.7133,174240.0,35.5773,-0.6491
2015-01-28,35.98,34.8467,35.98,34.86,268992.0,35.5733,-2.3894
2015-01-29,35.1467,34.9933,35.6267,35.52,232928.0,35.4227,1.8933
2015-01-30,35.0467,34.8333,35.4933,35.08,271073.0,35.424,-1.2387
2015-02-02,35.4,34.6667,35.56,35.5067,168299.0,35.336,1.2163
2015-02-03,35.9,35.8533,36.4333,36.42,231192.0,35.4773,2.5723
2015-02-04,36.2667,36.2133,36.64,36.38,224460.0,35.7813,-0.1098
2015-02-05,36.6333,36.54,36.9867,36.8133,127628.0,36.04,1.1911
2015-02-06,37.1467,37.1,37.9567,37.56,329822.0,36.536,2.0283
2015-02-09,37.3333,36.92,37.44,37.0,143822.0,36.8347,-1.4909
2015-02-10,37.4467,37.1533,37.52,37.4733,140012.0,37.0453,1.2793
2015-02-11,37.3733,37.3067,37.82,37.64,109695.0,37.2973,0.4448
2015-02-12,37.8333,37.6533,38.2733,38.2733,146163.0,37.5893,1.6826
2015-02-13,38.22,37.8867,38.4267,38.0333,176411.0,37.684,-0.6271
2015-02-17,38.08,37.64,38.36,37.9933,156512.0,37.8827,-0.1052
2015-02-18,37.9533,37.2267,37.9533,37.4933,146946.0,37.8867,-1.316
2015-02-19,37.32,37.22,37.5733,37.42,145004.0,37.8427,-0.1956
2015-02-20,37.2267,36.8933,37.74,37.7333,170270.0,37.7347,0.8373
2015-02-23,37.6,37.2533,37.6667,37.6667,192894.0,37.6613,-0.1767
2015-02-24,37.8533,37.8,38.6267,38.4533,202874.0,37.7533,2.0885
2015-02-25,38.3333,38.1267,38.5,38.1867,186351.0,37.892,-0.6935
2015-02-26,38.1133,37.78,38.2933,38.08,186875.0,38.024,-0.2793
2015-02-27,38.1267,38.0533,38.4133,38.0867,256208.0,38.0947,0.0175
2015-03-02,38.1333,38.0333,38.8533,38.7733,251201.0,38.316,1.8029
2015-03-03,38.6733,38.38,38.8,38.6267,170069.0,38.3507,-0.3783
2015-03-04,38.5,38.3133,38.6667,38.5533,215613.0,38.424,-0.1899
2015-03-05,38.5733,38.38,38.7267,38.7,145602.0,38.548,0.3804
2015-03-06,38.8133,38.7733,39.6267,39.1867,256472.0,38.768,1.2575
2015-03-09,39.2,39.06,39.4133,39.1667,187974.0,38.8467,-0.051
2015-03-10,38.6533,38.4533,38.9333,38.5933,160814.0,38.84,-1.4638
2015-03-11,38.5867,38.4933,39.2467,39.1733,327597.0,38.964,1.5029
2015-03-12,39.5067,39.1933,39.8467,39.7667,167877.0,39.1773,1.5146
2015-03-13,39.5867,38.8467,39.6067,39.1467,262164.0,39.1693,-1.5591
2015-03-16,39.44,39.24,39.6533,39.4333,257469.0,39.2227,0.7323
2015-03-17,39.1667,38.9533,39.2733,39.2267,372998.0,39.3493,-0.5241
2015-03-18,39.1733,38.6667,39.3667,38.8067,365004.0,39.276,-1.0707
2015-03-19,38.6133,38.0733,38.7067,38.28,234797.0,38.9787,-1.3572
2015-03-20,38.4133,38.3333,38.9333,38.82,853253.0,38.9133,1.4107
