date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-06-30,46.0,41.32,46.5,42.5,8030630.0,,
2021-07-01,44.0,39.95,44.71,40.04,1203772.0,,-5.7882
2021-07-02,42.0,41.33,45.2,44.59,838972.0,,11.3636
2021-07-06,45.86,45.86,50.49,49.5,1337621.0,,11.0114
2021-07-07,52.98,49.8,54.05,51.49,3277258.0,45.624,4.0202
2021-07-08,50.0,45.4,50.975,50.0,759036.0,47.124,-2.8938
2021-07-09,51.38,48.37,51.71,49.24,303934.0,48.964,-1.52
2021-07-12,51.17,48.5,51.17,50.58,315512.0,50.162,2.7214
2021-07-13,50.63,47.33,51.04,49.01,420169.0,50.064,-3.104
2021-07-14,49.01,45.0,50.03,46.0,591382.0,48.966,-6.1416
2021-07-15,47.06,42.84,47.06,43.4,453392.0,47.646,-5.6522
2021-07-16,43.5,43.4,47.35,44.15,320031.0,46.628,1.7281
2021-07-19,43.91,43.09,47.76,47.0,258453.0,45.912,6.4553
2021-07-20,46.96,45.35,47.75,47.45,223092.0,45.6,0.9574
2021-07-21,47.45,46.56,49.13,47.1,228224.0,45.82,-0.7376
2021-07-22,46.35,46.32,48.62,47.77,139205.0,46.694,1.4225
2021-07-23,48.09,46.06,49.16,46.56,214608.0,47.176,-2.533
2021-07-26,48.5,47.75,50.38,49.5,472765.0,47.676,6.3144
2021-07-27,49.75,46.72,50.0,47.6,215772.0,47.706,-3.8384
2021-07-28,48.0,48.0,50.85,49.81,217999.0,48.248,4.6429
2021-07-29,50.38,49.76,51.74,50.56,206959.0,48.806,1.5057
2021-07-30,50.0,48.63,55.25,49.31,570711.0,49.356,-2.4723
2021-08-02,50.7,50.2,53.0,51.97,252422.0,49.85,5.3944
2021-08-03,52.0,51.38,53.47,51.87,315021.0,50.704,-0.1924
2021-08-04,51.43,49.68,51.88,50.06,317954.0,50.754,-3.4895
2021-08-05,50.0,49.75,52.69,52.5,326029.0,51.142,4.8742
2021-08-06,52.53,50.39,53.09,50.89,243859.0,51.458,-3.0667
2021-08-09,51.08,49.75,51.96,50.61,192139.0,51.186,-0.5502
2021-08-10,50.59,49.01,51.1,49.31,196215.0,50.674,-2.5687
2021-08-11,49.01,46.57,49.02,46.64,335117.0,49.99,-5.4147
2021-08-12,47.1,46.79,50.26,49.68,246674.0,49.426,6.518
2021-08-13,49.68,48.92,50.92,50.36,140402.0,49.32,1.3688
2021-08-16,49.49,47.54,49.79,49.35,129086.0,49.068,-2.0056
2021-08-17,48.5,46.28,48.5,47.02,259095.0,48.61,-4.7214
2021-08-18,47.24,47.24,49.78,48.7,116226.0,49.022,3.5729
2021-08-19,47.99,47.99,51.5,50.36,143976.0,49.158,3.4086
2021-08-20,50.01,49.15,51.36,51.29,120374.0,49.344,1.8467
2021-08-23,51.2,51.2,55.99,53.13,286909.0,50.1,3.5874
2021-08-24,55.02,54.73,59.12,56.7,303162.0,52.036,6.7194
2021-08-25,57.51,56.03,60.05,59.39,200587.0,54.174,4.7443
2021-08-26,59.64,59.5,64.03,61.01,325952.0,56.304,2.7277
2021-08-27,62.5,62.4,65.99,64.9,287136.0,59.026,6.376
2021-08-30,65.03,64.18,66.66,65.19,224880.0,61.438,0.4468
