date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,27.25,26.38,27.25,26.74,46123.0,27.264,-1.1095
2015-01-05,26.59,26.22,26.7,26.52,51550.0,27.094,-0.8227
2015-01-06,26.54,25.9,27.08,26.1,79424.0,26.786,-1.5837
2015-01-07,26.43,26.14,26.72,26.72,57862.0,26.624,2.3755
2015-01-08,27.01,26.39,27.25,26.55,49880.0,26.526,-0.6362
2015-01-09,26.47,25.96,26.47,26.09,45289.0,26.396,-1.7326
2015-01-12,26.06,25.68,26.15,25.86,55108.0,26.264,-0.8816
2015-01-13,26.03,25.6,26.57,25.98,73059.0,26.24,0.464
2015-01-14,25.66,25.16,25.68,25.56,48701.0,26.008,-1.6166
2015-01-15,25.68,24.75,25.68,24.76,42079.0,25.65,-3.1299
2015-01-16,24.69,24.4,25.56,25.49,50603.0,25.53,2.9483
2015-01-20,25.52,25.07,25.54,25.44,46693.0,25.446,-0.1962
2015-01-21,25.23,25.03,25.51,25.15,52097.0,25.28,-1.1399
2015-01-22,25.27,25.16,25.74,25.58,49846.0,25.284,1.7097
2015-01-23,25.61,25.55,26.23,26.18,43008.0,25.568,2.3456
2015-01-26,26.29,26.18,26.6,26.34,54996.0,25.738,0.6112
2015-01-27,25.9,25.65,26.21,25.99,45245.0,25.848,-1.3288
2015-01-28,26.05,25.54,26.11,25.57,51280.0,25.932,-1.616
2015-01-29,25.68,25.42,26.05,26.04,52977.0,26.024,1.8381
2015-01-30,25.93,24.47,25.93,24.63,207613.0,25.714,-5.4147
2015-02-02,24.66,23.77,24.79,24.72,82859.0,25.39,0.3654
2015-02-03,25.05,24.8,25.4,25.29,96920.0,25.25,2.3058
2015-02-04,25.25,25.23,25.88,25.71,54651.0,25.278,1.6607
2015-02-05,25.91,25.58,26.12,25.76,73964.0,25.222,0.1945
2015-02-06,25.82,25.78,26.12,26.03,54234.0,25.502,1.0481
2015-02-09,25.87,25.54,26.0,25.59,38935.0,25.676,-1.6904
2015-02-10,25.85,25.52,26.13,26.05,48067.0,25.828,1.7976
2015-02-11,26.02,25.67,26.1,25.74,44757.0,25.834,-1.19
2015-02-12,25.91,25.44,25.95,25.94,46923.0,25.87,0.777
2015-02-13,26.0,25.79,26.0,25.89,48598.0,25.842,-0.1928
2015-02-17,25.98,25.76,26.01,25.88,82896.0,25.9,-0.0386
2015-02-18,25.81,25.47,25.85,25.6,69555.0,25.81,-1.0819
2015-02-19,25.55,25.485,25.9,25.89,51243.0,25.84,1.1328
2015-02-20,25.78,25.5,25.93,25.9,49885.0,25.832,0.0386
2015-02-23,25.89,25.76,26.0,25.96,52607.0,25.846,0.2317
2015-02-24,25.6,24.23,26.2,24.99,179347.0,25.668,-3.7365
2015-02-25,24.86,24.29,25.16,25.13,168867.0,25.574,0.5602
2015-02-26,25.12,24.8,25.61,25.01,52677.0,25.398,-0.4775
2015-02-27,24.93,24.71,25.18,24.73,57882.0,25.164,-1.1196
2015-03-02,24.73,24.61,25.28,25.08,94275.0,24.988,1.4153
2015-03-03,24.94,24.69,24.96,24.89,45777.0,24.968,-0.7576
2015-03-04,24.7,24.22,24.77,24.35,50154.0,24.812,-2.1695
2015-03-05,24.37,24.02,24.48,24.02,60294.0,24.614,-1.3552
2015-03-06,23.85,23.52,24.11,23.52,52797.0,24.372,-2.0816
2015-03-09,23.57,23.41,23.63,23.57,30887.0,24.07,0.2126
2015-03-10,23.35,23.1,23.35,23.16,54877.0,23.724,-1.7395
2015-03-11,23.05,23.05,23.39,23.34,136427.0,23.522,0.7772
2015-03-12,23.52,23.37,24.34,24.23,60615.0,23.564,3.8132
2015-03-13,24.18,23.89,24.31,24.1,63092.0,23.68,-0.5365
2015-03-16,24.28,23.97,24.37,24.09,42708.0,23.784,-0.0415
2015-03-17,24.05,24.05,24.86,24.73,82883.0,24.098,2.6567
2015-03-18,24.64,24.45,25.0,24.96,43299.0,24.422,0.93
2015-03-19,24.9,24.9,25.08,25.04,55178.0,24.584,0.3205
2015-03-20,25.2,24.84,25.4,25.37,326561.0,24.838,1.3179
2015-03-23,25.34,24.78,25.49,24.87,65385.0,24.994,-1.9708
2015-03-24,24.84,24.84,25.2,25.02,85892.0,25.052,0.6031
2015-03-25,24.99,24.42,25.08,24.47,71508.0,24.954,-2.1982
2015-03-26,24.36,23.96,24.46,24.02,64791.0,24.75,-1.839
2015-03-27,24.04,24.0,24.8,24.76,62621.0,24.628,3.0808
2015-03-30,24.95,24.7,24.95,24.9,55779.0,24.634,0.5654
2015-03-31,24.73,24.73,24.99,24.9,96916.0,24.61,0.0
2015-04-01,24.87,24.25,24.92,24.72,71064.0,24.66,-0.7229
2015-04-02,24.92,24.86,25.25,25.14,77165.0,24.884,1.699
2015-04-06,24.98,24.98,25.42,25.37,59695.0,25.006,0.9149
2015-04-07,25.36,24.83,25.41,24.85,56626.0,24.996,-2.0497
2015-04-08,24.81,24.77,25.04,24.99,57045.0,25.014,0.5634
2015-04-09,24.98,24.63,25.03,24.87,38865.0,25.044,-0.4802
2015-04-10,25.01,24.74,25.05,24.76,52934.0,24.968,-0.4423
2015-04-13,24.72,24.47,24.98,24.95,124713.0,24.884,0.7674
2015-04-14,24.96,24.56,24.96,24.65,74035.0,24.844,-1.2024
2015-04-15,24.75,24.61,24.83,24.76,42071.0,24.798,0.4462
2015-04-16,24.71,24.41,24.96,24.58,42291.0,24.74,-0.727
2015-04-17,24.3,23.83,24.3,24.04,63129.0,24.596,-2.1969
2015-04-20,24.17,24.14,24.53,24.31,54939.0,24.468,1.1231
2015-04-21,23.5,23.5,24.49,24.22,65901.0,24.382,-0.3702
2015-04-22,24.38,24.27,24.87,24.44,299383.0,24.318,0.9083
2015-04-23,24.37,24.37,24.84,24.49,59891.0,24.3,0.2046
2015-04-24,24.5,24.26,24.5,24.31,43529.0,24.354,-0.735
2015-04-27,24.37,23.75,24.53,23.87,64873.0,24.266,-1.81
2015-04-28,23.86,23.57,23.97,23.92,42410.0,24.206,0.2095
2015-04-29,23.74,23.4,23.89,23.53,127912.0,24.024,-1.6304
2015-04-30,23.44,23.05,23.57,23.35,127875.0,23.796,-0.765
2015-05-01,23.4,23.21,23.62,23.6,65476.0,23.654,1.0707
2015-05-04,23.7,23.69,23.91,23.71,65800.0,23.622,0.4661
2015-05-05,23.66,23.41,23.78,23.78,98739.0,23.594,0.2952
2015-05-06,23.78,23.55,23.84,23.72,114890.0,23.632,-0.2523
2015-05-07,23.68,23.65,24.18,23.94,106116.0,23.75,0.9275
2015-05-08,24.12,24.12,24.51,24.2,72592.0,23.87,1.086
2015-05-11,24.14,24.09,24.41,24.11,55905.0,23.95,-0.3719
2015-05-12,24.0,23.69,24.2,24.06,113043.0,24.006,-0.2074
2015-05-13,24.07,23.94,24.1,23.97,109299.0,24.056,-0.3741
2015-05-14,24.1,23.63,24.1,23.91,100226.0,24.05,-0.2503
2015-05-15,23.93,23.77,24.07,24.07,80775.0,24.024,0.6692
2015-05-18,24.06,23.85,24.22,24.21,52978.0,24.044,0.5816
2015-05-19,24.24,23.78,24.24,23.84,56055.0,24.0,-1.5283
2015-05-20,23.91,23.64,24.04,23.94,51241.0,23.994,0.4195
2015-05-21,23.92,23.77,24.16,23.78,39968.0,23.968,-0.6683
2015-05-22,23.73,23.47,23.83,23.6,43630.0,23.874,-0.7569
2015-05-26,23.57,23.23,23.57,23.38,49188.0,23.708,-0.9322
2015-05-27,23.45,23.32,23.63,23.58,65147.0,23.656,0.8554
2015-05-28,23.58,23.35,23.6,23.6,65832.0,23.588,0.0848
2015-05-29,23.57,23.13,23.57,23.25,60127.0,23.482,-1.4831
2015-06-01,23.4,23.02,23.41,23.26,90098.0,23.414,0.043
2015-06-02,23.16,23.12,23.59,23.59,87812.0,23.456,1.4187
2015-06-03,23.69,23.55,24.2,24.12,76554.0,23.564,2.2467
2015-06-04,23.95,23.95,24.49,24.2,66006.0,23.684,0.3317
2015-06-05,24.21,24.19,24.54,24.51,67691.0,23.936,1.281
2015-06-08,24.43,24.36,24.88,24.59,56059.0,24.202,0.3264
2015-06-09,24.58,24.19,24.82,24.21,40316.0,24.326,-1.5453
