date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2017-12-28,44.99,44.84,45.35,45.29,105291.0,,
2017-12-29,45.24,44.85,45.67,44.85,128312.0,,-0.9715
2018-01-02,45.05,44.2,45.6,45.6,186279.0,,1.6722
2018-01-03,45.54,43.501,45.54,44.14,219376.0,,-3.2018
2018-01-04,44.25,43.33,44.25,43.5,460530.0,44.676,-1.4499
2018-01-05,43.75,43.46,43.83,43.63,140529.0,44.344,0.2989
2018-01-08,43.6,42.94,43.63,43.23,244546.0,44.02,-0.9168
2018-01-09,44.26,43.37,44.69,43.59,415996.0,43.618,0.8328
2018-01-10,44.28,43.69,44.93,44.91,280406.0,43.772,3.0282
2018-01-11,45.69,45.56,48.0,47.57,444715.0,44.586,5.923
2018-01-12,47.7,47.28,48.8,48.26,277203.0,45.512,1.4505
2018-01-16,47.92,45.65,47.92,46.21,482730.0,46.108,-4.2478
2018-01-17,47.09,44.88,47.34,44.89,434426.0,46.368,-2.8565
2018-01-18,45.08,44.76,45.61,44.96,215072.0,46.378,0.1559
2018-01-19,45.07,44.79,45.53,45.19,175814.0,45.902,0.5116
2018-01-22,45.13,42.82,45.13,43.33,350851.0,44.916,-4.116
2018-01-23,43.27,42.51,44.65,44.59,376747.0,44.592,2.9079
2018-01-24,42.26,40.76,42.75,41.53,460830.0,43.92,-6.8625
2018-01-25,41.37,39.53,41.45,40.18,366360.0,42.964,-3.2507
2018-01-26,40.57,40.18,41.49,41.48,329118.0,42.222,3.2354
2018-01-29,41.49,41.22,41.72,41.42,236929.0,41.84,-0.1446
2018-01-30,41.12,41.12,42.11,41.83,456968.0,41.288,0.9899
2018-01-31,42.07,41.98,42.66,42.12,263259.0,41.406,0.6933
2018-02-01,41.89,41.62,42.35,42.02,110026.0,41.774,-0.2374
2018-02-02,42.29,40.79,42.29,41.07,186166.0,41.692,-2.2608
2018-02-05,40.5,39.72,41.44,39.88,317232.0,41.384,-2.8975
2018-02-06,39.42,38.82,40.7,40.42,369514.0,41.102,1.3541
2018-02-07,41.37,40.23,41.99,40.3,342785.0,40.738,-0.2969
2018-02-08,40.3,39.0,40.33,39.06,336546.0,40.146,-3.0769
2018-02-09,39.42,37.81,39.52,39.25,263234.0,39.782,0.4864
2018-02-12,39.52,38.89,40.3,39.91,329166.0,39.788,1.6815
2018-02-13,39.92,38.5,39.92,39.09,576163.0,39.522,-2.0546
2018-02-14,38.85,38.85,39.64,39.52,223223.0,39.366,1.1
2018-02-15,39.72,39.0,39.89,39.64,329189.0,39.482,0.3036
2018-02-16,39.68,39.6,40.1,39.72,132113.0,39.576,0.2018
2018-02-20,39.52,38.83,39.63,38.9,344128.0,39.374,-2.0645
2018-02-21,39.25,39.25,40.82,39.91,162110.0,39.538,2.5964
2018-02-22,39.96,39.46,40.53,39.48,196246.0,39.53,-1.0774
2018-02-23,39.66,38.93,39.95,39.49,181934.0,39.5,0.0253
2018-02-26,39.74,39.32,40.185,40.08,341833.0,39.572,1.494
2018-02-27,40.0,38.29,40.31,38.75,279192.0,39.542,-3.3184
2018-02-28,39.0,38.05,39.98,39.84,425645.0,39.528,2.8129
2018-03-01,39.85,39.84,41.23,40.5,483745.0,39.732,1.6566
2018-03-02,40.17,40.17,41.99,41.85,370633.0,40.204,3.3333
2018-03-05,41.86,41.21,42.3,41.72,299533.0,40.532,-0.3106
2018-03-06,41.8,41.49,42.48,42.16,178724.0,41.214,1.0547
2018-03-07,41.74,41.71,42.43,41.92,135952.0,41.63,-0.5693
2018-03-08,42.15,42.1,43.44,42.97,211665.0,42.124,2.5048
2018-03-09,43.39,42.72,43.45,43.0,200821.0,42.354,0.0698
2018-03-12,42.97,42.47,43.37,43.28,134688.0,42.666,0.6512
2018-03-13,43.5,43.24,45.12,45.09,244800.0,43.252,4.1821
2018-03-14,45.17,44.13,45.82,44.42,242636.0,43.752,-1.4859
2018-03-15,44.42,44.19,44.87,44.28,112393.0,44.014,-0.3152
2018-03-16,44.33,44.33,45.32,45.12,217086.0,44.438,1.897
