date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-10-19,12.35,11.11,13.09,13.09,179878.0,,
2021-10-20,13.14,12.72,13.29,13.25,87815.0,,1.2223
2021-10-21,13.31,12.15,13.37,12.29,112164.0,,-7.2453
2021-10-22,12.38,11.7,12.38,11.89,50816.0,,-3.2547
2021-10-25,12.1,12.0,12.93,12.85,128253.0,12.674,8.074
2021-10-26,12.88,12.56,13.55,13.5,65146.0,12.756,5.0584
2021-10-27,13.32,12.68,13.82,13.75,90380.0,12.856,1.8519
2021-10-28,14.0,13.6,14.35,13.65,57562.0,13.128,-0.7273
2021-10-29,13.53,13.06,13.7,13.5,127373.0,13.45,-1.0989
2021-11-01,13.54,13.0,13.58,13.11,63132.0,13.502,-2.8889
2021-11-02,13.16,12.46,13.16,13.02,101201.0,13.406,-0.6865
2021-11-03,12.96,12.8,13.42,13.36,68884.0,13.328,2.6114
2021-11-04,13.36,12.96,13.43,13.3,80113.0,13.258,-0.4491
2021-11-05,13.53,13.07,13.65,13.39,57480.0,13.236,0.6767
2021-11-08,13.33,12.36,13.9,13.41,224552.0,13.296,0.1494
2021-11-09,13.61,13.46,13.83,13.52,108263.0,13.396,0.8203
2021-11-10,13.68,12.98,13.72,13.16,1093927.0,13.356,-2.6627
2021-11-11,13.18,13.07,13.48,13.2,53616.0,13.336,0.304
2021-11-12,13.08,13.0,13.41,13.25,68493.0,13.308,0.3788
2021-11-15,13.5,13.07,13.96,13.2,139298.0,13.266,-0.3774
2021-11-16,13.46,12.5,13.46,12.75,77671.0,13.112,-3.4091
2021-11-17,12.58,12.15,12.74,12.55,53064.0,12.99,-1.5686
2021-11-18,13.0,12.47,13.0,12.67,43795.0,12.884,0.9562
2021-11-19,12.7,12.33,12.82,12.33,52073.0,12.7,-2.6835
2021-11-22,12.29,12.13,12.56,12.53,72628.0,12.566,1.6221
2021-11-23,12.48,11.5,12.48,11.75,89558.0,12.366,-6.2251
2021-11-24,11.65,11.23,11.65,11.55,62243.0,12.166,-1.7021
2021-11-26,11.29,10.7,11.7,11.68,57964.0,11.968,1.1255
2021-11-29,11.58,11.25,11.83,11.6,64238.0,11.822,-0.6849
2021-11-30,11.6,11.02,11.68,11.6,68511.0,11.636,0.0
2021-12-01,11.69,10.8,11.72,10.86,79232.0,11.458,-6.3793
2021-12-02,10.96,10.18,10.96,10.6,109938.0,11.268,-2.3941
2021-12-03,10.6,9.71,10.78,10.07,144816.0,10.946,-5.0
2021-12-06,10.16,10.02,10.71,10.31,135433.0,10.688,2.3833
2021-12-07,10.45,10.41,10.95,10.6,81510.0,10.488,2.8128
2021-12-08,10.65,10.65,11.37,11.0,96395.0,10.516,3.7736
2021-12-09,10.99,10.27,11.0,10.31,88691.0,10.458,-6.2727
2021-12-10,10.39,10.12,10.46,10.15,73787.0,10.474,-1.5519
2021-12-13,10.0,9.88,10.48,9.94,47975.0,10.4,-2.069
2021-12-14,10.15,9.79,10.42,9.95,74000.0,10.27,0.1006
2021-12-15,9.94,9.7,10.44,10.15,917960.0,10.1,2.0101
2021-12-16,10.3,9.39,10.5,9.82,996415.0,10.002,-3.2512
2021-12-17,9.64,9.43,9.98,9.7,1814120.0,9.912,-1.222
2021-12-20,9.49,9.49,9.96,9.56,829517.0,9.836,-1.4433
2021-12-21,9.52,9.52,10.55,10.31,886647.0,9.908,7.8452
2021-12-22,10.31,10.31,11.005,10.91,108352.0,10.06,5.8196
2021-12-23,10.88,10.76,11.08,10.81,38001.0,10.258,-0.9166
2021-12-27,10.82,10.69,11.12,11.09,72216.0,10.536,2.5902
2021-12-28,11.08,10.76,11.2,10.79,50365.0,10.782,-2.7051
2021-12-29,10.78,10.53,11.0,10.86,43276.0,10.892,0.6487
2021-12-30,10.88,10.88,11.16,11.0,81691.0,10.91,1.2891
2021-12-31,11.03,10.86,11.16,10.88,70215.0,10.924,-1.0909
2022-01-03,11.34,11.06,11.75,11.52,239238.0,11.01,5.8824
2022-01-04,11.99,11.555,12.0,11.84,99374.0,11.22,2.7778
2022-01-05,11.7,11.52,11.87,11.56,131217.0,11.36,-2.3649
2022-01-06,11.68,11.08,11.78,11.69,122937.0,11.498,1.1246
2022-01-07,11.72,11.28,11.72,11.35,74383.0,11.592,-2.9085
2022-01-10,11.35,10.915,11.35,10.99,246878.0,11.486,-3.1718
2022-01-11,10.96,10.96,11.42,11.11,169599.0,11.34,1.0919
2022-01-12,11.25,10.9,11.25,10.93,230286.0,11.214,-1.6202
2022-01-13,11.0,10.69,11.2,10.75,144619.0,11.026,-1.6468
2022-01-14,10.69,10.64,11.13,11.1,161090.0,10.976,3.2558
2022-01-18,10.87,10.69,10.98,10.82,80376.0,10.942,-2.5225
2022-01-19,10.92,10.58,11.11,10.63,80022.0,10.846,-1.756
2022-01-20,10.5,10.15,10.59,10.16,117412.0,10.692,-4.4214
2022-01-21,10.07,9.21,10.07,9.34,176648.0,10.41,-8.0709
2022-01-24,9.18,8.62,9.68,9.61,243770.0,10.112,2.8908
2022-01-25,9.37,9.08,9.5,9.22,124373.0,9.792,-4.0583
2022-01-26,9.36,8.6,9.36,8.6,310863.0,9.386,-6.7245
2022-01-27,8.67,8.01,8.67,8.14,227270.0,8.982,-5.3488
2022-01-28,8.17,7.84,8.32,8.21,156665.0,8.756,0.86
2022-01-31,8.26,8.26,8.96,8.9,216407.0,8.614,8.4044
2022-02-01,8.92,8.89,9.42,9.37,105983.0,8.644,5.2809
2022-02-02,9.5,8.57,9.5,8.63,131390.0,8.65,-7.8975
2022-02-03,8.43,8.255,8.55,8.33,122090.0,8.688,-3.4762
2022-02-04,8.31,8.31,8.77,8.72,79443.0,8.79,4.6819
2022-02-07,8.71,8.71,9.18,9.1,103482.0,8.83,4.3578
2022-02-08,9.11,9.07,9.56,9.52,119953.0,8.86,4.6154
2022-02-09,9.59,9.47,10.25,10.24,184441.0,9.182,7.563
2022-02-10,9.96,9.96,10.86,10.69,193686.0,9.654,4.3945
2022-02-11,10.65,10.57,11.02,10.68,147013.0,10.046,-0.0935
2022-02-14,10.73,10.06,10.73,10.24,74449.0,10.274,-4.1199
2022-02-15,10.37,10.37,10.81,10.66,103132.0,10.502,4.1016
2022-02-16,10.6,10.31,10.77,10.72,71304.0,10.598,0.5629
2022-02-17,10.63,10.63,11.11,11.0,92387.0,10.66,2.6119
2022-02-18,10.95,10.84,11.44,11.36,191601.0,10.796,3.2727
2022-02-22,11.25,10.86,11.35,11.02,86044.0,10.952,-2.993
2022-02-23,11.11,10.755,11.52,10.77,89520.0,10.974,-2.2686
2022-02-24,10.32,10.32,11.4,11.37,149410.0,11.104,5.571
2022-02-25,11.41,11.15,11.58,11.48,82835.0,11.2,0.9675
2022-02-28,11.36,11.04,11.71,11.68,87552.0,11.264,1.7422
2022-03-01,11.75,11.75,12.08,11.91,161734.0,11.442,1.9692
2022-03-02,11.91,11.67,12.51,12.31,139928.0,11.75,3.3585
2022-03-03,12.3,11.74,12.32,12.0,140785.0,11.876,-2.5183
2022-03-04,11.96,10.94,12.08,11.16,367962.0,11.812,-7.0
2022-03-07,11.22,11.1,11.35,11.12,119701.0,11.7,-0.3584
2022-03-08,11.11,10.83,11.43,11.02,165951.0,11.522,-0.8993
2022-03-09,11.21,11.11,11.92,11.59,184742.0,11.378,5.1724
2022-03-10,11.52,10.11,11.52,10.52,215419.0,11.082,-9.2321
2022-03-11,10.52,9.8,10.52,10.26,125399.0,10.902,-2.4715
2022-03-14,10.23,10.08,10.71,10.68,125729.0,10.814,4.0936
2022-03-15,10.67,10.44,11.56,11.0,176388.0,10.81,2.9963
2022-03-16,11.1,10.9,11.45,11.28,191548.0,10.748,2.5455
2022-03-17,11.39,11.24,11.78,11.45,174813.0,10.934,1.5071
2022-03-18,11.27,11.24,11.77,11.39,316126.0,11.16,-0.524
2022-03-21,11.56,10.96,11.67,11.14,153277.0,11.252,-2.1949
2022-03-22,11.24,11.23,11.94,11.49,251548.0,11.35,3.1418
2022-03-23,11.43,11.08,11.58,11.24,105499.0,11.342,-2.1758
2022-03-24,11.27,10.93,11.27,11.22,76614.0,11.296,-0.1779
2022-03-25,11.21,10.84,11.38,10.88,107673.0,11.194,-3.0303
2022-03-28,10.93,10.65,11.08,10.94,79814.0,11.154,0.5515
2022-03-29,11.07,11.07,11.44,11.33,113512.0,11.122,3.5649
2022-03-30,11.14,11.14,11.595,11.18,108039.0,11.11,-1.3239
2022-03-31,11.1,11.025,11.23,11.06,55073.0,11.078,-1.0733
2022-04-01,11.21,11.1,11.51,11.5,68956.0,11.202,3.9783
2022-04-04,11.45,11.45,12.28,12.08,168790.0,11.43,5.0435
2022-04-05,12.07,11.56,12.225,11.7,107903.0,11.504,-3.1457
2022-04-06,11.6,10.87,11.64,11.21,125204.0,11.51,-4.188
2022-04-07,11.22,10.37,11.28,10.46,92921.0,11.39,-6.6905
2022-04-08,10.39,10.03,10.44,10.08,81494.0,11.106,-3.6329
2022-04-11,9.99,9.76,10.08,9.8,87447.0,10.65,-2.7778
2022-04-12,9.9,9.83,10.63,10.26,123892.0,10.362,4.6939
2022-04-13,10.26,10.26,10.66,10.64,102353.0,10.248,3.7037
2022-04-14,10.59,10.3,10.72,10.32,77369.0,10.22,-3.0075
2022-04-18,10.34,9.96,10.34,10.08,76221.0,10.22,-2.3256
2022-04-19,10.04,10.04,10.59,10.4,109186.0,10.34,3.1746
2022-04-20,10.35,9.98,10.35,10.1,128806.0,10.308,-2.8846
2022-04-21,10.28,9.98,10.55,10.06,81302.0,10.192,-0.396
2022-04-22,9.98,9.64,10.25,9.88,159981.0,10.104,-1.7893
2022-04-25,9.85,9.85,10.48,10.3,136731.0,10.148,4.251
2022-04-26,10.3,10.0,10.44,10.03,79055.0,10.074,-2.6214
2022-04-27,10.1,9.75,10.32,9.9,103098.0,10.034,-1.2961
2022-04-28,9.97,9.79,10.41,10.15,85902.0,10.052,2.5253
2022-04-29,10.11,9.84,10.47,9.87,79780.0,10.05,-2.7586
2022-05-02,9.86,9.79,10.28,10.28,116237.0,10.046,4.154
2022-05-03,10.29,9.6,10.29,9.82,113444.0,10.004,-4.4747
2022-05-04,9.86,9.37,10.1,10.07,152590.0,10.038,2.5458
2022-05-05,9.89,9.24,9.89,9.67,100405.0,9.942,-3.9722
2022-05-06,9.56,9.12,9.71,9.33,109546.0,9.834,-3.516
2022-05-09,9.19,8.5,9.31,8.62,207212.0,9.502,-7.6099
2022-05-10,8.92,7.39,8.92,7.6,281372.0,9.058,-11.8329
2022-05-11,7.74,7.15,7.83,7.28,506073.0,8.5,-4.2105
2022-05-12,7.2,7.07,8.18,7.71,274331.0,8.108,5.9066
2022-05-13,7.98,7.98,8.56,8.36,225618.0,7.914,8.4306
2022-05-16,8.24,7.84,8.39,8.0,152655.0,7.79,-4.3062
2022-05-17,8.13,7.95,8.5,8.47,187862.0,7.964,5.875
2022-05-18,8.26,7.67,8.26,7.79,133926.0,8.066,-8.0283
2022-05-19,7.71,7.65,8.03,7.76,156682.0,8.076,-0.3851
2022-05-20,7.82,7.57,7.96,7.83,135655.0,7.97,0.9021
2022-05-23,7.93,7.57,7.93,7.73,76063.0,7.916,-1.2771
2022-05-24,7.63,7.21,7.63,7.46,183346.0,7.714,-3.4929
2022-05-25,7.46,7.38,7.9,7.89,155914.0,7.734,5.7641
2022-05-26,8.14,8.12,9.47,8.88,493308.0,7.958,12.5475
2022-05-27,8.93,8.84,9.28,9.26,126251.0,8.244,4.2793
2022-05-31,9.39,9.08,9.57,9.13,466502.0,8.524,-1.4039
2022-06-01,9.2,9.07,9.43,9.27,175232.0,8.886,1.5334
2022-06-02,9.28,9.12,9.435,9.23,134249.0,9.154,-0.4315
2022-06-03,9.03,8.64,9.18,8.91,203408.0,9.16,-3.467
2022-06-06,9.08,8.74,9.11,8.98,178963.0,9.104,0.7856
2022-06-07,8.9,8.52,8.9,8.85,161437.0,9.048,-1.4477
2022-06-08,8.82,8.82,9.43,9.28,164800.0,9.05,4.8588
2022-06-09,9.18,8.47,9.18,8.5,131056.0,8.904,-8.4052
2022-06-10,8.29,8.25,8.44,8.4,126763.0,8.802,-1.1765
2022-06-13,8.06,7.57,8.26,7.61,159336.0,8.528,-9.4048
2022-06-14,7.65,7.39,7.75,7.55,109373.0,8.268,-0.7884
2022-06-15,7.64,7.64,8.0,7.78,647194.0,7.968,3.0464
2022-06-16,7.68,7.21,7.68,7.35,636903.0,7.738,-5.527
2022-06-17,7.42,7.35,8.02,8.0,606918.0,7.658,8.8435
2022-06-21,8.15,8.13,8.49,8.23,547018.0,7.782,2.875
2022-06-22,8.06,7.94,8.22,8.03,571425.0,7.878,-2.4301
2022-06-23,8.1,7.93,8.26,8.15,154179.0,7.952,1.4944
2022-06-24,8.19,7.96,8.47,8.14,2724176.0,8.11,-0.1227
2022-06-27,8.2,7.61,8.3,7.92,198083.0,8.094,-2.7027
2022-06-28,7.92,7.7,8.55,7.92,399113.0,8.032,0.0
2022-06-29,7.87,7.49,7.87,7.57,126321.0,7.94,-4.4192
2022-06-30,7.5,7.25,7.54,7.47,152823.0,7.804,-1.321
2022-07-01,7.57,7.45,7.77,7.73,109793.0,7.722,3.4806
2022-07-05,7.56,7.41,8.0,7.98,97852.0,7.734,3.2342
2022-07-06,7.94,7.51,7.96,7.58,105904.0,7.666,-5.0125
2022-07-07,7.63,7.63,8.23,8.11,208857.0,7.774,6.9921
2022-07-08,7.95,7.89,8.27,8.11,109043.0,7.902,0.0
2022-07-11,8.0,7.76,8.24,7.77,125225.0,7.91,-4.1924
2022-07-12,7.78,7.6,7.97,7.88,133201.0,7.89,1.4157
2022-07-13,7.75,7.63,7.87,7.72,99365.0,7.918,-2.0305
2022-07-14,7.65,7.36,7.7,7.46,99148.0,7.788,-3.3679
2022-07-15,7.6,7.43,8.09,8.08,144052.0,7.782,8.311
2022-07-18,8.18,8.11,8.33,8.14,87699.0,7.856,0.7426
2022-07-19,8.22,8.22,8.54,8.49,92395.0,7.978,4.2998
2022-07-20,8.44,8.15,8.69,8.53,100135.0,8.14,0.4711
2022-07-21,8.53,8.31,8.53,8.37,103438.0,8.322,-1.8757
2022-07-22,8.32,8.07,8.45,8.11,90480.0,8.328,-3.1063
2022-07-25,8.12,8.02,8.305,8.24,78392.0,8.348,1.603
2022-07-26,8.19,7.95,8.19,8.03,87196.0,8.256,-2.5485
2022-07-27,8.16,8.09,8.5,8.5,158403.0,8.25,5.8531
2022-07-28,8.54,8.37,8.67,8.58,92837.0,8.292,0.9412
2022-07-29,8.54,8.33,8.54,8.36,153231.0,8.342,-2.5641
2022-08-01,8.34,8.14,8.43,8.39,102104.0,8.372,0.3589
2022-08-02,8.37,8.27,8.52,8.37,103655.0,8.44,-0.2384
2022-08-03,8.35,8.35,8.51,8.39,96994.0,8.418,0.2389
2022-08-04,8.4,7.79,8.53,8.26,202461.0,8.354,-1.5495
2022-08-05,8.25,8.01,8.535,8.53,161127.0,8.388,3.2688
2022-08-08,8.58,8.58,9.1,8.7,194291.0,8.45,1.993
2022-08-09,9.39,8.46,9.39,8.7,174041.0,8.516,0.0
2022-08-10,8.93,8.5,8.93,8.6,155009.0,8.558,-1.1494
2022-08-11,8.62,8.62,9.36,9.26,144214.0,8.758,7.6744
2022-08-12,9.29,9.21,9.745,9.62,235859.0,8.976,3.8877
2022-08-15,9.58,9.32,9.71,9.7,96529.0,9.176,0.8316
2022-08-16,9.64,9.57,9.84,9.79,89796.0,9.394,0.9278
2022-08-17,9.65,9.41,9.77,9.54,110403.0,9.582,-2.5536
2022-08-18,9.4,9.32,9.62,9.58,81383.0,9.646,0.4193
2022-08-19,9.35,9.09,9.35,9.24,80729.0,9.57,-3.5491
