date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-11-23,10.0,10.0,10.0,10.0,2000.0,,
2020-11-24,11.37,10.02,11.37,10.02,900.0,,0.2
2020-11-25,10.05,10.05,10.15,10.05,1100.0,,0.2994
2020-11-27,10.43,10.43,10.43,10.43,1.0,,3.7811
2020-11-30,10.43,10.0,10.45,10.3,3852.0,10.16,-1.2464
2020-12-01,10.11,10.11,10.23,10.15,3001.0,10.19,-1.4563
2020-12-02,10.27,10.05,10.27,10.26,6735.0,10.238,1.0837
2020-12-03,10.28,10.11,10.28,10.11,1744.0,10.25,-1.462
2020-12-04,10.24,10.1,10.24,10.1,414.0,10.184,-0.0989
2020-12-07,10.21,10.11,10.4,10.4,981.0,10.204,2.9703
2020-12-08,10.36,10.13,10.4,10.36,33900.0,10.246,-0.3846
2020-12-09,10.35,10.2,10.35,10.2,130.0,10.234,-1.5444
2020-12-10,10.27,10.21,10.44,10.23,9069.0,10.258,0.2941
2020-12-11,10.28,10.2,10.51,10.46,11893.0,10.33,2.2483
2020-12-14,10.92,10.4,10.92,10.49,23953.0,10.348,0.2868
2020-12-15,10.5,10.28,10.5,10.3,20289.0,10.336,-1.8112
2020-12-16,10.42,10.29,10.42,10.3,27503.0,10.356,0.0
2020-12-17,10.49,10.49,10.58,10.58,4530.0,10.426,2.7184
2020-12-18,10.73,10.5,10.73,10.51,70846.0,10.436,-0.6616
2020-12-21,10.57,10.54,10.65,10.54,16381.0,10.446,0.2854
2020-12-22,10.58,10.5,10.68,10.5,20754.0,10.486,-0.3795
2020-12-23,10.5,10.48,10.66,10.48,16933.0,10.522,-0.1905
2020-12-24,10.5,10.5,10.74,10.66,33747.0,10.538,1.7176
2020-12-28,11.19,10.74,11.19,10.79,206231.0,10.594,1.2195
2020-12-29,10.96,10.63,11.0,10.8,68835.0,10.646,0.0927
2020-12-30,10.61,10.61,10.74,10.7,25100.0,10.686,-0.9259
2020-12-31,10.75,10.45,10.79,10.45,62510.0,10.68,-2.3364
2021-01-04,10.59,10.4,10.6,10.5,53649.0,10.648,0.4785
2021-01-05,10.5,10.42,10.51,10.51,26415.0,10.592,0.0952
2021-01-06,10.5,10.33,10.565,10.37,46151.0,10.506,-1.3321
2021-01-07,10.54,10.36,10.54,10.45,32844.0,10.456,0.7715
2021-01-08,10.7,10.54,10.8,10.69,320560.0,10.504,2.2967
2021-01-11,10.97,10.6,10.97,10.65,114490.0,10.534,-0.3742
2021-01-12,10.81,10.7,11.23,10.91,93823.0,10.614,2.4413
2021-01-13,11.04,10.92,11.15,11.0,32179.0,10.74,0.8249
2021-01-14,11.12,11.12,12.3,11.2,65243.0,10.89,1.8182
2021-01-15,11.4,10.82,11.42,10.82,118781.0,10.916,-3.3929
2021-01-19,10.93,10.81,11.15,10.89,132173.0,10.964,0.647
2021-01-20,10.9,10.9,11.355,11.22,67337.0,11.026,3.0303
2021-01-21,11.09,10.99,11.3,11.0,53027.0,11.026,-1.9608
2021-01-22,11.0,10.87,11.07,10.9,131543.0,10.966,-0.9091
2021-01-25,11.0,10.85,11.05,10.96,149310.0,10.994,0.5505
2021-01-26,11.12,10.76,11.25,10.82,133229.0,10.98,-1.2774
2021-01-27,11.2,10.84,11.94,11.24,757420.0,10.984,3.8817
2021-01-28,11.36,11.25,11.98,11.75,153116.0,11.134,4.5374
2021-01-29,11.8,11.36,11.84,11.41,161842.0,11.236,-2.8936
