date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-05-21,26.2,26.2,28.25,27.0,7716449.0,,
2020-05-22,26.7,25.7,27.34,26.5,764152.0,,-1.8519
2020-05-26,26.7,26.3,27.3,26.92,334443.0,,1.5849
2020-05-27,26.92,25.3,27.49,27.48,303652.0,,2.0802
2020-05-28,27.16,26.75,28.75,28.45,1935234.0,27.27,3.5298
2020-05-29,28.05,27.51,28.19,27.52,256316.0,27.374,-3.2689
2020-06-01,27.59,27.59,28.48,28.3,143655.0,27.734,2.8343
2020-06-02,28.55,28.315,28.99,28.69,190652.0,28.088,1.3781
2020-06-03,28.67,27.76,28.79,28.0,150322.0,28.192,-2.405
2020-06-04,27.94,26.24,27.99,26.5,110926.0,27.802,-5.3571
2020-06-05,26.68,26.23,27.97,27.82,181069.0,27.862,4.9811
2020-06-08,27.01,26.81,27.7,26.95,114064.0,27.592,-3.1272
2020-06-09,26.67,26.62,27.4,27.0,87138.0,27.254,0.1855
2020-06-10,26.92,26.45,27.17,26.85,72601.0,27.024,-0.5556
2020-06-11,26.18,25.82,26.6,26.46,83299.0,27.016,-1.4525
2020-06-12,27.0,26.62,27.54,27.47,78473.0,26.946,3.8171
2020-06-15,27.75,27.17,28.66,28.44,145583.0,27.244,3.5311
2020-06-16,28.75,27.07,28.75,27.26,89071.0,27.296,-4.1491
2020-06-17,27.32,26.76,27.58,26.82,66073.0,27.29,-1.6141
2020-06-18,26.68,26.28,27.09,26.35,92630.0,27.268,-1.7524
2020-06-19,26.37,25.33,26.85,25.68,248373.0,26.91,-2.5427
2020-06-22,25.69,25.32,26.33,25.57,97078.0,26.336,-0.4283
2020-06-23,25.92,25.33,26.04,25.62,187498.0,26.008,0.1955
2020-06-24,25.42,24.6,25.5,25.27,115310.0,25.698,-1.3661
2020-06-25,25.29,25.0,26.29,26.19,118083.0,25.666,3.6407
2020-06-26,26.02,25.25,26.02,25.59,154857.0,25.648,-2.291
2020-06-29,25.5,25.1,25.97,25.37,97138.0,25.608,-0.8597
2020-06-30,25.32,25.24,25.79,25.33,98264.0,25.55,-0.1577
