date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-09-23,25.0,25.0,25.0,25.0,2000.0,,
2021-09-24,26.0,26.0,30.0,30.0,826.0,,20.0
2021-09-27,34.75,32.88,34.75,33.0,2660.0,,10.0
2021-09-28,35.0,31.81,35.0,33.5,3105.0,,1.5152
2021-09-29,33.97,32.47,36.4,32.47,5164.0,30.794,-3.0746
2021-09-30,33.85,32.0,35.0,32.67,59614.0,32.328,0.616
2021-10-01,31.55,31.05,36.25,33.0,5042849.0,32.928,1.0101
2021-10-04,31.4,26.95,33.05,28.01,330309.0,31.93,-15.1212
2021-10-05,26.75,24.75,27.77,25.9,442886.0,30.41,-7.533
2021-10-06,24.02,23.15,25.26,24.8,439621.0,28.876,-4.2471
2021-10-07,24.86,24.63,26.51,26.0,490977.0,27.542,4.8387
2021-10-08,25.78,25.69,26.9,26.5,661768.0,26.242,1.9231
2021-10-11,26.51,26.51,27.78,27.19,288558.0,26.078,2.6038
2021-10-12,27.06,26.9,28.19,28.05,259609.0,26.508,3.1629
2021-10-13,27.67,27.67,29.25,28.86,319115.0,27.32,2.8877
2021-10-14,28.86,28.28,28.93,28.51,222118.0,27.822,-1.2128
2021-10-15,28.51,26.665,29.6,27.57,213970.0,28.036,-3.2971
2021-10-18,27.32,26.86,29.13,28.65,91100.0,28.328,3.9173
2021-10-19,28.35,28.12,29.09,28.35,111019.0,28.388,-1.0471
2021-10-20,27.95,27.39,28.47,28.22,168537.0,28.26,-0.4586
2021-10-21,28.08,27.055,28.59,27.31,336977.0,28.02,-3.2247
2021-10-22,27.05,26.36,27.65,27.64,73411.0,28.034,1.2083
2021-10-25,27.94,27.21,28.61,28.46,130958.0,27.996,2.9667
2021-10-26,27.75,27.58,28.5,27.9,94946.0,27.906,-1.9677
2021-10-27,27.5,26.58,27.85,27.48,123175.0,27.758,-1.5054
2021-10-28,26.74,26.74,28.0,27.84,75185.0,27.864,1.31
2021-10-29,27.57,27.09,28.35,28.16,99522.0,27.968,1.1494
2021-11-01,28.1,27.25,28.1,27.68,103178.0,27.812,-1.7045
2021-11-02,27.41,26.32,27.5,26.92,153211.0,27.616,-2.7457
2021-11-03,26.69,26.51,28.19,28.04,160438.0,27.728,4.1605
2021-11-04,27.71,27.37,28.87,28.7,168145.0,27.9,2.3538
2021-11-05,28.45,27.68,29.08,28.09,71955.0,27.886,-2.1254
2021-11-08,27.77,27.6,28.27,28.16,375054.0,27.982,0.2492
2021-11-09,28.09,28.01,28.89,28.79,217962.0,28.356,2.2372
2021-11-10,29.05,29.05,30.49,30.12,310319.0,28.772,4.6197
2021-11-11,30.71,29.97,30.785,30.0,271513.0,29.032,-0.3984
2021-11-12,30.27,29.79,32.7,31.85,165462.0,29.784,6.1667
2021-11-15,32.19,31.78,33.12,31.96,144369.0,30.544,0.3454
2021-11-16,31.77,31.57,33.22,33.1,96476.0,31.406,3.567
2021-11-17,33.16,32.98,33.88,33.03,141003.0,31.988,-0.2115
2021-11-18,33.02,31.7,33.035,31.84,99903.0,32.356,-3.6028
2021-11-19,31.86,31.45,33.17,31.7,84951.0,32.326,-0.4397
2021-11-22,31.23,31.23,32.95,32.24,168803.0,32.382,1.7035
2021-11-23,32.08,30.95,32.54,30.97,148900.0,31.956,-3.9392
