date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-03-15,10.05,9.81,10.11,9.81,12913.0,,
2021-03-16,9.96,9.9,10.01,10.0,2204.0,,1.9368
2021-03-17,9.85,9.85,10.305,10.17,1093.0,,1.7
2021-03-18,10.13,10.13,10.25,10.25,109.0,,0.7866
2021-03-22,10.0,9.8,10.0,9.9,15107.0,10.026,-3.4146
2021-03-23,9.86,9.76,9.95,9.76,6952.0,10.016,-1.4141
2021-03-24,9.81,9.8,9.81,9.8,17895.0,9.976,0.4098
2021-03-25,9.82,9.72,9.85,9.76,5266.0,9.894,-0.4082
2021-03-29,10.49,9.81,10.49,9.81,3299.0,9.806,0.5123
2021-03-30,9.78,9.78,9.87,9.85,35588.0,9.796,0.4077
2021-03-31,9.87,9.81,9.9,9.81,9842.0,9.806,-0.4061
2021-04-01,9.99,9.85,9.99,9.85,8038.0,9.816,0.4077
2021-04-05,9.88,9.85,9.95,9.9,2850.0,9.844,0.5076
2021-04-06,9.88,9.88,9.95,9.88,6403.0,9.858,-0.202
2021-04-07,9.99,9.88,11.0,10.09,77689.0,9.906,2.1255
2021-04-08,10.11,10.05,10.175,10.14,91807.0,9.972,0.4955
2021-04-09,10.1,10.0,10.1,10.04,84387.0,10.01,-0.9862
2021-04-12,10.04,9.94,10.04,10.03,10492.0,10.036,-0.0996
2021-04-13,10.11,10.0,10.11,10.04,12193.0,10.068,0.0997
2021-04-14,10.04,10.0,10.04,10.01,23951.0,10.052,-0.2988
2021-04-15,10.03,10.0,10.03,10.0,8879.0,10.024,-0.0999
2021-04-16,10.02,10.0,10.02,10.0,63690.0,10.016,0.0
2021-04-19,10.0,9.91,10.01,9.99,38561.0,10.008,-0.1
2021-04-20,9.91,9.9,9.91,9.9,19091.0,9.98,-0.9009
2021-04-21,10.0,9.9,10.0,9.95,29009.0,9.968,0.5051
2021-04-22,9.95,9.95,10.05,10.05,24201.0,9.978,1.005
2021-04-23,10.06,10.0,10.06,10.0,3837.0,9.978,-0.4975
2021-04-26,10.05,9.96,10.05,9.96,1300.0,9.972,-0.4
2021-04-27,10.01,9.98,10.02,9.98,54008.0,9.988,0.2008
2021-04-28,9.98,9.92,9.98,9.93,121299.0,9.984,-0.501
2021-04-29,9.93,9.93,9.94,9.94,9918.0,9.962,0.1007
2021-04-30,10.1,9.95,10.1,9.98,436250.0,9.958,0.4024
2021-05-03,10.0,9.94,10.0,9.97,108340.0,9.96,-0.1002
2021-05-04,9.99,9.9,9.99,9.94,96611.0,9.952,-0.3009
2021-05-05,9.95,9.93,9.97,9.96,16927.0,9.958,0.2012
2021-05-06,9.97,9.955,9.97,9.97,32515.0,9.964,0.1004
2021-05-07,9.94,9.94,9.965,9.96,16947.0,9.96,-0.1003
2021-05-10,9.99,9.89,9.99,9.97,130036.0,9.96,0.1004
2021-05-11,9.95,9.8,9.97,9.91,89576.0,9.954,-0.6018
2021-05-12,9.93,9.86,9.97,9.91,96509.0,9.944,0.0
2021-05-13,9.9,9.9,9.93,9.91,16003.0,9.932,0.0
2021-05-14,9.91,9.85,9.93,9.9,28986.0,9.92,-0.1009
2021-05-17,9.89,9.87,9.9,9.89,14600.0,9.904,-0.101
2021-05-18,9.9,9.87,9.92,9.88,14531.0,9.898,-0.1011
2021-05-19,9.9,9.88,9.91,9.89,32909.0,9.894,0.1012
2021-05-20,9.88,9.86,9.89,9.86,42390.0,9.884,-0.3033
2021-05-21,9.86,9.86,9.93,9.875,18909.0,9.879,0.1521
2021-05-24,9.93,9.87,9.93,9.88,25278.0,9.877,0.0506
2021-05-25,9.89,9.87,9.91,9.91,13081.0,9.883,0.3036
2021-05-26,9.89,9.85,9.93,9.86,52000.0,9.877,-0.5045
2021-05-27,9.87,9.86,9.9,9.9,35356.0,9.885,0.4057
2021-05-28,9.86,9.855,9.89,9.86,68842.0,9.882,-0.404
2021-06-01,9.88,9.86,9.885,9.88,11798.0,9.882,0.2028
2021-06-02,9.88,9.85,9.88,9.87,109083.0,9.874,-0.1012
2021-06-03,9.88,9.86,9.89,9.89,32213.0,9.88,0.2026
2021-06-04,9.88,9.86,9.88,9.86,6285.0,9.872,-0.3033
2021-06-07,9.89,9.87,9.89,9.88,2597.0,9.876,0.2028
2021-06-08,9.89,9.86,9.91,9.91,57231.0,9.882,0.3036
2021-06-09,9.89,9.87,9.95,9.91,49244.0,9.89,0.0
2021-06-10,9.91,9.9,9.915,9.91,4214.0,9.894,0.0
2021-06-11,9.94,9.9,9.94,9.92,23948.0,9.906,0.1009
2021-06-14,9.95,9.9,9.95,9.92,4582.0,9.914,0.0
2021-06-15,9.92,9.9,9.92,9.91,28387.0,9.914,-0.1008
2021-06-16,9.89,9.89,9.95,9.92,6159.0,9.916,0.1009
2021-06-17,9.92,9.91,9.93,9.92,4538.0,9.918,0.0
2021-06-18,9.9,9.9,9.92,9.92,38686.0,9.918,0.0
