date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2017-11-08,28.0,27.2,29.75,28.71,390479.0,,
2017-11-09,28.52,28.26,28.94,28.49,23523.0,,-0.7663
2017-11-10,28.45,28.1,29.5,29.12,7497.0,,2.2113
2017-11-13,29.05,28.75,29.26,28.75,2463.0,,-1.2706
2017-11-14,28.5,28.47,28.92,28.475,2763.0,28.709,-0.9565
2017-11-15,28.38,28.35,28.9,28.68,11488.0,28.703,0.7199
2017-11-16,28.47,28.47,29.45,29.3,14063.0,28.865,2.1618
2017-11-17,29.17,28.75,29.17,28.96,9108.0,28.833,-1.1604
2017-11-20,28.95,28.525,29.02,28.9,9354.0,28.863,-0.2072
2017-11-21,28.79,28.66,29.0,28.93,10384.0,28.954,0.1038
2017-11-22,28.76,28.7,28.85,28.77,5880.0,28.972,-0.5531
2017-11-24,28.82,28.44,28.83,28.44,1312.0,28.8,-1.147
2017-11-27,28.5,28.5,28.77,28.64,4245.0,28.736,0.7032
2017-11-28,28.76,28.64,29.0,28.89,11165.0,28.734,0.8729
2017-11-29,28.95,28.76,28.95,28.95,2317.0,28.738,0.2077
2017-11-30,28.95,28.65,29.32,28.71,10185.0,28.726,-0.829
2017-12-01,28.75,28.75,28.94,28.93,9478.0,28.824,0.7663
2017-12-04,28.64,28.5,28.92,28.65,13725.0,28.826,-0.9679
2017-12-05,28.74,28.65,28.93,28.76,6818.0,28.8,0.3839
2017-12-06,28.59,28.59,28.9,28.8,10099.0,28.77,0.1391
2017-12-07,28.76,28.59,29.31,29.26,43553.0,28.88,1.5972
2017-12-08,29.2,28.6,29.24,28.7,17267.0,28.834,-1.9139
2017-12-11,28.73,28.7,29.5,28.71,11817.0,28.846,0.0348
2017-12-12,28.71,28.61,28.91,28.61,7457.0,28.816,-0.3483
2017-12-13,28.57,28.45,28.95,28.52,19477.0,28.76,-0.3146
2017-12-14,28.44,28.44,28.69,28.49,7296.0,28.606,-0.1052
2017-12-15,28.28,27.61,28.63,28.27,234858.0,28.52,-0.7722
2017-12-18,28.5,28.15,28.69,28.57,44294.0,28.492,1.0612
2017-12-19,28.49,28.09,28.94,28.87,15185.0,28.544,1.0501
2017-12-20,28.92,28.5,29.2,29.07,29586.0,28.654,0.6928
2017-12-21,29.21,28.79,29.54,29.47,14265.0,28.85,1.376
2017-12-22,29.5,29.0,29.57,29.52,9486.0,29.1,0.1697
2017-12-26,29.55,29.06,29.78,29.69,13460.0,29.324,0.5759
2017-12-27,29.69,29.25,29.75,29.35,9909.0,29.42,-1.1452
2017-12-28,29.42,29.25,30.16,30.06,19701.0,29.618,2.4191
2017-12-29,30.07,29.31,30.7,29.66,10896.0,29.656,-1.3307
2018-01-02,29.7,29.25,29.7,29.59,15808.0,29.67,-0.236
2018-01-03,29.61,29.25,29.61,29.36,14228.0,29.604,-0.7773
2018-01-04,29.47,29.1,29.545,29.1,10365.0,29.554,-0.8856
2018-01-05,29.28,28.23,29.28,28.85,18449.0,29.312,-0.8591
2018-01-08,29.1,28.6,29.1,28.72,9816.0,29.124,-0.4506
2018-01-09,28.75,28.59,28.92,28.89,21199.0,28.984,0.5919
2018-01-10,28.8,28.8,29.9,29.65,28535.0,29.042,2.6307
2018-01-11,29.7,29.39,30.87,29.9,17961.0,29.202,0.8432
2018-01-12,29.9,29.76,30.2,30.0,8083.0,29.432,0.3344
2018-01-16,30.21,28.99,30.21,29.02,12494.0,29.492,-3.2667
2018-01-17,29.21,28.96,29.68,29.1,16213.0,29.534,0.2757
2018-01-18,29.1,28.96,29.15,29.02,8920.0,29.408,-0.2749
2018-01-19,28.85,28.85,29.32,29.19,10967.0,29.266,0.5858
2018-01-22,29.23,28.92,29.54,29.04,6425.0,29.074,-0.5139
2018-01-23,29.07,28.9,29.36,29.26,7630.0,29.122,0.7576
2018-01-24,29.33,28.95,29.33,29.02,7237.0,29.106,-0.8202
2018-01-25,29.1,28.75,29.1,28.9,4300.0,29.082,-0.4135
2018-01-26,28.88,28.5,28.92,28.77,9964.0,28.998,-0.4498
2018-01-29,28.78,28.77,28.94,28.91,3128.0,28.972,0.4866
2018-01-30,28.8,28.5,28.8,28.58,12593.0,28.836,-1.1415
2018-01-31,28.75,28.59,28.75,28.62,3355.0,28.756,0.14
2018-02-01,28.62,27.96,28.86,28.86,14032.0,28.748,0.8386
2018-02-02,28.74,28.14,28.8,28.7,10813.0,28.734,-0.5544
2018-02-05,28.51,28.4,28.97,28.62,17958.0,28.676,-0.2787
2018-02-06,28.23,28.23,29.0,29.0,13116.0,28.76,1.3277
2018-02-07,28.93,28.41,28.97,28.75,17994.0,28.786,-0.8621
2018-02-08,28.74,28.12,28.74,28.12,7614.0,28.638,-2.1913
