date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2023-03-28,21.0,20.0,21.0,20.0,1001.0,,
2023-03-29,21.0,19.5,21.0,19.55,4302.0,,-2.25
2023-03-30,20.31,19.99,20.79,20.79,13010.0,,6.3427
2023-03-31,18.03,16.96,19.5,17.39,2077917.0,,-16.354
2023-04-03,17.8,17.64,18.62,18.3,133630.0,19.206,5.2329
2023-04-04,17.67,17.67,19.56,18.1,164376.0,18.826,-1.0929
2023-04-05,17.74,16.77,18.16,17.13,122691.0,18.342,-5.3591
2023-04-06,16.91,16.91,17.97,17.73,118371.0,17.73,3.5026
2023-04-10,17.35,17.26,18.46,17.76,170453.0,17.804,0.1692
2023-04-11,17.76,17.49,18.2,17.6,110915.0,17.664,-0.9009
2023-04-12,17.67,16.99,17.76,17.01,102903.0,17.446,-3.3523
2023-04-13,17.1,16.45,17.1,16.57,108037.0,17.334,-2.5867
2023-04-14,16.53,15.67,16.76,15.87,168978.0,16.962,-4.2245
2023-04-17,15.93,15.93,17.07,17.0,60054.0,16.81,7.1204
2023-04-18,16.8,16.63,17.19,17.05,41430.0,16.7,0.2941
2023-04-19,17.08,17.04,17.65,17.15,40275.0,16.728,0.5865
2023-04-20,16.97,16.75,16.99,16.9,43818.0,16.794,-1.4577
2023-04-21,16.83,16.785,17.06,16.93,58350.0,17.006,0.1775
2023-04-24,16.84,16.75,17.16,17.13,25520.0,17.032,1.1813
2023-04-25,16.67,16.39,16.91,16.45,45116.0,16.912,-3.9696
2023-04-26,16.2,15.9,16.26,15.93,21012.0,16.668,-3.1611
2023-04-27,15.93,15.93,16.42,16.13,18900.0,16.514,1.2555
2023-04-28,15.97,15.97,16.18,16.14,32047.0,16.356,0.062
2023-05-01,15.95,15.59,16.05,15.69,24481.0,16.068,-2.7881
2023-05-02,15.41,15.37,15.61,15.49,25232.0,15.876,-1.2747
2023-05-03,15.49,15.49,16.04,15.62,32792.0,15.814,0.8393
2023-05-04,15.33,15.33,16.08,16.04,33274.0,15.796,2.6889
2023-05-05,16.08,16.08,16.64,16.49,35925.0,15.866,2.8055
2023-05-08,16.31,16.31,16.62,16.6,10313.0,16.048,0.6671
2023-05-09,16.46,16.325,17.0,16.57,18973.0,16.264,-0.1807
2023-05-10,16.79,16.5,16.84,16.71,13543.0,16.482,0.8449
2023-05-11,16.39,16.39,16.75,16.71,39538.0,16.616,0.0
2023-05-12,16.58,16.48,16.75,16.71,14700.0,16.66,0.0
2023-05-15,16.57,16.57,16.96,16.87,32263.0,16.714,0.9575
2023-05-16,16.72,16.25,17.06,16.3,26147.0,16.66,-3.3788
2023-05-17,16.31,15.95,16.61,16.5,19201.0,16.618,1.227
2023-05-18,16.34,16.34,16.5,16.43,10977.0,16.562,-0.4242
2023-05-19,16.67,16.19,16.67,16.29,12275.0,16.478,-0.8521
2023-05-22,16.26,15.8,16.35,16.32,67846.0,16.368,0.1842
2023-05-23,16.04,15.91,16.43,16.01,67010.0,16.31,-1.8995
2023-05-24,15.99,15.26,16.14,15.29,33144.0,16.068,-4.4972
2023-05-25,15.26,14.49,15.26,14.81,42531.0,15.744,-3.1393
2023-05-26,14.69,14.58,15.11,15.03,27648.0,15.492,1.4855
2023-05-30,15.11,15.05,15.51,15.38,23160.0,15.304,2.3287
2023-05-31,15.26,15.26,15.74,15.5,57581.0,15.202,0.7802
2023-06-01,15.5,15.4,15.77,15.59,21152.0,15.262,0.5806
