date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-03-26,18.25,17.5,20.49,20.0,1782603.0,,
2021-03-29,23.73,19.05,31.54,31.4,357414.0,,57.0
2021-03-30,27.34,21.9,30.75,22.05,374347.0,,-29.7771
2021-03-31,22.3,21.0,23.5,23.33,220346.0,,5.805
2021-04-01,23.66,23.0,24.5,23.97,919353.0,24.15,2.7432
2021-04-05,23.5,20.735,24.0,21.71,231789.0,24.492,-9.4285
2021-04-06,21.54,19.5,21.7,19.99,83022.0,22.21,-7.9226
2021-04-07,19.8,19.3,20.0,19.43,61016.0,21.686,-2.8014
2021-04-08,19.11,17.48,19.22,18.39,119580.0,20.698,-5.3525
2021-04-09,18.32,17.62,18.44,18.28,50467.0,19.56,-0.5982
2021-04-12,18.25,17.0,18.29,17.61,98329.0,18.74,-3.6652
2021-04-13,17.21,16.35,17.39,17.13,205847.0,18.168,-2.7257
2021-04-14,16.97,15.07,17.14,15.73,132840.0,17.428,-8.1728
2021-04-15,16.0,15.0,16.1,15.39,95411.0,16.828,-2.1615
2021-04-16,15.54,14.28,15.54,14.98,80554.0,16.168,-2.6641
2021-04-19,15.43,15.13,16.08,15.26,51321.0,15.698,1.8692
2021-04-20,15.76,15.51,17.78,16.65,344220.0,15.602,9.1088
2021-04-21,16.7,16.7,18.29,18.2,143707.0,16.096,9.3093
2021-04-22,18.2,18.2,19.93,18.92,279715.0,16.802,3.956
2021-04-23,19.0,17.59,19.3,19.11,106177.0,17.628,1.0042
2021-04-26,18.85,17.85,18.98,17.97,97499.0,18.17,-5.9655
2021-04-27,17.97,17.83,18.54,18.11,64671.0,18.462,0.7791
2021-04-28,18.21,18.03,18.65,18.05,34242.0,18.432,-0.3313
2021-04-29,17.93,17.87,18.28,18.11,53266.0,18.27,0.3324
2021-04-30,18.13,17.01,18.2,17.17,54554.0,17.882,-5.1905
2021-05-03,17.94,17.35,18.64,17.47,68592.0,17.782,1.7472
2021-05-04,17.25,15.95,17.7,16.25,106198.0,17.41,-6.9834
2021-05-05,16.02,16.02,17.58,17.11,75915.0,17.222,5.2923
2021-05-06,16.91,16.17,17.0,16.43,44330.0,16.886,-3.9743
2021-05-07,16.95,16.5,17.0,16.69,51149.0,16.79,1.5825
2021-05-10,16.5,16.41,18.38,18.22,108217.0,16.94,9.1672
2021-05-11,17.4,16.77,20.6,19.31,166079.0,17.552,5.9824
2021-05-12,18.94,18.94,22.83,20.04,1376845.0,18.138,3.7804
2021-05-13,18.18,16.42,19.9,18.5,461803.0,18.552,-7.6846
2021-05-14,18.5,17.42,19.32,18.17,168451.0,18.848,-1.7838
2021-05-17,17.95,17.71,19.06,18.9,60548.0,18.984,4.0176
2021-05-18,19.0,18.71,19.83,19.53,134090.0,19.028,3.3333
2021-05-19,18.58,18.58,19.48,19.2,56315.0,18.86,-1.6897
2021-05-20,19.12,18.75,19.78,19.15,72761.0,18.99,-0.2604
2021-05-21,19.4,19.19,22.26,21.76,123048.0,19.708,13.6292
2021-05-24,22.02,22.02,25.9,24.16,192969.0,20.76,11.0294
2021-05-25,23.66,23.26,26.19,25.35,102782.0,21.924,4.9255
2021-05-26,25.31,24.43,25.8,24.66,47590.0,23.016,-2.7219
2021-05-27,24.43,24.3,27.93,25.33,116233.0,24.252,2.717
2021-05-28,25.18,23.35,25.43,23.59,68131.0,24.618,-6.8693
2021-06-01,23.5,22.35,24.02,22.87,70741.0,24.36,-3.0521
2021-06-02,22.95,22.93,25.43,24.59,61209.0,24.208,7.5208
2021-06-03,24.21,23.26,24.34,23.29,37582.0,23.934,-5.2867
2021-06-04,23.56,22.55,23.92,23.16,37576.0,23.5,-0.5582
2021-06-07,23.04,22.77,24.56,24.09,57049.0,23.6,4.0155
2021-06-08,24.54,24.0,27.5,26.53,90191.0,24.332,10.1287
2021-06-09,26.7,26.2,29.0,28.0,78102.0,25.014,5.5409
2021-06-10,27.81,26.35,28.45,27.55,90122.0,25.866,-1.6071
2021-06-11,27.36,26.68,27.88,27.27,48685.0,26.688,-1.0163
2021-06-14,27.46,27.46,30.57,28.24,81475.0,27.518,3.557
2021-06-15,28.26,27.96,29.94,28.77,71143.0,27.966,1.8768
2021-06-16,28.41,24.7,28.63,26.65,128229.0,27.696,-7.3688
2021-06-17,26.92,26.92,31.77,27.8,219583.0,27.746,4.3152
2021-06-18,27.5,25.13,27.66,25.58,641895.0,27.408,-7.9856
2021-06-21,25.42,24.17,25.7,24.69,77483.0,26.698,-3.4793
2021-06-22,24.81,24.81,26.69,25.88,92956.0,26.12,4.8198
2021-06-23,26.19,25.22,26.35,25.81,67648.0,25.952,-0.2705
2021-06-24,25.99,25.3,26.72,25.76,68386.0,25.544,-0.1937
2021-06-25,25.84,25.45,27.53,27.04,81816.0,25.836,4.9689
2021-06-28,27.04,25.87,28.64,27.14,273394.0,26.326,0.3698
2021-06-29,27.35,27.22,30.04,28.77,99924.0,26.904,6.0059
2021-06-30,28.7,28.4,31.22,29.08,110689.0,27.558,1.0775
2021-07-01,29.41,26.84,29.41,27.27,108331.0,27.86,-6.2242
2021-07-02,27.49,26.5,28.12,26.84,76562.0,27.82,-1.5768
2021-07-06,27.01,25.55,27.02,25.93,46216.0,27.578,-3.3905
2021-07-07,26.0,24.365,26.79,24.62,89947.0,26.748,-5.0521
2021-07-08,24.88,22.92,25.0,24.0,139076.0,25.732,-2.5183
2021-07-09,24.36,24.16,24.94,24.72,60962.0,25.222,3.0
2021-07-12,24.55,24.395,27.3,27.04,98411.0,25.262,9.3851
2021-07-13,25.96,25.96,29.805,29.52,134061.0,25.98,9.1716
2021-07-14,29.52,26.32,29.52,27.44,189119.0,26.544,-7.0461
2021-07-15,27.02,24.72,27.66,25.2,121916.0,26.784,-8.1633
2021-07-16,25.54,25.275,26.48,26.15,73152.0,27.07,3.7698
2021-07-19,25.1,25.03,26.18,26.11,53815.0,26.884,-0.153
2021-07-20,26.15,25.74,27.22,26.74,69886.0,26.328,2.4129
2021-07-21,26.95,26.615,27.47,26.73,83644.0,26.186,-0.0374
2021-07-22,26.5,26.5,27.13,27.06,46184.0,26.558,1.2346
2021-07-23,27.27,26.93,27.94,27.54,60283.0,26.836,1.7738
2021-07-26,27.75,27.63,29.09,28.43,54797.0,27.3,3.2317
2021-07-27,26.83,23.285,26.83,25.87,348133.0,27.126,-9.0046
2021-07-28,26.39,23.6,26.39,24.505,189984.0,26.681,-5.2764
2021-07-29,25.99,25.25,27.88,26.0,858092.0,26.469,6.1008
2021-07-30,26.24,23.68,26.24,23.86,189044.0,25.733,-8.2308
2021-08-02,23.97,23.85,25.05,23.95,84928.0,24.837,0.3772
2021-08-03,24.0,22.37,24.0,22.37,171204.0,24.137,-6.5971
2021-08-04,22.4,22.23,23.38,22.27,62575.0,23.69,-0.447
2021-08-05,22.23,21.12,22.82,22.62,88847.0,23.014,1.5716
