date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,76.13,74.579,76.64,75.33,901976.0,75.508,-0.7641
2015-01-05,75.17,73.88,75.51,73.98,894985.0,75.292,-1.7921
2015-01-06,74.3,72.75,74.67,73.97,1086557.0,74.98,-0.0135
2015-01-07,75.05,75.0,76.95,76.77,1166663.0,75.192,3.7853
2015-01-08,77.0,76.71,77.752,77.13,1353865.0,75.436,0.4689
2015-01-09,77.26,76.34,77.32,76.43,900599.0,75.656,-0.9076
2015-01-12,76.06,76.04,76.94,76.63,722125.0,76.186,0.2617
2015-01-13,76.89,75.49,77.66,75.95,1060550.0,76.582,-0.8874
2015-01-14,74.53,73.69,75.04,74.33,1105834.0,76.094,-2.133
2015-01-15,77.0,75.08,77.5,75.67,2040428.0,75.802,1.8028
2015-01-16,75.31,73.35,75.41,74.94,2018505.0,75.504,-0.9647
2015-01-20,74.94,72.9,75.13,73.67,1439990.0,74.912,-1.6947
2015-01-21,73.51,73.09,74.32,73.95,1116295.0,74.512,0.3801
2015-01-22,74.43,73.63,75.94,75.77,1177291.0,74.8,2.4611
2015-01-23,75.89,74.66,75.89,75.29,1035720.0,74.724,-0.6335
2015-01-26,75.33,74.78,75.471,75.25,1079288.0,74.786,-0.0531
2015-01-27,74.99,74.4,75.3,74.76,840545.0,75.004,-0.6512
2015-01-28,75.36,74.13,75.72,74.26,946093.0,75.066,-0.6688
2015-01-29,74.26,73.83,75.49,75.49,1022370.0,75.01,1.6563
2015-01-30,75.0,73.56,75.12,73.61,2512467.0,74.674,-2.4904
2015-02-02,73.05,71.9,74.39,74.25,1207216.0,74.474,0.8694
2015-02-03,74.72,74.13,75.89,75.87,1562441.0,74.696,2.1818
2015-02-04,75.8,75.47,76.65,75.61,1510595.0,74.966,-0.3427
2015-02-05,75.94,75.82,76.39,75.95,970594.0,75.058,0.4497
2015-02-06,76.09,75.56,76.7,76.36,1164895.0,75.608,0.5398
2015-02-09,76.05,75.11,76.58,75.39,1023533.0,75.836,-1.2703
2015-02-10,75.6,75.6,76.7,76.65,716762.0,75.992,1.6713
2015-02-11,76.5,75.89,76.68,76.42,712232.0,76.154,-0.3001
2015-02-12,76.4,75.88,76.93,76.87,1017802.0,76.338,0.5889
2015-02-13,76.49,75.69,76.7,76.12,671767.0,76.29,-0.9757
2015-02-17,75.87,74.94,76.8,76.64,1153546.0,76.54,0.6831
2015-02-18,76.75,76.43,77.38,77.35,875014.0,76.68,0.9264
2015-02-19,77.03,76.28,77.13,76.68,1173636.0,76.732,-0.8662
2015-02-20,76.5,76.0,76.87,76.87,1098315.0,76.732,0.2478
2015-02-23,76.87,76.29,77.25,76.69,867189.0,76.846,-0.2342
2015-02-24,76.89,76.07,77.01,76.95,1010039.0,76.908,0.339
2015-02-25,78.0,75.98,78.23,77.15,1931731.0,76.868,0.2599
2015-02-26,77.15,76.28,77.4,76.9,1561092.0,76.912,-0.324
2015-02-27,77.0,76.71,77.29,76.83,1163515.0,76.904,-0.091
2015-03-02,76.84,76.73,78.16,77.68,1082313.0,77.102,1.1063
2015-03-03,77.29,75.09,78.14,78.0,2461918.0,77.312,0.4119
2015-03-04,78.0,77.59,79.0,77.72,1572437.0,77.426,-0.359
2015-03-05,77.79,77.79,78.23,78.2,1337903.0,77.686,0.6176
2015-03-06,77.77,76.85,77.77,77.21,1101194.0,77.762,-1.266
