date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,37.0,36.0,37.37,37.21,57781.0,36.234,0.4861
2015-01-05,36.91,35.75,37.02,36.26,263648.0,36.542,-2.5531
2015-01-06,36.28,34.32,36.57,34.61,164555.0,36.414,-4.5505
2015-01-07,34.96,33.55,37.47,36.65,149675.0,36.352,5.8943
2015-01-08,36.95,35.8,37.39,36.55,146800.0,36.256,-0.2729
2015-01-09,36.53,34.46,36.53,35.03,89105.0,35.82,-4.1587
2015-01-12,34.93,31.51,34.93,33.01,114440.0,35.17,-5.7665
2015-01-13,33.22,31.36,33.65,31.54,117525.0,34.556,-4.4532
2015-01-14,30.77,29.62,31.03,30.39,95261.0,33.304,-3.6462
2015-01-15,30.84,29.54,30.87,29.64,76830.0,31.922,-2.4679
2015-01-16,29.5,29.25,30.18,30.13,68826.0,30.942,1.6532
2015-01-20,30.14,29.72,30.54,30.5,45800.0,30.44,1.228
2015-01-21,30.21,29.93,30.82,30.38,37547.0,30.208,-0.3934
2015-01-22,30.6,30.2,31.14,30.85,93114.0,30.3,1.5471
2015-01-23,30.66,29.44,30.66,29.52,96561.0,30.276,-4.3112
2015-01-26,29.42,29.21,30.52,30.39,57446.0,30.328,2.9472
2015-01-27,30.02,29.63,30.21,29.83,55977.0,30.194,-1.8427
2015-01-28,30.15,29.13,30.15,29.16,64885.0,29.95,-2.2461
2015-01-29,29.0,27.92,29.16,27.95,118218.0,29.37,-4.1495
2015-01-30,28.37,26.13,28.37,27.0,294357.0,28.866,-3.3989
2015-02-02,27.07,26.88,27.55,27.38,73156.0,28.264,1.4074
2015-02-03,27.86,26.84,27.94,26.89,84232.0,27.676,-1.7896
2015-02-04,26.6,26.59,27.41,27.03,89774.0,27.25,0.5206
2015-02-05,27.48,27.4,28.82,28.27,115503.0,27.314,4.5875
2015-02-06,28.24,27.97,29.15,29.13,173973.0,27.74,3.0421
2015-02-09,29.18,29.15,30.74,30.36,89243.0,28.336,4.2225
2015-02-10,30.36,29.45,30.36,29.9,69226.0,28.938,-1.5152
2015-02-11,29.49,29.11,30.18,29.76,97584.0,29.484,-0.4682
2015-02-12,30.35,30.05,31.01,30.52,76587.0,29.934,2.5538
2015-02-13,30.83,30.49,31.39,31.07,72794.0,30.322,1.8021
2015-02-17,31.0,30.495,31.25,30.99,48302.0,30.448,-0.2575
2015-02-18,30.57,29.63,31.0,29.77,71850.0,30.422,-3.9368
2015-02-19,29.33,29.14,30.53,30.47,75921.0,30.564,2.3514
2015-02-20,30.67,29.85,30.92,30.43,60200.0,30.546,-0.1313
2015-02-23,30.17,28.6,30.17,29.19,79661.0,30.17,-4.0749
2015-02-24,29.26,29.26,30.01,29.91,33326.0,29.954,2.4666
2015-02-25,29.97,29.43,30.05,29.48,33320.0,29.896,-1.4376
2015-02-26,29.5,29.42,30.11,30.09,44276.0,29.82,2.0692
2015-02-27,30.09,29.79,30.41,30.06,46844.0,29.746,-0.0997
2015-03-02,29.94,29.08,29.94,29.76,51518.0,29.86,-0.998
2015-03-03,29.52,29.01,29.94,29.04,53707.0,29.686,-2.4194
2015-03-04,29.0,28.33,29.0,28.56,32373.0,29.502,-1.6529
2015-03-05,28.49,28.16,28.61,28.51,23691.0,29.186,-0.1751
2015-03-06,28.35,27.55,28.73,27.68,47685.0,28.71,-2.9113
2015-03-09,27.67,27.15,28.15,27.2,56367.0,28.198,-1.7341
2015-03-10,26.72,26.14,26.95,26.14,36564.0,27.618,-3.8971
2015-03-11,26.1,25.84,26.73,26.62,57377.0,27.23,1.8363
2015-03-12,26.88,26.5,27.06,26.79,36906.0,26.886,0.6386
2015-03-13,26.67,25.86,26.81,26.05,52262.0,26.56,-2.7622
2015-03-16,26.13,25.5,26.13,25.64,48899.0,26.248,-1.5739
2015-03-17,25.43,25.16,26.0,25.91,97563.0,26.202,1.053
2015-03-18,25.74,25.74,27.25,27.21,71327.0,26.32,5.0174
2015-03-19,27.18,26.28,27.18,26.69,31944.0,26.3,-1.9111
2015-03-20,26.86,26.59,27.47,27.43,326630.0,26.576,2.7726
2015-03-23,27.03,26.9,27.86,27.64,60661.0,26.976,0.7656
2015-03-24,27.64,26.92,27.75,27.14,30356.0,27.222,-1.809
2015-03-25,27.3,26.46,27.35,26.58,44553.0,27.096,-2.0634
2015-03-26,26.59,25.76,26.74,25.9,69521.0,26.938,-2.5583
2015-03-27,25.81,25.51,26.01,26.0,31887.0,26.652,0.3861
2015-03-30,26.2,26.2,27.2,27.14,33351.0,26.552,4.3846
2015-03-31,27.07,26.03,27.07,26.47,118406.0,26.418,-2.4687
2015-04-01,26.28,25.63,26.86,25.91,58234.0,26.284,-2.1156
2015-04-02,25.76,25.76,26.75,26.7,26998.0,26.444,3.049
2015-04-06,26.64,26.24,26.93,26.76,128663.0,26.596,0.2247
2015-04-07,26.76,26.59,27.07,26.88,54085.0,26.544,0.4484
2015-04-08,27.05,25.84,27.15,26.61,133940.0,26.572,-1.0045
2015-04-09,26.69,26.1,26.84,26.81,37255.0,26.752,0.7516
2015-04-10,26.83,26.56,27.06,26.96,31609.0,26.804,0.5595
2015-04-13,26.9,25.96,26.94,26.79,40283.0,26.81,-0.6306
2015-04-14,26.95,26.79,27.36,27.02,45407.0,26.838,0.8585
2015-04-15,27.12,26.94,27.76,27.65,53318.0,27.046,2.3316
2015-04-16,27.69,27.25,27.76,27.47,35132.0,27.178,-0.651
2015-04-17,27.25,26.68,27.29,27.08,33422.0,27.202,-1.4197
2015-04-20,27.17,26.87,27.59,26.96,45710.0,27.236,-0.4431
2015-04-21,27.17,26.79,27.23,27.19,25259.0,27.27,0.8531
