date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,30.3,30.23,31.33,30.58,119744.0,31.55,-2.2379
2015-01-05,30.28,29.88,30.63,30.04,102707.0,31.218,-1.7659
2015-01-06,30.04,29.92,30.7,30.5,71671.0,30.8,1.5313
2015-01-07,30.76,30.58,32.05,32.0,60070.0,30.88,4.918
2015-01-08,32.01,32.0,33.315,33.27,116343.0,31.278,3.9688
2015-01-09,33.28,32.47,33.34,32.48,158163.0,31.658,-2.3745
2015-01-12,32.57,32.45,33.04,32.9,33570.0,32.23,1.2931
2015-01-13,33.0,32.66,33.16,32.97,88328.0,32.724,0.2128
2015-01-14,32.51,32.51,33.67,33.6,103096.0,33.044,1.9108
2015-01-15,33.6,33.03,33.75,33.55,71779.0,33.1,-0.1488
2015-01-16,33.45,32.8,33.93,33.36,107574.0,33.276,-0.5663
2015-01-20,33.52,32.6,33.78,33.39,44887.0,33.374,0.0899
2015-01-21,33.24,32.482,33.41,32.57,32177.0,33.294,-2.4558
2015-01-22,32.78,32.18,33.17,33.14,44955.0,33.202,1.7501
2015-01-23,32.92,32.84,33.49,33.3,32517.0,33.152,0.4828
2015-01-26,33.4,33.04,34.36,34.36,88620.0,33.352,3.1832
2015-01-27,33.73,33.4,34.47,34.16,96537.0,33.506,-0.5821
2015-01-28,34.25,33.27,34.42,33.49,72801.0,33.69,-1.9614
2015-01-29,33.51,32.83,33.55,33.48,38239.0,33.758,-0.0299
2015-01-30,33.05,32.85,33.465,33.17,62742.0,33.732,-0.9259
2015-02-02,32.02,32.02,33.36,33.16,77752.0,33.492,-0.0301
2015-02-03,33.22,33.22,33.94,33.76,50924.0,33.412,1.8094
2015-02-04,33.41,33.4,34.95,34.7,56069.0,33.654,2.7844
2015-02-05,34.57,34.57,35.41,35.21,46753.0,34.0,1.4697
2015-02-06,35.18,34.62,35.28,34.73,71021.0,34.312,-1.3632
2015-02-09,34.82,34.47,35.23,34.53,43416.0,34.586,-0.5759
2015-02-10,34.87,34.48,35.13,35.0,40601.0,34.834,1.3611
2015-02-11,34.93,34.8,35.17,35.14,34166.0,34.922,0.4
2015-02-12,35.14,34.96,35.9,35.73,50260.0,35.026,1.679
2015-02-13,35.83,35.22,36.58,36.49,69771.0,35.378,2.1271
2015-02-17,36.48,35.59,36.62,36.54,47335.0,35.78,0.137
2015-02-18,36.45,36.0,36.67,36.2,53477.0,36.02,-0.9305
2015-02-19,36.06,35.9,36.53,36.44,33186.0,36.28,0.663
2015-02-20,36.52,36.04,36.63,36.56,65289.0,36.446,0.3293
2015-02-23,36.29,36.13,36.58,36.57,38926.0,36.462,0.0274
2015-02-24,36.57,36.09,36.65,36.2,46644.0,36.394,-1.0118
2015-02-25,36.33,36.01,36.7,36.34,25298.0,36.422,0.3867
2015-02-26,36.44,36.19,36.95,36.66,32356.0,36.466,0.8806
2015-02-27,36.7,35.83,36.81,36.34,63194.0,36.422,-0.8729
2015-03-02,35.88,35.88,37.17,36.78,123325.0,36.464,1.2108
2015-03-03,36.77,36.17,38.0,37.88,113437.0,36.8,2.9908
2015-03-04,31.37,30.01,34.275,33.93,904388.0,36.318,-10.4277
2015-03-05,33.16,32.68,34.32,33.51,274405.0,35.688,-1.2378
2015-03-06,33.36,32.68,33.58,33.06,139317.0,35.032,-1.3429
2015-03-09,33.16,32.77,33.72,33.3,123348.0,34.336,0.726
2015-03-10,33.03,32.66,33.13,32.89,106412.0,33.338,-1.2312
2015-03-11,32.97,32.84,33.48,33.25,86654.0,33.202,1.0946
2015-03-12,33.38,33.38,35.62,35.2,120615.0,33.54,5.8647
2015-03-13,35.06,34.17,35.42,34.3,69226.0,33.788,-2.5568
2015-03-16,34.67,34.55,35.5,35.01,80715.0,34.13,2.07
2015-03-17,34.91,34.91,35.47,35.3,102554.0,34.612,0.8283
2015-03-18,35.3,34.84,35.91,35.76,64002.0,35.114,1.3031
2015-03-19,35.59,35.49,35.98,35.97,39682.0,35.268,0.5872
2015-03-20,36.0,35.73,36.53,36.25,440656.0,35.658,0.7784
2015-03-23,36.08,35.38,36.08,35.38,52795.0,35.732,-2.4
2015-03-24,35.29,35.04,36.29,35.83,85774.0,35.838,1.2719
2015-03-25,36.32,34.61,36.32,34.65,80105.0,35.616,-3.2933
2015-03-26,34.44,34.16,34.58,34.46,66475.0,35.314,-0.5483
2015-03-27,34.5,34.19,35.49,35.25,52981.0,35.114,2.2925
2015-03-30,35.48,34.79,35.57,35.03,39688.0,35.044,-0.6241
2015-03-31,34.94,34.75,35.84,35.23,61735.0,34.924,0.5709
2015-04-01,35.0,34.89,35.38,35.13,79336.0,35.02,-0.2838
2015-04-02,35.1,34.97,35.87,35.81,58513.0,35.29,1.9357
2015-04-06,35.52,35.22,35.91,35.8,61572.0,35.4,-0.0279
2015-04-07,35.62,35.31,36.11,35.75,51758.0,35.544,-0.1397
2015-04-08,35.97,35.86,36.87,36.85,55301.0,35.868,3.0769
2015-04-09,36.78,36.04,36.82,36.53,31779.0,36.148,-0.8684
2015-04-10,36.61,36.451,37.55,37.27,28639.0,36.44,2.0257
2015-04-13,37.22,36.95,37.33,37.27,44196.0,36.734,0.0
2015-04-14,37.23,36.67,37.34,37.21,65586.0,37.026,-0.161
2015-04-15,37.01,36.72,37.13,36.93,52850.0,37.042,-0.7525
2015-04-16,36.6,35.032,36.82,35.53,86477.0,36.842,-3.791
2015-04-17,35.36,35.32,35.91,35.51,167199.0,36.49,-0.0563
2015-04-20,35.77,35.77,36.86,36.7,49598.0,36.376,3.3512
2015-04-21,36.96,35.99,36.96,35.99,46463.0,36.132,-1.9346
2015-04-22,36.05,35.38,36.05,35.45,25870.0,35.836,-1.5004
2015-04-23,35.45,35.09,35.62,35.34,56848.0,35.798,-0.3103
2015-04-24,35.55,35.1,35.55,35.2,28041.0,35.736,-0.3962
2015-04-27,35.24,34.87,35.65,35.16,54867.0,35.428,-0.1136
2015-04-28,35.21,34.94,35.79,35.43,58877.0,35.316,0.7679
2015-04-29,35.41,35.02,35.72,35.04,39562.0,35.234,-1.1008
2015-04-30,34.97,34.56,35.42,35.02,105662.0,35.17,-0.0571
2015-05-01,34.48,34.48,36.46,36.01,95334.0,35.332,2.827
2015-05-04,35.99,35.99,36.59,36.45,77546.0,35.59,1.2219
2015-05-05,36.41,34.32,36.41,34.43,106529.0,35.39,-5.5418
2015-05-06,29.65,27.36,29.75,28.76,332469.0,34.134,-16.4682
2015-05-07,28.58,28.0,29.03,28.98,171753.0,32.926,0.765
2015-05-08,29.27,28.85,30.0,28.87,106696.0,31.498,-0.3796
2015-05-11,28.82,28.82,30.08,29.57,80559.0,30.122,2.4247
2015-05-12,29.4,28.79,29.4,29.06,69110.0,29.048,-1.7247
2015-05-13,29.0,29.0,29.65,29.42,43533.0,29.18,1.2388
2015-05-14,29.51,29.41,29.95,29.72,45864.0,29.328,1.0197
2015-05-15,29.67,29.4,30.05,29.7,74832.0,29.494,-0.0673
2015-05-18,29.54,29.34,29.98,29.89,57905.0,29.558,0.6397
2015-05-19,29.95,29.78,30.28,30.0,223448.0,29.746,0.368
2015-05-20,29.97,29.42,30.03,29.53,61759.0,29.768,-1.5667
2015-05-21,29.59,29.53,29.99,29.73,37348.0,29.77,0.6773
2015-05-22,29.43,29.14,29.79,29.44,46867.0,29.718,-0.9754
2015-05-26,29.27,29.13,29.71,29.18,86204.0,29.576,-0.8832
2015-05-27,29.24,28.99,29.34,29.23,75631.0,29.422,0.1714
2015-05-28,29.23,28.9,29.45,29.44,58633.0,29.404,0.7184
2015-05-29,29.37,29.11,29.95,29.93,87545.0,29.444,1.6644
2015-06-01,28.81,28.81,29.97,29.74,120604.0,29.504,-0.6348
2015-06-02,29.61,29.28,29.67,29.28,70721.0,29.524,-1.5467
2015-06-03,29.35,28.95,29.47,29.35,58931.0,29.548,0.2391
2015-06-04,29.25,28.76,29.38,28.81,51467.0,29.422,-1.8399
2015-06-05,28.82,28.69,29.08,28.78,51480.0,29.192,-0.1041
2015-06-08,28.79,28.55,28.96,28.71,64249.0,28.986,-0.2432
2015-06-09,28.74,28.45,28.81,28.55,88831.0,28.84,-0.5573
2015-06-10,28.68,28.59,28.91,28.72,88974.0,28.714,0.5954
2015-06-11,28.8,28.63,28.85,28.7,113882.0,28.692,-0.0696
2015-06-12,28.64,28.35,28.68,28.51,38946.0,28.638,-0.662
2015-06-15,28.36,28.1,28.45,28.26,71364.0,28.548,-0.8769
2015-06-16,28.26,28.11,28.35,28.17,60587.0,28.472,-0.3185
2015-06-17,28.15,27.735,28.24,27.74,73071.0,28.276,-1.5264
2015-06-18,27.8,27.62,28.03,27.62,106221.0,28.06,-0.4326
2015-06-19,27.63,27.02,27.78,27.12,254494.0,27.782,-1.8103
2015-06-22,27.2,26.73,27.28,26.74,156432.0,27.478,-1.4012
2015-06-23,26.79,26.385,27.0,26.42,180987.0,27.128,-1.1967
2015-06-24,26.45,25.78,26.47,26.19,219876.0,26.818,-0.8706
2015-06-25,26.2,25.38,26.21,25.74,167610.0,26.442,-1.7182
2015-06-26,25.75,25.38,25.81,25.41,2004804.0,26.1,-1.2821
2015-06-29,25.27,25.2,25.59,25.23,205791.0,25.798,-0.7084
2015-06-30,25.92,25.32,25.99,25.35,302841.0,25.584,0.4756
2015-07-01,25.42,25.38,25.74,25.62,190476.0,25.47,1.0651
2015-07-02,25.66,25.39,25.89,25.78,191077.0,25.478,0.6245
2015-07-06,25.65,25.26,25.68,25.62,172992.0,25.52,-0.6206
2015-07-07,25.57,25.2,25.63,25.46,130148.0,25.566,-0.6245
2015-07-08,25.26,25.1,25.565,25.21,58177.0,25.538,-0.9819
2015-07-09,25.43,25.17,25.54,25.23,121406.0,25.46,0.0793
2015-07-10,25.53,25.35,25.53,25.41,55650.0,25.386,0.7134
2015-07-13,25.49,25.375,25.53,25.44,69577.0,25.35,0.1181
2015-07-14,25.45,25.31,25.81,25.76,138983.0,25.41,1.2579
2015-07-15,25.77,25.34,25.83,25.39,50622.0,25.446,-1.4363
2015-07-16,25.54,25.39,25.71,25.64,100686.0,25.528,0.9846
2015-07-17,25.74,25.54,25.97,25.74,110705.0,25.594,0.39
2015-07-20,25.76,25.18,25.76,25.24,60420.0,25.554,-1.9425
2015-07-21,25.19,25.01,25.35,25.18,97585.0,25.438,-0.2377
2015-07-22,25.0,25.0,25.39,25.23,98844.0,25.406,0.1986
2015-07-23,25.23,24.73,25.27,24.93,80600.0,25.264,-1.1891
2015-07-24,25.0,24.86,25.4,25.35,164121.0,25.186,1.6847
2015-07-27,25.29,24.86,25.29,25.04,148175.0,25.146,-1.2229
2015-07-28,25.14,24.71,25.72,25.61,96908.0,25.232,2.2764
2015-07-29,25.59,25.45,26.18,26.05,118351.0,25.396,1.7181
2015-07-30,25.94,25.9,26.39,26.25,104828.0,25.66,0.7678
2015-07-31,26.33,26.28,26.98,26.88,120281.0,25.966,2.4
2015-08-03,26.64,25.94,26.96,26.69,311793.0,26.296,-0.7068
2015-08-04,17.0,14.82,18.11,16.33,1377457.0,24.44,-38.816
2015-08-05,16.32,16.03,17.68,17.59,404304.0,22.748,7.7159
2015-08-06,17.58,16.9,17.84,17.4,268434.0,20.978,-1.0802
2015-08-07,17.16,17.12,18.76,18.52,352962.0,19.306,6.4368
2015-08-10,18.58,17.87,18.95,18.54,267686.0,17.676,0.108
2015-08-11,18.43,18.31,18.9,18.82,358743.0,18.174,1.5102
2015-08-12,18.58,18.41,18.97,18.75,245569.0,18.406,-0.3719
2015-08-13,18.74,18.71,19.29,18.89,199865.0,18.704,0.7467
2015-08-14,18.89,18.89,19.25,19.15,193483.0,18.83,1.3764
2015-08-17,18.97,18.48,19.02,18.85,157571.0,18.892,-1.5666
2015-08-18,18.83,18.4,18.83,18.43,149440.0,18.814,-2.2281
2015-08-19,18.36,17.94,18.76,18.44,203504.0,18.752,0.0543
2015-08-20,18.27,17.87,18.27,17.97,167114.0,18.568,-2.5488
2015-08-21,17.63,17.52,18.0,17.71,289933.0,18.28,-1.4469
2015-08-24,16.89,16.5,17.26,16.74,317951.0,17.858,-5.4771
2015-08-25,17.12,16.56,17.35,16.7,285289.0,17.512,-0.2389
2015-08-26,17.02,16.09,17.02,16.82,463443.0,17.188,0.7186
2015-08-27,16.97,16.68,17.26,17.06,437452.0,17.006,1.4269
2015-08-28,16.95,16.81,17.05,16.95,410050.0,16.854,-0.6448
2015-08-31,16.92,16.76,17.08,16.84,237527.0,16.874,-0.649
2015-09-01,16.48,16.45,16.93,16.64,248268.0,16.862,-1.1876
2015-09-02,16.72,16.4,16.92,16.71,252379.0,16.84,0.4207
2015-09-03,16.75,16.71,16.95,16.85,215498.0,16.798,0.8378
2015-09-04,16.68,16.54,16.98,16.66,202151.0,16.74,-1.1276
