date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,20.4132,19.9094,20.7012,20.3557,375586.0,20.4982,0.9639
2015-01-05,20.1253,19.348,20.1469,19.5351,953360.0,20.2405,-4.0311
2015-01-06,19.5423,18.477,19.6359,19.1104,1250027.0,19.8849,-2.1739
2015-01-07,19.8878,19.1896,20.1109,19.312,537483.0,19.6949,1.0546
2015-01-08,19.5279,19.2544,19.6791,19.5783,630836.0,19.5783,1.3791
2015-01-09,19.5999,19.2976,19.8158,19.348,553269.0,19.3767,-1.1765
2015-01-12,19.348,18.4122,19.4199,18.6642,478227.0,19.2026,-3.5342
2015-01-13,18.6354,18.0019,19.0384,18.3978,576100.0,19.06,-1.4269
2015-01-14,17.8148,17.5701,18.2035,18.0667,601584.0,18.811,-1.7997
2015-01-15,18.2035,17.8076,18.5274,17.8292,485872.0,18.4612,-1.3147
2015-01-16,17.7572,17.678,18.3978,18.3834,914283.0,18.2683,3.1086
2015-01-20,18.549,17.9516,18.7793,18.1459,423849.0,18.1646,-1.2921
2015-01-21,18.1243,18.0883,18.9017,18.6498,417454.0,18.215,2.7767
2015-01-22,18.9881,18.8225,19.1392,19.0025,515989.0,18.4022,1.8912
2015-01-23,19.0025,18.8153,19.3408,18.8297,402652.0,18.6023,-0.9091
2015-01-26,19.132,18.9737,20.0821,20.0533,1107986.0,18.9362,6.4985
2015-01-27,19.6863,19.312,20.1613,20.0605,464766.0,19.3192,0.0359
2015-01-28,20.2189,19.1176,20.2189,19.1824,444538.0,19.4257,-4.3775
2015-01-29,19.1824,18.657,19.4991,19.4847,495104.0,19.5221,1.576
2015-01-30,19.2184,18.8009,19.3192,19.0528,602236.0,19.5668,-2.2165
2015-02-02,19.0672,18.7145,19.312,19.1752,554454.0,19.3911,0.6422
2015-02-03,19.3911,19.2976,20.4996,20.4924,644422.0,19.4775,6.8694
2015-02-04,20.2837,19.6935,20.3629,20.0174,421655.0,19.6445,-2.3182
2015-02-05,20.1541,20.0174,20.5212,20.4636,385485.0,19.8403,2.2294
2015-02-06,20.4996,20.3197,20.9819,20.8163,477758.0,20.193,1.7235
2015-02-09,20.7371,20.7156,21.313,21.097,574006.0,20.5774,1.3485
2015-02-10,21.2338,20.6364,21.2914,20.9099,323183.0,20.6609,-0.8871
2015-02-11,20.7731,20.6932,21.0755,20.9603,261493.0,20.8494,0.241
2015-02-12,21.1546,21.0179,21.4353,21.205,357619.0,20.9977,1.1676
2015-02-13,21.5001,21.169,21.6585,21.4425,489269.0,21.123,1.1202
2015-02-17,21.4857,21.3274,21.8456,21.7521,422825.0,21.254,1.4434
2015-02-18,21.6081,21.4857,21.9536,21.6945,652983.0,21.4109,-0.2647
2015-02-19,22.3135,21.8816,23.5443,23.2348,814847.0,21.8658,7.1002
2015-02-20,23.1412,22.4431,23.8394,23.6595,859795.0,22.3567,1.8278
2015-02-23,23.6667,23.2996,24.1993,23.9474,756507.0,22.8577,1.2169
2015-02-24,24.1705,23.9834,24.6024,24.3217,566429.0,23.3716,1.563
2015-02-25,24.3361,24.0662,24.5232,24.149,427029.0,23.8625,-0.7103
2015-02-26,24.1058,23.7675,24.5304,24.2425,345413.0,24.064,0.3875
2015-02-27,24.4009,24.1921,24.66,24.1993,479045.0,24.172,-0.1781
