date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2016-06-17,11.86,11.34,13.1,12.9,91362.0,,
2016-06-20,12.93,12.72,13.21,12.76,26977.0,,-1.0853
2016-06-21,12.8,12.8,13.1,13.04,22678.0,,2.1944
2016-06-22,12.94,12.81,12.98,12.91,16010.0,,-0.9969
2016-06-23,12.91,12.89,13.03,13.02,16161.0,12.926,0.8521
2016-06-24,12.21,12.21,12.89,12.85,154462.0,12.916,-1.3057
2016-06-27,12.41,12.36,12.67,12.58,33284.0,12.88,-2.1012
2016-06-28,12.62,12.6,12.89,12.72,22431.0,12.816,1.1129
2016-06-29,12.9,12.9,13.41,13.03,32658.0,12.84,2.4371
2016-06-30,13.15,13.0,13.35,13.25,58834.0,12.886,1.6884
2016-07-01,13.25,13.25,13.78,13.52,27582.0,13.02,2.0377
2016-07-05,13.54,13.19,13.77,13.71,21978.0,13.246,1.4053
2016-07-06,13.8,13.73,14.3,14.17,21340.0,13.536,3.3552
2016-07-07,14.27,14.09,14.82,14.28,14530.0,13.786,0.7763
2016-07-08,14.48,14.48,14.9,14.78,34553.0,14.092,3.5014
2016-07-11,14.89,14.34,14.89,14.39,16784.0,14.266,-2.6387
2016-07-12,14.82,14.2,14.82,14.21,26180.0,14.366,-1.2509
2016-07-13,14.27,14.21,14.46,14.36,13551.0,14.404,1.0556
2016-07-14,14.43,14.22,14.6,14.43,11822.0,14.434,0.4875
2016-07-15,14.53,14.38,14.86,14.69,17684.0,14.416,1.8018
2016-07-18,14.61,14.36,15.3,15.21,62445.0,14.58,3.5398
2016-07-19,16.18,15.33,16.29,15.34,57089.0,14.806,0.8547
2016-07-20,15.81,15.21,15.81,15.23,27469.0,14.98,-0.7171
2016-07-21,15.35,15.1,15.4,15.28,27567.0,15.15,0.3283
2016-07-22,15.3,15.2,15.57,15.46,12062.0,15.304,1.178
2016-07-25,15.49,15.02,15.49,15.19,32217.0,15.3,-1.7464
2016-07-26,15.26,14.93,15.51,15.1,23872.0,15.252,-0.5925
2016-07-27,15.1,14.85,15.31,14.89,36444.0,15.184,-1.3907
2016-07-28,14.81,14.81,15.0,14.93,15579.0,15.114,0.2686
2016-07-29,14.94,14.83,15.25,15.08,17401.0,15.038,1.0047
2016-08-01,15.06,14.81,15.25,15.08,53363.0,15.016,0.0
2016-08-02,15.07,15.07,15.95,15.72,69052.0,15.14,4.244
2016-08-03,16.88,14.9,16.88,15.04,119089.0,15.17,-4.3257
2016-08-04,15.17,14.97,15.58,15.0,37155.0,15.184,-0.266
2016-08-05,15.0,14.75,15.07,14.99,29959.0,15.166,-0.0667
2016-08-08,14.93,14.91,15.0,14.95,16139.0,15.14,-0.2668
2016-08-09,14.95,14.95,15.09,15.01,20838.0,14.998,0.4013
2016-08-10,14.97,14.95,15.02,14.97,16486.0,14.984,-0.2665
2016-08-11,15.0,14.93,15.12,14.95,24317.0,14.974,-0.1336
2016-08-12,14.93,14.455,14.93,14.66,10863.0,14.908,-1.9398
2016-08-15,14.6,14.6,14.89,14.87,8414.0,14.892,1.4325
2016-08-16,14.87,14.665,15.03,14.98,14444.0,14.886,0.7397
2016-08-17,14.95,14.71,14.98,14.8,5842.0,14.852,-1.2016
2016-08-18,14.73,14.73,14.94,14.93,12058.0,14.848,0.8784
2016-08-19,14.86,14.62,14.96,14.71,25269.0,14.858,-1.4735
