date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,26.77,26.37,27.0,26.69,86704.0,26.872,-0.0375
2015-01-05,26.46,25.53,26.46,25.57,178631.0,26.606,-4.1963
2015-01-06,25.65,24.96,25.65,25.29,182285.0,26.262,-1.095
2015-01-07,25.38,25.19,25.45,25.32,94023.0,25.914,0.1186
2015-01-08,25.57,25.45,25.81,25.49,185642.0,25.672,0.6714
2015-01-09,25.6,25.09,25.68,25.09,195901.0,25.352,-1.5692
2015-01-12,25.09,24.85,25.14,25.02,187952.0,25.242,-0.279
2015-01-13,25.22,24.87,25.62,25.15,189608.0,25.214,0.5196
2015-01-14,24.82,24.62,25.14,24.75,211456.0,25.1,-1.5905
2015-01-15,24.86,24.22,24.86,24.26,233956.0,24.854,-1.9798
2015-01-16,24.15,23.98,24.32,24.2,263421.0,24.676,-0.2473
2015-01-20,24.27,23.92,24.285,23.99,246402.0,24.47,-0.8678
2015-01-21,24.0,23.91,24.24,24.11,234863.0,24.262,0.5002
2015-01-22,24.4,24.26,24.67,24.5,340115.0,24.212,1.6176
2015-01-23,24.43,24.2,24.62,24.41,218908.0,24.242,-0.3673
2015-01-26,24.37,24.18,24.48,24.45,267591.0,24.292,0.1639
2015-01-27,24.1,24.06,24.51,24.38,160390.0,24.37,-0.2863
2015-01-28,24.54,23.78,24.85,23.81,209090.0,24.31,-2.338
2015-01-29,23.24,23.04,24.4,23.44,408103.0,24.098,-1.554
2015-01-30,23.17,22.98,23.51,23.03,309806.0,23.822,-1.7491
2015-02-02,23.05,23.02,23.82,23.78,224075.0,23.688,3.2566
2015-02-03,23.89,23.89,24.75,24.24,229403.0,23.66,1.9344
2015-02-04,24.09,23.97,24.47,23.97,302471.0,23.692,-1.1139
2015-02-05,24.12,24.12,24.63,24.51,224698.0,23.906,2.2528
2015-02-06,24.56,24.405,24.77,24.49,232520.0,24.198,-0.0816
2015-02-09,24.37,24.37,24.84,24.52,220336.0,24.346,0.1225
2015-02-10,24.62,24.29,24.73,24.4,134652.0,24.378,-0.4894
2015-02-11,24.38,24.12,24.55,24.34,91760.0,24.452,-0.2459
2015-02-12,24.44,24.35,24.59,24.5,86227.0,24.45,0.6574
