date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2019-04-04,34.26,33.75,36.25,35.81,15382918.0,,
2019-04-05,35.4,35.0,36.8,36.58,718548.0,,2.1502
2019-04-08,37.0,36.59,39.41,39.22,761994.0,,7.2171
2019-04-09,39.32,37.66,39.645,38.6,563364.0,,-1.5808
2019-04-10,38.96,38.61,40.98,40.26,2435248.0,38.094,4.3005
2019-04-11,41.17,40.39,42.98,42.06,545036.0,39.344,4.4709
2019-04-12,43.13,41.05,43.27,41.87,282502.0,40.402,-0.4517
2019-04-15,41.85,41.55,44.24,42.33,267045.0,41.024,1.0986
2019-04-16,43.18,40.08,43.18,40.82,283998.0,41.468,-3.5672
2019-04-17,41.1,38.63,41.1,39.4,372346.0,41.296,-3.4787
2019-04-18,39.49,38.21,39.68,39.36,231918.0,40.756,-0.1015
2019-04-22,39.27,38.9,40.24,40.05,194163.0,40.392,1.753
2019-04-23,40.3,38.86,40.74,39.3,174926.0,39.786,-1.8727
2019-04-24,39.09,38.27,40.05,39.99,179371.0,39.62,1.7557
2019-04-25,39.87,39.4,40.265,39.8,123641.0,39.7,-0.4751
2019-04-26,39.93,39.93,41.02,40.23,159681.0,39.874,1.0804
2019-04-29,39.36,38.7,41.41,41.25,216362.0,40.114,2.5354
2019-04-30,41.34,39.83,41.34,40.25,170398.0,40.304,-2.4242
2019-05-01,40.5,40.21,41.8,40.31,174163.0,40.368,0.1491
2019-05-02,40.06,38.95,40.06,39.45,169373.0,40.298,-2.1335
2019-05-03,39.48,38.4,39.93,39.17,210513.0,40.086,-0.7098
2019-05-06,38.34,38.05,41.045,40.25,189758.0,39.886,2.7572
2019-05-07,40.0,38.55,40.41,39.25,173195.0,39.686,-2.4845
2019-05-08,39.51,38.99,41.11,39.89,222331.0,39.602,1.6306
2019-05-09,41.46,40.4,42.2,41.08,305396.0,39.928,2.9832
2019-05-10,41.09,41.09,43.99,43.0,288262.0,40.694,4.6738
2019-05-13,42.17,41.59,43.46,42.98,171866.0,41.24,-0.0465
2019-05-14,43.01,42.16,44.92,43.43,180542.0,42.076,1.047
2019-05-15,43.2,42.2,46.29,42.47,240102.0,42.592,-2.2105
2019-05-16,42.39,40.31,44.15,44.01,267442.0,43.178,3.6261
2019-05-17,43.35,42.8,44.32,43.29,112552.0,43.236,-1.636
2019-05-20,42.95,42.61,44.62,44.55,115458.0,43.55,2.9106
2019-05-21,44.99,43.22,45.15,43.46,77072.0,43.556,-2.4467
2019-05-22,43.47,42.88,43.9,43.48,74553.0,43.758,0.046
2019-05-23,42.91,42.85,44.02,44.01,67502.0,43.758,1.219
2019-05-24,44.06,43.26,44.41,44.25,67815.0,43.95,0.5453
2019-05-28,44.47,42.96,44.71,43.33,78682.0,43.706,-2.0791
2019-05-29,43.07,42.33,43.33,43.01,85190.0,43.616,-0.7385
2019-05-30,43.47,43.03,44.22,43.97,71116.0,43.714,2.232
2019-05-31,44.26,43.5,45.18,45.09,185054.0,43.93,2.5472
2019-06-03,45.45,43.45,45.76,43.82,150126.0,43.844,-2.8166
2019-06-04,44.1,42.28,44.56,43.52,114633.0,43.882,-0.6846
2019-06-05,43.74,42.84,44.7,44.01,97658.0,44.082,1.1259
2019-06-06,43.23,43.05,44.2,43.59,115416.0,44.006,-0.9543
2019-06-07,43.7,42.4,44.02,42.9,96852.0,43.568,-1.5829
2019-06-10,43.1,43.1,43.78,43.41,88833.0,43.486,1.1888
