date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2019-05-10,42.0,41.06,44.85,41.57,76581167.0,,
2019-05-13,38.9,36.09,39.24,37.1,16033432.0,,-10.7529
2019-05-14,38.4,36.85,39.96,39.96,10338267.0,,7.7089
2019-05-15,39.4,38.95,41.88,41.29,6105711.0,,3.3283
2019-05-16,41.5,41.25,44.05,43.0,11141146.0,40.584,4.1414
2019-05-17,42.2,41.28,43.29,41.91,3853415.0,40.652,-2.5349
2019-05-20,41.08,39.46,41.68,41.59,12079053.0,41.55,-0.7635
2019-05-21,42.0,41.25,42.229,41.5,1763363.0,41.858,-0.2164
2019-05-22,41.0,40.5,41.28,41.25,1508669.0,41.85,-0.6024
2019-05-23,40.84,40.02,41.09,40.47,2089921.0,41.344,-1.8909
2019-05-24,41.28,40.5,41.51,41.51,2297557.0,41.264,2.5698
2019-05-28,41.63,40.61,41.77,40.95,5567868.0,41.136,-1.3491
2019-05-29,40.5,39.16,40.71,39.94,2834753.0,40.824,-2.4664
2019-05-30,39.95,39.5,40.38,39.8,4573316.0,40.534,-0.3505
2019-05-31,41.0,39.41,41.57,40.41,4122405.0,40.522,1.5327
2019-06-03,40.81,40.25,41.85,41.25,3664305.0,40.47,2.0787
2019-06-04,42.5,40.7,42.88,42.75,4823040.0,40.83,3.6364
2019-06-05,42.97,42.5,45.64,45.0,4778721.0,41.842,5.2632
2019-06-06,45.04,44.29,45.75,44.92,2821525.0,42.866,-0.1778
2019-06-07,44.92,44.13,45.66,44.16,2308149.0,43.616,-1.6919
2019-06-10,44.01,42.535,44.58,42.61,2303983.0,43.888,-3.51
2019-06-11,43.22,41.81,43.65,42.45,1919532.0,43.828,-0.3755
2019-06-12,42.48,41.71,42.65,42.17,1181608.0,43.262,-0.6596
2019-06-13,43.05,42.8,44.35,44.31,1889156.0,43.14,5.0747
2019-06-14,44.73,43.12,44.74,43.23,1639966.0,42.954,-2.4374
