date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,65.51,62.64,65.51,63.71,23888.0,64.704,-2.0298
2015-01-05,63.11,62.88,63.89,63.45,29586.0,64.43,-0.4081
2015-01-06,63.72,62.42,63.95,63.11,38470.0,64.058,-0.5359
2015-01-07,63.59,63.37,63.97,63.71,32546.0,63.802,0.9507
2015-01-08,64.34,63.96,65.04,64.81,40838.0,63.758,1.7266
2015-01-09,64.75,64.1,64.87,64.26,30903.0,63.868,-0.8486
2015-01-12,64.26,63.01,64.26,63.82,26035.0,63.942,-0.6847
2015-01-13,64.37,62.58,64.68,63.49,24594.0,64.018,-0.5171
2015-01-14,62.61,62.61,64.21,64.0,20400.0,64.076,0.8033
2015-01-15,64.12,62.65,64.12,63.01,43857.0,63.716,-1.5469
2015-01-16,62.77,62.77,64.35,64.27,27173.0,63.718,1.9997
2015-01-20,64.25,63.04,64.255,63.69,30126.0,63.692,-0.9024
2015-01-21,63.61,63.28,64.12,63.5,21475.0,63.694,-0.2983
2015-01-22,63.81,62.99,65.08,64.96,29100.0,63.886,2.2992
2015-01-23,65.02,64.66,65.22,64.91,19710.0,64.266,-0.077
2015-01-26,64.84,64.66,66.235,65.78,33569.0,64.568,1.3403
2015-01-27,64.88,64.84,65.925,65.77,26490.0,64.984,-0.0152
2015-01-28,66.07,63.84,66.07,64.01,45459.0,65.086,-2.676
2015-01-29,63.99,63.99,65.46,65.46,62451.0,65.186,2.2653
2015-01-30,64.92,63.63,65.38,63.74,32375.0,64.952,-2.6276
2015-02-02,64.11,62.94,64.56,64.54,15677.0,64.704,1.2551
2015-02-03,64.95,64.78,65.3,64.82,38856.0,64.514,0.4338
2015-02-04,64.55,64.55,65.35,65.0,22366.0,64.712,0.2777
2015-02-05,65.21,65.01,65.47,65.37,15936.0,64.694,0.5692
2015-02-06,65.52,64.61,65.97,64.94,52009.0,64.934,-0.6578
2015-02-09,64.78,63.88,65.37,63.95,24152.0,64.816,-1.5245
2015-02-10,64.46,63.52,65.08,64.51,40854.0,64.754,0.8757
2015-02-11,64.23,64.04,65.41,64.72,20181.0,64.698,0.3255
2015-02-12,65.01,64.94,66.35,65.96,40328.0,64.816,1.9159
2015-02-13,66.19,65.77,66.37,66.32,18571.0,65.092,0.5458
2015-02-17,66.37,65.97,66.74,66.36,30688.0,65.574,0.0603
2015-02-18,66.05,64.51,66.69,64.89,47151.0,65.65,-2.2152
2015-02-19,64.46,63.72,65.1,63.92,50072.0,65.49,-1.4948
2015-02-20,63.9,56.0,63.9,57.51,169611.0,63.8,-10.0282
2015-02-23,57.51,57.08,58.0,57.17,50543.0,61.97,-0.5912
2015-02-24,56.87,55.5,56.99,55.58,77030.0,59.814,-2.7812
2015-02-25,55.32,54.07,56.01,54.56,46947.0,57.748,-1.8352
2015-02-26,54.5,54.35,56.04,55.62,47043.0,56.088,1.9428
2015-02-27,55.62,55.45,57.78,56.51,53115.0,55.888,1.6001
2015-03-02,56.61,56.61,58.66,58.54,45677.0,56.162,3.5923
2015-03-03,58.36,56.89,58.36,57.1,23907.0,56.466,-2.4599
2015-03-04,57.1,56.36,57.52,56.39,17709.0,56.832,-1.2434
2015-03-05,56.41,54.51,56.5,55.86,35794.0,56.88,-0.9399
2015-03-06,55.42,55.05,55.84,55.16,33798.0,56.61,-1.2531
2015-03-09,55.13,54.8,56.35,56.16,41259.0,56.134,1.8129
2015-03-10,55.39,55.03,56.25,55.83,66753.0,55.88,-0.5876
2015-03-11,56.04,55.2,56.16,55.81,73670.0,55.764,-0.0358
2015-03-12,56.26,55.54,56.85,56.3,87047.0,55.852,0.878
2015-03-13,56.4,54.99,56.58,55.77,39547.0,55.974,-0.9414
2015-03-16,55.92,55.3,56.16,55.79,33263.0,55.9,0.0359
2015-03-17,55.49,54.99,55.72,55.66,48650.0,55.866,-0.233
2015-03-18,55.6,54.61,55.72,55.47,23891.0,55.798,-0.3414
2015-03-19,55.42,55.41,56.2,55.88,21370.0,55.714,0.7391
2015-03-20,56.22,55.95,56.69,56.53,46896.0,55.866,1.1632
2015-03-23,56.39,55.92,56.52,56.29,16678.0,55.966,-0.4246
2015-03-24,56.14,56.14,57.22,56.88,23823.0,56.21,1.0481
2015-03-25,56.78,55.43,57.12,55.61,26164.0,56.238,-2.2328
2015-03-26,55.33,55.17,55.97,55.76,29376.0,56.214,0.2697
2015-03-27,55.97,55.33,56.48,56.24,27612.0,56.156,0.8608
2015-03-30,56.5,56.32,56.96,56.81,21217.0,56.26,1.0135
2015-03-31,56.36,56.2,56.87,56.44,61948.0,56.172,-0.6513
2015-04-01,56.37,55.66,56.57,56.35,40381.0,56.32,-0.1595
2015-04-02,56.12,56.12,57.08,56.78,17059.0,56.524,0.7631
2015-04-06,56.35,56.31,56.93,56.74,14099.0,56.624,-0.0704
2015-04-07,56.75,56.37,56.99,56.47,12896.0,56.556,-0.4759
2015-04-08,56.36,56.36,58.36,57.58,59231.0,56.784,1.9656
2015-04-09,57.6,57.05,57.73,57.59,15209.0,57.032,0.0174
2015-04-10,57.97,57.22,57.97,57.56,13522.0,57.188,-0.0521
2015-04-13,57.4,57.4,58.36,58.05,21736.0,57.45,0.8513
2015-04-14,57.98,57.98,58.61,58.46,22093.0,57.848,0.7063
2015-04-15,58.89,58.32,58.89,58.64,15727.0,58.06,0.3079
2015-04-16,58.52,57.52,58.52,58.03,18666.0,58.148,-1.0402
2015-04-17,57.56,56.2,57.56,56.54,27062.0,57.944,-2.5676
2015-04-20,56.6,56.6,57.8,57.23,28392.0,57.78,1.2204
2015-04-21,57.21,56.89,57.53,57.26,31414.0,57.54,0.0524
2015-04-22,57.23,57.03,57.79,57.71,39103.0,57.354,0.7859
2015-04-23,57.73,57.73,58.37,58.0,13825.0,57.348,0.5025
2015-04-24,58.01,56.93,58.01,57.15,19093.0,57.47,-1.4655
2015-04-27,57.09,56.1,57.46,56.21,33754.0,57.266,-1.6448
2015-04-28,56.0,56.0,57.57,57.2,28808.0,57.254,1.7613
2015-04-29,57.01,56.3,57.06,56.35,31688.0,56.982,-1.486
2015-04-30,56.2,53.05,56.37,53.94,54169.0,56.17,-4.2768
2015-05-01,54.0,54.0,55.11,54.61,36434.0,55.662,1.2421
2015-05-04,54.8,54.6,55.86,54.69,33182.0,55.358,0.1465
2015-05-05,54.45,54.06,55.0,54.94,32288.0,54.906,0.4571
2015-05-06,55.23,55.01,56.45,56.32,35954.0,54.9,2.5118
2015-05-07,56.03,56.03,57.04,56.36,30205.0,55.384,0.071
2015-05-08,52.1,51.645,54.08,52.38,110936.0,54.938,-7.0617
2015-05-11,51.98,50.19,51.98,50.92,80295.0,54.184,-2.7873
2015-05-12,50.52,48.86,50.52,48.86,70055.0,52.968,-4.0456
2015-05-13,48.86,48.86,50.73,50.3,98427.0,51.764,2.9472
2015-05-14,50.26,49.76,51.8,51.48,43911.0,50.788,2.3459
2015-05-15,51.46,50.84,51.86,51.42,52256.0,50.596,-0.1166
2015-05-18,51.22,51.14,52.82,52.04,46221.0,50.82,1.2058
2015-05-19,52.18,51.63,52.98,51.93,40871.0,51.434,-0.2114
