date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,9.67,9.49,9.72,9.51,3264.0,9.72,-0.523
2015-01-05,9.72,9.5,10.29,10.05,9510.0,9.662,5.6782
2015-01-06,10.08,9.49,10.08,9.58,6616.0,9.644,-4.6766
2015-01-07,9.7,9.475,9.84,9.545,11197.0,9.649,-0.3653
2015-01-08,9.64,9.64,9.74,9.65,1218.0,9.667,1.1001
2015-01-09,9.57,9.49,9.57,9.5,2321.0,9.665,-1.5544
2015-01-12,9.57,9.37,9.69,9.69,2395.0,9.593,2.0
2015-01-13,9.57,8.65,9.57,8.9,14654.0,9.457,-8.1527
2015-01-14,8.99,8.89,9.25,9.09,5145.0,9.366,2.1348
2015-01-15,9.31,8.76,9.31,8.76,21928.0,9.188,-3.6304
2015-01-16,8.8,8.4,8.8,8.7,39592.0,9.028,-0.6849
2015-01-20,8.75,8.46,8.75,8.52,5757.0,8.794,-2.069
2015-01-21,8.45,8.44,8.53,8.52,1209.0,8.718,0.0
2015-01-22,8.6,8.27,8.6,8.37,5537.0,8.574,-1.7606
2015-01-23,8.28,7.83,8.3,7.83,17866.0,8.388,-6.4516
2015-01-26,7.67,7.54,7.87,7.79,18465.0,8.206,-0.5109
2015-01-27,7.76,7.76,8.16,8.03,597.0,8.108,3.0809
2015-01-28,8.07,8.07,8.4,8.08,5168.0,8.02,0.6227
2015-01-29,8.13,7.67,8.13,7.83,4055.0,7.912,-3.0941
2015-01-30,7.71,7.7,8.15,7.94,1856.0,7.934,1.4049
2015-02-02,7.96,7.93,8.1,8.1,2450.0,7.996,2.0151
2015-02-03,8.09,7.8,8.1,7.96,4000.0,7.982,-1.7284
2015-02-04,8.03,8.03,8.06,8.05,3522.0,7.976,1.1307
2015-02-05,8.27,8.27,8.49,8.36,2241.0,8.082,3.8509
2015-02-06,8.32,7.41,8.32,7.66,16677.0,8.026,-8.3732
2015-02-09,7.68,7.68,7.9,7.9,3175.0,7.986,3.1332
2015-02-10,7.95,7.41,8.07,7.64,8740.0,7.922,-3.2911
2015-02-11,7.68,7.25,7.68,7.25,8140.0,7.762,-5.1047
2015-02-12,7.44,7.2,7.44,7.24,6375.0,7.538,-0.1379
2015-02-13,7.26,7.02,7.47,7.22,28723.0,7.45,-0.2762
2015-02-17,7.25,7.17,7.3,7.17,3277.0,7.304,-0.6925
2015-02-18,7.2,7.18,7.25,7.2,677.0,7.216,0.4184
2015-02-19,7.23,6.88,7.23,6.91,4000.0,7.148,-4.0278
2015-02-20,6.95,6.95,7.14,7.14,1400.0,7.128,3.3285
2015-02-23,7.17,6.9,7.17,7.02,4216.0,7.088,-1.6807
2015-02-24,7.06,6.98,7.06,6.99,3596.0,7.052,-0.4274
2015-02-25,7.05,6.87,7.05,6.87,1513.0,6.986,-1.7167
2015-02-26,6.87,6.87,7.14,7.11,43370.0,7.026,3.4934
2015-02-27,7.25,7.02,7.25,7.05,21555.0,7.008,-0.8439
2015-03-02,7.09,7.09,7.2,7.16,13352.0,7.036,1.5603
2015-03-03,7.25,7.08,7.4,7.12,9372.0,7.062,-0.5587
2015-03-04,7.17,7.17,7.4,7.24,3627.0,7.136,1.6854
2015-03-05,7.29,7.29,7.38,7.36,4662.0,7.186,1.6575
2015-03-06,7.41,7.2,7.41,7.24,10258.0,7.224,-1.6304
2015-03-09,7.26,7.08,7.35,7.1,3780.0,7.212,-1.9337
2015-03-10,7.14,7.07,7.25,7.07,7365.0,7.202,-0.4225
2015-03-11,7.12,7.1,7.16,7.1,6381.0,7.174,0.4243
2015-03-12,7.1,6.64,7.15,6.99,12967.0,7.1,-1.5493
2015-03-13,6.94,6.68,6.94,6.81,3310.0,7.014,-2.5751
2015-03-16,6.85,6.85,7.46,7.1,17294.0,7.014,4.2584
2015-03-17,7.03,6.96,7.25,7.25,4779.0,7.05,2.1127
2015-03-18,7.21,7.03,7.22,7.13,4840.0,7.056,-1.6552
2015-03-19,7.09,7.09,7.81,7.52,8888.0,7.162,5.4698
2015-03-20,7.51,7.22,7.61,7.22,17088.0,7.244,-3.9894
2015-03-23,7.1,6.8,7.27,7.1,22796.0,7.244,-1.662
2015-03-24,7.34,7.09,7.34,7.32,2216.0,7.258,3.0986
2015-03-25,7.31,7.14,7.49,7.4,3252.0,7.312,1.0929
2015-03-26,7.35,7.1,7.63,7.59,5099.0,7.326,2.5676
2015-03-27,7.64,7.15,7.64,7.16,6143.0,7.314,-5.6653
2015-03-30,7.13,6.79,7.16,6.86,2790.0,7.266,-4.1899
2015-03-31,6.98,6.98,7.08,7.01,1718.0,7.204,2.1866
2015-04-01,7.0,6.25,7.01,6.73,16482.0,7.07,-3.9943
2015-04-02,6.64,6.31,6.68,6.54,4540.0,6.86,-2.8232
2015-04-06,6.5,6.45,6.57,6.45,2100.0,6.718,-1.3761
2015-04-07,6.66,6.45,6.66,6.45,1269.0,6.636,0.0
2015-04-08,6.58,6.41,6.58,6.55,2017.0,6.544,1.5504
2015-04-09,6.46,6.24,6.6,6.6,10740.0,6.518,0.7634
2015-04-10,6.49,6.49,7.15,7.15,5350.0,6.64,8.3333
2015-04-13,7.19,7.03,7.29,7.2,10004.0,6.79,0.6993
2015-04-14,7.15,6.91,7.15,6.91,1008.0,6.882,-4.0278
2015-04-15,7.06,6.83,7.06,6.89,2025.0,6.95,-0.2894
2015-04-16,6.97,6.8,7.03,6.88,5113.0,7.006,-0.1451
2015-04-17,6.8,6.75,6.82,6.81,3627.0,6.938,-1.0174
2015-04-20,6.82,6.45,6.82,6.56,9233.0,6.81,-3.6711
2015-04-21,6.4,6.31,6.63,6.31,16761.0,6.69,-3.811
2015-04-22,6.31,6.31,6.63,6.31,1748.0,6.574,0.0
2015-04-23,6.36,6.36,6.71,6.71,1362.0,6.54,6.3391
2015-04-24,6.8,6.43,6.8,6.53,4900.0,6.484,-2.6826
2015-04-27,6.6,6.35,6.6,6.41,2306.0,6.454,-1.8377
2015-04-28,6.37,6.34,6.41,6.4,5332.0,6.472,-0.156
2015-04-29,6.34,6.33,6.39,6.39,1086.0,6.488,-0.1563
2015-04-30,6.32,5.95,6.32,6.16,10639.0,6.378,-3.5994
2015-05-01,6.13,6.13,6.4,6.39,4137.0,6.35,3.7338
2015-05-04,6.41,6.41,6.98,6.98,26599.0,6.464,9.2332
2015-05-05,6.93,6.55,6.93,6.55,21429.0,6.494,-6.1605
2015-05-06,6.59,6.35,6.59,6.35,11959.0,6.486,-3.0534
2015-05-07,6.42,6.02,6.5,6.2,11464.0,6.494,-2.3622
2015-05-08,6.1,5.89,6.58,5.91,61924.0,6.398,-4.6774
2015-05-11,5.94,5.93,6.71,6.63,8981.0,6.328,12.1827
2015-05-12,6.65,6.59,7.0,6.64,6022.0,6.346,0.1508
2015-05-13,6.65,6.49,6.68,6.66,37796.0,6.408,0.3012
2015-05-14,6.72,6.47,6.85,6.47,15541.0,6.462,-2.8529
2015-05-15,6.55,6.55,7.75,7.41,47445.0,6.762,14.5286
2015-05-18,7.45,7.45,7.9,7.78,5460.0,6.992,4.9933
2015-05-19,7.83,7.7,8.12,8.08,13011.0,7.28,3.856
2015-05-20,8.04,7.88,8.25,8.25,6048.0,7.598,2.104
2015-05-21,8.2,7.935,8.2,8.1,5698.0,7.924,-1.8182
2015-05-22,8.13,8.0,8.13,8.01,4615.0,8.044,-1.1111
2015-05-26,8.0,7.78,8.0,7.78,7732.0,8.044,-2.8714
2015-05-27,7.66,7.66,8.0,7.75,2470.0,7.978,-0.3856
2015-05-28,7.65,7.65,8.1,8.1,3712.0,7.948,4.5161
2015-05-29,8.05,7.56,8.05,7.62,3804.0,7.852,-5.9259
2015-06-01,7.75,7.5,7.79,7.74,3924.0,7.798,1.5748
2015-06-02,7.7,7.49,7.79,7.73,1720.0,7.788,-0.1292
2015-06-03,7.8,7.57,7.83,7.72,3795.0,7.782,-0.1294
2015-06-04,7.74,7.65,7.9,7.9,9892.0,7.742,2.3316
2015-06-05,7.85,7.85,8.06,8.06,4134.0,7.83,2.0253
2015-06-08,8.05,7.98,8.21,8.18,6477.0,7.918,1.4888
2015-06-09,8.2,7.92,8.2,8.1,4669.0,7.992,-0.978
2015-06-10,8.06,8.06,8.2,8.2,1984.0,8.088,1.2346
2015-06-11,8.19,8.15,8.24,8.23,4501.0,8.154,0.3659
2015-06-12,8.24,8.09,8.24,8.15,2835.0,8.172,-0.9721
2015-06-15,8.06,8.01,8.2,8.01,2905.0,8.138,-1.7178
2015-06-16,8.01,8.01,8.2,8.09,4740.0,8.136,0.9988
2015-06-17,8.05,8.0,8.16,8.14,35246.0,8.124,0.618
2015-06-18,8.15,8.08,8.79,8.43,11101.0,8.164,3.5627
2015-06-19,8.4,8.0,8.4,8.0,56047.0,8.134,-5.1008
2015-06-22,8.0,8.0,8.96,8.69,58290.0,8.27,8.625
2015-06-23,8.8,8.5,9.71,8.88,123545.0,8.428,2.1864
2015-06-24,9.02,9.0,9.25,9.02,13717.0,8.604,1.5766
2015-06-25,9.14,9.01,9.14,9.1,15946.0,8.738,0.8869
2015-06-26,9.1,8.72,9.1,8.78,29989.0,8.894,-3.5165
2015-06-29,8.7,8.51,8.7,8.67,27225.0,8.89,-1.2528
2015-06-30,8.7,8.29,9.22,9.22,40404.0,8.958,6.3437
2015-07-01,9.25,8.84,9.25,9.05,15039.0,8.964,-1.8438
2015-07-02,9.08,8.89,9.08,9.03,1879.0,8.95,-0.221
2015-07-06,8.84,8.65,8.97,8.81,7534.0,8.956,-2.4363
2015-07-07,8.84,8.7,8.98,8.71,5087.0,8.964,-1.1351
2015-07-08,8.58,8.5,9.11,8.76,10301.0,8.872,0.5741
2015-07-09,8.91,8.79,9.18,9.18,12381.0,8.898,4.7945
2015-07-10,8.96,8.82,9.22,8.86,5444.0,8.864,-3.4858
2015-07-13,8.86,8.62,8.98,8.62,2778.0,8.826,-2.7088
2015-07-14,8.65,8.53,8.73,8.55,2551.0,8.794,-0.8121
2015-07-15,8.52,7.95,8.61,8.0,16246.0,8.642,-6.4327
2015-07-16,8.02,8.01,8.19,8.13,3083.0,8.432,1.625
2015-07-17,8.06,7.96,8.11,8.09,12909.0,8.278,-0.492
2015-07-20,8.08,7.96,8.1,8.08,14122.0,8.17,-0.1236
2015-07-21,8.03,8.03,8.48,8.23,15193.0,8.106,1.8564
2015-07-22,8.23,8.08,8.39,8.2,5018.0,8.146,-0.3645
2015-07-23,8.22,8.2,8.4,8.27,3733.0,8.174,0.8537
2015-07-24,8.29,8.2,8.33,8.33,2067.0,8.222,0.7255
2015-07-27,8.13,8.13,8.21,8.16,2307.0,8.238,-2.0408
2015-07-28,8.26,8.01,8.26,8.02,6037.0,8.196,-1.7157
2015-07-29,8.02,7.85,8.05,7.86,35268.0,8.128,-1.995
2015-07-30,7.88,7.88,8.2,8.09,2439.0,8.092,2.9262
2015-07-31,8.09,8.03,8.26,8.14,3040.0,8.054,0.618
2015-08-03,8.16,7.95,8.16,7.95,2315.0,8.012,-2.3342
2015-08-04,7.94,7.9,8.04,7.93,1944.0,7.994,-0.2516
2015-08-05,7.97,7.7,7.97,7.89,10398.0,8.0,-0.5044
2015-08-06,7.83,7.11,7.83,7.74,13136.0,7.93,-1.9011
2015-08-07,7.73,7.59,7.99,7.79,11641.0,7.86,0.646
2015-08-10,7.79,7.63,7.9,7.75,6406.0,7.82,-0.5135
2015-08-11,7.69,7.45,7.72,7.7,23599.0,7.774,-0.6452
2015-08-12,7.56,7.5,7.8,7.59,22865.0,7.714,-1.4286
2015-08-13,7.23,7.05,7.75,7.56,7000.0,7.678,-0.3953
2015-08-14,7.57,7.57,7.99,7.95,14317.0,7.71,5.1587
2015-08-17,7.9,7.9,8.13,8.1,5401.0,7.78,1.8868
2015-08-18,8.06,7.91,8.06,7.92,2705.0,7.824,-2.2222
2015-08-19,7.97,7.85,7.97,7.85,1631.0,7.876,-0.8838
2015-08-20,7.73,7.64,7.78,7.78,8846.0,7.92,-0.8917
2015-08-21,7.69,7.5,7.7,7.59,20153.0,7.848,-2.4422
2015-08-24,7.33,7.33,7.85,7.6,20004.0,7.748,0.1318
2015-08-25,7.87,7.71,7.87,7.71,4107.0,7.706,1.4474
2015-08-26,7.91,7.7,7.91,7.74,4109.0,7.684,0.3891
2015-08-27,7.8,7.8,7.96,7.92,6871.0,7.712,2.3256
2015-08-28,7.91,7.89,8.25,8.09,11040.0,7.812,2.1465
2015-08-31,8.09,7.87,8.1,7.87,4726.0,7.866,-2.7194
2015-09-01,7.8,7.8,7.99,7.94,2436.0,7.912,0.8895
2015-09-02,8.0,7.87,8.0,7.87,1396.0,7.938,-0.8816
2015-09-03,7.91,7.91,8.0,7.91,2113.0,7.936,0.5083
2015-09-04,7.9,7.9,8.09,8.0,1529.0,7.918,1.1378
2015-09-08,8.04,7.865,8.04,7.9,4106.0,7.924,-1.25
2015-09-09,7.93,7.89,7.99,7.9,40644.0,7.916,0.0
2015-09-10,7.9,7.9,7.92,7.9,15622.0,7.922,0.0
2015-09-11,7.9,7.9,7.97,7.97,564.0,7.934,0.8861
2015-09-14,8.0,7.89,8.0,7.9,4528.0,7.914,-0.8783
2015-09-15,7.9,7.85,7.91,7.91,1270.0,7.916,0.1266
2015-09-16,7.95,7.82,7.96,7.9,2953.0,7.916,-0.1264
2015-09-17,7.89,7.83,8.0,8.0,2068.0,7.936,1.2658
2015-09-18,7.9,7.9,8.29,8.29,30805.0,8.0,3.625
2015-09-21,8.35,8.31,8.62,8.37,7163.0,8.094,0.965
2015-09-22,8.37,7.99,8.37,8.0,2038.0,8.112,-4.4205
2015-09-23,8.13,8.03,8.13,8.03,979.0,8.138,0.375
2015-09-24,8.0,7.8,8.08,7.96,7533.0,8.13,-0.8717
2015-09-25,8.0,7.8,8.0,7.85,3118.0,8.042,-1.3819
2015-09-28,7.82,7.8,7.95,7.9,4960.0,7.948,0.6369
2015-09-29,7.89,7.78,7.89,7.78,1610.0,7.904,-1.519
2015-09-30,7.79,7.79,7.94,7.9,6544.0,7.878,1.5424
2015-10-01,7.9,7.5,7.93,7.93,6263.0,7.872,0.3797
2015-10-02,7.82,7.8,7.93,7.93,2217.0,7.888,0.0
2015-10-05,7.95,7.79,7.95,7.94,2872.0,7.896,0.1261
2015-10-06,7.9,7.89,7.9,7.89,345.0,7.918,-0.6297
2015-10-07,7.86,7.83,7.86,7.83,711.0,7.904,-0.7605
2015-10-08,7.82,7.71,7.85,7.75,2524.0,7.868,-1.0217
2015-10-09,7.77,7.53,7.77,7.6,559.0,7.802,-1.9355
2015-10-12,7.61,7.6,7.96,7.93,1343.0,7.8,4.3421
2015-10-13,7.88,7.88,8.09,8.08,917.0,7.838,1.8916
2015-10-14,8.08,8.01,8.08,8.01,311.0,7.874,-0.8663
2015-10-15,8.02,8.02,8.1,8.08,951.0,7.94,0.8739
2015-10-16,8.06,8.06,8.12,8.12,719.0,8.044,0.495
2015-10-19,7.8,7.8,8.02,8.0,9462.0,8.058,-1.4778
2015-10-20,7.99,7.95,8.2,7.97,1474.0,8.036,-0.375
2015-10-21,7.93,7.89,8.0,7.89,1533.0,8.012,-1.0038
2015-10-22,7.88,7.88,7.99,7.97,1307.0,7.99,1.0139
2015-10-23,8.0,7.9,8.0,7.97,585.0,7.96,0.0
2015-10-26,7.9,7.9,8.0,7.99,11010.0,7.958,0.2509
2015-10-27,7.95,7.95,7.99,7.96,595.0,7.956,-0.3755
2015-10-28,7.98,7.93,8.0,7.99,1055.0,7.976,0.3769
2015-10-29,7.94,7.94,8.0,7.99,2269.0,7.98,0.0
2015-10-30,7.99,7.79,7.99,7.93,8372.0,7.972,-0.7509
2015-11-02,7.91,7.86,7.99,7.94,7110.0,7.962,0.1261
2015-11-03,7.9,7.9,7.99,7.95,5915.0,7.96,0.1259
2015-11-04,7.94,7.89,7.97,7.9,9792.0,7.942,-0.6289
2015-11-05,7.92,7.92,8.0,7.99,1203.0,7.942,1.1392
2015-11-06,7.95,7.94,7.95,7.94,53.0,7.944,-0.6258
2015-11-09,7.07,7.07,7.95,7.84,13217.0,7.924,-1.2594
2015-11-10,7.74,7.53,7.9,7.82,1957.0,7.898,-0.2551
2015-11-11,7.81,7.76,7.91,7.79,1006.0,7.876,-0.3836
2015-11-12,7.73,7.73,7.86,7.86,124.0,7.85,0.8986
2015-11-13,7.81,6.89,7.81,7.69,3223.0,7.8,-2.1628
2015-11-16,7.65,7.6,7.96,7.96,1517.0,7.824,3.5111
2015-11-17,7.85,7.01,8.05,7.37,22253.0,7.734,-7.4121
2015-11-18,7.39,7.39,7.64,7.52,1300.0,7.68,2.0353
2015-11-19,7.51,7.32,7.51,7.35,246.0,7.578,-2.2606
2015-11-20,7.25,7.17,7.35,7.27,730.0,7.494,-1.0884
2015-11-23,7.27,7.26,7.51,7.47,35901.0,7.396,2.751
2015-11-24,7.39,7.16,7.48,7.44,1460.0,7.41,-0.4016
2015-11-25,7.38,7.36,7.59,7.48,446.0,7.402,0.5376
2015-11-27,7.36,7.36,7.59,7.59,35.0,7.45,1.4706
2015-11-30,7.42,7.33,7.67,7.33,824.0,7.462,-3.4256
2015-12-01,7.48,7.48,7.52,7.52,202.0,7.472,2.5921
2015-12-02,7.5,7.24,7.51,7.24,10322.0,7.432,-3.7234
2015-12-03,7.21,7.21,7.44,7.21,1542.0,7.378,-0.4144
2015-12-04,7.2,7.2,7.3,7.29,2002.0,7.318,1.1096
2015-12-07,7.32,7.2,7.32,7.24,813.0,7.3,-0.6859
2015-12-08,7.2,7.12,7.23,7.13,3240.0,7.222,-1.5193
2015-12-09,7.14,7.1,7.14,7.1,1037.0,7.194,-0.4208
2015-12-10,7.1,6.93,7.19,7.19,1854.0,7.19,1.2676
2015-12-11,6.9,6.9,7.2,7.12,1772.0,7.156,-0.9736
2015-12-14,7.12,6.6,7.12,6.8,10922.0,7.068,-4.4944
2015-12-15,6.73,6.73,6.88,6.85,1207.0,7.012,0.7353
2015-12-16,6.84,6.8,7.01,6.93,2475.0,6.978,1.1679
2015-12-17,7.2,6.95,7.2,6.96,5286.0,6.932,0.4329
2015-12-18,7.15,7.0,7.15,7.0,13073.0,6.908,0.5747
2015-12-21,7.04,6.7,7.04,6.96,7912.0,6.94,-0.5714
2015-12-22,6.91,6.9,6.98,6.9,492.0,6.95,-0.8621
2015-12-23,6.95,6.8,7.0,6.95,2238.0,6.954,0.7246
2015-12-24,7.02,7.01,7.12,7.12,891.0,6.986,2.446
2015-12-28,7.11,6.99,7.11,7.0,8129.0,6.986,-1.6854
2015-12-29,7.07,7.04,7.1,7.04,1065.0,7.002,0.5714
2015-12-30,6.95,6.72,6.97,6.91,7392.0,7.004,-1.8466
2015-12-31,6.96,6.9,7.05,7.05,1398.0,7.024,2.026
2016-01-04,7.0,6.9,7.06,7.01,2066.0,7.002,-0.5674
2016-01-05,7.04,6.96,7.15,6.96,541.0,6.994,-0.7133
2016-01-06,6.98,6.91,6.98,6.91,416.0,6.968,-0.7184
2016-01-07,6.87,6.79,7.01,7.01,1753.0,6.988,1.4472
2016-01-08,6.98,6.7,6.99,6.99,3395.0,6.976,-0.2853
2016-01-11,7.17,6.82,7.18,6.82,1100.0,6.938,-2.432
2016-01-12,6.91,6.82,7.01,6.95,2300.0,6.936,1.9062
2016-01-13,6.95,6.93,6.99,6.99,987.0,6.952,0.5755
2016-01-14,7.05,7.05,7.13,7.13,1131.0,6.976,2.0029
2016-01-15,7.0,6.99,7.06,6.99,1103.0,6.976,-1.9635
2016-01-19,7.06,7.0,7.06,7.01,930.0,7.014,0.2861
2016-01-20,7.01,6.85,7.06,6.92,1806.0,7.008,-1.2839
2016-01-21,6.92,6.91,7.03,7.03,1167.0,7.016,1.5896
2016-01-22,7.06,7.06,7.06,7.06,240.0,7.002,0.4267
2016-01-25,7.06,7.06,7.18,7.12,374.0,7.028,0.8499
2016-01-26,7.02,6.99,7.09,7.01,1325.0,7.028,-1.5449
2016-01-27,7.04,7.04,7.04,7.04,100.0,7.052,0.428
2016-01-28,7.04,7.04,7.06,7.06,304.0,7.058,0.2841
2016-01-29,6.91,6.87,7.09,7.0,17408.0,7.046,-0.8499
2016-02-01,7.08,7.08,7.08,7.08,102.0,7.038,1.1429
2016-02-02,7.08,6.92,7.08,7.05,620.0,7.046,-0.4237
2016-02-03,6.96,6.96,7.19,7.19,1347.0,7.076,1.9858
2016-02-04,7.03,7.03,7.11,7.11,264.0,7.086,-1.1127
2016-02-05,7.06,7.06,7.1,7.1,1011.0,7.106,-0.1406
