date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,35.26,34.8,35.52,35.1,376626.0,35.081,-0.0854
2015-01-05,33.9,33.9,35.29,35.1,776879.0,35.13,0.0
2015-01-06,35.25,34.06,35.25,34.48,721311.0,34.976,-1.7664
2015-01-07,34.62,34.62,35.54,35.38,675476.0,35.038,2.6102
2015-01-08,36.38,35.99,36.77,36.69,1107251.0,35.35,3.7027
2015-01-09,36.98,36.03,36.98,36.44,575668.0,35.618,-0.6814
2015-01-12,36.53,36.05,36.58,36.42,539956.0,35.882,-0.0549
2015-01-13,36.56,34.4,36.69,34.51,1355519.0,35.888,-5.2444
2015-01-14,34.24,33.33,34.24,33.85,968808.0,35.582,-1.9125
2015-01-15,33.93,32.95,34.17,32.99,706157.0,34.842,-2.5406
2015-01-16,33.06,32.63,33.53,33.32,626057.0,34.218,1.0003
2015-01-20,33.51,33.05,33.71,33.57,488310.0,33.648,0.7503
2015-01-21,33.46,33.37,34.06,33.89,481656.0,33.524,0.9532
2015-01-22,34.03,34.0,34.855,34.63,421551.0,33.68,2.1835
2015-01-23,34.56,34.41,35.07,34.8,385445.0,34.042,0.4909
2015-01-26,34.92,34.63,35.5,35.36,402342.0,34.45,1.6092
2015-01-27,35.08,34.93,35.82,35.66,420707.0,34.868,0.8484
2015-01-28,35.75,35.34,36.06,35.41,416390.0,35.172,-0.7011
2015-01-29,35.55,35.12,35.75,35.39,332651.0,35.324,-0.0565
2015-01-30,35.14,34.59,35.61,34.86,559484.0,35.336,-1.4976
2015-02-02,34.92,34.21,35.21,35.14,473098.0,35.292,0.8032
2015-02-03,35.54,35.11,36.1,36.07,461510.0,35.374,2.6466
2015-02-04,36.41,35.39,36.41,36.025,509572.0,35.497,-0.1248
2015-02-05,36.0,35.84,36.44,36.35,338138.0,35.689,0.9022
2015-02-06,36.51,36.19,36.87,36.665,333985.0,36.05,0.8666
2015-02-09,36.47,36.06,36.72,36.51,604009.0,36.324,-0.4227
2015-02-10,38.92,36.85,38.92,37.25,889504.0,36.56,2.0268
2015-02-11,37.05,37.05,37.83,37.66,350532.0,36.887,1.1007
2015-02-12,38.59,37.72,38.6,38.2,480857.0,37.257,1.4339
2015-02-13,38.08,37.91,38.55,38.465,242615.0,37.617,0.6937
2015-02-17,38.38,37.82,38.43,38.26,286680.0,37.967,-0.533
2015-02-18,38.08,37.78,38.2,38.05,222513.0,38.127,-0.5489
2015-02-19,38.08,37.78,38.22,37.9,243484.0,38.175,-0.3942
2015-02-20,37.88,37.49,38.41,38.34,254965.0,38.203,1.1609
2015-02-23,38.4,38.27,38.71,38.54,261612.0,38.218,0.5216
2015-02-24,38.57,37.975,38.71,38.3,290977.0,38.226,-0.6227
2015-02-25,38.25,37.9,39.02,38.83,373541.0,38.382,1.3838
2015-02-26,38.73,38.27,38.94,38.35,336986.0,38.472,-1.2362
2015-02-27,38.82,38.82,39.73,38.96,582650.0,38.596,1.5906
2015-03-02,38.92,38.77,39.19,39.02,346721.0,38.692,0.154
2015-03-03,38.68,38.35,38.89,38.84,464854.0,38.8,-0.4613
2015-03-04,38.78,38.43,39.13,38.835,405863.0,38.801,-0.0129
2015-03-05,38.93,38.55,39.16,38.74,479699.0,38.879,-0.2446
2015-03-06,38.67,38.61,39.42,38.89,502592.0,38.865,0.3872
2015-03-09,39.5,38.85,39.82,39.51,965031.0,38.963,1.5942
2015-03-10,41.95,41.93,44.19,44.06,2193594.0,40.007,11.5161
2015-03-11,43.9,43.89,45.17,44.33,943626.0,41.106,0.6128
2015-03-12,43.19,43.16,44.61,44.52,1286784.0,42.262,0.4286
2015-03-13,44.41,44.38,45.09,44.83,466869.0,43.45,0.6963
2015-03-16,44.97,44.25,45.34,44.52,507147.0,44.452,-0.6915
2015-03-17,44.3,44.08,44.87,44.34,480173.0,44.508,-0.4043
2015-03-18,44.34,44.25,45.39,45.1,468245.0,44.662,1.714
2015-03-19,45.23,45.23,46.8,46.7,645296.0,45.098,3.5477
2015-03-20,46.82,46.59,47.25,47.01,1055495.0,45.534,0.6638
2015-03-23,46.94,46.84,47.17,46.97,594802.0,46.024,-0.0851
2015-03-24,46.85,45.99,46.89,46.18,694438.0,46.392,-1.6819
2015-03-25,46.15,45.61,46.49,45.66,497874.0,46.504,-1.126
2015-03-26,45.44,45.2,45.69,45.46,379478.0,46.256,-0.438
2015-03-27,45.6,45.33,46.07,45.47,455090.0,45.948,0.022
2015-03-30,45.53,45.51,46.34,45.78,378659.0,45.71,0.6818
2015-03-31,45.6,45.56,46.2,45.65,755009.0,45.604,-0.284
2015-04-01,45.52,44.2,45.59,44.75,948341.0,45.422,-1.9715
2015-04-02,45.41,43.54,45.59,43.97,1477743.0,45.124,-1.743
2015-04-06,43.93,43.93,44.41,44.14,967275.0,44.858,0.3866
2015-04-07,44.08,43.73,44.52,43.81,806047.0,44.464,-0.7476
2015-04-08,43.89,43.47,44.24,43.52,851639.0,44.038,-0.6619
2015-04-09,43.6,43.24,43.97,43.52,533621.0,43.792,0.0
2015-04-10,43.72,43.56,44.03,43.85,338657.0,43.768,0.7583
2015-04-13,43.52,43.52,44.39,43.96,439050.0,43.732,0.2509
