date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-07-23,10.7,10.7,11.1,10.82,507695.0,,
2021-07-26,10.7,10.59,10.9,10.66,15531.0,,-1.4787
2021-07-27,10.66,10.6,10.7,10.6,6436.0,,-0.5629
2021-07-28,10.75,10.57,10.75,10.57,55185.0,,-0.283
2021-07-29,10.73,10.7,10.85,10.85,8392.0,10.7,2.649
2021-07-30,10.8,10.6,10.9,10.6,12552.0,10.656,-2.3041
2021-08-02,10.7,10.56,10.83,10.83,6358.0,10.69,2.1698
2021-08-03,10.88,10.73,10.88,10.73,65207.0,10.716,-0.9234
2021-08-04,10.74,10.74,10.87,10.87,9102.0,10.776,1.3048
2021-08-05,10.97,10.73,10.99,10.99,14175.0,10.804,1.104
2021-08-06,11.1,10.8,11.1,10.95,1416.0,10.874,-0.364
2021-08-09,10.96,10.95,11.0,10.95,2225.0,10.898,0.0
2021-08-10,10.95,10.73,10.95,10.895,3918.0,10.931,-0.5023
2021-08-11,10.98,10.9,11.0,10.98,4839.0,10.953,0.7802
2021-08-12,11.06,10.99,12.0,11.6,13968.0,11.075,5.6466
2021-08-13,11.64,11.36,11.855,11.36,4167.0,11.157,-2.069
2021-08-16,11.6,11.18,11.6,11.18,187.0,11.203,-1.5845
2021-08-17,11.21,11.21,11.64,11.5,9530.0,11.324,2.8623
2021-08-18,11.5,11.5,12.45,12.4,4015.0,11.608,7.8261
2021-08-19,12.4,12.0,12.4,12.0,12443.0,11.688,-3.2258
2021-08-20,12.11,12.0,12.4,12.39,13257.0,11.894,3.25
2021-08-23,12.4,12.35,12.57,12.5,15946.0,12.158,0.8878
2021-08-24,12.43,12.39,13.35,12.85,10312.0,12.428,2.8
2021-08-25,12.98,12.65,13.78,13.78,3870.0,12.704,7.2374
2021-08-26,13.85,12.57,13.97,13.91,6163.0,13.086,0.9434
2021-08-27,13.8,13.08,13.8,13.1,3413.0,13.228,-5.8231
2021-08-30,13.04,12.56,13.04,12.71,2269.0,13.27,-2.9771
2021-08-31,12.75,12.75,13.2,13.1,17394.0,13.32,3.0685
2021-09-01,13.1,12.86,13.1,12.93,14925.0,13.15,-1.2977
2021-09-02,12.9,12.9,13.2,12.97,7889.0,12.962,0.3094
2021-09-03,13.2,12.94,13.2,12.94,4651.0,12.93,-0.2313
2021-09-07,12.86,12.01,12.97,12.12,12494.0,12.812,-6.3369
2021-09-08,13.75,12.4,13.75,12.79,6489.0,12.75,5.5281
2021-09-09,12.68,12.47,12.68,12.47,2099.0,12.658,-2.502
2021-09-10,12.57,12.57,12.95,12.63,1086.0,12.59,1.2831
2021-09-13,12.36,12.15,12.43,12.2,7576.0,12.442,-3.4046
2021-09-14,12.21,12.21,12.47,12.47,1661.0,12.512,2.2131
2021-09-15,12.3,12.2,12.3,12.2,21831.0,12.394,-2.1652
2021-09-16,12.21,12.06,12.21,12.1,69479.0,12.32,-0.8197
2021-09-17,12.97,11.5,12.97,12.0,152339.0,12.194,-0.8264
2021-09-20,12.17,11.51,12.36,11.51,20818.0,12.056,-4.0833
2021-09-21,11.86,11.7,12.86,11.7,11999.0,11.902,1.6507
2021-09-22,11.98,11.8,13.18,12.0,10537.0,11.862,2.5641
2021-09-23,11.75,11.65,12.14,12.11,8762.0,11.864,0.9167
2021-09-24,12.0,11.75,12.14,12.0,5003.0,11.864,-0.9083
2021-09-27,12.19,11.77,12.19,12.05,4039.0,11.972,0.4167
2021-09-28,12.23,12.05,12.23,12.05,4008.0,12.042,0.0
2021-09-29,12.05,12.05,12.05,12.05,841.0,12.052,0.0
