date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,9.9,9.65,9.91,9.82,30801.0,9.796,-0.2033
2015-01-05,9.78,9.66,9.84,9.77,30495.0,9.8,-0.5092
2015-01-06,9.77,9.56,9.81,9.6,24061.0,9.76,-1.74
2015-01-07,9.73,9.62,9.86,9.63,31694.0,9.732,0.3125
2015-01-08,9.66,9.66,9.84,9.74,33369.0,9.712,1.1423
2015-01-09,9.75,9.42,9.75,9.44,14871.0,9.636,-3.0801
2015-01-12,9.38,9.35,9.49,9.4,24522.0,9.562,-0.4237
2015-01-13,9.51,9.33,9.63,9.51,21881.0,9.544,1.1702
2015-01-14,9.4,9.22,9.46,9.23,15959.0,9.464,-2.9443
2015-01-15,9.3,8.75,9.3,8.9,28592.0,9.296,-3.5753
2015-01-16,8.85,8.6,9.04,8.68,24857.0,9.144,-2.4719
2015-01-20,8.69,8.21,8.69,8.35,29770.0,8.934,-3.8018
2015-01-21,8.31,8.31,8.61,8.54,19838.0,8.74,2.2754
2015-01-22,8.62,8.41,8.62,8.45,18512.0,8.584,-1.0539
2015-01-23,8.46,8.41,8.47,8.44,19288.0,8.492,-0.1183
2015-01-26,8.4,8.315,8.45,8.4,39498.0,8.436,-0.4739
2015-01-27,8.4,8.38,8.53,8.5,36225.0,8.466,1.1905
2015-01-28,8.51,8.45,8.58,8.51,49445.0,8.46,0.1176
2015-01-29,8.55,8.46,8.58,8.5,32191.0,8.47,-0.1175
2015-01-30,8.43,8.16,8.5,8.17,39657.0,8.416,-3.8824
2015-02-02,8.23,8.2,8.48,8.27,35360.0,8.39,1.224
2015-02-03,8.29,8.29,8.55,8.5,14721.0,8.39,2.7811
2015-02-04,8.49,8.37,8.6,8.48,26035.0,8.384,-0.2353
2015-02-05,8.49,8.46,8.6,8.49,17351.0,8.382,0.1179
2015-02-06,8.65,8.65,9.12,8.9,106549.0,8.528,4.8292
2015-02-09,8.85,8.61,8.95,8.61,41790.0,8.596,-3.2584
2015-02-10,8.69,8.25,8.74,8.27,34900.0,8.55,-3.9489
2015-02-11,8.28,8.24,8.4,8.31,27553.0,8.516,0.4837
2015-02-12,8.33,8.33,8.57,8.49,56504.0,8.516,2.1661
2015-02-13,8.51,8.46,8.8,8.78,35640.0,8.492,3.4158
2015-02-17,8.78,8.73,9.35,9.13,58101.0,8.596,3.9863
2015-02-18,9.15,9.1,9.18,9.17,29758.0,8.776,0.4381
2015-02-19,9.13,9.08,9.48,9.45,21432.0,9.004,3.0534
2015-02-20,9.47,9.07,9.47,9.1,21369.0,9.126,-3.7037
2015-02-23,9.18,9.18,9.7,9.65,71451.0,9.3,6.044
2015-02-24,9.65,9.6,10.11,9.96,57162.0,9.466,3.2124
2015-02-25,10.01,9.66,10.01,9.72,34542.0,9.576,-2.4096
2015-02-26,9.69,9.65,9.85,9.77,14623.0,9.64,0.5144
2015-02-27,9.74,9.67,9.88,9.84,60724.0,9.788,0.7165
2015-03-02,9.78,9.591,9.85,9.64,22174.0,9.786,-2.0325
2015-03-03,9.61,9.52,9.85,9.81,43812.0,9.756,1.7635
2015-03-04,9.79,9.64,10.11,10.05,50069.0,9.822,2.4465
2015-03-05,10.05,9.6,10.05,9.71,37729.0,9.81,-3.3831
2015-03-06,9.6,9.37,9.7,9.62,43716.0,9.766,-0.9269
2015-03-09,9.63,9.63,9.945,9.82,22853.0,9.802,2.079
2015-03-10,9.77,9.55,9.77,9.73,30187.0,9.786,-0.9165
2015-03-11,9.66,9.38,9.66,9.62,40265.0,9.7,-1.1305
2015-03-12,9.71,9.71,10.13,10.05,34398.0,9.768,4.4699
2015-03-13,10.01,9.69,10.12,9.74,32512.0,9.792,-3.0846
2015-03-16,9.69,9.6,10.23,10.02,30587.0,9.832,2.8747
2015-03-17,9.97,9.92,10.02,9.99,24435.0,9.884,-0.2994
2015-03-18,9.95,9.92,10.06,10.0,32139.0,9.96,0.1001
2015-03-19,10.0,9.94,10.04,10.0,15346.0,9.95,0.0
2015-03-20,10.06,10.05,10.3,10.19,66241.0,10.04,1.9
2015-03-23,10.15,10.05,10.29,10.14,34394.0,10.064,-0.4907
2015-03-24,10.17,10.1,10.2,10.12,29600.0,10.09,-0.1972
2015-03-25,10.0,9.64,10.0,9.71,32774.0,10.032,-4.0514
2015-03-26,9.7,9.45,9.74,9.46,14947.0,9.924,-2.5747
2015-03-27,9.47,9.3,9.57,9.56,15877.0,9.798,1.0571
2015-03-30,9.55,9.38,9.68,9.66,20099.0,9.702,1.046
2015-03-31,9.57,9.52,9.63,9.6,20575.0,9.598,-0.6211
2015-04-01,9.56,9.38,9.85,9.8,31074.0,9.616,2.0833
2015-04-02,9.77,9.72,10.07,10.02,17409.0,9.728,2.2449
2015-04-06,10.0,9.97,10.43,10.29,31939.0,9.874,2.6946
2015-04-07,10.26,10.11,10.27,10.15,15478.0,9.972,-1.3605
2015-04-08,10.09,10.09,10.45,10.39,105698.0,10.13,2.3645
2015-04-09,10.44,10.14,10.44,10.25,17438.0,10.22,-1.3474
2015-04-10,10.32,10.21,10.36,10.21,14513.0,10.258,-0.3902
2015-04-13,10.22,10.0,10.22,10.02,22908.0,10.204,-1.8609
2015-04-14,10.05,10.01,10.149,10.06,26201.0,10.186,0.3992
2015-04-15,10.0,9.96,10.42,10.28,29384.0,10.164,2.1869
2015-04-16,10.28,9.95,10.28,10.02,29188.0,10.118,-2.5292
2015-04-17,9.95,9.82,10.01,9.9,21713.0,10.056,-1.1976
2015-04-20,9.92,9.84,10.23,10.2,19806.0,10.092,3.0303
2015-04-21,10.2,9.94,10.28,10.2,17916.0,10.12,0.0
2015-04-22,10.17,9.89,10.17,9.92,13579.0,10.048,-2.7451
2015-04-23,9.84,9.84,10.02,10.01,12783.0,10.046,0.9073
2015-04-24,9.88,9.39,9.88,9.49,41860.0,9.964,-5.1948
2015-04-27,9.47,9.22,9.8,9.49,23890.0,9.822,0.0
2015-04-28,9.45,9.35,9.59,9.47,18057.0,9.676,-0.2107
2015-04-29,9.43,9.02,9.43,9.08,27250.0,9.508,-4.1183
2015-04-30,8.99,8.45,9.05,8.45,59003.0,9.196,-6.9383
2015-05-01,8.55,8.55,9.55,9.4,68534.0,9.178,11.2426
2015-05-04,9.44,8.93,9.44,9.0,34084.0,9.08,-4.2553
2015-05-05,8.95,8.72,9.17,9.13,33283.0,9.012,1.4444
2015-05-06,9.18,8.71,9.18,8.86,28484.0,8.968,-2.9573
2015-05-07,8.88,8.85,9.03,8.91,16456.0,9.06,0.5643
2015-05-08,9.03,8.78,9.11,9.06,20041.0,8.992,1.6835
2015-05-11,9.05,8.95,9.16,8.99,30244.0,8.99,-0.7726
2015-05-12,8.9,8.6,8.9,8.62,30582.0,8.888,-4.1157
2015-05-13,8.68,8.3,8.68,8.45,15961.0,8.806,-1.9722
2015-05-14,8.5,8.44,8.6,8.56,21024.0,8.736,1.3018
2015-05-15,8.55,8.51,8.82,8.78,16261.0,8.68,2.5701
2015-05-18,8.79,8.55,9.25,9.06,50559.0,8.694,3.1891
2015-05-19,9.09,8.95,9.4,9.18,29839.0,8.806,1.3245
2015-05-20,9.18,8.76,9.18,8.79,30096.0,8.874,-4.2484
2015-05-21,8.76,8.55,8.79,8.56,24294.0,8.874,-2.6166
2015-05-22,8.53,8.47,8.75,8.65,27401.0,8.848,1.0514
2015-05-26,8.63,8.28,8.63,8.43,36323.0,8.722,-2.5434
2015-05-27,8.44,8.36,8.5,8.44,19445.0,8.574,0.1186
2015-05-28,8.44,8.34,8.54,8.47,18970.0,8.51,0.3555
2015-05-29,8.43,8.2,8.54,8.4,31236.0,8.478,-0.8264
2015-06-01,8.47,8.22,8.52,8.5,22240.0,8.448,1.1905
2015-06-02,8.48,8.48,8.95,8.8,16452.0,8.522,3.5294
2015-06-03,8.89,8.61,8.89,8.67,15426.0,8.568,-1.4773
2015-06-04,8.65,8.36,8.71,8.42,11856.0,8.558,-2.8835
2015-06-05,8.43,8.21,8.62,8.62,17385.0,8.602,2.3753
2015-06-08,8.56,8.03,8.56,8.16,29974.0,8.534,-5.3364
2015-06-09,8.14,7.97,8.15,8.07,27619.0,8.388,-1.1029
2015-06-10,8.15,8.06,8.45,8.2,34950.0,8.294,1.6109
2015-06-11,8.23,8.23,8.46,8.45,12126.0,8.3,3.0488
2015-06-12,8.41,8.21,8.6,8.46,18121.0,8.268,0.1183
2015-06-15,8.43,8.22,8.6,8.53,28958.0,8.342,0.8274
2015-06-16,8.55,8.24,8.55,8.31,24863.0,8.39,-2.5791
2015-06-17,8.21,8.19,8.54,8.27,13278.0,8.404,-0.4813
2015-06-18,8.34,8.27,8.43,8.35,26533.0,8.384,0.9674
2015-06-19,8.38,8.32,8.62,8.55,80150.0,8.402,2.3952
2015-06-22,8.6,8.42,8.62,8.57,13379.0,8.41,0.2339
2015-06-23,8.47,8.36,8.62,8.57,12131.0,8.462,0.0
2015-06-24,8.5,8.42,8.58,8.48,10743.0,8.504,-1.0502
2015-06-25,8.5,8.31,8.5,8.39,21631.0,8.512,-1.0613
2015-06-26,8.44,8.22,8.61,8.58,128822.0,8.518,2.2646
2015-06-29,8.56,8.23,8.56,8.23,22482.0,8.45,-4.0793
2015-06-30,8.24,8.06,8.71,8.6,42675.0,8.456,4.4957
2015-07-01,8.64,8.06,8.64,8.15,45908.0,8.39,-5.2326
2015-07-02,8.21,8.1,8.37,8.15,23946.0,8.342,0.0
2015-07-06,8.18,8.18,8.37,8.26,28417.0,8.278,1.3497
2015-07-07,8.26,8.03,8.26,8.23,22818.0,8.278,-0.3632
2015-07-08,8.18,8.15,8.25,8.21,97533.0,8.2,-0.243
2015-07-09,8.33,8.28,8.42,8.37,38224.0,8.244,1.9488
2015-07-10,8.44,8.28,8.5,8.33,18246.0,8.28,-0.4779
2015-07-13,8.37,8.37,8.5,8.47,14493.0,8.322,1.6807
2015-07-14,8.5,8.46,8.51,8.46,23102.0,8.368,-0.1181
2015-07-15,8.43,8.38,8.5,8.46,10000.0,8.418,0.0
2015-07-16,8.5,8.425,8.73,8.53,18656.0,8.45,0.8274
2015-07-17,8.54,8.38,8.68,8.39,20755.0,8.462,-1.6413
2015-07-20,8.36,8.16,8.38,8.2,9741.0,8.408,-2.2646
2015-07-21,8.19,8.11,8.3,8.11,11139.0,8.338,-1.0976
2015-07-22,8.11,7.91,8.12,7.99,24145.0,8.244,-1.4797
2015-07-23,7.97,7.61,8.0,7.65,15544.0,8.068,-4.2553
2015-07-24,7.52,5.7,7.52,5.96,42402.0,7.582,-22.0915
2015-07-27,5.96,5.85,6.12,6.03,16032.0,7.148,1.1745
2015-07-28,5.9,5.81,6.04,5.97,11305.0,6.72,-0.995
2015-07-29,6.14,6.02,6.29,6.24,15644.0,6.37,4.5226
2015-07-30,6.18,6.1,6.28,6.19,23103.0,6.078,-0.8013
2015-07-31,6.19,6.19,6.49,6.37,31419.0,6.16,2.9079
2015-08-03,6.35,6.02,6.37,6.07,19781.0,6.168,-4.7096
2015-08-04,6.14,5.94,6.14,6.0,29786.0,6.174,-1.1532
2015-08-05,6.0,5.88,6.14,5.93,15837.0,6.112,-1.1667
2015-08-06,5.99,5.68,6.0,5.92,29010.0,6.058,-0.1686
2015-08-07,5.35,4.915,6.65,5.55,43411.0,5.894,-6.25
2015-08-10,5.59,4.671,5.75,4.93,74412.0,5.666,-11.1712
2015-08-11,4.9,4.85,5.13,5.03,63457.0,5.472,2.0284
2015-08-12,5.04,4.94,5.09,4.99,57031.0,5.284,-0.7952
2015-08-13,5.01,4.89,5.04,5.0,19363.0,5.1,0.2004
2015-08-14,4.95,4.85,5.0,4.88,39452.0,4.966,-2.4
2015-08-17,4.85,4.8,4.91,4.87,23330.0,4.954,-0.2049
2015-08-18,4.79,4.79,4.89,4.86,20615.0,4.92,-0.2053
2015-08-19,4.8,4.73,4.86,4.76,33674.0,4.874,-2.0576
2015-08-20,4.69,4.69,4.85,4.77,14848.0,4.828,0.2101
2015-08-21,4.51,4.5,4.72,4.64,50817.0,4.78,-2.7254
2015-08-24,4.5,4.5,4.71,4.5,25705.0,4.706,-3.0172
2015-08-25,4.67,4.18,4.67,4.21,27155.0,4.576,-6.4444
2015-08-26,4.24,4.17,4.35,4.32,19586.0,4.488,2.6128
2015-08-27,4.33,4.22,4.45,4.45,20794.0,4.424,3.0093
2015-08-28,4.41,4.36,4.49,4.49,24835.0,4.394,0.8989
2015-08-31,4.44,4.08,4.48,4.46,58310.0,4.386,-0.6682
2015-09-01,4.36,4.3,4.67,4.34,29855.0,4.412,-2.6906
2015-09-02,4.4,4.14,4.42,4.15,29607.0,4.378,-4.3779
2015-09-03,4.21,4.04,4.21,4.05,24984.0,4.298,-2.4096
2015-09-04,3.99,3.99,4.09,4.07,17253.0,4.214,0.4938
2015-09-08,4.07,4.07,4.51,4.33,25383.0,4.188,6.3882
2015-09-09,4.41,4.23,4.5,4.24,15078.0,4.168,-2.0785
2015-09-10,4.22,4.17,4.33,4.19,22331.0,4.176,-1.1792
2015-09-11,4.12,4.12,4.5,4.23,43945.0,4.212,0.9547
2015-09-14,4.25,4.23,4.55,4.51,16110.0,4.3,6.6194
2015-09-15,4.5,4.5,4.82,4.63,20843.0,4.36,2.6608
2015-09-16,4.61,4.58,4.7,4.61,19080.0,4.434,-0.432
2015-09-17,4.48,4.21,4.49,4.26,42932.0,4.448,-7.5922
2015-09-18,4.19,3.98,4.22,4.0,84004.0,4.402,-6.1033
2015-09-21,4.01,3.92,4.01,3.92,9203.0,4.284,-2.0
2015-09-22,3.87,3.83,3.88,3.88,13229.0,4.134,-1.0204
2015-09-23,3.88,3.68,3.88,3.68,29047.0,3.948,-5.1546
2015-09-24,3.65,3.55,3.72,3.68,48982.0,3.832,0.0
