date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,20.47,19.8,20.47,19.99,10342.0,20.21,-1.2352
2015-01-05,19.8,19.8,20.1,19.94,12445.0,20.164,-0.2501
2015-01-06,19.95,19.64,20.03,19.74,21206.0,20.042,-1.003
2015-01-07,19.89,19.65,19.93,19.93,4979.0,19.968,0.9625
2015-01-08,20.12,20.025,20.21,20.21,5561.0,19.962,1.4049
2015-01-09,20.15,19.81,20.16,19.83,7435.0,19.93,-1.8803
2015-01-12,19.77,19.12,19.77,19.13,14949.0,19.768,-3.53
2015-01-13,19.34,19.06,19.65,19.33,8494.0,19.686,1.0455
2015-01-14,19.26,18.97,19.26,19.03,8670.0,19.506,-1.552
2015-01-15,19.06,18.91,19.18,19.08,11604.0,19.28,0.2627
2015-01-16,19.01,19.0,19.34,19.18,18833.0,19.15,0.5241
2015-01-20,19.19,18.8,19.21,18.89,16372.0,19.102,-1.512
2015-01-21,18.9,18.67,18.9,18.69,9949.0,18.974,-1.0588
2015-01-22,18.9,18.59,19.41,19.4,26255.0,19.048,3.7988
2015-01-23,19.33,18.88,19.43,19.3,11167.0,19.092,-0.5155
2015-01-26,19.24,19.23,19.56,19.54,14580.0,19.164,1.2435
2015-01-27,19.22,19.16,19.36,19.21,7909.0,19.228,-1.6888
2015-01-28,19.23,18.37,19.23,18.44,17867.0,19.178,-4.0083
2015-01-29,18.6,18.6,19.55,19.55,17589.0,19.208,6.0195
2015-01-30,19.32,18.35,19.32,18.52,52437.0,19.052,-5.2685
2015-02-02,18.62,18.62,19.05,19.05,19702.0,18.954,2.8618
2015-02-03,19.0,19.0,19.34,19.17,31914.0,18.946,0.6299
2015-02-04,19.15,18.85,19.3,18.88,21009.0,19.034,-1.5128
2015-02-05,18.99,18.99,19.37,19.22,12115.0,18.968,1.8008
2015-02-06,19.27,19.07,19.6,19.17,34968.0,19.098,-0.2601
2015-02-09,19.01,18.93,19.3,18.93,19393.0,19.074,-1.252
2015-02-10,19.12,18.91,19.16,19.0,15769.0,19.04,0.3698
2015-02-11,18.95,18.86,19.06,18.86,16878.0,19.036,-0.7368
2015-02-12,18.95,18.85,19.01,19.0,24508.0,18.992,0.7423
2015-02-13,19.0,18.92,19.13,18.995,18552.0,18.957,-0.0263
2015-02-17,19.05,19.02,19.14,19.09,8858.0,18.989,0.5001
2015-02-18,19.04,19.04,19.24,19.24,18066.0,19.037,0.7858
2015-02-19,19.17,19.15,19.4,19.22,4240.0,19.109,-0.104
2015-02-20,19.27,18.99,19.27,19.04,13345.0,19.117,-0.9365
2015-02-23,18.93,18.7,18.93,18.83,20598.0,19.084,-1.1029
2015-02-24,18.87,18.87,19.15,19.0,15662.0,19.066,0.9028
2015-02-25,19.0,19.0,19.08,19.0,13421.0,19.018,0.0
2015-02-26,18.96,18.96,19.23,19.09,27860.0,18.992,0.4737
2015-02-27,19.07,18.96,19.2,18.99,11501.0,18.982,-0.5238
2015-03-02,18.93,18.93,19.25,19.19,9569.0,19.054,1.0532
2015-03-03,19.07,19.05,19.29,19.17,25633.0,19.088,-0.1042
2015-03-04,19.02,18.99,19.15,19.0,15297.0,19.088,-0.8868
2015-03-05,19.07,18.92,19.1,19.01,18775.0,19.072,0.0526
2015-03-06,18.95,18.89,19.1,18.97,19750.0,19.068,-0.2104
2015-03-09,18.88,18.88,19.22,19.22,11124.0,19.074,1.3179
2015-03-10,18.94,18.94,19.2,18.95,14077.0,19.03,-1.4048
2015-03-11,18.95,18.95,19.13,19.03,14698.0,19.036,0.4222
2015-03-12,19.23,19.19,19.49,19.4,19991.0,19.114,1.9443
2015-03-13,19.4,19.15,19.4,19.39,11221.0,19.198,-0.0515
2015-03-16,19.5,19.455,19.69,19.66,13767.0,19.286,1.3925
2015-03-17,19.56,19.51,19.63,19.63,10819.0,19.422,-0.1526
2015-03-18,19.54,19.51,19.62,19.52,16575.0,19.52,-0.5604
2015-03-19,19.42,19.09,19.45,19.12,16897.0,19.464,-2.0492
